# stan_version_major = 2
# stan_version_minor = 25
# stan_version_patch = 0
# model = sl_normal_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 1
# data
#   file = data/cleaned/tmp/sl_normal_full_pdw2_all.R.data
# init = 2 (Default)
# random
#   seed = 100605
# output
#   file = output/sl_normal_full_pdw2_all_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
# stanc_version = stanc3 82a27ba
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,theta.10,theta.11,theta.12,theta.13,theta.14,theta.15,theta.16,theta.17,theta.18,theta.19,theta.20,theta.21,theta.22,theta.23,theta.24,theta.25,sigma,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,beta.19,beta.20,beta.21,beta.22,beta.23,beta.24,beta.25
# Adaptation terminated
# Step size = 0.501439
# Diagonal elements of inverse mass matrix:
# 0.000136754, 0.000137619, 0.000155244, 0.000138482, 0.000161066, 0.000140769, 0.00013974, 0.000155076, 0.000162918, 0.000150708, 0.000151509, 0.000164799, 0.000168573, 0.000141025, 0.000159843, 0.000161684, 0.000131685, 0.000134173, 0.000173711, 0.000152256, 0.000135704, 0.000142015, 0.000168634, 0.0001499, 0.0001657, 0.00016416, 0.000214072
49.3215,1,0.501439,3,7,0,-35.3279,6.71462,0.0142725,-0.0886597,0.150462,-0.0808458,0.0866339,-0.0504344,0.0247648,-0.127094,0.841349,-0.122292,-0.157518,0.0992506,-0.0107531,0.0340254,-0.0849058,-0.00806078,0.0672346,-0.000288827,0.00440148,0.0177343,0.0230105,0.0524369,-0.0148333,0.0205584,-0.0113918,0.594082,0.476449,-0.0308491,-0.38946,0.0296582,0.00930113,-0.00140601,0.0724134,-0.0705255,1.14327,-0.579,-1.85211,0.644508,-0.408774,0.512758,-0.0721656,0.0749607,0.186256,0.0416977,0.0643325,0.109083,0.140083,0.185242,-0.0823716,0.294701,-0.129263
46.9496,0.902479,0.501439,3,7,0,-36.5272,6.71643,0.0376463,-0.0777881,0.179686,-0.111202,0.096744,-0.0420427,0.0126548,-0.12281,0.842149,-0.137507,-0.185833,0.0953141,-0.00717847,0.00290077,-0.100931,0.0365995,0.0529349,0.0150147,0.0113549,0.0227745,0.0105233,0.0144062,-0.0194506,0.0173248,-0.0208556,0.605981,0.0888033,-0.00475624,-0.0394088,-0.000346885,0.00763622,9.45037e-05,0.0297874,-0.0685989,1.15332,-0.623603,-2.36098,0.709926,-0.247165,0.11347,-0.102898,0.149844,0.147019,0.0396841,0.0174767,0.045443,-0.00477455,-0.0165929,-0.13272,0.219966,-0.236648
46.8991,0.999115,0.501439,3,7,0,-37.3564,6.72624,0.039276,-0.0750966,0.184854,-0.115927,0.0887941,-0.038144,0.0189679,-0.130746,0.837606,-0.140617,-0.177346,0.0853393,-0.00976905,0.00237383,-0.103665,0.0327396,0.0533262,0.00969256,0.00771141,0.0261147,0.010327,0.0194351,-0.0202486,0.0271158,-0.0149983,0.603997,-0.0171564,0.00228152,0.0166487,-0.005232,-0.0234876,0.00309632,0.0459841,-0.10217,1.15219,-0.621521,-2.28377,0.612286,-0.284498,0.124624,-0.100862,0.141948,0.148082,0.0374517,0.0275625,0.0800828,0.0193917,0.0260072,-0.112259,0.388769,-0.170185
50.9589,0.999536,0.501439,3,7,0,-41.9373,6.72483,0.0285512,-0.0829586,0.175237,-0.106746,0.0894327,-0.0545746,0.0205216,-0.130747,0.845223,-0.142835,-0.182814,0.0807891,-0.025446,0.00755624,-0.116489,0.0264151,0.0514754,-0.00495116,0.00856853,0.0190636,0.0200272,0.0213152,-0.0239542,0.0269623,-0.0183295,0.600222,0.170189,-0.0103713,-0.114828,0.00599444,0.0485579,-0.00566379,0.0587214,-0.129984,1.17803,-0.610019,-2.45834,0.531076,-0.464109,0.17848,-0.114872,0.126108,0.143472,-0.00719948,0.0206574,0.0480819,0.0537274,0.0167177,-0.140034,0.377953,-0.207985
46.7904,0.703159,0.501439,3,7,0,-34.2638,6.72744,0.0330128,-0.0802004,0.170256,-0.0936583,0.0968454,-0.0549472,0.0129983,-0.1437,0.850726,-0.154585,-0.197442,0.0792087,-0.0240263,0.0176624,-0.11897,0.021689,0.0591639,0.00026868,0.0104676,0.0230118,0.0120293,0.0232891,-0.0228806,0.0290461,-0.0142878,0.597805,0.25238,-0.015502,-0.252246,0.0189975,0.0486399,-0.00519615,0.0355734,-0.146892,1.19538,-0.667796,-2.70126,0.493417,-0.491854,0.301145,-0.114714,0.126923,0.164257,0.0141557,0.0356246,0.0710241,0.0290712,0.0390689,-0.122553,0.420927,-0.162124
44.9713,0.761639,0.501439,3,7,0,-25.6798,6.71968,0.0323767,-0.109246,0.176138,-0.0945361,0.0803853,-0.0492118,0.0267365,-0.112161,0.846756,-0.112791,-0.150589,0.101541,-0.018737,0.0245986,-0.0577191,0.00468046,0.0543461,0.00267832,0.00128602,0.0130319,0.0240629,0.0268837,0.00519926,0.0314065,-0.0580241,0.592381,0.673033,-0.0446963,-0.236133,0.0183872,-0.00865037,-0.000415602,0.0905978,-0.0148147,1.11709,-0.560265,-1.81238,0.692988,-0.400477,0.36496,-0.0611724,0.0862509,0.150135,0.0161014,0.00808593,0.0393,0.0852106,0.0427114,-0.0696868,0.347777,-0.658398
45.4322,0.999934,0.501439,3,7,0,-36.0115,6.73281,0.0260297,-0.0734995,0.173688,-0.0984854,0.0993105,-0.0539733,0.00647053,-0.126404,0.848168,-0.153201,-0.1915,0.0835137,-0.0245267,0.0303778,-0.122154,0.0171116,0.0587121,0.00242648,0.00779881,0.0257601,0.0200338,0.0378487,-0.0334919,0.0102128,0.00475537,0.597366,0.135307,-0.00831697,-0.174108,0.0116247,0.061398,-0.00624483,0.0219371,-0.105365,1.19559,-0.664412,-2.56975,0.485823,-0.539992,0.442975,-0.113742,0.115455,0.163735,0.0283634,0.0420124,0.0951122,0.0785869,0.0929771,-0.157351,0.17266,0.0539591
46.0435,0.908415,0.501439,3,7,0,-28.8532,6.72015,0.0319974,-0.109525,0.17394,-0.0952763,0.0803072,-0.0524773,0.026764,-0.114579,0.847765,-0.113709,-0.150799,0.102102,-0.0235748,0.0263267,-0.0585993,0.0130786,0.0520557,0.00405935,0.00226732,0.0142102,0.0247886,0.0296119,0.00406108,0.0312395,-0.0581287,0.5951,0.664049,-0.0440277,-0.239172,0.0183791,0.00259429,-0.00191498,0.092825,-0.0245545,1.12088,-0.560371,-1.83641,0.670543,-0.448972,0.378934,-0.0618542,0.100305,0.144017,0.0217958,0.0126834,0.0445475,0.0889387,0.0510324,-0.0762383,0.344886,-0.659585
47.1029,0.991681,0.501439,3,7,0,-33.6889,6.70715,0.0352936,-0.069993,0.171652,-0.0954751,0.0875114,-0.0468437,0.0229226,-0.147826,0.833204,-0.133606,-0.16179,0.0926837,-0.0175071,0.025333,-0.107359,0.0106916,0.0565073,-0.000385565,0.0195052,0.00976733,0.0173036,0.0455613,-0.0263198,0.00986289,-0.00310968,0.597686,0.0976725,-0.00446253,-0.215612,0.0152811,-0.00272695,0.000346376,0.0581201,-0.155978,1.15017,-0.594542,-1.99758,0.594501,-0.438012,0.379104,-0.0983049,0.0987989,0.157442,0.0263035,0.074235,0.0457947,0.0781917,0.129444,-0.137324,0.147322,-0.0352854
50.1413,0.926307,0.501439,3,7,0,-34.4683,6.73855,0.025275,-0.096551,0.17504,-0.0998072,0.0928704,-0.0457988,0.00786508,-0.0938207,0.852914,-0.135217,-0.17985,0.101063,-0.029939,0.0211258,-0.0774977,0.016142,0.048079,0.000889896,-0.0194671,0.0231738,0.0322574,0.0216392,-0.00570553,0.0283991,-0.0428478,0.595667,0.472701,-0.0317068,-0.131002,0.00849424,0.00488177,-0.00070083,0.0445524,0.00726731,1.16111,-0.644599,-2.32845,0.659374,-0.518884,0.337827,-0.0800472,0.100649,0.13349,0.000646649,-0.0494526,0.0738796,0.117179,0.0184702,-0.0967882,0.338733,-0.486193
45.7237,0.89725,0.501439,3,7,0,-38.4461,6.71262,0.0338154,-0.0900592,0.174915,-0.0934137,0.104369,-0.0684842,0.0319748,-0.149457,0.844792,-0.12276,-0.167228,0.0880753,-0.0171649,0.0365733,-0.110543,0.00715623,0.0566735,0.00573092,0.0386732,0.0170039,0.0149296,0.0432293,-0.0222047,0.0117562,-0.0151521,0.597527,0.356272,-0.0216915,-0.313966,0.0234613,0.122651,-0.0124752,0.0877715,-0.145578,1.15845,-0.522446,-2.12487,0.528084,-0.459889,0.470344,-0.103784,0.0933052,0.157823,0.0526404,0.126313,0.0596615,0.052595,0.1073,-0.14078,0.146743,-0.17193
45.6971,0.997114,0.501439,3,7,0,-37.6998,6.74181,0.0262063,-0.0937913,0.172823,-0.0985626,0.0776968,-0.0358185,0.00087232,-0.0924622,0.850389,-0.142908,-0.173066,0.0988202,-0.0294222,0.0206682,-0.0698704,0.0163655,0.0591694,-0.00198347,-0.0291932,0.0195866,0.0301013,0.0229724,-0.00591768,0.0290822,-0.039604,0.591648,0.476401,-0.0326498,-0.113659,0.00769508,-0.0673872,0.0056876,0.0250239,0.0131478,1.15652,-0.702912,-2.23327,0.651779,-0.522262,0.366114,-0.0718899,0.115701,0.163705,-0.0127564,-0.0768973,0.0661358,0.114547,0.031274,-0.0896678,0.357659,-0.449385
45.6886,0.99868,0.501439,3,7,0,-32.7475,6.74271,0.0363546,-0.0720808,0.170858,-0.079173,0.0948806,-0.0374137,0.0277561,-0.134727,0.83642,-0.129187,-0.177894,0.0969955,-0.0243092,0.0166929,-0.105674,0.018061,0.0662937,0.00756481,0.035541,0.0171514,0.0185923,0.0435971,-0.00332147,0.0267543,-0.012677,0.608361,0.269638,-0.0172694,-0.28916,0.02378,-0.0373443,0.00552283,0.0824221,-0.128469,1.1591,-0.544168,-2.26853,0.576791,-0.48179,0.282351,-0.0866795,0.129266,0.182851,0.0918861,0.1712,0.122804,0.140722,0.182629,-0.0163281,0.388935,-0.143846
46.0269,0.990829,0.501439,3,7,0,-35.7324,6.7096,0.0245658,-0.110848,0.178192,-0.113138,0.0853139,-0.0655385,0.00668448,-0.101642,0.857947,-0.136436,-0.162301,0.0888726,-0.0210089,0.0401409,-0.0743832,0.00626199,0.051227,-0.00398482,-0.0254626,0.0226038,0.0254305,0.0252349,-0.024623,0.017169,-0.0399613,0.581794,0.547827,-0.036266,-0.120463,0.00610565,0.0877802,-0.0118992,0.0365178,0.0108095,1.1556,-0.678496,-2.0836,0.591468,-0.491037,0.555827,-0.0866233,0.083632,0.143233,-0.0450844,-0.110014,0.0238916,0.0323202,-0.0243144,-0.204738,0.169338,-0.45344
44.908,0.965284,0.501439,3,7,0,-34.3092,6.74002,0.0354161,-0.0652114,0.179819,-0.0820439,0.0845446,-0.0574369,0.0334425,-0.133407,0.845474,-0.127508,-0.185271,0.0965156,-0.0390526,-0.0063034,-0.101489,0.0151475,0.0551955,-0.00110981,0.0232979,0.0095763,0.0136697,0.0249212,-0.00571468,0.0237588,-0.0181071,0.593576,0.114353,-0.00614846,-0.327837,0.028448,0.0306995,-0.00412849,0.106871,-0.141316,1.16626,-0.545301,-2.45941,0.603431,-0.524621,0.0234693,-0.0921993,0.108159,0.152341,0.0304147,0.0917651,0.0519253,0.0724117,0.0799945,-0.0451504,0.328117,-0.205461
48.1548,0.926428,0.501439,3,7,0,-30.7807,6.72894,0.0275487,-0.0872028,0.168787,-0.0916106,0.0968086,-0.0574877,0.0191877,-0.130603,0.850149,-0.118524,-0.154632,0.0804738,-0.0424779,0.010552,-0.102122,0.0201028,0.0814846,0.01787,0.00473244,0.027926,0.034661,0.0237296,-0.015162,0.0329873,-0.0124686,0.589852,0.316446,-0.0195375,-0.282749,0.019323,0.0565049,-0.00529571,0.0666852,-0.143009,1.16412,-0.491528,-2.11599,0.412254,-0.653306,0.254694,-0.0912512,0.155271,0.225242,0.0841723,0.0575179,0.128279,0.17044,0.0704704,-0.0723377,0.487517,-0.141481
49.678,0.982782,0.501439,3,7,0,-37.8062,6.72561,0.0277993,-0.0912262,0.185756,-0.100085,0.0833332,-0.0366696,0.00885368,-0.104759,0.850304,-0.137579,-0.180778,0.101832,-0.0141696,0.0502138,-0.0821714,0.00775756,0.0478129,-0.0104067,0.000120499,0.0127684,-0.000166472,0.0424496,-0.0182239,0.00554596,-0.0415134,0.597207,0.469105,-0.0325028,-0.126518,0.0105908,-0.0424058,0.00325851,0.0407836,0.0208039,1.15906,-0.690108,-2.24587,0.691379,-0.446267,0.648858,-0.0915074,0.080972,0.133226,-0.047369,-0.0365584,-0.00651673,-0.0706024,0.0525674,-0.187271,-0.0174295,-0.471052
48.6659,0.840873,0.501439,3,7,0,-35.8769,6.71494,0.024436,-0.0859235,0.167539,-0.0927643,0.103036,-0.0526093,0.0185167,-0.12886,0.852877,-0.111337,-0.175123,0.0881328,-0.0139114,0.0319243,-0.0926616,0.00783112,0.052105,0.00477575,0.0171631,0.0201692,0.0249234,0.0308874,-0.0278977,0.00809285,0.00948347,0.605177,0.31714,-0.0184495,-0.31773,0.0223785,0.0548871,-0.00427488,0.0494971,-0.0743332,1.15537,-0.505801,-2.25128,0.550681,-0.4005,0.426458,-0.0827433,0.0878234,0.145241,0.0454094,0.0780779,0.0876447,0.116136,0.0858829,-0.118817,0.151231,0.107609
48.7901,0.978167,0.501439,3,7,0,-37.4188,6.76022,0.0296249,-0.0929534,0.179071,-0.0946631,0.0831881,-0.051828,0.0186958,-0.112278,0.830801,-0.145187,-0.16683,0.0935761,-0.0225049,0.0307765,-0.0878893,0.00452209,0.0563084,0.000608112,-0.00641976,0.0167333,0.0163673,0.0312607,-0.00430511,0.0320798,-0.0572456,0.59005,0.468634,-0.0323292,-0.16296,0.0135428,0.0204114,-0.00385799,0.0694658,-0.0430941,1.13881,-0.679401,-2.12179,0.61792,-0.494432,0.45424,-0.0933629,0.0879074,0.156035,-0.00439261,-0.0299733,0.0337699,0.0293226,0.0377902,-0.118212,0.360334,-0.649564
45.6267,0.796775,0.501439,3,7,0,-31.7145,6.71243,0.0466814,-0.0727673,0.168346,-0.0821907,0.116568,-0.0560289,0.0244593,-0.129325,0.839412,-0.141194,-0.164208,0.0947133,-0.0270388,0.0207691,-0.103338,0.00370572,0.0538741,0.00393539,0.00391747,0.0162965,0.0110666,0.0429414,-0.0116056,0.0358627,0.00796384,0.593771,0.159158,-0.00619226,-0.325098,0.0241818,0.068871,-0.00438586,0.0737281,-0.117383,1.16929,-0.622056,-2.06395,0.549816,-0.528174,0.358005,-0.0807037,0.0805348,0.148893,0.067914,0.0886072,0.137047,0.129345,0.210222,-0.00282476,0.584275,0.0903655
45.6426,1,0.501439,3,7,0,-36.3729,6.73803,0.0119331,-0.110136,0.181946,-0.110827,0.0639151,-0.045775,0.008828,-0.109228,0.855635,-0.124426,-0.178385,0.089185,-0.0213324,0.0363191,-0.0761861,0.0177325,0.0636295,0.00356229,0.00509166,0.0197226,0.0312558,0.0275668,-0.0162743,0.00734831,-0.0622175,0.595902,0.651427,-0.0470891,-0.0768513,0.00498078,-0.0264616,-0.000992569,0.0430384,-0.00501793,1.14485,-0.601134,-2.35616,0.591599,-0.472744,0.485419,-0.0926792,0.126184,0.177193,-0.014899,-0.0354829,-0.00653502,0.0336908,-0.0486113,-0.222435,-0.0412818,-0.705981
