# 0.0032044, 0.0023256, 0.00154508, 0.00318845, 0.00347449, 0.00419811, 0.00534154, 0.00143239, 0.00490845, 0.00589486, 0.0105051, 0.00213995, 0.00230647, 0.00750757, 0.00233037, 0.00420394, 0.00492419, 0.00428905, 0.00359207, 0.00464927, 0.00922318, 0.0064831, 0.00400207, 0.00357235, 0.00340612, 0.00664941, 0.00459428, 0.0087012, 0.00769132, 0.0118514, 0.013129, 0.00429499, 0.00765051, 0.00179213, 0.00241734, 0.010465, 0.00230245, 0.00362786, 0.00617653, 0.00300754, 0.0126217, 0.00537092, 0.0100578, 0.00355417, 0.0019868, 0.00874324, 0.0181374, 0.00254326, 0.00329988, 0.00674072, 0.00360813, 0.0172363, 0.000676855, 0.000551894, 0.000750737, 0.000771358, 0.000134668, 0.00012122, 9.65371e-05, 0.000109984, 0.000127588, 9.61086e-05, 0.000103552, 0.00013598, 0.000177708, 0.000115701, 0.000141672, 0.000112456, 0.000110048, 0.00012729, 0.000101511, 0.000110105, 0.000106095, 0.000111534, 0.000115146, 0.000104718, 0.000122145, 0.00010916, 9.06155e-05, 0.000123681, 0.0227041, 0.000301681
5617.65,0.937642,0.315582,4,15,0,-5574.77,-1.81867,-1.54984,-1.48822,-1.48391,-1.58855,-1.47423,-1.55164,-1.42501,-1.90278,-1.9025,-1.57268,-1.45424,-1.49971,-1.57477,-1.66789,-1.68032,-1.62422,-1.69894,-1.62917,-1.64426,-1.82291,-1.59462,-1.80808,-1.61693,-1.63371,-1.42026,-1.36853,-1.58393,-1.20387,-1.34123,-2.05081,-1.57169,-1.45133,-1.80287,-1.2828,-1.57185,-1.77238,-1.47479,-1.37727,-1.70307,-1.8349,-1.79635,-1.68909,-1.61159,-1.4358,-1.50985,-2.06003,-1.37753,-1.56343,-1.51221,-1.59389,-1.36702,0.00359898,0.0663621,-0.0237528,-0.0260311,0.0115264,0.00867551,0.122673,-0.0877574,-0.163971,-0.0656325,0.00555238,-0.152954,-0.100334,-0.0843058,0.138744,0.141253,0.0725407,-0.00168472,0.00551773,0.0740909,-0.0123664,-0.000647468,0.0371697,0.0190776,0.00986345,0.0100097,0.0100411,-0.0281938,0.147291,8.25998,-0.0165518,-0.000649093,-0.0396554,0.0196668,-0.622153,-0.539126,-0.232257,-0.0639147,-0.691308,-0.329441,1.08073,0.604674,0.624337,0.00570987,0.114935,0.206124,0.00334709,0.0441988,0.177152,0.119836,0.0418742,0.0207456,0.124202,-0.372177,-0.00457545,0.0438296,-0.150148,-0.00485393
5606.95,0.769654,0.315582,4,15,0,-5567.75,-1.75152,-1.67805,-1.48242,-1.46224,-1.61649,-1.51825,-1.49769,-1.57125,-1.70658,-1.66367,-1.40436,-1.27244,-1.60045,-1.24587,-1.68538,-1.66391,-1.61115,-1.7227,-1.36251,-1.48004,-1.76414,-1.46097,-1.75361,-1.7906,-1.53905,-1.48498,-1.43726,-1.45202,-1.54994,-1.23006,-1.92687,-1.63703,-1.5252,-1.75643,-1.18681,-1.27349,-1.7822,-1.35879,-1.7278,-1.67194,-1.855,-1.70904,-1.56066,-1.58881,-1.45663,-1.37551,-1.85442,-1.45437,-1.48898,-1.56927,-1.59465,-1.15596,-0.0777095,0.102956,-0.0483408,-0.0123091,0.0127613,-0.0275483,0.139808,-0.0928601,-0.176721,-0.0561048,0.0119713,-0.123841,-0.0452285,-0.0894137,0.126862,0.169164,0.0622635,0.0133804,0.0175008,0.0799687,-0.0449894,0.00678735,0.036624,0.00157127,0.0110869,-0.00408039,-0.00197754,-0.00478803,0.131705,8.04259,0.4062,-0.0283089,-0.0289442,0.0801766,-0.638157,-0.484628,-0.214293,-0.05346,-0.469778,-0.393944,1.05393,0.776918,0.554784,0.0135298,0.145674,0.219935,-0.0854705,0.0497521,0.15468,0.0055993,0.0383236,-0.035127,-0.0436402,-0.0632052,-0.0392227,0.0707611,-0.345976,-0.00229523
5607.16,0.950809,0.315582,4,15,0,-5566.14,-1.76114,-1.67792,-1.41978,-1.40159,-1.68441,-1.53655,-1.42657,-1.5858,-1.6893,-1.62343,-1.478,-1.27065,-1.58974,-1.28461,-1.68136,-1.66577,-1.62374,-1.71391,-1.37798,-1.4131,-1.65289,-1.47634,-1.76144,-1.7984,-1.52096,-1.48849,-1.45824,-1.46796,-1.41288,-1.22639,-1.95811,-1.59748,-1.49703,-1.7567,-1.20833,-1.38858,-1.76177,-1.36927,-1.67867,-1.6818,-1.81923,-1.70945,-1.51105,-1.617,-1.455,-1.35499,-1.81807,-1.44697,-1.53146,-1.59716,-1.49018,-1.07075,-0.0797045,0.0918512,-0.0398723,0.00326803,0.0212853,-0.0259219,0.152406,-0.0923631,-0.184888,-0.0527238,0.0101627,-0.128608,-0.0535942,-0.080831,0.130029,0.159067,0.0525448,0.0142575,0.0105175,0.0745123,-0.0386912,0.00559147,0.03429,-0.00474843,0.00634334,0.0142474,-0.000842105,-0.00918831,0.13682,8.2063,0.395688,-0.0268578,-0.00308953,0.0632769,-0.657614,-0.46272,-0.209031,-0.0578392,-0.496129,-0.317057,1.07571,0.747776,0.472119,0.0195706,0.124266,0.204382,-0.0591419,0.0636537,0.168221,0.00072194,0.0545779,0.0688113,-0.0318437,-0.121292,-0.0353347,0.0621087,-0.298699,0.000609378
5603.22,0.893871,0.315582,4,15,0,-5557.86,-1.77108,-1.54712,-1.51832,-1.4564,-1.46072,-1.48329,-1.61522,-1.3466,-1.76821,-1.79748,-1.57599,-1.4406,-1.47541,-1.60358,-1.55403,-1.67851,-1.65196,-1.57466,-1.55811,-1.67576,-1.86637,-1.59787,-1.81749,-1.64656,-1.61627,-1.48775,-1.34782,-1.4195,-1.42663,-1.21432,-1.89631,-1.51991,-1.46841,-1.74829,-1.22627,-1.28036,-1.70153,-1.4926,-1.56435,-1.69921,-1.67292,-1.7309,-1.6561,-1.50866,-1.36437,-1.58403,-2.02961,-1.39029,-1.5023,-1.56315,-1.61387,-1.43834,0.00245904,0.0505395,0.00855202,-0.0140408,0.00696651,0.00958458,0.0938807,-0.103446,-0.154378,-0.074624,0.017246,-0.141236,-0.102419,-0.0969699,0.127869,0.1635,0.0643821,0.0189824,0.0153446,0.0817735,-0.0109605,-0.00510893,0.0419087,0.0287115,0.0371671,-0.00532446,0.00242647,-0.0102068,0.134976,8.12385,-0.120599,0.00582628,-0.151537,0.0150253,-0.606918,-0.535916,-0.190679,-0.0635582,-0.715652,-0.443936,1.01937,0.747247,0.574246,0.0277526,0.145092,0.228398,0.021892,0.0547027,0.222483,0.197447,0.168047,-0.0477127,0.0237196,-0.134737,-0.00328466,0.0262158,0.0773191,-0.00261815
5595.89,0.823954,0.315582,4,15,0,-5549.62,-1.73578,-1.52014,-1.46732,-1.44901,-1.44049,-1.49076,-1.50575,-1.36722,-1.74272,-1.79957,-1.59522,-1.47176,-1.51382,-1.60556,-1.59177,-1.66758,-1.6151,-1.58373,-1.63893,-1.64447,-1.78991,-1.45264,-1.84667,-1.72553,-1.58214,-1.48791,-1.38248,-1.47985,-1.52896,-1.19187,-1.9429,-1.43882,-1.39305,-1.75325,-1.23967,-1.28134,-1.70383,-1.49671,-1.53158,-1.67841,-1.63668,-1.68019,-1.65139,-1.54562,-1.39052,-1.6262,-1.95941,-1.38014,-1.4972,-1.57179,-1.60612,-1.39743,0.000981922,0.0659084,-0.0224828,-0.0247516,-0.000810184,-0.00122502,0.104715,-0.0964332,-0.157956,-0.0760486,0.0144504,-0.158703,-0.0928859,-0.10858,0.123948,0.171919,0.0831371,0.00409476,0.0156876,0.0732145,-0.00669388,-0.0185904,0.0422706,0.0272278,0.0354074,-0.010652,0.000838579,-0.013274,0.127437,8.06341,0.0801316,-0.00813077,-0.122098,0.0509882,-0.644732,-0.605903,-0.226831,-0.0753519,-0.660768,-0.558961,0.964655,0.748275,0.723167,0.0105286,0.133635,0.204531,0.0127946,-0.00548729,0.204458,0.16699,0.138572,-0.0869154,-0.00987982,-0.175225,-0.00555842,0.0432229,-0.142008,-0.00461535
5617.62,0.968458,0.315582,4,15,0,-5558.55,-1.86224,-1.67822,-1.54751,-1.51224,-1.52257,-1.6076,-1.51709,-1.45256,-1.83541,-1.74837,-1.57883,-1.36136,-1.49232,-1.45293,-1.65038,-1.6333,-1.50834,-1.74089,-1.54375,-1.68457,-1.76633,-1.51283,-1.84053,-1.6969,-1.58569,-1.46738,-1.43311,-1.48558,-1.43685,-1.27872,-1.98981,-1.49948,-1.46224,-1.76547,-1.23465,-1.578,-1.78782,-1.47778,-1.50734,-1.63895,-1.95034,-1.79494,-1.72603,-1.68127,-1.4261,-1.51824,-1.79331,-1.40969,-1.50691,-1.56652,-1.57922,-1.34575,-0.0054701,0.0467172,-0.0142324,-0.0352033,0.0163609,-0.0205237,0.133483,-0.0855602,-0.158249,-0.074914,0.00433431,-0.132929,-0.0926338,-0.0806357,0.134624,0.14273,0.0811573,0.00234767,0.0200035,0.0727397,-0.0108213,0.015496,0.045425,0.0201066,0.0115442,0.000663289,-0.00580474,-0.0210976,0.136215,7.96852,0.389741,-0.0284425,-0.010175,0.0250233,-0.596421,-0.544549,-0.233117,-0.0497491,-0.653582,-0.301564,1.03096,0.599732,0.689284,0.00684665,0.144023,0.204499,0.0117574,0.0868558,0.192708,0.102192,0.0230329,-0.0393273,-0.141162,-0.278502,-0.0137864,0.030372,-0.0704889,-0.00656425
5616.16,0.934411,0.315582,4,15,0,-5578.56,-1.83383,-1.56392,-1.41145,-1.44326,-1.59907,-1.43497,-1.52615,-1.42561,-1.87847,-1.84609,-1.43519,-1.39542,-1.55778,-1.44437,-1.68478,-1.77347,-1.61583,-1.65281,-1.43224,-1.43376,-1.73763,-1.45034,-1.64084,-1.66928,-1.56858,-1.42252,-1.34429,-1.6549,-1.33651,-1.29336,-2.03239,-1.58544,-1.45611,-1.75365,-1.24455,-1.35844,-1.74982,-1.42056,-1.4879,-1.64296,-1.75686,-1.63095,-1.7238,-1.51646,-1.50767,-1.45711,-1.90907,-1.37258,-1.48309,-1.38402,-1.64466,-1.07953,-0.028669,0.0897791,-0.0149266,-0.0443001,0.0204157,-0.022599,0.113478,-0.0955918,-0.180214,-0.0475487,0.0181185,-0.134759,-0.0799398,-0.0895381,0.124294,0.164702,0.0515926,0.0119252,-0.00106356,0.0922797,-0.030812,0.00875211,0.0301575,0.0213246,0.0287666,0.00266613,0.0137015,-0.0174212,0.130488,8.32707,0.425144,-0.0299588,-0.0940703,0.0659478,-0.633887,-0.416975,-0.184851,-0.0603916,-0.598693,-0.387904,1.03153,0.775593,0.472482,0.0217435,0.125016,0.255449,-0.025568,0.0908163,0.172776,0.160134,0.143437,-0.000718354,0.208522,-0.229972,-0.0281305,0.0548058,-0.066596,-0.0082605
5614.57,0.949158,0.315582,4,15,0,-5575.08,-1.84161,-1.60589,-1.49987,-1.45302,-1.62079,-1.5287,-1.53394,-1.45844,-1.71549,-1.70887,-1.47215,-1.3796,-1.46567,-1.29079,-1.56261,-1.61641,-1.59388,-1.74727,-1.45528,-1.54891,-1.8431,-1.61205,-1.73574,-1.62311,-1.58167,-1.35316,-1.30343,-1.61567,-1.21561,-1.34968,-1.95919,-1.61133,-1.55532,-1.76972,-1.23572,-1.54793,-1.76385,-1.39236,-1.49289,-1.72728,-1.92675,-1.75261,-1.74966,-1.61387,-1.47698,-1.41266,-2.34105,-1.4157,-1.47149,-1.59183,-1.45673,-1.44411,0.0222104,0.0698242,-0.060145,-0.0260757,0.00436218,-0.00362213,0.118535,-0.0958129,-0.170338,-0.061134,0.0266313,-0.13575,-0.0819071,-0.0887792,0.104294,0.149359,0.0750397,0.00580033,0.0277222,0.0627958,-0.0199079,-0.00149002,0.0297031,0.00422703,0.00240802,-0.00697852,0.00568895,0.00186462,0.111032,8.1942,0.0919088,-0.00782425,-0.0964502,0.0600492,-0.642664,-0.513713,-0.152239,-0.0623436,-0.593144,-0.450134,0.829198,0.642614,0.6466,0.00698933,0.143299,0.173337,-0.0335936,0.0166311,0.124703,0.0192114,0.00309763,-0.0329601,0.103454,0.0246142,0.00760796,0.0554727,-0.419769,-0.00486225
5604.67,0.929129,0.315582,4,15,0,-5572.91,-1.90603,-1.59031,-1.44744,-1.42041,-1.59824,-1.42289,-1.53188,-1.4915,-1.8497,-1.86602,-1.36518,-1.29863,-1.58799,-1.56464,-1.72764,-1.62734,-1.59919,-1.67016,-1.50761,-1.62265,-2.01657,-1.39532,-1.84493,-1.69364,-1.55902,-1.55173,-1.45639,-1.4869,-1.4691,-1.09585,-2.19327,-1.56083,-1.30066,-1.72554,-1.30346,-1.40383,-1.78126,-1.48139,-1.53466,-1.66119,-1.73713,-1.65551,-1.53573,-1.59996,-1.3912,-1.4176,-1.83748,-1.33451,-1.50282,-1.39006,-1.64988,-1.03248,-0.0104305,0.0669996,-0.0685046,-0.00571813,0.0168636,-0.0197887,0.154657,-0.0874933,-0.165138,-0.0648581,0.00847253,-0.139381,-0.0837117,-0.0850086,0.146889,0.163713,0.0551201,0.00339113,-0.00586492,0.0874826,-0.0215801,0.00435551,0.0517422,0.0112756,0.0124751,0.0104902,0.00993836,-0.0255044,0.133278,7.98418,0.355986,-0.0257122,0.0114214,0.0404587,-0.594448,-0.477948,-0.229527,-0.0553588,-0.625615,-0.302936,1.18345,0.772154,0.492575,0.0125014,0.110229,0.243028,-0.00677558,0.0730414,0.241154,0.0813999,0.0611232,0.0283029,0.127385,-0.336675,-0.00133034,0.0558991,-0.501937,-0.00106624
5604.64,0.812375,0.315582,4,15,0,-5551.83,-1.80126,-1.67447,-1.46094,-1.56775,-1.51747,-1.6554,-1.55304,-1.46726,-1.82835,-1.72709,-1.3253,-1.27138,-1.54433,-1.38839,-1.6351,-1.69765,-1.71502,-1.7404,-1.45017,-1.44455,-1.71273,-1.4471,-1.92603,-1.83912,-1.55475,-1.63339,-1.36889,-1.65963,-1.27506,-1.34438,-1.87768,-1.52796,-1.61122,-1.75785,-1.11984,-1.40366,-1.72759,-1.34117,-1.64797,-1.68824,-1.80493,-1.8952,-1.75561,-1.67812,-1.43895,-1.53728,-2.13016,-1.43179,-1.5046,-1.56419,-1.47739,-1.54293,-0.0213084,0.0941301,-0.0508163,-0.0381579,-0.00547146,0.00732846,0.124151,-0.0772455,-0.165981,-0.0656527,-0.00094014,-0.135384,-0.0917365,-0.0837262,0.122004,0.138597,0.0717192,0.00602274,0.0294657,0.0715333,-0.0427485,-0.00479437,0.0202614,0.0156798,0.0195611,0.0127818,0.00177884,-0.019529,0.143285,8.14126,-0.0999794,0.00424679,-0.0212593,0.0340588,-0.623091,-0.509721,-0.236993,-0.0502492,-0.658321,-0.37469,0.972724,0.576639,0.62662,0.0130727,0.158086,0.195621,-0.0734638,0.0341234,0.124995,0.125168,0.106288,0.0443407,-0.00495409,-0.257796,-0.0195181,0.0667473,-0.33864,-0.00711518
