# 0.00935377, 0.00639845, 0.00401935, 0.00813047, 0.00410145, 0.00591449, 0.00669916, 0.00171155, 0.00644417, 0.00803211, 0.0225196, 0.00480775, 0.00385719, 0.0216037, 0.0021422, 0.0500993, 0.00668386, 0.00538305, 0.00623667, 0.00886583, 0.0132666, 0.0096239, 0.00812699, 0.00712572, 0.00852557, 0.0108602, 0.00798263, 0.0135058, 0.00979273, 0.023611, 0.0213012, 0.00502204, 0.00787848, 0.00348723, 0.00337512, 0.0125642, 0.00314372, 0.00588205, 0.00844616, 0.00767649, 0.0382106, 0.00760181, 0.0271096, 0.00940739, 0.00232532, 0.0188078, 0.0667681, 0.00472186, 0.00380112, 0.0115211, 0.00931861, 0.0144889, 0.00199563, 0.00166395, 0.00207616, 0.00218025, 0.000202248, 0.000137208, 0.000182791, 0.000173285, 0.000195541, 0.000244126, 0.000132685, 0.000244377, 0.000173412, 0.000186396, 0.00021885, 0.00013636, 0.000124827, 0.000124482, 0.000150626, 0.000155311, 0.000131803, 0.000129001, 0.000146356, 0.000136861, 0.000142036, 0.000199366, 0.0208166
264.436,0.659521,0.401022,4,15,0,-234.048,6.69356,6.57327,6.84151,6.64334,6.63395,6.87536,6.53638,6.82966,6.28963,6.66321,7.04171,6.91808,6.87241,6.8648,6.48092,6.38277,6.70244,6.43848,6.89509,6.44983,6.64043,6.92753,6.59857,6.32748,6.54232,6.63577,6.78832,6.53478,6.63374,6.89667,6.66873,6.58838,7.03456,6.29444,7.20747,6.51949,6.56246,6.90847,6.83753,6.54031,6.57006,6.87739,6.18237,6.47984,6.75701,6.26315,6.55799,7.14496,6.67788,6.73701,6.89248,6.7393,0.0477604,0.0765961,0.0541774,-0.075686,0.0338193,-0.108948,0.0155844,-0.133347,0.856092,-0.197393,-0.160898,0.0868723,-0.0474803,0.010284,-0.0781484,0.0178769,0.0526677,-0.025342,-0.00319003,-0.00138961,0.00922064,0.0271539,-0.00500988,0.00340882,-0.030494,0.550046,0.20485,0.616693,-0.0439142,0.0478408,0.0407865,1.15019,-0.850286,-2.13243,0.503526,-0.636234,0.225622,-0.0794604,0.107337,0.143889,-0.0789675,-0.0281469,-0.0266218,0.0109085,0.0430397,-0.0938048,-0.0229811,-0.344665,-0.00523463,0.0293713,0.474925,-0.0141263
258.924,0.813097,0.401022,3,7,0,-228.383,6.53637,6.58667,6.80583,6.74127,6.67391,6.91054,6.76567,6.86999,6.28893,6.80675,6.70186,6.9163,6.84301,6.94416,6.54014,6.16271,6.71686,6.58034,6.86965,6.35213,6.59351,6.87604,6.63676,6.43699,6.69463,6.69947,6.73665,6.388,6.38128,6.96892,6.67658,6.61169,6.90245,6.24609,7.32856,6.44413,6.52616,6.81013,6.82946,6.68922,6.53413,7.06883,6.13228,6.51639,6.75598,6.67175,6.10064,7.10167,6.76989,6.75402,6.92228,6.58998,0.0564275,0.0273138,-0.0167456,0.00126939,0.0446145,-0.0931955,0.0210612,-0.150349,0.8398,-0.202771,-0.140599,0.117624,-0.0736098,0.0293231,-0.0540398,0.0235805,0.0648272,-0.00619618,0.0113156,-0.00552134,0.00868667,0.0278985,0.00651284,0.0202579,-0.015084,0.547306,0.26521,0.336281,-0.0245722,0.0825165,-0.00337491,1.12963,-0.907231,-1.77395,0.554136,-0.91402,0.426991,-0.0417316,0.13649,0.17686,0.0154542,0.068304,0.0241898,0.0850165,0.128084,0.0224791,0.28061,-0.170491,0.0313688,0.0193226,-0.124588,0.000236923
251.178,0.973677,0.401022,4,15,0,-217.432,6.2761,6.71536,6.87372,6.68407,6.49325,6.78119,6.63878,6.86004,6.17899,6.54074,6.75049,6.91774,6.82544,6.98093,6.52303,6.33485,6.81437,6.63265,6.99397,6.41326,6.80077,6.91016,6.63324,6.53056,6.51182,6.56738,6.79421,6.54429,6.65278,6.93011,6.34626,6.46255,6.91922,6.33158,7.33228,6.77029,6.50497,6.94122,6.81864,6.58373,5.95991,7.04968,6.58019,6.46116,6.81932,6.7416,6.00001,7.1864,6.7715,6.87894,7.1556,7.18196,-0.0177223,0.144849,0.0596968,-0.0195425,0.036888,-0.100578,0.0346248,-0.179234,0.840049,-0.186728,-0.150549,0.120395,-0.06691,0.025909,-0.0639943,0.0279975,0.0516535,-0.00180863,-0.0221161,-0.00264636,0.0033533,0.0287165,-0.0204968,0.000883033,-0.0215916,0.564583,0.270373,0.37216,-0.0269243,0.107191,-0.0584215,1.12667,-0.864116,-1.8715,0.660204,-0.842306,0.404073,-0.0713723,0.12554,0.141715,-0.0444503,-0.106941,-0.0547962,-0.0417659,0.0240685,-0.158487,-0.0403357,-0.244044,-0.0175734,0.0650873,0.45922,-0.00364747
253.504,0.939741,0.401022,4,15,0,-209.575,6.46171,6.57462,6.72696,6.69083,6.63727,6.94155,6.64984,6.87109,6.47722,6.64122,6.69651,6.93977,6.90053,6.93138,6.47558,6.09322,6.6481,6.51797,6.99959,6.36783,6.64076,6.91184,6.70903,6.5151,6.51453,6.58284,6.70833,6.36076,6.28055,6.91033,6.45201,6.66599,6.88008,6.3351,7.27434,6.51512,6.48657,6.86048,7.05496,6.60934,6.54071,7.02596,6.25548,6.61866,6.78854,6.87126,5.93881,7.0953,6.66737,6.65378,6.91404,6.74882,0.0437623,0.0494415,0.0506368,-0.102322,0.0391199,-0.106509,0.0144651,-0.148829,0.83236,-0.195364,-0.163858,0.0978399,-0.0839856,0.0430272,-0.0746717,0.0170076,0.050887,-0.0168615,-0.0055278,-0.0023887,0.0211774,0.0274126,0.0154465,0.00404637,-0.0217319,0.541998,0.196611,0.603202,-0.0427334,0.0635919,-0.0258532,1.14144,-0.824914,-2.31749,0.358481,-1.07347,0.564189,-0.0615736,0.103577,0.138225,-0.0185074,0.0241682,0.0382891,0.141796,0.118962,0.0363327,0.00904465,-0.24563,-0.0174431,0.0155478,0.475587,-0.0190977
267.473,1,0.401022,3,7,0,-223.761,6.61354,6.57162,6.89163,6.80669,6.76191,6.95522,6.59648,6.82908,6.32383,6.72872,6.92495,6.90274,6.92676,6.595,6.47737,6.23411,6.77323,6.54805,6.9477,6.28841,6.63061,6.80255,6.66071,6.45613,6.67459,6.61597,6.68527,6.60294,6.33263,6.86852,6.72066,6.65532,6.91912,6.20998,7.2513,6.70396,6.47275,6.86381,6.88776,6.62171,6.36096,6.96767,6.10884,6.60733,6.81586,6.70705,6.16206,7.14648,6.66059,6.78184,6.90327,6.74528,0.0316753,0.0317126,0.041185,-0.0760018,0.0377669,-0.0833649,0.018062,-0.143433,0.82862,-0.211854,-0.164787,0.0919659,-0.0906132,0.010456,-0.0623869,0.0277152,0.0506714,0.00111171,0.00778929,0.0163156,0.0346094,0.0314845,0.00342072,0.0196451,-0.0280732,0.563043,0.186393,0.225813,-0.0175543,0.0848902,-0.0268805,1.12383,-0.875059,-2.38898,0.300429,-1.01806,0.204251,-0.0515871,0.127794,0.140738,0.0427362,0.0688881,0.0970623,0.184761,0.106997,-0.0249148,0.238358,-0.317304,-0.0137097,0.00787386,0.379567,-0.0141852
261.117,0.737124,0.401022,4,15,0,-226.28,6.40512,6.63615,6.77243,6.7507,6.58226,6.65894,6.6123,6.71738,6.26938,6.60944,6.53119,6.88994,6.83323,7.16087,6.50299,6.47924,6.84139,6.56331,6.96196,6.5254,6.5453,7.02168,6.67272,6.42609,6.59094,6.72011,6.90959,6.43739,6.86092,6.92672,6.38621,6.40596,6.92615,6.38781,7.19991,6.62436,6.53973,6.79145,6.65313,6.59774,6.05418,6.98497,6.41668,6.31082,6.78994,6.33899,6.11026,7.16489,6.76045,6.6152,6.98386,6.92628,0.031817,0.0961606,-0.011508,-0.0179088,0.0226349,-0.0988851,0.00755518,-0.174363,0.85096,-0.162023,-0.14947,0.103387,-0.0664478,0.0235923,-0.0636853,-0.00597953,0.0649986,-0.00237757,-0.0157679,0.0285263,0.010422,0.00313713,-0.0245241,0.00949389,-0.0219067,0.549164,0.214342,0.397187,-0.0300899,0.0304885,-0.0379368,1.12335,-0.728758,-1.97012,0.536894,-0.836498,0.37655,-0.0756618,0.0776848,0.178778,-0.0410213,-0.0884081,0.0332687,-0.0418195,-0.0894702,-0.170968,0.0942498,-0.247605,0.0124308,0.05623,-0.0667697,-0.00334256
253.116,0.521054,0.401022,3,15,0,-213.998,6.41869,6.74005,6.8365,6.81871,6.6316,7.00272,6.54149,6.84517,6.31291,6.73895,6.94142,6.89903,6.91686,6.76175,6.45717,6.30931,6.96611,6.49868,7.0637,6.28069,6.83537,6.91363,6.47247,6.38032,6.54183,6.70855,6.83567,6.49711,6.58572,7.0502,6.46473,6.62045,6.72709,6.32555,7.24001,6.68928,6.49606,6.71413,6.86621,6.60813,6.27156,6.9059,6.12866,6.65016,6.74941,6.76097,5.91891,7.23166,6.67533,6.98913,6.96359,6.98287,0.0522856,0.104898,0.0454674,-0.0784794,0.0459586,-0.101178,0.0398916,-0.16941,0.85028,-0.165328,-0.164143,0.10189,-0.0639588,0.0136581,-0.073829,0.0181159,0.0605318,-0.00367971,0.00928885,0.0237191,0.0389586,-0.00541943,0.00268373,0.0102559,-0.0408599,0.554478,0.270635,0.437853,-0.0310318,0.123144,-0.0563909,1.13128,-0.676189,-2.2207,0.528007,-0.788306,0.212379,-0.0771042,0.124129,0.166942,-0.00623804,0.0186,0.0527851,0.124325,-0.0922916,-0.0691889,0.0586366,-0.461828,-0.00283243,0.0472449,0.413589,-0.0146477
256.305,0.925835,0.401022,4,15,0,-213.059,6.37874,6.58726,6.76266,6.6918,6.64745,6.73078,6.51657,6.74186,6.27416,6.53007,6.82124,6.91475,6.81946,6.93746,6.42339,6.38061,6.77606,6.45645,6.93991,6.31851,6.312,7.10542,6.66666,6.52587,6.88861,6.61343,6.77985,6.34934,6.65569,6.82635,6.57623,6.45542,6.98732,6.30496,7.26921,6.63053,6.56884,6.99244,6.66571,6.7136,6.27915,7.01834,6.12659,6.22699,6.79822,6.46177,5.88677,7.10589,6.77879,6.56486,6.90989,6.67733,0.0356458,0.048714,-0.0491609,-0.133899,0.0219468,-0.0715426,0.012646,-0.152453,0.848438,-0.181936,-0.142222,0.0910319,-0.0582076,0.0180117,-0.0689057,0.000449932,0.0476223,-0.00943389,-0.00616394,0.015719,0.0339462,0.0343296,-0.015794,0.0243367,-0.0327375,0.563298,0.220085,0.0379018,-0.00496764,0.041719,-0.0091981,1.12527,-0.772825,-1.85543,0.445109,-0.762501,0.308061,-0.0683057,0.0663838,0.132828,-0.0197708,-0.0114557,0.051218,0.130259,0.0622535,-0.132886,0.300405,-0.370023,-0.0269558,0.0407861,-0.227628,-0.0249913
254.886,0.964125,0.401022,4,15,0,-222.123,6.33895,6.56219,6.84113,6.75913,6.76488,6.95868,6.69408,6.83944,6.35287,6.70682,6.99287,7.01041,7.01007,6.81878,6.48917,6.29516,6.6532,6.53089,6.96482,6.38244,6.80165,6.77956,6.65064,6.38511,6.42745,6.63639,6.78339,6.6298,6.55025,6.98816,6.45097,6.55593,6.84012,6.26109,7.18536,6.66389,6.57198,6.65772,6.9126,6.55693,5.82594,6.97171,6.21923,6.71582,6.69224,6.6609,6.13917,7.14099,6.75891,6.93709,7.0215,6.97184,0.0314941,0.0752374,0.0964694,-0.0472726,0.0394277,-0.110435,0.0568649,-0.149516,0.864315,-0.180851,-0.172386,0.0884149,-0.0684456,0.00352297,-0.0590606,0.0111306,0.0549312,-0.00208212,6.89276e-05,0.00755205,0.0147166,0.0105403,0.0103589,0.00745091,-0.018509,0.55254,0.212105,0.465135,-0.0330295,0.18165,0.0113574,1.1428,-0.766701,-2.44585,0.406639,-0.77809,0.133793,-0.0513769,0.0988129,0.149759,0.0126513,0.0244238,0.0481896,0.0845515,0.0423686,0.0205568,0.0706625,-0.209203,-0.00591207,0.017597,0.757844,-0.00882312
252.182,0.893586,0.401022,4,15,0,-213.078,6.46523,6.63422,6.77272,6.71803,6.57931,6.70789,6.50404,6.79087,6.27084,6.63186,6.51771,6.95191,6.84043,6.96543,6.52353,6.57807,6.78953,6.51752,6.98747,6.40226,6.42983,6.96838,6.60553,6.4995,6.86094,6.52115,6.76269,6.43379,6.60438,6.94997,6.58896,6.42128,6.98555,6.29251,7.26397,6.64906,6.50785,6.93368,6.80722,6.65582,6.74744,7.00722,6.58809,6.33173,6.76743,6.6223,6.55333,7.09696,6.78373,6.56278,7.02476,6.63589,0.0456528,0.0538179,-0.0342278,-0.023931,0.020555,-0.0883343,0.000476579,-0.154557,0.849868,-0.164004,-0.148179,0.121081,-0.0655055,-0.00172397,-0.0654095,0.0157772,0.0618416,0.0135093,-0.00568214,0.0390777,0.028198,0.0251903,-0.0377994,0.0211062,-0.0333186,0.570102,0.184095,0.336377,-0.0266674,0.0166632,-0.00979269,1.12025,-0.714461,-1.79506,0.673378,-0.759346,0.105976,-0.0775215,0.11918,0.173716,0.0148228,-0.050984,0.0710831,0.028577,-0.041763,-0.255172,0.248157,-0.376591,0.0180617,0.038663,-0.228033,-0.00446655
