lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,theta.10,theta.11,theta.12,theta.13,theta.14,theta.15,theta.16,theta.17,theta.18,theta.19,theta.20,theta.21,theta.22,theta.23,theta.24,sigma,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,beta.19,beta.20,beta.21,beta.22,beta.23,beta.24
# Adaptation terminated
# Step size = 0.624537
# Diagonal elements of inverse mass matrix:
# 0.000174185, 0.000138184, 0.000165724, 0.000178502, 0.0001466, 0.000144631, 0.000148097, 0.000179405, 0.000172796, 0.000172648, 0.000143872, 0.000125802, 0.000152233, 0.000155107, 0.000161621, 0.000150216, 0.000178312, 0.000179752, 0.000166177, 0.00013416, 0.000151586, 0.000155131, 0.00014407, 0.00015738, 0.000132294, 9.95734e-05
-3003.2,1,0.624537,3,7,0,3014.13,5.87588,0.0416588,0.0209498,0.396258,0.254346,-0.616668,-0.819252,-0.109495,0.851532,-0.0783026,-0.0958912,0.177877,0.236213,0.117956,-0.0256674,0.0117302,0.0898295,-0.024221,-0.00242749,0.0224261,0.0270266,0.0011769,0.00365363,0.0053248,-0.0338956,0.976426,0.236941,-0.0173349,-0.0261382,0.153993,-0.768068,-0.515177,-0.235334,0.963,-0.657305,-0.291893,1.41629,1.01419,0.993763,-0.0226197,0.148492,0.248641,-0.0520775,0.003031,0.0853268,0.127751,-0.0339914,-0.0325388,0.0307279,-0.447443
-3003.48,0.569208,0.624537,3,7,0,3022.81,5.87995,0.0390497,0.00854771,0.389188,0.245904,-0.593942,-0.861368,-0.102715,0.816968,-0.0323706,-0.105353,0.159699,0.205294,0.087336,-0.00962301,0.0186055,0.0829392,-0.0379841,0.0120757,0.0349878,0.0134413,0.0157722,-0.0308793,-0.0213116,-0.00737313,0.971071,0.399838,-0.0284293,-0.112632,0.0553008,-0.846641,-0.803464,-0.183307,0.900756,-0.441821,-0.447883,1.30113,0.918827,0.749188,-0.0186927,0.152712,0.231048,-0.0983353,0.0162096,0.0878129,-0.00311638,-0.028629,-0.221217,-0.388274,-0.0973301
-3002.07,0.806349,0.624537,3,7,0,3016.39,5.87309,0.036182,0.01474,0.397988,0.245638,-0.609293,-0.839947,-0.0970588,0.853617,-0.0705953,-0.0871743,0.182196,0.246595,0.116694,-0.0281924,0.016631,0.0985691,-0.0294923,0.00148261,0.0185065,0.0283497,0.00808778,-0.00350942,-0.0145567,-0.0343633,0.980993,0.306612,-0.0227544,-0.0719427,0.122279,-0.749403,-0.578031,-0.210971,0.964249,-0.629206,-0.203539,1.46995,1.0715,0.98392,-0.0304124,0.17055,0.273545,-0.0762872,-0.00467563,0.0473872,0.109615,-0.0356571,-0.0969795,-0.3196,-0.453618
-3003.59,0.786137,0.624537,3,7,0,3014.04,5.8785,0.0341295,0.0137063,0.390421,0.24871,-0.594952,-0.841261,-0.106779,0.82203,-0.0396526,-0.0994916,0.155478,0.18533,0.100777,-0.00617218,0.0163895,0.0779786,-0.0387256,0.00821214,0.034838,0.0047353,-0.0027618,-0.0258856,0.00284584,-0.0316232,0.967543,0.306473,-0.0222123,-0.0578591,0.0791636,-0.838448,-0.759053,-0.179035,0.906362,-0.492063,-0.410116,1.2545,0.774989,0.853689,-0.0238536,0.141046,0.216221,-0.121116,-0.0230552,0.0558848,-0.0839023,-0.12965,-0.209262,-0.00863071,-0.417447
-3004.73,0.882446,0.624537,3,7,0,3012.15,5.87406,0.0489092,0.0145659,0.40292,0.251674,-0.615602,-0.83899,-0.0955917,0.848951,-0.0717695,-0.100524,0.180056,0.257847,0.101757,-0.0310086,0.0130221,0.102058,-0.0276321,0.000509422,0.0225279,0.03817,0.0191577,-0.0012681,-0.0171622,-0.0177343,0.981153,0.346079,-0.0245155,-0.080824,0.1369,-0.763392,-0.544862,-0.208334,0.959994,-0.606963,-0.323755,1.45982,1.17025,0.867749,-0.0213547,0.168175,0.283401,-0.0443596,0.0329727,0.109223,0.212039,0.0528365,-0.0566742,-0.334557,-0.234104
-3008.05,0.810366,0.624537,3,7,0,3019.12,5.85781,0.023744,-0.00299278,0.405116,0.24453,-0.604228,-0.839472,-0.105187,0.827157,-0.0574992,-0.0887008,0.172168,0.237206,0.0886306,-0.0483737,-0.00460852,0.0655996,-0.0299631,0.00215405,0.0363871,0.0159286,0.00543757,-0.0115064,-0.00769584,0.00373918,0.970973,0.635214,-0.0455844,-0.0699721,0.0648387,-0.75877,-0.57203,-0.22923,0.935094,-0.491151,-0.261865,1.37239,1.09715,0.750595,-0.0353788,0.0815778,0.181602,-0.0541618,0.0303285,0.148352,0.0740518,-0.00228899,-0.0706881,-0.128336,0.0493597
-3007.19,0.909502,0.624537,3,7,0,3019.59,5.89487,0.0589978,0.0333111,0.382564,0.255814,-0.606063,-0.840998,-0.110393,0.841466,-0.0491848,-0.111723,0.166328,0.202757,0.11423,0.0080775,0.0342394,0.109351,-0.0320985,0.00529923,0.0225242,0.02503,0.00978379,-0.016032,-0.0069218,-0.0514484,0.977241,0.000451711,7.59e-05,-0.0597885,0.134041,-0.850946,-0.74123,-0.200671,0.929598,-0.583226,-0.472837,1.35446,0.831829,0.970761,-0.01229,0.221252,0.304194,-0.101737,-0.0249907,0.0215717,0.04199,-0.0793358,-0.194957,-0.217089,-0.679152
-3007.75,0.889956,0.624537,3,7,0,3020.55,5.85973,0.031478,-0.00107806,0.412745,0.248322,-0.612793,-0.840316,-0.0964106,0.830797,-0.0628662,-0.0948901,0.172222,0.236575,0.0879587,-0.0438745,-0.00219645,0.0642669,-0.0269391,0.0238503,0.0325268,0.00667322,0.0132006,-0.0123865,-0.0160608,-0.00187256,0.969722,0.649217,-0.0462193,-0.0693831,0.0943704,-0.780296,-0.575955,-0.194871,0.935582,-0.511011,-0.312201,1.36984,1.10081,0.741347,-0.0335477,0.0853202,0.179693,-0.0417038,0.0874682,0.119195,0.0109744,0.0193774,-0.0945211,-0.285776,-0.024719
-3009.72,0.860144,0.624537,3,7,0,3023.78,5.88739,0.0526321,0.0344854,0.377464,0.262328,-0.588297,-0.837153,-0.106075,0.8388,-0.0496763,-0.101056,0.16016,0.217288,0.131415,-0.00380598,0.0395737,0.111133,-0.0411557,-0.015375,0.0329052,0.0277016,0.00167355,-0.0163039,-0.00248324,-0.0490059,0.975955,-0.0601891,0.00404729,-0.0476516,0.161277,-0.787248,-0.716377,-0.215244,0.934753,-0.5806,-0.38863,1.29324,0.865625,1.11484,-0.0224457,0.234017,0.307239,-0.132992,-0.0861872,0.0638859,0.0538997,-0.114643,-0.187717,-0.134541,-0.646911
-3009.1,1,0.624537,3,7,0,3019.86,5.86916,0.0295643,-0.00588455,0.407776,0.238122,-0.621604,-0.843228,-0.0966595,0.834227,-0.0544551,-0.0990995,0.182439,0.222691,0.0698236,-0.0328506,-0.00834807,0.07028,-0.024758,0.0280363,0.0246195,0.0134021,0.0159905,-0.0109455,-0.0105434,8.67391e-05,0.972123,0.722471,-0.0515546,-0.104358,0.0517135,-0.810244,-0.59669,-0.172384,0.934118,-0.494089,-0.331176,1.47211,1.0653,0.596519,-0.0215421,0.0808702,0.196403,-0.0278942,0.110284,0.103433,0.06661,0.0461996,-0.0766963,-0.185163,0.00114501
