# stan_version_major = 2
# stan_version_minor = 25
# stan_version_patch = 0
# model = sl_normal_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 1
# data
#   file = data/cleaned/tmp/sl_normal_sens_pdw2_all.R.data
# init = 2 (Default)
# random
#   seed = 100605
# output
#   file = output/sl_normal_sens_pdw2_all_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
# stanc_version = stanc3 82a27ba
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,theta.10,theta.11,theta.12,theta.13,theta.14,theta.15,theta.16,theta.17,theta.18,theta.19,theta.20,theta.21,theta.22,theta.23,theta.24,theta.25,theta.26,theta.27,theta.28,sigma,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,beta.19,beta.20,beta.21,beta.22,beta.23,beta.24,beta.25,beta.26,beta.27,beta.28
# Adaptation terminated
# Step size = 0.557458
# Diagonal elements of inverse mass matrix:
# 0.000145458, 0.000173809, 0.000140165, 0.000159951, 0.000149176, 0.000172074, 0.000144003, 0.000158867, 0.000139868, 0.000162765, 0.000150285, 0.00016751, 0.00016338, 0.000145142, 0.000171663, 0.000152941, 0.000148186, 0.0001837, 0.000140788, 0.000152341, 0.000137511, 0.000142441, 0.000150537, 0.000161251, 0.000168669, 0.000177819, 0.000147772, 0.000177274, 0.000169237, 8.0561e-05
-3001.88,0.77963,0.557458,3,7,0,3018.1,5.87152,0.0552228,0.0104183,-0.112387,0.0561517,-0.0768291,-0.0216344,0.356195,0.233411,-0.616604,-0.838269,-0.095254,0.821326,-0.0497917,-0.0967805,0.139962,0.2152,0.0912729,-0.0172446,-0.0064707,0.0919185,-0.0324247,-0.00184524,0.0290399,0.0332676,-0.0102945,-0.0213662,0.00417743,0.00286548,0.964357,0.826726,-0.0521421,-0.516399,0.0426653,0.0407564,-0.00178952,-0.116746,0.0791074,-0.816705,-0.564091,-0.203337,0.925002,-0.52899,-0.402928,1.17489,0.963503,0.788723,-0.0156636,0.11514,0.25556,-0.0786989,-0.00470678,0.0969635,0.14051,-0.102414,-0.120843,0.0788832,0.0378463
-2996.83,0.873359,0.557458,3,7,0,3018.54,5.86612,0.0260832,0.00868687,-0.0722501,0.054019,-0.0955423,-0.0122642,0.381951,0.235076,-0.604254,-0.851703,-0.0769553,0.84744,-0.0415847,-0.0852218,0.155225,0.231958,0.11065,-0.0303575,0.0305249,0.102682,-0.0370116,0.0139208,0.0183174,0.0157826,0.0153,-0.0224582,-0.0142058,-0.0365956,0.980663,0.786455,-0.0561721,-0.398606,0.0384733,-0.0160231,0.00238578,-0.0820097,0.100311,-0.728912,-0.568989,-0.176038,0.960775,-0.510595,-0.257493,1.28418,1.00297,0.943864,-0.0396779,0.205798,0.287326,-0.111777,-0.001464,0.00265584,-0.0083653,-0.0520312,-0.217288,-0.31807,-0.483343
-3006.86,0.597674,0.557458,3,7,0,3016.83,5.86795,0.0500742,0.00511825,-0.107988,0.0471292,-0.0804918,-0.0232687,0.404771,0.243272,-0.61644,-0.841881,-0.0749139,0.785515,-0.0549746,-0.0852048,0.165928,0.240059,0.0791633,-0.0186097,0.0271826,0.113069,-0.0453932,-0.00532815,0.0259529,0.0129206,0.00244143,-0.0278221,-0.0192463,-0.0342093,0.971569,0.709846,-0.0462875,-0.357306,0.0297077,0.0457087,-0.0026742,-0.0476772,0.136177,-0.859741,-0.653943,-0.184325,0.894984,-0.607412,-0.244071,1.43776,1.11897,0.695708,-0.0365584,0.213084,0.31543,-0.15879,-0.0845564,0.004745,-0.0580767,-0.135425,-0.251276,-0.402408,-0.451825
-2998.92,1,0.557458,3,7,0,3015.59,5.86947,0.0527768,0.0146971,-0.103876,0.0519239,-0.107325,-0.0292727,0.379021,0.254747,-0.614621,-0.854915,-0.0839205,0.802436,-0.0481516,-0.0854485,0.148704,0.228836,0.0976677,-0.00919106,0.0165711,0.0936322,-0.0607643,0.00137079,0.0111183,0.0203336,-0.0019026,-0.0259342,-0.0254262,-0.0271352,0.976847,0.70175,-0.0453264,-0.442305,0.0391329,0.0428603,-0.00529188,-0.0757484,0.144197,-0.85855,-0.699031,-0.19658,0.906111,-0.571833,-0.285691,1.2887,1.01188,0.843292,-0.0284033,0.163854,0.260435,-0.19713,-0.0676029,-0.0507419,-0.00946333,-0.148109,-0.233928,-0.498114,-0.358392
-2998.9,0.94991,0.557458,3,7,0,3011.89,5.88644,0.021447,0.0147172,-0.0640746,0.0504695,-0.0823338,-0.0140648,0.378499,0.2198,-0.594524,-0.850788,-0.0929172,0.856233,-0.0323621,-0.105326,0.169824,0.215766,0.0916412,-0.0104461,0.0129368,0.0869743,-0.00438081,0.00497147,0.0359563,0.0161012,0.0155311,-0.0173186,0.00193143,-0.0302184,0.970779,0.646045,-0.0466204,-0.416686,0.0397442,-0.0138762,0.00360009,-0.0811408,0.0378374,-0.71731,-0.579256,-0.188824,0.959828,-0.489604,-0.404398,1.37957,0.97674,0.786763,-0.0143186,0.148772,0.244424,-0.00749566,0.0108195,0.111143,0.0311399,-0.0107817,-0.157128,-0.0220534,-0.399115
-2997.49,0.918896,0.557458,3,7,0,3011.28,5.8741,0.0439247,0.0082807,-0.0739706,0.0741959,-0.0760879,-0.00906495,0.384534,0.245852,-0.612639,-0.842757,-0.0899361,0.829863,-0.0275787,-0.119814,0.139994,0.215963,0.0930135,-0.012326,0.0195417,0.105144,-0.0343387,-0.00187361,0.0158979,0.0274606,0.0155556,-0.0228589,0.00294713,-0.0410508,0.971656,0.967416,-0.0654211,-0.597003,0.0556747,-0.0112804,0.00430711,-0.0580522,0.123353,-0.817747,-0.622089,-0.183603,0.929992,-0.445819,-0.608698,1.18634,0.952247,0.809074,-0.022866,0.186046,0.29336,-0.107936,-0.0413446,0.00826681,0.0704147,-0.041848,-0.209026,-0.0242648,-0.542186
