# stan_version_major = 2
# stan_version_minor = 25
# stan_version_patch = 0
# model = sl_beta_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 4
# data
#   file = data/cleaned/tmp/sl_beta_full_pdw2_all.R.data
# init = 2 (Default)
# random
#   seed = 100605
# output
#   file = output/sl_beta_full_pdw2_all_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
# stanc_version = stanc3 82a27ba
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,theta.10,theta.11,theta.12,theta.13,theta.14,theta.15,theta.16,theta.17,theta.18,theta.19,theta.20,theta.21,theta.22,theta.23,theta.24,theta.25,phi,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,beta.19,beta.20,beta.21,beta.22,beta.23,beta.24,beta.25
# Adaptation terminated
# Step size = 0.557062
# Diagonal elements of inverse mass matrix:
# 0.000177252, 0.000168008, 0.00014793, 0.000146484, 0.000163852, 0.000134384, 0.000135115, 0.000142878, 0.000119391, 0.000162563, 0.000145206, 0.000165624, 0.00015781, 0.000151564, 0.000164234, 0.000164277, 0.000129125, 0.000174381, 0.000143458, 0.000129037, 0.000138171, 0.000137441, 0.000131176, 0.000147148, 0.000121156, 0.000160175, 0.0008015
2476.6,0.946236,0.557062,3,7,0,-2465.63,-1.43596,0.0342188,0.0131587,-0.156513,0.0485726,0.05496,-0.00585005,0.0256675,0.00688195,-0.0499109,-0.119016,-0.177433,0.100904,-0.00462632,0.00747367,-0.0832712,0.0117795,0.0384304,-0.007003,-0.00438433,0.0148914,-0.00631504,0.0262069,-0.0227027,0.0386475,-0.0145463,15.8959,0.511037,-0.02947,-0.320207,0.0224694,0.0279076,-0.000470412,0.122943,-0.00928026,0.1334,-0.586538,-2.13671,0.767996,-0.230229,0.193857,-0.0821829,0.0764014,0.107216,-0.0217386,-0.0171882,0.0406306,-0.0495844,0.0620609,-0.111159,0.571326,-0.165056
2474.96,0.979288,0.557062,3,7,0,-2465.47,-1.43531,0.0140254,0.0363853,-0.145393,0.0233869,0.0328868,-0.0264737,-0.00450427,-0.0223497,-0.0475787,-0.113368,-0.18654,0.0942013,-0.0404759,0.057673,-0.0836007,0.0114246,0.0777766,0.00825285,0.00271827,0.0165985,0.0584552,0.0420269,0.0162695,0.022668,-0.018238,15.4355,-0.0115021,0.00226934,-0.0873963,0.000694262,0.058937,-0.00853205,0.0460613,-0.115036,0.154712,-0.50291,-2.55013,0.428296,-0.778444,0.750701,-0.0578629,0.13161,0.213559,0.107391,0.123842,0.176097,0.374955,0.21395,0.0714774,0.310626,-0.206946
2476.26,0.976806,0.557062,3,7,0,-2463.8,-1.45506,0.0364714,0.0193672,-0.148613,0.0455214,0.0558563,-0.00935413,0.0230055,0.0127158,-0.0512331,-0.116819,-0.169249,0.100907,-0.00607025,0.00499683,-0.0783071,0.0185645,0.0381191,-0.0055765,-0.0073841,0.0208178,-0.00234218,0.0294239,-0.0145465,0.0346498,-0.0252745,15.6107,0.38094,-0.0208815,-0.276833,0.0192305,0.050047,-0.00298491,0.117004,0.00296992,0.124891,-0.57005,-2.01271,0.762045,-0.230208,0.166154,-0.077947,0.0903426,0.106053,-0.0127451,-0.0173971,0.0666173,-0.0287495,0.0717065,-0.0966322,0.481382,-0.286789
2475.51,0.707987,0.557062,3,7,0,-2455.47,-1.46037,0.0297654,0.0155783,-0.148268,0.0412463,0.0477628,-0.0147831,0.00977972,0.012658,-0.0452643,-0.115503,-0.174965,0.0937803,-0.0165417,0.00859511,-0.0886163,0.0381578,0.0393284,-0.0145146,-0.0237672,0.036356,0.0122507,0.029426,-0.0174918,0.0286516,-0.0261671,15.5641,0.427306,-0.0248785,-0.255213,0.0173005,0.0754481,-0.00733664,0.0800416,-0.0181638,0.148133,-0.540544,-2.19273,0.668348,-0.360411,0.217209,-0.0895716,0.132459,0.109679,-0.0391963,-0.0568825,0.120783,0.0287779,0.0552051,-0.121415,0.384767,-0.296917
2476.41,0.962449,0.557062,3,7,0,-2464.32,-1.41713,0.0170082,0.0302913,-0.158262,0.0250949,0.0509021,-0.00588881,0.0284146,-0.0108215,-0.0526909,-0.103846,-0.203786,0.0849966,-0.021133,0.0410654,-0.0743968,0.0134652,0.0621116,-0.0259827,0.00933384,0.0210066,0.0300845,0.048668,0.00993661,0.0252125,0.00667615,16.0038,-0.014401,0.00533622,-0.121353,0.00110066,-0.00868077,0.00297557,0.1355,-0.0605067,0.145045,-0.477213,-2.7371,0.456108,-0.520922,0.573141,-0.0432585,0.112317,0.170059,0.0310062,0.160023,0.211393,0.276091,0.280674,0.0977761,0.41348,0.0757541
2476.51,0.969536,0.557062,3,7,0,-2462.4,-1.42748,0.0157271,0.0316024,-0.149235,0.0450405,0.0326764,-0.0187324,-0.0207582,-0.00374294,-0.0627375,-0.124129,-0.174408,0.105379,-0.0175894,0.0295071,-0.0978726,0.0285562,0.0308878,0.0164167,-0.0187096,0.0301625,0.0145939,0.0313049,-0.0209215,0.0338229,-0.0222968,15.714,0.328403,-0.0207716,-0.242061,0.0183432,0.0845496,-0.0108382,-0.0158802,-0.0558325,0.134523,-0.576361,-2.14727,0.691291,-0.435789,0.416409,-0.0959417,0.101207,0.0871418,0.0461397,-0.0408005,0.104366,0.0462874,0.0676233,-0.124991,0.475881,-0.253001
