lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,theta.10,theta.11,theta.12,theta.13,theta.14,theta.15,theta.16,theta.17,theta.18,theta.19,theta.20,theta.21,theta.22,theta.23,theta.24,theta.25,theta.26,theta.27,theta.28,sigma,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,beta.19,beta.20,beta.21,beta.22,beta.23,beta.24,beta.25,beta.26,beta.27,beta.28
# Adaptation terminated
# Step size = 0.570429
# Diagonal elements of inverse mass matrix:
# 0.000168011, 0.000162323, 0.000155924, 0.000164229, 0.00016694, 0.000157507, 0.000183601, 0.000156083, 0.000162896, 0.000171759, 0.000150171, 0.000180004, 0.000139449, 0.000192448, 0.000133819, 0.000150646, 0.000155075, 0.000163454, 0.000152013, 0.000152615, 0.000165268, 0.000169683, 0.000134891, 0.000172858, 0.000150941, 0.000168475, 0.000151173, 0.000174461, 0.000159253, 8.94431e-05
-2998.8,0.901976,0.570429,3,7,0,3013.81,5.88673,0.0417196,0.0145764,-0.100788,0.0428599,-0.0995818,-0.0407943,0.366394,0.231844,-0.616488,-0.829136,-0.0988154,0.830247,-0.0609292,-0.0862055,0.175639,0.226098,0.0784398,-0.0177267,0.015406,0.0941396,-0.0441206,0.00860036,0.0307863,0.011236,0.000728029,-0.00980533,0.000943828,-0.0163708,0.981874,0.628401,-0.0421276,-0.383167,0.0337575,0.076227,-0.00873362,-0.0817561,0.0745797,-0.770479,-0.483072,-0.22683,0.946023,-0.626348,-0.230245,1.47362,1.05224,0.685386,-0.0171457,0.162732,0.26092,-0.101849,0.0272619,0.100179,0.0202751,-0.0476936,-0.0878176,-0.0137529,-0.21622
-2997.02,0.859166,0.570429,3,7,0,3012.62,5.86808,0.0395534,0.0204122,-0.0691811,0.0631931,-0.0865715,0.00485496,0.384212,0.251942,-0.600666,-0.8715,-0.074307,0.83434,-0.0235119,-0.111432,0.16336,0.226782,0.104642,-0.015351,0.0156425,0.102622,-0.0311639,0.00452535,0.0365074,0.0192719,-0.00570827,-0.027015,-0.00981973,-0.0200952,0.965223,0.701465,-0.0491402,-0.439867,0.0428323,-0.0667087,0.00940839,-0.0872705,0.135268,-0.780227,-0.725256,-0.158835,0.941504,-0.463596,-0.4776,1.35553,0.997051,0.898299,-0.0264305,0.175979,0.287024,-0.0983757,-0.0256144,0.0718609,0.000792318,-0.144187,-0.211146,-0.210214,-0.26541
-2996.49,0.925234,0.570429,3,7,0,3008.84,5.88691,0.0429713,0.00968003,-0.100569,0.0360646,-0.0958283,-0.0396835,0.378042,0.220415,-0.603319,-0.837904,-0.103117,0.819621,-0.0556114,-0.0877468,0.159462,0.209938,0.0899277,-0.00502778,0.0137114,0.0697206,-0.0396944,0.00054279,0.0222159,0.0212843,0.0187362,-0.0129735,-0.0209613,-0.0207518,0.971622,0.579456,-0.0372602,-0.364856,0.030389,0.0732676,-0.00765421,-0.0610149,0.0302921,-0.793504,-0.594995,-0.227498,0.923806,-0.591983,-0.286796,1.31912,0.938956,0.774445,-0.00971188,0.125117,0.194139,-0.100369,-0.00524322,0.0632453,0.0714054,0.0101809,-0.138661,-0.40764,-0.274082
-2997.46,0.934476,0.570429,3,7,0,3008.14,5.87615,0.0275621,0.0188423,-0.0781823,0.0627068,-0.0762317,-0.00658163,0.399476,0.260167,-0.615434,-0.85246,-0.0807458,0.832867,-0.0253258,-0.104273,0.171628,0.236528,0.104943,-0.0316343,0.0151236,0.104505,-0.0392877,0.011827,0.0312798,0.0193319,0.00470347,-0.0102485,-0.00260136,-0.0279939,0.969878,0.669687,-0.0472394,-0.40185,0.0378847,-0.00559527,0.00395508,-0.0268478,0.168552,-0.777999,-0.622274,-0.198,0.950705,-0.449697,-0.390427,1.41423,1.04564,0.898705,-0.030844,0.177217,0.290891,-0.0907746,0.0326654,0.0947197,0.0529492,-0.050149,-0.11494,-0.0977506,-0.369734
-2999.42,0.88486,0.570429,3,7,0,3010.9,5.87671,0.059609,0.00329907,-0.0849482,0.0439588,-0.104151,-0.030335,0.361246,0.221883,-0.602525,-0.853645,-0.103203,0.818681,-0.0639365,-0.0922052,0.151231,0.198812,0.0883878,0.00962124,0.0165027,0.0857703,-0.0297869,-0.00246022,0.0228882,0.0228301,0.00510554,-0.0316747,-0.0262078,-0.0177255,0.969214,0.833903,-0.0553051,-0.445879,0.0409521,0.0203643,-0.0031215,-0.105427,0.0203491,-0.834015,-0.675449,-0.209199,0.914224,-0.657029,-0.347915,1.27258,0.880928,0.767487,-0.00919439,0.153746,0.240755,-0.109989,-0.0628371,0.00914901,0.014069,-0.111913,-0.253165,-0.494419,-0.234113
-2994.6,0.995524,0.570429,3,7,0,3006.78,5.8922,0.0298891,0.016151,-0.0789261,0.0609493,-0.0856124,-0.00738642,0.38688,0.242987,-0.597835,-0.851262,-0.109153,0.832285,-0.0378657,-0.105794,0.157817,0.213814,0.108839,-0.0191489,0.0197909,0.0812232,-0.0351037,0.00568438,0.0216165,0.0209586,-0.00344267,-0.00856173,0.0146283,-0.0312484,0.972409,0.700409,-0.0487959,-0.445385,0.0419865,-0.0295028,0.00515218,-0.0128144,0.0760954,-0.76544,-0.636782,-0.256728,0.944484,-0.507298,-0.443608,1.28834,0.912293,0.924174,-0.021474,0.153896,0.225277,-0.0884875,0.00808166,0.057475,0.0665592,-0.0768134,-0.0917252,0.199634,-0.412719
-3001.82,0.643555,0.570429,3,7,0,3015.06,5.86599,0.0526589,0.0112496,-0.087733,0.029499,-0.099328,-0.0399453,0.378627,0.229394,-0.611519,-0.857636,-0.0609716,0.820731,-0.0180449,-0.0912441,0.165004,0.229335,0.0917739,-0.00808888,0.0174,0.109673,-0.0215317,-0.000940881,0.0384797,0.0151761,0.0101605,-0.043263,-0.0318329,-0.0184183,0.979779,0.568493,-0.0366358,-0.315936,0.0266135,0.084196,-0.0090149,-0.136308,0.11798,-0.825759,-0.709083,-0.122803,0.917804,-0.448242,-0.291827,1.38745,1.04306,0.799725,-0.0279769,0.189286,0.308891,-0.0956741,-0.0707034,0.0461052,-0.0608631,-0.122714,-0.331238,-0.594766,-0.243263
-3004.02,0.892611,0.570429,3,7,0,3018.96,5.89245,0.0256107,0.0202353,-0.0785591,0.0711595,-0.0829863,-0.0188395,0.377851,0.243231,-0.614531,-0.851139,-0.106848,0.836637,-0.0673406,-0.105744,0.156187,0.21648,0.101571,-0.0236446,0.00654644,0.0671855,-0.0469714,0.0059974,0.010263,0.0312294,-0.00242634,-0.00252164,0.0235191,-0.0345484,0.968067,0.758181,-0.0532203,-0.515512,0.0495612,0.0173547,0.000305926,-0.0550013,0.0720939,-0.780744,-0.572659,-0.239787,0.954978,-0.624974,-0.44931,1.29345,0.940981,0.858312,-0.0218568,0.106484,0.18477,-0.110431,0.0212965,0.0335844,0.148537,-0.0518572,-0.0510526,0.350083,-0.456304
-3004.74,0.99509,0.570429,3,7,0,3016.46,5.86228,0.049274,0.00137041,-0.0831012,0.0306388,-0.0888819,-0.0279312,0.378777,0.24706,-0.598825,-0.834201,-0.0759914,0.82526,-0.0111033,-0.10487,0.158253,0.22338,0.108723,0.00142175,0.0131841,0.111171,-0.0210283,0.0238929,0.0314699,0.0173458,0.0138255,-0.0273197,-0.0430464,0.00250556,0.977767,0.699693,-0.0459759,-0.311476,0.0257819,0.0417274,-0.00343588,-0.0481599,0.179133,-0.788675,-0.658696,-0.16527,0.919989,-0.408929,-0.417196,1.2959,0.975475,0.941671,-0.0051752,0.183699,0.313139,-0.0491171,0.0542368,0.07464,0.0191073,-0.0383692,-0.209021,-0.753419,0.0330926
-3006.29,0.86023,0.570429,3,7,0,3024.79,5.88938,0.0329078,0.0285318,-0.0849573,0.0683745,-0.0894127,-0.0135532,0.38209,0.227326,-0.616506,-0.866422,-0.104441,0.831076,-0.0725333,-0.0952996,0.160275,0.2141,0.088043,-0.021962,0.00448392,0.0694681,-0.0431001,-0.0206682,0.0220306,0.0192455,-0.000645197,-0.0133176,0.0225663,-0.0525846,0.971175,0.610177,-0.0422953,-0.51202,0.0489573,-0.00739975,0.00245609,-0.0901731,0.0115244,-0.807085,-0.62134,-0.227324,0.94667,-0.667729,-0.357635,1.35074,0.957322,0.753057,-0.0336408,0.10468,0.191329,-0.14177,-0.101971,0.0302876,0.0231856,-0.101194,-0.149922,0.299839,-0.694519
