lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,theta.10,theta.11,theta.12,theta.13,theta.14,theta.15,theta.16,theta.17,theta.18,theta.19,theta.20,theta.21,theta.22,theta.23,theta.24,sigma,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,beta.19,beta.20,beta.21,beta.22,beta.23,beta.24
# Adaptation terminated
# Step size = 0.537806
# Diagonal elements of inverse mass matrix:
# 0.000136524, 0.000168997, 0.000126187, 0.000141901, 0.000145312, 0.000204007, 0.000125565, 0.000137235, 0.000180338, 0.000159692, 0.00016283, 0.000146403, 0.000190045, 0.000155469, 0.00012465, 0.000157214, 0.000161537, 0.00015332, 0.000161704, 0.000154755, 0.000141755, 0.000136423, 0.000166471, 0.000160102, 0.000165154, 9.29084e-05
-3012.1,0.810386,0.537806,3,7,0,3026.26,5.89389,-0.133879,-0.00905912,0.356899,0.258524,-0.627538,-0.839411,-0.0804738,0.842576,-0.0803499,-0.0941869,0.18233,0.224483,0.0899246,-0.035066,0.0230321,0.0686999,-0.0310843,0.0102849,0.0350274,0.0139016,-0.00753654,-0.0233512,-0.0195914,0.00130729,0.976659,0.0402583,-0.00425161,-0.129956,0.151719,-0.788445,-0.537286,-0.145558,0.959036,-0.630711,-0.291603,1.46624,1.02969,0.759681,-0.0371444,0.13818,0.185405,-0.0847439,0.008119,0.0877427,0.000795051,-0.1167,-0.158686,-0.341894,0.0172509
-3013.84,0.871725,0.537806,3,7,0,3030.23,5.88474,-0.113372,-0.00271991,0.359676,0.242708,-0.610672,-0.834552,-0.0740344,0.805979,-0.0741451,-0.113393,0.170061,0.224868,0.0854009,-0.0366156,0.034594,0.0602463,-0.028984,0.0122127,0.0443621,0.0312956,0.0199483,0.0124406,-0.011183,-0.02528,0.988488,0.0469434,-0.00256655,-0.156422,0.107735,-0.796462,-0.599235,-0.134596,0.920291,-0.532221,-0.486143,1.32452,1.04701,0.718579,-0.017413,0.149092,0.159454,-0.0187016,0.101641,0.221301,0.198841,0.0858453,0.0188096,-0.24325,-0.333594
-3012.28,0.904293,0.537806,3,7,0,3028.52,5.87215,-0.146351,-0.00295833,0.392496,0.24885,-0.606539,-0.845589,-0.103688,0.865745,-0.036338,-0.115044,0.185531,0.227186,0.0857608,-0.0292252,0.0247134,0.0948361,-0.0103871,-0.0100396,0.0379064,0.00774268,-0.00223767,-0.0284656,-0.0158248,-0.0179491,0.963413,-0.0320596,0.00215434,-0.0295879,0.111567,-0.740211,-0.568315,-0.209411,0.971498,-0.459215,-0.465877,1.50816,1.05173,0.739904,-0.0408502,0.176019,0.257314,-0.0612981,-0.0808506,0.0694924,-0.0672924,-0.129373,-0.219657,-0.311279,-0.236856
-3011.06,1,0.537806,3,7,0,3021.38,5.88192,-0.103528,0.000585374,0.364773,0.242679,-0.599779,-0.853022,-0.0924324,0.793067,-0.0752529,-0.0857259,0.149764,0.207093,0.114562,-0.00893567,0.00532404,0.0852642,-0.057836,0.0132284,0.0222378,0.0333103,0.0183504,0.00231426,0.00231193,-0.0244565,0.98327,0.00997992,0.00147334,-0.0958637,0.0838402,-0.842435,-0.744654,-0.186648,0.897299,-0.617602,-0.2639,1.196,0.856278,0.988844,-0.000599487,0.123219,0.22881,-0.107517,0.0792019,0.116528,0.196859,0.0655644,-0.02687,-0.00456063,-0.322727
-3009.37,1,0.537806,3,7,0,3022.02,5.87671,-0.096276,-0.00190221,0.357618,0.244263,-0.607544,-0.863025,-0.10309,0.807886,-0.073654,-0.0862253,0.152859,0.214545,0.11525,-0.00459803,0.00288669,0.0857652,-0.0585642,0.0191179,0.0187739,0.0262,0.00596776,-0.0021831,-0.00197322,-0.0318724,0.978342,0.0170726,0.00104635,-0.106476,0.0854697,-0.856087,-0.750051,-0.218547,0.909319,-0.631392,-0.258461,1.24744,0.897987,0.989793,-0.00683198,0.119495,0.23083,-0.132039,0.0597779,0.059318,0.111277,-0.027427,-0.0715068,-0.0935734,-0.420587
-3010.03,0.991431,0.537806,3,7,0,3016.98,5.87778,-0.147887,-0.00142423,0.399717,0.246236,-0.604925,-0.833548,-0.0925722,0.848392,-0.0343743,-0.117962,0.184007,0.226138,0.0849011,-0.0296134,0.034671,0.0928809,-0.0125774,-0.0117921,0.0374295,0.0148871,0.0101636,-0.022749,-0.0153802,-0.0166948,0.966845,-0.0325494,0.00223198,-0.0251757,0.124778,-0.751465,-0.573711,-0.181719,0.955312,-0.438133,-0.496051,1.48097,1.04569,0.735384,-0.0338457,0.193311,0.251485,-0.0482177,-0.0577996,0.10167,0.00895691,-0.0467558,-0.182516,-0.301148,-0.220303
-3011.41,0.982275,0.537806,3,7,0,3023.66,5.87267,-0.0961785,-0.0082163,0.364136,0.232275,-0.606993,-0.860081,-0.0996151,0.810841,-0.0718777,-0.07679,0.15652,0.214615,0.115622,-0.00358722,-0.00365339,0.087167,-0.0570561,0.0182196,0.024516,0.0229886,-0.012027,-0.00319975,0.00728338,-0.0245878,0.982626,0.0301309,-0.000653691,-0.102522,0.0648166,-0.842374,-0.731611,-0.208611,0.912206,-0.636533,-0.163567,1.28153,0.900221,0.991775,-0.00684278,0.108535,0.234497,-0.131928,0.0524938,0.0739164,0.0840205,-0.104349,-0.0552193,0.0825677,-0.32446
-3006.24,0.963962,0.537806,3,7,0,3023.43,5.8821,-0.137602,0.00133485,0.395508,0.264639,-0.606985,-0.84116,-0.095509,0.82196,-0.0386938,-0.0970166,0.163411,0.214493,0.0853512,-0.0266763,0.0396479,0.0922595,-0.0155111,0.00612433,0.0450822,0.0220504,0.0215649,-0.00130938,-0.0200295,-0.0323288,0.967704,-0.00881652,0.00115383,-0.013196,0.136486,-0.808805,-0.631847,-0.19158,0.919934,-0.398017,-0.351516,1.28809,0.986389,0.734926,-0.0207773,0.201669,0.247376,-0.0167424,0.0407368,0.174899,0.0930678,0.0390423,-0.0856686,-0.411747,-0.426609
-3005.64,0.920415,0.537806,3,7,0,3015.78,5.8714,-0.106425,-0.00369863,0.362371,0.22638,-0.604935,-0.853265,-0.0998862,0.83933,-0.0677506,-0.103353,0.172745,0.214633,0.11395,-0.0067469,-0.00809829,0.0868168,-0.0503999,0.000616817,0.0103535,0.0189376,-0.00658584,-0.0218251,0.00597985,-0.0169301,0.974239,-0.0135769,0.00290788,-0.108932,0.0656481,-0.790014,-0.681753,-0.195354,0.947916,-0.662089,-0.373931,1.42607,0.896266,0.983161,-0.018339,0.0993492,0.235991,-0.149271,-0.0379031,-0.0132219,0.0313001,-0.11261,-0.15533,0.0738089,-0.223409
-3004.54,0.893792,0.537806,3,7,0,3017.61,5.88682,-0.136508,0.0085124,0.388036,0.262125,-0.606111,-0.848578,-0.109691,0.816726,-0.0516461,-0.0946454,0.166216,0.226272,0.0831695,-0.0318758,0.0364766,0.0899816,-0.0254543,0.00317822,0.0486513,0.0296339,0.0202054,-0.000692156,-0.0166558,-0.0273,0.972631,-0.0231141,0.00306646,-0.0245539,0.104122,-0.80561,-0.619586,-0.249028,0.921382,-0.451307,-0.321074,1.31964,1.05439,0.71651,-0.0217063,0.192417,0.241001,-0.0328403,0.0459389,0.204269,0.148945,0.0448078,-0.0695832,-0.343164,-0.360249
