# 0.00280366, 0.00207888, 0.0017669, 0.0030636, 0.00387341, 0.00452895, 0.00480625, 0.00120156, 0.00553505, 0.00620796, 0.0120129, 0.00248238, 0.0022576, 0.0107088, 0.00267571, 0.00489103, 0.00597099, 0.00516104, 0.00318465, 0.00532996, 0.00944766, 0.00556862, 0.00415644, 0.00393204, 0.00319541, 0.00690421, 0.00383607, 0.0106922, 0.00640798, 0.0122414, 0.0115935, 0.00442842, 0.00563692, 0.00199242, 0.00239928, 0.0114409, 0.00201982, 0.00460975, 0.00599897, 0.00271932, 0.0127434, 0.0046612, 0.011332, 0.00435605, 0.00130929, 0.00751691, 0.0167055, 0.00273263, 0.00402879, 0.00542315, 0.00354727, 0.0142572, 0.000685959, 0.000596799, 0.000705879, 0.000677926, 0.000143274, 0.000141824, 0.000123216, 0.000120113, 0.000136333, 0.000128074, 0.000115978, 0.000129315, 0.000147112, 0.000110755, 0.000129446, 0.000111933, 0.000143464, 0.000142955, 0.000104112, 0.00010563, 0.000102386, 0.000106462, 9.88469e-05, 0.000112347, 0.000106951, 0.00010373, 0.000101176, 0.000113363, 0.0220791, 0.000316355
5605.42,0.907216,0.333274,4,15,0,-5568.28,-1.78029,-1.66509,-1.42726,-1.53073,-1.67581,-1.5944,-1.63633,-1.51612,-1.83466,-1.7277,-1.37595,-1.381,-1.48432,-1.61972,-1.64485,-1.7037,-1.57564,-1.7007,-1.42235,-1.55427,-1.74558,-1.59296,-1.73358,-1.80203,-1.57999,-1.50328,-1.46389,-1.85503,-1.26411,-1.17649,-2.05914,-1.62092,-1.46832,-1.83787,-1.24608,-1.38741,-1.75318,-1.50466,-1.58218,-1.68437,-1.6422,-1.81005,-1.7633,-1.52159,-1.45335,-1.61838,-2.11189,-1.36673,-1.47718,-1.39057,-1.60905,-1.38882,-0.023457,0.0827339,-0.0153807,-0.0241551,-0.0708602,0.0334929,0.125557,-0.109231,-0.178602,-0.0657819,0.00767728,-0.128409,-0.0911706,-0.0994238,0.116096,0.147987,0.072829,-0.00815127,0.000327932,0.0777711,-0.0188508,0.00514371,0.0315881,0.0064422,0.0155016,-0.0159613,-0.0205615,-0.0125302,0.142964,8.51473,-0.103485,0.00748146,-0.0717124,0.0324297,-0.668588,-0.521869,-0.201613,-0.055941,-0.620288,-0.525208,0.927955,0.639787,0.635365,-0.0101499,0.105821,0.215086,-0.0488657,0.00409859,0.091202,-0.0171242,-0.000511304,-0.141022,-0.385197,-0.16534,-0.0181125,0.05076,-0.0899741,-0.00450413
5600.27,0.913493,0.333274,4,15,0,-5556.91,-1.74539,-1.62973,-1.51089,-1.35755,-1.66252,-1.48548,-1.39132,-1.42177,-1.8443,-1.69011,-1.44689,-1.30238,-1.66249,-1.34792,-1.63813,-1.69715,-1.65716,-1.72316,-1.55637,-1.6133,-1.86452,-1.39576,-1.68948,-1.67683,-1.55939,-1.5172,-1.37119,-1.41258,-1.4175,-1.51084,-1.8022,-1.43118,-1.54087,-1.64869,-1.19721,-1.5051,-1.7634,-1.31332,-1.59651,-1.59547,-1.89172,-1.7192,-1.78427,-1.64437,-1.44784,-1.27177,-2.16084,-1.35788,-1.54263,-1.60282,-1.59244,-1.30597,-0.0527243,0.0719971,-0.0359512,-0.0801038,-0.0564967,0.0387217,0.120795,-0.106882,-0.144268,-0.0447885,0.00835141,-0.129303,-0.0829949,-0.0779899,0.14506,0.180731,0.0572972,0.010896,0.0304608,0.0783319,-0.043145,0.00750314,0.0373712,0.0114177,0.00433144,0.0111573,0.0318107,-0.0218148,0.131991,7.76245,-0.144134,0.0129334,-0.0407946,0.0535465,-0.540637,-0.414479,-0.226978,-0.0509024,-0.641992,-0.240055,1.19207,0.851696,0.514549,0.0221071,0.166509,0.211379,-0.0612545,0.0805592,0.19245,0.0983728,0.0481804,0.0632563,0.51976,-0.287854,-0.0528743,0.0508202,-0.186819,-0.0149367
5608.47,0.988118,0.333274,4,15,0,-5562.05,-1.7733,-1.61694,-1.50578,-1.47833,-1.53762,-1.55362,-1.67148,-1.48643,-1.87031,-1.79168,-1.47588,-1.349,-1.40955,-1.47725,-1.61658,-1.65729,-1.64181,-1.72371,-1.43483,-1.53167,-1.83344,-1.61293,-1.75412,-1.71333,-1.61775,-1.38517,-1.45548,-1.7552,-1.35157,-1.17756,-2.12752,-1.59568,-1.39263,-1.85626,-1.27631,-1.40486,-1.78672,-1.55134,-1.55563,-1.71189,-1.6895,-1.77102,-1.71064,-1.53078,-1.42676,-1.64828,-2.00794,-1.40937,-1.48626,-1.44522,-1.61363,-1.23957,0.0072712,0.0686557,-0.0434844,0.0318057,-0.0648447,0.0453372,0.121134,-0.106471,-0.172182,-0.076412,0.0111257,-0.128432,-0.0898566,-0.0936866,0.105661,0.146119,0.0579123,0.0168643,-0.000986346,0.0785729,-0.0195032,0.00644989,0.0241434,0.0137571,0.016289,-0.00239484,-0.0206178,0.000760534,0.144623,8.50193,-0.224368,0.0194281,-0.0996721,0.0202357,-0.680492,-0.552136,-0.170004,-0.0692222,-0.622447,-0.49017,0.869729,0.665499,0.519747,0.0210741,0.104058,0.216184,-0.0244741,0.0469021,0.111501,0.0818072,0.0605299,-0.0353132,-0.361613,0.0100355,0.0200954,0.049757,-0.353816,0.0059307
5600.85,0.780964,0.333274,4,15,0,-5565.82,-1.70497,-1.59991,-1.51666,-1.4821,-1.62395,-1.50838,-1.34237,-1.43223,-1.85607,-1.66491,-1.43169,-1.3579,-1.62258,-1.59617,-1.66769,-1.70849,-1.51283,-1.72446,-1.53956,-1.60895,-1.81095,-1.41422,-1.73275,-1.62602,-1.57301,-1.52183,-1.34696,-1.47547,-1.36343,-1.52385,-1.7186,-1.54851,-1.60894,-1.67184,-1.19987,-1.50998,-1.70257,-1.31396,-1.56378,-1.61062,-1.90071,-1.65011,-1.79574,-1.58031,-1.45435,-1.44647,-2.01455,-1.37946,-1.52479,-1.54148,-1.51093,-1.45528,-0.028094,0.0269334,0.00435129,-0.0227844,-0.0439656,0.0380961,0.137568,-0.10751,-0.149793,-0.0414655,0.00522626,-0.108209,-0.0511256,-0.0700284,0.124313,0.175077,0.0619626,-0.00815729,0.0301475,0.0761946,-0.0364505,0.00502525,0.042137,0.01413,-0.00480078,-0.0086741,0.0226818,-0.0325407,0.130511,7.74083,-0.164857,0.0158263,0.00228783,0.0485466,-0.524635,-0.370779,-0.233473,-0.0390861,-0.452142,-0.228691,1.02743,0.811629,0.539555,-0.00914135,0.164075,0.207938,-0.0841323,0.0154717,0.140719,0.0286308,-0.078179,-0.0857749,0.339195,-0.429386,-0.022671,0.0141895,0.054878,-0.00424853
5609.44,0.983385,0.333274,4,15,0,-5561.78,-1.82658,-1.60354,-1.41599,-1.54505,-1.50906,-1.54211,-1.63953,-1.53074,-1.77073,-1.84167,-1.48065,-1.32079,-1.50501,-1.32599,-1.6407,-1.65695,-1.68433,-1.69561,-1.3794,-1.55965,-1.78688,-1.57263,-1.76185,-1.83661,-1.58718,-1.40566,-1.40317,-1.69926,-1.30731,-1.47175,-2.05362,-1.52171,-1.42898,-1.82198,-1.27563,-1.41894,-1.78519,-1.48091,-1.49331,-1.69947,-1.73592,-1.73397,-1.59684,-1.59284,-1.52053,-1.60746,-1.89169,-1.36991,-1.4651,-1.36461,-1.59931,-1.22019,-0.041449,0.0891318,-0.0290858,0.0162955,-0.0721133,0.0285308,0.10967,-0.110976,-0.167456,-0.0666553,0.0148385,-0.140798,-0.0983991,-0.0919182,0.119182,0.157299,0.0668969,0.0144835,0.000851618,0.0758312,-0.0236241,-0.0020283,0.028878,0.0167937,0.0271876,0.00489164,-0.01246,-0.00138824,0.118267,8.51739,-0.0760941,0.00443916,-0.116917,0.0353168,-0.663533,-0.541798,-0.181547,-0.0714456,-0.678379,-0.433699,0.958265,0.703078,0.59888,0.0261675,0.103352,0.207385,-0.0173035,0.0521605,0.165847,0.137166,0.141647,0.0138369,-0.221951,-0.0183184,-0.0114326,0.0575688,-0.231714,0.00303857
5607.46,0.984206,0.333274,4,15,0,-5572.09,-1.82941,-1.61877,-1.55044,-1.46474,-1.69351,-1.52164,-1.37842,-1.47031,-1.8013,-1.62051,-1.58948,-1.38854,-1.58347,-1.53604,-1.71872,-1.72837,-1.4712,-1.63116,-1.61432,-1.66902,-1.78489,-1.52453,-1.71258,-1.52697,-1.5486,-1.44107,-1.41681,-1.40361,-1.39698,-1.14704,-1.83256,-1.56315,-1.51267,-1.76287,-1.19845,-1.33853,-1.72321,-1.43497,-1.52585,-1.62884,-1.98418,-1.76476,-1.75535,-1.62513,-1.41026,-1.30139,-1.99159,-1.3671,-1.50944,-1.65332,-1.5059,-1.19355,-0.0274406,0.0895768,-0.041318,-0.0185677,-0.0376223,0.0499129,0.126255,-0.112881,-0.148398,-0.0630442,0.0093661,-0.137318,-0.0922613,-0.0802453,0.13323,0.163612,0.065086,0.018096,0.0282867,0.0723668,-0.0260553,0.0151584,0.0396999,-0.00295188,0.00467122,0.00831618,0.0158804,-0.0181013,0.133264,7.989,-0.217774,0.0222314,-0.0525932,0.0262612,-0.602781,-0.521574,-0.20772,-0.0666585,-0.672625,-0.290901,1.06866,0.749254,0.574551,0.024387,0.154203,0.195843,-0.0270979,0.0866117,0.178879,-0.00366167,0.0328182,0.0354881,0.246139,-0.238853,-0.0162093,0.0614521,-0.28772,-0.00346225
5608.36,0.857191,0.333274,4,15,0,-5562.79,-1.70718,-1.53598,-1.46757,-1.47065,-1.51055,-1.43381,-1.64702,-1.44399,-1.84798,-1.84568,-1.4991,-1.266,-1.46971,-1.35198,-1.56263,-1.67012,-1.76642,-1.82397,-1.40606,-1.43272,-1.75648,-1.55326,-1.73305,-1.88934,-1.58428,-1.43172,-1.35564,-1.63317,-1.27399,-1.42981,-1.98274,-1.45805,-1.37434,-1.74625,-1.24259,-1.64562,-1.77721,-1.44198,-1.46893,-1.69578,-1.64296,-1.73508,-1.67267,-1.55412,-1.46628,-1.62618,-1.99057,-1.39185,-1.45642,-1.57702,-1.65963,-1.24814,0.0223915,0.0820568,-0.0125868,-0.0160962,-0.0765415,0.02145,0.116093,-0.0922262,-0.163125,-0.0537679,0.00276819,-0.125009,-0.0976306,-0.0959074,0.120651,0.158076,0.0647843,0.00943937,0.00113325,0.0728046,-0.0346138,-0.00658095,0.0272948,0.0216116,0.0153142,-0.00686463,-0.00745415,-0.00900278,0.146418,8.23048,-0.0391051,0.000330229,-0.0471591,0.0740151,-0.615973,-0.459612,-0.213916,-0.0529601,-0.686688,-0.476237,0.997405,0.706988,0.575031,0.0113671,0.100577,0.200122,-0.0714093,0.00131102,0.11754,0.113879,0.0409221,-0.0655474,-0.147892,-0.118795,0.008484,0.0495492,-0.077277,-0.00300141
5606.28,0.923299,0.333274,4,15,0,-5565.71,-1.82803,-1.65794,-1.52909,-1.54067,-1.68484,-1.53438,-1.42816,-1.49495,-1.88028,-1.60691,-1.51575,-1.40325,-1.66063,-1.55543,-1.77298,-1.72935,-1.49908,-1.66888,-1.57594,-1.671,-1.87361,-1.50773,-1.71125,-1.56038,-1.54321,-1.42694,-1.43936,-1.60529,-1.41724,-1.155,-1.95858,-1.58764,-1.56723,-1.74995,-1.18653,-1.33838,-1.7628,-1.43801,-1.70075,-1.59384,-1.9482,-1.75331,-1.84301,-1.63905,-1.42905,-1.39707,-2.19188,-1.38566,-1.58183,-1.53928,-1.56104,-1.24325,-0.0481604,0.0935387,-0.0309247,-0.0260161,-0.0346316,0.0581146,0.140062,-0.126421,-0.160696,-0.065336,0.0139882,-0.133095,-0.0678143,-0.0719088,0.13154,0.171499,0.0664305,-0.00311069,0.0247672,0.0726596,-0.0340365,0.0168631,0.039263,0.00182186,0.00615185,0.00982165,0.0166228,-0.0216679,0.122426,8.21643,-0.251344,0.0262205,-0.0612018,-0.00472588,-0.605663,-0.505299,-0.212402,-0.059265,-0.527597,-0.222657,1.05447,0.786003,0.581879,0.00800811,0.147409,0.196382,-0.0432125,0.0957488,0.181357,0.0262244,0.0395359,0.0391113,0.252617,-0.285915,-0.0303329,0.0609833,-0.203306,-0.00485114
5608.19,0.970575,0.333274,4,15,0,-5562.77,-1.79118,-1.62132,-1.47258,-1.4852,-1.52684,-1.41511,-1.57638,-1.41646,-1.82092,-1.76127,-1.58287,-1.29135,-1.44996,-1.44214,-1.69635,-1.64572,-1.62801,-1.63807,-1.39399,-1.59117,-1.74652,-1.53259,-1.8469,-1.80705,-1.59392,-1.50633,-1.34582,-1.58229,-1.43004,-1.20761,-1.97221,-1.41025,-1.35216,-1.70034,-1.25522,-1.47015,-1.81272,-1.44428,-1.33022,-1.77437,-1.70075,-1.6805,-1.56512,-1.57321,-1.48489,-1.6946,-1.94128,-1.33566,-1.45648,-1.49256,-1.64169,-1.30243,-0.00398144,0.0692663,0.0248631,0.0375716,-0.0774386,0.0398096,0.127747,-0.0971567,-0.157312,-0.0484334,0.0105522,-0.137786,-0.10743,-0.0757381,0.124332,0.155927,0.047734,0.00652215,0.0191829,0.0788,-0.0216517,-0.00996396,0.0301466,0.00792246,0.0176786,-0.00269667,0.00629862,-0.0174352,0.12686,7.93409,-0.157476,0.0122577,-0.0350631,0.0489608,-0.602783,-0.423428,-0.189772,-0.0655827,-0.71499,-0.288661,1.02556,0.737222,0.437551,0.00998739,0.144665,0.215842,-0.0393667,-0.00644483,0.131554,0.0445424,0.0642444,-0.0404109,0.0786634,-0.230064,0.0117982,0.0318186,0.146909,0.00700586
5621.9,0.961748,0.333274,4,15,0,-5575.82,-1.87496,-1.63748,-1.52563,-1.52316,-1.6577,-1.60359,-1.54994,-1.46618,-1.763,-1.78298,-1.47876,-1.40362,-1.66427,-1.43241,-1.68121,-1.79766,-1.67265,-1.66285,-1.52855,-1.55298,-1.75267,-1.52248,-1.76156,-1.64693,-1.59296,-1.59005,-1.41689,-1.5789,-1.21625,-1.30304,-1.99105,-1.65004,-1.51887,-1.77574,-1.11415,-1.39256,-1.73736,-1.4322,-1.66331,-1.65355,-1.96521,-1.72007,-1.76837,-1.63216,-1.37793,-1.40689,-2.1762,-1.43161,-1.55196,-1.63418,-1.55532,-1.20269,-0.0552314,0.10213,-0.00661088,-0.0346511,-0.0407279,0.0525466,0.135868,-0.111796,-0.15866,-0.046189,0.00342362,-0.129022,-0.0822065,-0.0870805,0.132242,0.164801,0.0738379,-0.00609589,0.00917819,0.0736714,-0.0307411,0.0138345,0.0418867,0.00665703,0.0101044,-0.0032326,0.00431362,-0.0157037,0.138134,8.27745,-0.217087,0.0221655,-0.00830138,0.0442645,-0.584651,-0.442493,-0.237813,-0.0513776,-0.597365,-0.361188,1.05079,0.732133,0.643981,0.00122836,0.117469,0.200807,-0.0472695,0.0698814,0.171001,0.0261199,0.0237321,-0.0427316,0.0469149,-0.207216,-0.0386295,0.0594131,-0.0145625,-0.00646127
