# 0.00892339, 0.00643117, 0.00447593, 0.00702128, 0.00404282, 0.00455053, 0.00656743, 0.00181184, 0.00591491, 0.00984589, 0.0370154, 0.00564427, 0.00464046, 0.0174333, 0.00243686, 0.0424224, 0.00950295, 0.00644342, 0.00696764, 0.00873126, 0.0144425, 0.0102308, 0.00803922, 0.00643903, 0.00974679, 0.0138421, 0.0070017, 0.0147041, 0.0124195, 0.023723, 0.0172284, 0.00589319, 0.00792676, 0.00310461, 0.00301732, 0.0141639, 0.00341077, 0.0055463, 0.010711, 0.00789745, 0.0433133, 0.00738511, 0.0300714, 0.00862566, 0.00241699, 0.0163235, 0.0559335, 0.00493657, 0.0042848, 0.00955956, 0.00779211, 0.014702, 0.00163704, 0.00136064, 0.00207531, 0.00200176, 0.00020066, 0.000153711, 0.000217664, 0.00018031, 0.000203336, 0.000228986, 0.000136632, 0.000231334, 0.000201835, 0.000156454, 0.00020454, 0.000128835, 0.000140545, 0.000133022, 0.000125254, 0.000145399, 0.000137548, 0.000140347, 0.000179103, 0.000161493, 0.000150949, 0.000215731, 0.0178494
265.129,0.998287,0.352011,4,15,0,-225.799,6.35161,6.61152,6.83508,6.70173,6.74672,6.75764,6.65727,6.8273,6.27746,6.6886,6.76878,6.89767,6.96753,6.7689,6.47557,6.05809,6.9249,6.4317,6.98654,6.57935,6.76894,6.9414,6.59376,6.59194,6.62472,6.77246,6.97488,6.51085,6.72822,6.89355,6.51917,6.51986,6.98116,6.23673,7.37527,6.64232,6.515,6.74295,6.77893,6.71134,6.14718,6.99985,6.16914,6.28482,6.79621,6.36407,6.00662,7.13547,6.73909,6.84798,6.97252,7.11667,0.0792263,0.0874477,0.0621147,-0.0274368,0.175933,-0.102924,0.00878427,-0.143736,0.849462,-0.194178,-0.145652,0.0930947,-0.0773381,0.0124591,-0.0653189,0.00464036,0.0587107,-0.00614884,-0.00255882,0.00381133,0.0279578,0.0197145,-0.0202716,0.00993667,-0.014103,0.549028,0.23314,-0.05113,0.00434774,0.0551943,-0.0781788,1.14864,-0.822524,-2.03418,0.407002,-0.883674,0.235465,-0.0659599,0.0855438,0.155667,-0.0246336,-0.0212146,-0.0056476,0.0926701,0.0110967,-0.129448,0.120878,-0.159342,0.0286557,0.0328463,0.484948,-0.00512088
262.109,0.637405,0.352011,4,15,0,-221.328,6.31723,6.67408,6.83006,6.75585,6.71952,6.77472,6.58126,6.81526,6.26967,6.6767,6.73549,6.86379,6.91016,6.74669,6.48568,6.1053,6.90543,6.45055,6.95954,6.51878,6.69616,6.90163,6.62978,6.59705,6.59938,6.70525,6.99435,6.46804,6.6507,6.94284,6.48709,6.52002,6.99782,6.2235,7.39912,6.62974,6.51203,6.77973,6.77673,6.73458,6.19059,6.94203,6.21792,6.24877,6.83192,6.34567,6.18281,7.13007,6.69976,6.85969,6.96154,7.09644,0.0675067,0.0858141,0.0847206,-0.0417504,0.177971,-0.0988293,0.011494,-0.138683,0.853016,-0.194863,-0.145195,0.0982383,-0.0827447,0.0120734,-0.0684416,9.27735e-06,0.0507498,-0.00262112,-0.000679964,0.00477526,0.0326786,0.0206498,-0.0182017,0.0110212,-0.0130289,0.547154,0.221184,-0.0601324,0.00597873,0.0680108,-0.0756076,1.15624,-0.810816,-2.01454,0.415125,-0.929291,0.215536,-0.0663485,0.065383,0.134089,-0.00675148,-0.00483945,0.0093531,0.125891,0.0242154,-0.114717,0.14062,-0.147206,0.0157917,0.0263615,0.665784,-0.00779242
256.153,0.849542,0.352011,4,15,0,-221.832,6.73467,6.46588,6.82696,6.52825,6.63321,6.91614,6.67771,6.80969,6.30529,6.7807,6.89083,6.95664,7.04549,6.88536,6.48474,6.36595,6.71522,6.57969,7.03418,6.23146,6.70248,7.01675,6.71329,6.34644,6.63935,6.646,6.51384,6.48444,6.63264,6.78659,6.70689,6.54083,6.80565,6.34376,7.19953,6.67845,6.49988,6.84487,6.7365,6.60917,6.13739,7.03971,6.0506,6.59094,6.73945,6.53137,6.36314,7.23477,6.60742,6.62024,6.9254,6.68572,-0.0473348,0.0561027,0.0600333,-0.0546579,0.177491,-0.112595,0.0198879,-0.117605,0.823189,-0.189045,-0.145912,0.0799028,-0.0556923,0.0266423,-0.0525206,0.0144526,0.0620477,-0.015289,-0.00845672,0.0215982,0.0217192,0.00992849,0.00414501,0.0204574,-0.0348971,0.562707,0.267082,0.0317375,-0.00492833,0.0861237,0.0152231,1.10813,-0.806754,-2.03747,0.362159,-0.725634,0.391575,-0.0530478,0.111879,0.163832,-0.0345069,-0.0139156,0.0741382,0.0825413,0.00203878,-0.0355201,0.23417,-0.394284,-0.0476202,0.0163438,0.496943,-0.0102015
258.233,0.983895,0.352011,4,15,0,-220.703,6.59613,6.5745,6.80873,6.75316,6.69828,6.91409,6.57397,6.83372,6.3057,6.68802,6.77555,6.99091,6.88404,6.7214,6.40458,6.23282,6.79159,6.45729,6.80257,6.38659,6.58774,6.82414,6.72495,6.5299,6.49994,6.55716,6.66081,6.39768,6.7974,6.72486,6.60126,6.60195,6.83886,6.25877,7.27374,6.72182,6.61116,6.67979,6.66707,6.62914,6.27971,7.00712,6.01824,6.57033,6.85228,6.62583,6.5404,7.24805,6.75544,6.72007,6.82857,6.79328,0.0152641,-0.00244866,0.0601812,-0.0271145,0.159631,-0.0718151,0.0322502,-0.114856,0.826397,-0.198747,-0.148344,0.107456,-0.100455,0.0343558,-0.0586465,0.00515083,0.0392991,0.00455583,-0.00999168,0.00451246,0.0134612,-0.00866259,-0.00262338,0.0170371,-0.0371733,0.561173,0.219246,-0.173306,0.0180721,0.159546,-0.0151286,1.12932,-0.857812,-2.14544,0.416177,-1.13266,0.421971,-0.0680093,0.0638266,0.104685,-0.0222745,-0.0731466,-0.0384866,-0.00741943,-0.105585,-0.0806946,0.174695,-0.420001,-0.00600423,-0.0163295,0.470387,-0.00506073
266.086,0.933556,0.352011,4,15,0,-222.353,6.50513,6.71374,6.87431,6.79549,6.6541,6.85646,6.64169,6.75889,6.30018,6.64424,6.98642,6.90228,6.84112,6.83294,6.53734,6.29942,6.76364,6.57501,6.93913,6.39785,6.77945,6.97674,6.76373,6.5533,6.73151,6.78934,6.9805,6.5791,6.81346,6.75182,6.42403,6.49638,6.92564,6.30401,7.26182,6.77143,6.57755,6.84027,6.87298,6.62649,6.17912,7.01678,6.11366,6.50838,6.68423,6.5826,6.15754,7.08763,6.74054,6.84289,6.95861,7.06803,0.0400818,0.0697191,-0.0157033,-0.0402081,0.16799,-0.1142,0.0164323,-0.12542,0.840895,-0.176482,-0.155964,0.0963206,-0.0729756,-0.000982269,-0.0526278,0.0304156,0.067601,-0.0262618,0.0012319,0.0198073,0.0152457,0.0411018,-0.0199542,0.0300623,-0.0256836,0.548084,0.228618,-0.000717045,-0.00248929,0.0840206,-0.0195227,1.13525,-0.75381,-2.10781,0.45177,-0.809547,0.134338,-0.0523406,0.14913,0.179236,-0.0574049,0.0133999,0.0696749,0.0535605,0.101595,-0.131886,0.40826,-0.290185,0.00825337,0.0429208,-0.0752829,-0.00750456
255.074,0.731891,0.352011,4,15,0,-222.392,6.51201,6.46691,6.68976,6.67092,6.64759,6.85451,6.59613,6.72985,6.4171,6.72727,6.54207,7.00137,7.0781,6.96965,6.42127,6.34127,6.68755,6.49075,7.0022,6.39688,6.57945,6.94744,6.59062,6.40511,6.46888,6.66161,6.57985,6.57668,6.48807,7.03568,6.71195,6.52024,6.86792,6.25156,7.24788,6.54027,6.52185,6.81313,6.70747,6.73459,6.27505,6.85689,6.19451,6.39421,6.89413,6.70703,6.03966,7.21618,6.67846,6.69294,6.89764,6.62225,0.035652,0.0316055,-0.0143095,-0.0584134,0.163345,-0.0911426,0.0254597,-0.11276,0.831745,-0.19099,-0.154093,0.0999872,-0.0881683,0.0290522,-0.0428025,-0.0120039,0.0494616,0.00261107,-0.0140689,0.0120267,0.0210289,-0.00938395,0.0140844,0.00432223,-0.0222618,0.562199,0.273624,-0.0983279,0.00905303,0.13002,0.0141116,1.11959,-0.829794,-2.22864,0.395484,-0.996703,0.382137,-0.0413983,0.0420979,0.130232,0.00691072,-0.0309592,0.0449742,0.0902789,-0.0450859,0.0285042,0.0121658,-0.251524,-0.00158062,0.0217031,-0.0467465,-0.0109025
259.039,0.992272,0.352011,4,15,0,-218.408,6.52517,6.46336,6.72476,6.74279,6.68192,6.88223,6.48968,6.71372,6.30239,6.72487,6.54507,6.95562,7.02153,6.90395,6.40586,6.25998,6.73275,6.37649,6.86803,6.42821,6.72265,6.78853,6.68146,6.39816,6.44152,6.53267,6.6653,6.62822,6.54211,7.04032,6.65995,6.55862,6.88826,6.26341,7.22883,6.52776,6.5127,6.76953,6.80425,6.73954,6.08208,6.91267,6.10058,6.44729,6.86035,6.7246,6.07956,7.32199,6.68226,6.81663,6.92823,6.53942,0.00783753,0.0526046,0.0248495,-0.116321,0.177149,-0.088664,0.0286625,-0.120089,0.838635,-0.190357,-0.141538,0.0949112,-0.0885054,0.0354857,-0.0594707,-0.00383651,0.0501349,0.00124666,-0.0128409,0.016026,0.0265129,-0.0132414,0.0100335,0.00682551,-0.0219881,0.564538,0.233533,-0.0905244,0.0097284,0.133545,-0.0215774,1.13726,-0.797825,-2.06802,0.344078,-1.03855,0.444305,-0.0582606,0.0598949,0.131764,0.00192749,-0.0308412,0.0521622,0.104985,-0.0696386,0.0103599,0.0522068,-0.248431,-0.0395748,0.0239819,0.29974,-0.0217106
264.675,1,0.352011,4,15,0,-235.112,6.54281,6.60509,6.85727,6.73145,6.58432,6.9143,6.65559,6.89358,6.33416,6.6754,6.97822,7.03448,6.87038,6.95114,6.51297,6.33821,6.7478,6.53087,7.0246,6.37887,6.59866,7.02799,6.69241,6.5585,6.77918,6.76907,6.80649,6.31578,6.5897,7.01162,6.6354,6.49731,6.90486,6.33176,7.28903,6.60415,6.58486,6.79423,6.808,6.65766,6.52147,7.15628,5.9836,6.42523,6.75934,6.50631,6.48556,7.05471,6.68142,6.6707,6.79869,6.94974,0.0702278,0.00585737,-0.0316846,-0.0517865,0.16211,-0.105056,0.0289926,-0.102278,0.818943,-0.190967,-0.151195,0.0934092,-0.0783704,0.0213212,-0.0654412,0.0232679,0.0628678,-0.0246838,-0.00821877,-0.00455289,0.0242115,0.0245701,-0.0190839,0.0222943,-0.0286897,0.551215,0.237411,-0.0155375,-0.000883668,0.134041,0.01117,1.12488,-0.829592,-2.11719,0.418496,-0.940843,0.355083,-0.0695687,0.130069,0.169042,-0.0859991,-0.0512359,-0.0445115,0.0664027,0.0175557,-0.142921,0.278604,-0.324149,0.019471,0.0118153,-0.181348,-0.00966559
270.087,0.907986,0.352011,4,15,0,-232.558,6.44923,6.53857,6.86922,6.82273,6.67292,6.88411,6.6356,6.79079,6.23496,6.67056,6.87686,6.9036,6.93543,6.66714,6.5398,6.66886,6.79684,6.50635,6.96227,6.32084,6.63716,6.90209,6.6887,6.42929,6.56716,6.74742,6.76182,6.63368,6.67928,7.01084,6.56397,6.5371,6.84205,6.36439,7.23896,6.50354,6.46943,6.89004,6.80945,6.77231,6.1887,6.87042,6.22159,6.45915,6.83803,6.76405,6.17161,7.21415,6.77226,6.64827,6.90197,6.59421,-0.00155792,0.0493642,-0.0209249,-0.0712412,0.173979,-0.110071,0.0011297,-0.1296,0.822399,-0.186295,-0.164604,0.109964,-0.0673158,0.0273074,-0.0602699,-0.00336891,0.0727908,0.00297351,0.00448554,0.00607221,0.0208658,-0.00586599,-0.00502432,0.013361,-0.0379652,0.560355,0.18955,0.019249,-0.0041476,0.0412348,-0.0204447,1.1165,-0.810153,-2.22825,0.569997,-0.826984,0.379626,-0.0693212,0.0897221,0.191471,-0.0168502,-0.0301045,-0.0345668,0.0216479,-0.105533,-0.0994514,0.114918,-0.428948,-0.0249049,0.0333262,-0.0825873,-0.0132967
270.715,0.921326,0.352011,4,15,0,-238.635,6.50525,6.5207,6.86078,6.85097,6.74892,6.95334,6.59572,6.79752,6.24572,6.57509,6.90746,6.86045,6.88912,6.69593,6.57071,6.37146,6.77694,6.53842,6.89396,6.37387,6.56744,6.90963,6.67528,6.48181,6.68555,6.66627,6.70797,6.63883,6.57127,7.03881,6.42436,6.57615,6.9235,6.34425,7.24738,6.51295,6.50253,6.89856,6.85084,6.73059,6.29896,6.91351,6.2233,6.44894,6.80295,6.54484,6.34022,7.18502,6.78736,6.7448,6.94871,6.71423,-0.0146555,0.0534894,-0.0147085,-0.0307103,0.181693,-0.108931,0.0177459,-0.130845,0.823581,-0.18259,-0.166087,0.0985755,-0.0562147,0.0256541,-0.0690772,-0.0122082,0.073937,-0.0117586,-0.00621664,0.00502446,0.0219202,-0.00391845,-0.0151374,0.0178442,-0.0290066,0.555891,0.210249,0.0139105,-0.00245798,0.0805835,-0.0241499,1.12328,-0.800288,-2.24598,0.549589,-0.74607,0.389086,-0.0780596,0.0734303,0.196599,-0.0640717,-0.0641227,-0.0395236,0.0245926,-0.100851,-0.127621,0.207848,-0.32773,-0.0170381,0.0336027,-0.0774896,-0.00573186
