# stan_version_major = 2
# stan_version_minor = 25
# stan_version_patch = 0
# model = sl_normal_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 3
# data
#   file = data/cleaned/tmp/sl_normal_sens_pdw2_download.R.data
# init = 2 (Default)
# random
#   seed = 100605
# output
#   file = output/sl_normal_sens_pdw2_download_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
# stanc_version = stanc3 82a27ba
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,theta.10,theta.11,theta.12,theta.13,theta.14,theta.15,theta.16,theta.17,theta.18,theta.19,theta.20,theta.21,theta.22,theta.23,theta.24,sigma,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,beta.19,beta.20,beta.21,beta.22,beta.23,beta.24
# Adaptation terminated
# Step size = 0.548314
# Diagonal elements of inverse mass matrix:
# 0.000151444, 0.000160398, 0.000176939, 0.000159913, 0.000157499, 0.000148937, 0.000171112, 0.000148527, 0.000154649, 0.000149859, 0.000170125, 0.00017343, 0.000156515, 0.000166667, 0.000156421, 0.000167784, 0.000178248, 0.000153754, 0.000119665, 0.000149288, 0.000164003, 0.000176639, 0.000161385, 0.000163917, 0.000152452, 8.04769e-05
-3005.56,0.986283,0.548314,3,7,0,3016.52,5.85314,0.0356624,0.010433,0.387021,0.25102,-0.60378,-0.823363,-0.0957021,0.825725,-0.0599674,-0.105723,0.171309,0.187776,0.106235,-0.0229,0.0175935,0.0966138,-0.0228285,0.0183403,0.0173544,0.0184651,0.0216775,-0.0267065,-0.00773422,-0.0323297,0.990642,0.46227,-0.0338124,-0.0623938,0.109605,-0.807801,-0.666754,-0.157206,0.9258,-0.570521,-0.42397,1.35187,0.7703,0.900202,-0.0320259,0.169462,0.270222,-0.0674798,0.0219562,0.010408,0.0199618,-0.0141028,-0.226321,-0.195909,-0.426774
-3003.68,0.970179,0.548314,3,7,0,3016.59,5.88908,0.0476954,0.00570774,0.396805,0.23048,-0.613831,-0.846635,-0.0977675,0.846355,-0.0651685,-0.0883377,0.164652,0.241022,0.0960561,-0.0283177,0.0126264,0.0856481,-0.0422971,-0.00947137,0.0252298,0.0288462,-0.00238806,-0.0194026,-0.00188486,0.00552616,0.969337,0.425621,-0.0292117,-0.120571,0.0580981,-0.784379,-0.581207,-0.194821,0.950712,-0.5823,-0.268442,1.35523,1.08751,0.821542,-0.0254382,0.143111,0.235191,-0.104565,-0.0244715,0.0907128,0.129553,-0.0555201,-0.109197,-0.022881,0.0729489
-3006.92,0.826268,0.548314,3,7,0,3016.79,5.89389,0.037734,0.0232506,0.392531,0.240142,-0.59366,-0.823118,-0.108386,0.814266,-0.0638276,-0.0895432,0.170499,0.187796,0.123389,-0.0175259,0.00706999,0.0930886,-0.0310518,-0.0036442,0.0168027,0.0437011,0.0101876,-0.0104691,-0.0162496,-0.0260723,0.969786,0.166326,-0.0128268,-0.0249692,0.0679906,-0.800407,-0.702121,-0.213155,0.917378,-0.607515,-0.280186,1.34028,0.726095,1.04065,-0.0209951,0.143355,0.258355,-0.0792529,-0.015166,0.0485955,0.198848,-0.0307749,-0.126016,-0.333981,-0.344172
-3004.56,0.998689,0.548314,3,7,0,3017.61,5.86229,0.0493374,0.0157726,0.397905,0.24921,-0.597063,-0.84043,-0.0978706,0.836733,-0.0535089,-0.107837,0.176179,0.210424,0.105915,-0.000559198,0.0113086,0.0893723,-0.0605327,0.00236606,0.0473722,0.00880074,0.0124411,-0.0045639,0.0158646,-0.00101973,0.971972,0.228061,-0.015555,-0.0579811,0.110137,-0.787142,-0.679359,-0.170087,0.93871,-0.58704,-0.41214,1.39853,0.895429,0.92345,0.00933549,0.145304,0.244331,-0.106913,0.0639005,0.224622,0.0708515,0.0672246,-0.0130621,0.276965,-0.013461
-3006.2,0.682348,0.548314,3,7,0,3023.57,5.86718,0.045789,0.00692376,0.395126,0.239862,-0.610805,-0.841465,-0.0937574,0.850938,-0.051612,-0.107523,0.168736,0.231159,0.106468,-0.0343702,0.0356776,0.0854798,-0.000675056,0.0160843,0.0367607,0.0027399,0.0113491,-0.0189432,-0.0335753,-0.037755,0.968791,0.495335,-0.0351987,-0.101922,0.110412,-0.789349,-0.625413,-0.179571,0.9479,-0.48986,-0.435076,1.32931,1.02933,0.884616,-0.0458977,0.193567,0.241989,-0.0220702,0.00100165,0.0593306,-0.100113,-0.0817983,-0.21561,-0.660186,-0.498391
-3006.93,0.716888,0.548314,3,7,0,3024.02,5.86505,0.0369771,0.0138173,0.404563,0.237706,-0.61565,-0.847059,-0.102204,0.840581,-0.0671758,-0.104235,0.169125,0.235226,0.10902,-0.0326019,0.0329837,0.104127,0.00163902,0.00590456,0.0293621,0.00695181,0.0289452,-0.0238832,-0.0250961,-0.0257543,0.963818,0.354285,-0.0267038,-0.0805392,0.0941852,-0.820481,-0.637675,-0.214526,0.943143,-0.576453,-0.391758,1.33123,1.03566,0.924455,-0.0379377,0.212231,0.292874,-0.00697969,-0.00814658,0.0634056,-0.0378096,0.0256275,-0.215454,-0.488887,-0.339973
