# 0.00844003, 0.00648497, 0.0047777, 0.00735768, 0.00422778, 0.00532673, 0.00633617, 0.00167579, 0.00580527, 0.00715675, 0.0245019, 0.00522591, 0.00360825, 0.0198752, 0.00208321, 0.0462367, 0.00763306, 0.00696144, 0.00647541, 0.00971101, 0.0159985, 0.00897214, 0.00664113, 0.00685857, 0.00862022, 0.010494, 0.00703718, 0.0144445, 0.00942995, 0.0258982, 0.0180539, 0.00584905, 0.00719093, 0.00329814, 0.00362012, 0.0154294, 0.00312744, 0.00525151, 0.00977439, 0.00624364, 0.0410458, 0.00625519, 0.0291023, 0.00818448, 0.00264579, 0.0161526, 0.058524, 0.00442242, 0.00402484, 0.0106297, 0.00883153, 0.0140774, 0.00162493, 0.0014439, 0.00200836, 0.00189118, 0.000234896, 0.000174285, 0.000220071, 0.000204863, 0.000224357, 0.000240534, 0.000170802, 0.000208288, 0.000159441, 0.000189725, 0.000188364, 0.000144378, 0.000133311, 0.000165798, 0.000138065, 0.000154272, 0.000134546, 0.000154573, 0.00016276, 0.000130288, 0.000162069, 0.000253346, 0.0231322
258.236,0.936598,0.364529,4,15,0,-207.538,6.68722,6.58872,6.75367,6.60028,6.7439,6.795,6.73645,6.67325,6.30653,6.66022,6.70798,6.9679,6.84549,6.83795,6.47112,6.50173,6.61012,6.63405,6.96755,6.59834,6.76607,6.85392,6.61328,6.55512,6.68312,6.76333,6.86468,6.40415,6.64547,6.71403,6.49008,6.64244,6.826,6.34242,7.33812,6.59823,6.55977,6.82274,6.71581,6.67436,6.43269,6.94925,6.44307,6.52483,6.73831,6.42336,6.74305,7.1596,6.65015,6.89685,6.95813,6.77548,0.0444099,0.0204609,-0.0182458,0.0143129,0.175812,-0.13129,0.0365801,-0.123428,0.847106,-0.165931,-0.138796,0.0721536,-0.0514436,-0.00148646,-0.072252,0.00647897,0.0607684,-0.0281141,0.0165588,0.0197538,0.0272537,0.0284744,0.00281996,0.00922783,-0.0325744,0.562017,0.15796,-0.0623475,0.00341793,0.113993,-0.0775,1.13407,-0.647066,-1.90797,0.342001,-0.635099,0.0869614,-0.0654372,0.0940873,0.16332,-0.0434755,0.0728259,0.0828064,0.12443,0.0726998,-0.0490206,0.0643332,-0.367946,0.0299189,0.0157801,-0.148727,0.00267141
265.994,0.925475,0.364529,4,15,0,-222.83,6.36855,6.61,6.84854,6.72154,6.63095,6.83361,6.54248,6.88481,6.30075,6.68279,6.85874,6.8202,7.03914,7.00139,6.53047,6.16846,6.92362,6.54299,6.94339,6.24155,6.52562,7.02675,6.75299,6.34371,6.64787,6.68733,6.75583,6.59046,6.59069,6.93698,6.68034,6.4792,6.98241,6.30209,7.19846,6.78199,6.46503,6.78819,6.89215,6.65469,5.9194,7.02251,6.14698,6.41396,6.75739,6.63421,5.78366,7.16639,6.81581,6.7065,6.88082,7.00638,0.0113025,0.101107,0.015345,-0.119127,0.159698,-0.123044,0.0158896,-0.111911,0.808378,-0.189934,-0.173849,0.110463,-0.0619649,0.0246571,-0.0373973,0.0153757,0.0548648,0.0147056,-0.0171011,0.0182947,0.0165889,0.014598,-0.011996,0.0244479,-0.0112466,0.545564,0.250704,-0.0757285,0.00463747,0.0806254,0.0106011,1.09299,-0.868921,-2.34392,0.537188,-0.771555,0.37755,-0.0343415,0.10453,0.149054,0.0401876,-0.0362415,0.0700686,0.0706755,0.0328239,-0.0621948,0.356537,-0.127037,-0.0373018,0.0532164,0.232565,-0.0222342
247.109,0.735154,0.364529,4,31,0,-218.332,6.52519,6.48687,6.71619,6.90936,6.62452,7.00136,6.65301,6.81541,6.21672,6.59857,6.60013,6.9581,6.82283,6.8174,6.52008,6.54467,7.03098,6.50754,7.02758,6.24898,6.65428,6.94312,6.73474,6.49311,6.55919,6.67014,6.69956,6.43599,6.60599,7.24587,6.37459,6.64303,6.92052,6.40929,7.19837,6.46917,6.41606,6.72451,6.83263,6.70076,6.01584,6.91034,6.15126,6.39638,6.87881,6.29249,6.17591,7.13959,6.72097,6.7123,6.75702,6.95887,0.0101697,0.101332,0.0157542,-0.0783591,0.181306,-0.128859,0.00779523,-0.12812,0.846802,-0.199425,-0.134092,0.102429,-0.0688466,0.0327456,-0.0458053,0.0357737,0.0638523,0.00933338,-0.0191519,0.029203,0.0131344,0.021334,-0.00936447,0.00503347,-0.0069535,0.548866,0.232546,-0.0860601,0.00579909,0.0492127,-0.0448594,1.14114,-0.885366,-1.79268,0.424005,-0.871198,0.477089,-0.0410116,0.157917,0.172977,0.0324807,-0.0325153,0.112689,0.0587919,0.0576189,-0.0603973,0.0619062,-0.0785437,-0.0228309,0.0528084,0.194661,-0.0146252
258.225,0.978444,0.364529,4,15,0,-206.689,6.48213,6.65833,6.62309,6.89774,6.64453,6.87476,6.59499,6.83937,6.36096,6.63151,6.56865,6.88865,6.89353,6.93681,6.49112,6.30706,6.89215,6.36952,6.84858,6.28889,6.44512,6.96114,6.67223,6.34423,6.56608,6.47518,6.7516,6.62725,6.4976,7.18661,6.34442,6.44537,7.06855,6.2719,7.24896,6.78149,6.42151,6.75106,6.71916,6.65301,6.09358,6.93501,6.02293,6.42768,6.81775,6.51463,5.89741,7.17989,6.75963,6.63874,6.90492,7.03431,0.0484917,0.0750965,-0.0350849,-0.077284,0.169688,-0.12434,0.0104754,-0.115605,0.810377,-0.208781,-0.158368,0.106894,-0.0676462,0.0102476,-0.066784,0.0204847,0.0743462,-0.00653347,-0.0134463,0.0390637,-0.00688189,0.0286405,-0.00435408,0.0246186,-0.0244215,0.547381,0.250984,-0.0219881,5.13357e-05,0.0664451,-0.0508351,1.13097,-0.893134,-2.08689,0.505757,-0.833856,0.280033,-0.061849,0.140341,0.200508,-0.0044573,-0.0151633,0.143994,-0.0338877,0.0872854,-0.0512322,0.326554,-0.275855,0.000249911,0.0511963,-0.180796,-0.0144245
259.216,0.982958,0.364529,4,15,0,-224.788,6.2512,6.65016,6.82989,6.79654,6.69688,6.97535,6.5562,6.86808,6.33797,6.79403,6.70374,6.91002,6.89249,7.00411,6.53364,6.70509,6.65643,6.67603,6.8901,6.38473,6.6013,7.00542,6.56371,6.46185,6.63143,6.39551,6.74691,6.56252,6.70285,6.91721,6.48875,6.71968,6.84381,6.27658,7.16833,6.72577,6.41635,6.83499,6.89394,6.68525,6.10256,6.8074,6.40934,6.39778,6.80883,6.59702,5.94114,7.12165,6.7676,6.58779,6.97668,6.8863,-0.0174755,0.125621,0.0409292,-0.060212,0.152274,-0.12459,0.00790218,-0.104303,0.844614,-0.193414,-0.170939,0.133821,-0.0847506,0.0236843,-0.0382821,0.0176024,0.0418012,0.00427085,0.0116243,0.0210964,0.0313216,0.0131119,-0.0165919,0.00745518,-0.0154025,0.547504,0.234755,-0.0730941,0.00282069,0.0772046,0.0132193,1.13922,-0.863209,-2.2455,0.632604,-0.944543,0.300296,-0.0389574,0.0921873,0.113294,0.0194552,0.031626,0.0560899,0.10583,-0.0131827,-0.115746,0.0790367,-0.17398,-0.0316441,0.0596517,0.361835,-0.0112382
259.291,0.705657,0.364529,4,15,0,-215.075,6.50299,6.4314,6.82302,6.70165,6.72528,6.81681,6.54841,6.75277,6.41051,6.69087,6.79762,6.97233,6.95255,6.94691,6.42267,6.24101,6.81213,6.49406,7.0172,6.45244,6.67488,6.92751,6.78564,6.50836,6.61342,6.64428,6.71885,6.70255,6.75655,6.89074,6.77872,6.60269,6.76191,6.271,7.26631,6.53296,6.53404,6.82009,6.75833,6.61969,6.36476,6.98322,6.0262,6.29165,6.7557,6.3429,6.38541,7.02077,6.77034,6.64819,6.96087,6.62706,0.0125231,0.0160932,0.0562137,-0.000406826,0.176848,-0.114872,0.0502499,-0.0912738,0.848004,-0.185098,-0.138078,0.0797379,-0.0720659,0.0147287,-0.0496517,0.0169624,0.0556139,-0.0294745,-0.0135422,0.0196898,0.0379968,0.0130687,-0.0203338,0.00466409,-0.0298676,0.545529,0.217581,-0.183253,0.01617,0.190057,0.0176852,1.13226,-0.808801,-1.97688,0.34812,-0.845814,0.259193,-0.0594243,0.110074,0.152972,-0.102047,-0.0698967,0.0200081,0.0983471,-0.057106,-0.172146,-0.000716443,-0.337371,0.00305064,-0.00536074,0.414364,-7.59313e-05
253.62,0.951633,0.364529,4,15,0,-220.081,6.62982,6.68829,6.81526,6.71772,6.6438,6.86516,6.60151,6.75346,6.34648,6.63259,6.79564,7.04188,6.91664,6.91049,6.50917,5.95758,6.75506,6.50811,7.01542,6.51988,6.77758,6.95811,6.56608,6.40985,6.69354,6.61994,6.9101,6.49493,6.57475,6.81618,6.42326,6.54827,7.11887,6.19685,7.2935,6.77364,6.55191,6.86539,6.7216,6.55646,6.11468,7.06157,5.91523,6.56659,6.78945,6.57663,6.08287,7.32327,6.73183,6.79085,7.01751,6.70977,0.073291,0.0182866,0.0160833,-0.172467,0.200111,-0.126058,0.026188,-0.111338,0.854864,-0.169487,-0.146728,0.0937149,-0.0701045,0.00532007,-0.0726238,0.0133306,0.0593165,0.00795416,-0.00187076,0.0189446,0.0205653,0.0359719,0.00614134,0.0227255,-0.040822,0.565897,0.278768,-0.0187271,0.00228324,0.102849,-0.0433581,1.1523,-0.668596,-2.00951,0.393251,-0.837502,0.182346,-0.0644029,0.105085,0.158793,0.0449108,0.0250848,0.0895604,0.10609,0.111458,-0.0347206,0.256122,-0.461107,-0.0264131,0.00783628,0.291538,-0.0321897
256.909,0.943509,0.364529,4,15,0,-213.872,6.54264,6.49187,6.70563,6.72905,6.58471,6.91923,6.55683,6.81185,6.21323,6.78566,6.6564,6.9462,6.87324,6.86558,6.47673,6.04883,6.70619,6.63172,6.9346,6.57042,6.58675,6.97481,6.6872,6.41644,6.47719,6.72351,6.63746,6.46217,6.74096,7.08803,6.44704,6.57407,6.92284,6.36816,7.1857,6.74731,6.46828,6.5783,6.89115,6.67133,6.09792,6.86801,6.33147,6.37531,6.82783,6.71589,6.52088,7.06796,6.70528,6.63779,7.06751,6.93068,0.0296447,0.0642634,-0.0886242,-0.00349898,0.162543,-0.113433,0.0013147,-0.140378,0.835014,-0.179289,-0.159164,0.115371,-0.0645133,0.0175899,-0.070184,0.00783873,0.0810275,0.00181496,-0.00811574,0.0186804,0.0231309,0.022986,-0.00316808,0.0114375,-0.0117813,0.546854,0.227435,-0.172047,0.0129138,0.0203501,-0.107699,1.14753,-0.761313,-2.05797,0.572592,-0.838298,0.341562,-0.0595202,0.123739,0.218875,0.0260621,0.0103955,0.0931304,0.123733,0.0785238,-0.0309392,0.150633,-0.133076,0.0209849,0.0580135,-0.649114,-0.000653061
250.261,0.953113,0.364529,4,15,0,-215.775,6.58094,6.69194,6.81346,6.77221,6.66859,6.86446,6.62119,6.81201,6.46616,6.59927,6.84191,7.13709,6.99922,7.04859,6.50994,6.75667,6.75386,6.33648,6.94028,6.14427,6.69385,6.89124,6.70397,6.48469,6.78113,6.48825,6.81322,6.56248,6.42463,7.10312,6.87595,6.46929,6.9768,6.1527,7.25221,6.48818,6.50538,6.96633,6.86585,6.68976,6.38571,7.07366,6.15798,6.50542,6.71147,6.54754,6.3801,7.25989,6.76236,6.81098,6.93011,6.7101,0.0195082,0.0682934,-0.0415875,-0.0618159,0.185501,-0.118359,0.0483804,-0.0856943,0.834462,-0.183884,-0.164633,0.0836443,-0.0769557,0.00198188,-0.0531369,0.0225808,0.0378501,-0.0162895,-0.00102431,0.0188951,0.0202488,0.0118904,-0.00719305,0.018768,-0.0210153,0.566191,0.236058,-0.0888728,0.00915869,0.186597,0.0273828,1.12613,-0.774247,-2.40171,0.339673,-0.834737,0.0943398,-0.0518597,0.0972298,0.102842,-0.0366675,0.00294589,0.0609802,0.0737815,0.0076472,-0.065319,0.243004,-0.23738,-0.00879622,0.0489245,-0.244206,-0.0115375
256.75,0.899088,0.364529,4,15,0,-208.138,6.43981,6.50346,6.78471,6.69913,6.6189,6.83598,6.54241,6.75152,6.21363,6.76378,6.69254,6.88556,6.89292,6.97272,6.4602,6.05501,6.74524,6.75973,6.94671,6.49486,6.5932,6.97601,6.68815,6.44729,6.57258,6.83887,6.75979,6.55841,6.79609,6.96852,6.45079,6.59379,6.8449,6.40908,7.27488,6.96222,6.52958,6.66328,6.89586,6.6949,6.20849,6.88441,6.26875,6.39885,6.79274,6.7913,6.32137,7.08741,6.7446,6.68313,6.9767,6.98992,-0.0335494,-0.0181042,-0.00751682,-0.01737,0.173713,-0.131181,-0.0053666,-0.135579,0.839951,-0.150062,-0.144331,0.0907569,-0.0549595,0.0289808,-0.0786147,0.0085155,0.0704797,-0.00483722,-0.00575869,0.0201494,0.0201099,0.00812502,-0.0163116,0.0166328,-0.0141353,0.55065,0.267855,-0.0445392,0.000887777,-0.00934236,-0.0878939,1.13618,-0.625037,-1.95031,0.430743,-0.780774,0.43354,-0.0769917,0.112247,0.191637,-0.0182373,-0.0235754,0.0504024,0.0556267,-0.0215967,-0.100868,0.226489,-0.159666,-0.0237114,-0.00791276,-0.0379197,-0.003242
