# stan_version_major = 2
# stan_version_minor = 25
# stan_version_patch = 0
# model = sl_beta_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 3
# data
#   file = data/cleaned/tmp/sl_beta_full_pdw2_all.R.data
# init = 2 (Default)
# random
#   seed = 100605
# output
#   file = output/sl_beta_full_pdw2_all_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
# stanc_version = stanc3 82a27ba
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,theta.10,theta.11,theta.12,theta.13,theta.14,theta.15,theta.16,theta.17,theta.18,theta.19,theta.20,theta.21,theta.22,theta.23,theta.24,theta.25,phi,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,beta.19,beta.20,beta.21,beta.22,beta.23,beta.24,beta.25
# Adaptation terminated
# Step size = 0.611271
# Diagonal elements of inverse mass matrix:
# 0.000195026, 0.000140165, 0.000159078, 0.000151, 0.000141981, 0.000150559, 0.000165865, 0.000176927, 0.000147383, 0.000156942, 0.000146723, 0.000170553, 0.00015354, 0.000134735, 0.000146706, 0.000152168, 0.000162305, 0.000162884, 0.000155186, 0.000130035, 0.000130761, 0.000152754, 0.000144056, 0.000116683, 0.000124932, 0.000151859, 0.000839254
2476.17,0.574413,0.611271,3,7,0,-2466.03,-1.43657,0.0234234,0.0242555,-0.140741,0.0385153,0.0461998,-0.0489128,0.00705846,0.00544802,-0.0309258,-0.127958,-0.178907,0.0835472,-0.0291674,0.0310057,-0.0925518,0.0303513,0.0630459,0.00304731,-0.0284344,0.0138456,0.039557,0.020657,-0.00215596,0.00330795,-0.0194677,15.3919,0.233671,-0.0123038,-0.298134,0.0212037,0.200552,-0.0236922,0.0765807,-0.047578,0.171325,-0.589812,-2.44526,0.508397,-0.572732,0.466353,-0.0867428,0.149375,0.173792,0.0114857,-0.0578989,0.0676388,0.183351,0.0463926,-0.0526555,0.00295188,-0.220899
2473.74,0.878859,0.611271,3,7,0,-2461.35,-1.44296,0.0311278,0.0199771,-0.133443,0.0340437,0.0343165,-0.0441781,0.0221395,-0.0149304,-0.0236993,-0.123661,-0.170207,0.103432,-0.0352569,0.0316424,-0.0865619,-0.00855153,0.0377295,0.00910695,-0.0144567,0.023636,0.029338,0.0273523,0.00874561,0.0261904,0.0146106,15.3869,0.224193,-0.0111996,-0.247585,0.0171822,0.144556,-0.0179462,0.1195,-0.0989998,0.182296,-0.549481,-2.176,0.560149,-0.609861,0.442574,-0.0571188,0.0339537,0.103237,0.0989877,0.0773996,0.206384,0.25834,0.202391,0.110784,0.44887,0.165786
2472.15,0.945706,0.611271,3,7,0,-2459.73,-1.40767,0.0264698,0.0292331,-0.138913,0.0289765,0.0259671,-0.0499463,5.80031e-05,-0.00831495,-0.0484664,-0.121067,-0.170084,0.104544,-0.0359479,0.0329573,-0.0827895,0.00407987,0.0287613,0.02298,0.00616275,-0.00304815,0.0215869,0.0180515,0.00685492,0.0264303,-0.00167272,15.0396,0.116139,-0.00465392,-0.166404,0.010188,0.17755,-0.0232124,0.0537783,-0.0775701,0.137896,-0.552658,-2.2144,0.587054,-0.585431,0.405454,-0.0632186,0.0483016,0.079117,0.106323,0.0782138,0.0594375,0.171165,0.122523,0.0633674,0.411585,-0.0189803
2476.56,0.999446,0.611271,3,7,0,-2462.15,-1.4046,0.0191002,0.0289325,-0.133254,0.0129045,0.0235095,-0.0317051,0.00561158,-0.0105751,-0.0464731,-0.121883,-0.166844,0.0949148,-0.0311543,0.0254617,-0.0877183,-0.00179933,0.0337686,0.0136159,0.00845911,0.00277554,0.0221926,0.0330421,0.00288514,0.0351776,-0.00446892,15.2993,-0.0330152,0.00428019,0.0201492,-0.00788848,0.0961808,-0.0131512,0.0658456,-0.0909202,0.142361,-0.53619,-2.16082,0.531833,-0.539187,0.350904,-0.0658957,0.0425375,0.0933061,0.0942183,0.0997305,0.0934661,0.18577,0.180295,0.045634,0.542147,-0.0507087
2483.27,0.933649,0.611271,3,7,0,-2470.55,-1.45495,0.035023,0.0130849,-0.153767,0.0478278,0.0577835,-0.00843574,0.010511,-0.000233702,-0.0541496,-0.111524,-0.188077,0.0977107,-0.0165786,0.0364055,-0.0765211,0.0286024,0.0802745,-0.00566829,-0.0131116,0.0241103,0.0287436,0.0323537,-0.0165507,0.025934,-0.02152,15.8884,0.543436,-0.0327802,-0.318816,0.0221002,0.0214137,-0.000365331,0.0895168,-0.0260825,0.135859,-0.564575,-2.41962,0.641776,-0.476773,0.556521,-0.0729963,0.169544,0.221949,-0.0020064,-0.0143295,0.0964607,0.123818,0.077448,-0.108769,0.353732,-0.244187
2478.52,0.666236,0.611271,3,7,0,-2467.34,-1.4108,0.00551943,0.0301042,-0.161584,0.0203366,0.0444492,-0.036278,-0.000436524,-0.00922707,-0.0369716,-0.13398,-0.182983,0.0974146,-0.0155616,0.0426017,-0.100021,0.0105626,0.0584709,-0.00921269,0.00421607,0.016892,0.0225913,0.0445926,0.0116559,0.027005,-0.0143792,14.8431,0.000244353,0.00250799,-0.0992545,-0.000335647,0.145854,-0.0173145,0.0429335,-0.0726887,0.181519,-0.597418,-2.30739,0.592199,-0.494893,0.585815,-0.0765445,0.101892,0.160283,0.0472949,0.107827,0.157014,0.198656,0.225154,0.0605528,0.388586,-0.163161
2471.91,0.816502,0.611271,3,7,0,-2462.78,-1.40213,-0.00548305,0.0278095,-0.153099,0.0307619,0.0353517,-0.0189812,-0.00770735,-0.0102521,-0.0201482,-0.106792,-0.194083,0.114214,-0.0406144,0.0262435,-0.0775816,0.00925793,0.0404254,0.00679353,-0.0035696,0.0286608,0.0242164,0.0476056,0.00727668,0.0118216,-0.017142,14.9478,0.176158,-0.0108306,-0.190146,0.00996113,0.0437014,-0.00590821,0.0390349,-0.0651019,0.176562,-0.488426,-2.49499,0.640716,-0.62029,0.38208,-0.060586,0.0744027,0.111394,0.0790594,0.0743535,0.178226,0.179033,0.20394,0.0131958,0.142753,-0.19451
2473.21,0.946845,0.611271,3,7,0,-2451.93,-1.41001,0.0392854,0.0288057,-0.186276,0.0343024,0.0554121,-0.0371971,0.024877,0.000605327,-0.0583483,-0.107759,-0.182315,0.100439,0.00425396,0.0397259,-0.0964777,0.00971984,0.0659064,-0.016993,0.0054577,0.0144724,0.0104514,0.0384937,0.00132177,0.0249473,-0.0111331,14.9694,0.160266,-0.0025728,-0.287225,0.014234,0.176538,-0.0189391,0.111444,-0.0276418,0.142259,-0.511805,-2.18248,0.720785,-0.298746,0.567697,-0.079518,0.110155,0.180928,0.00411192,0.0783041,0.113013,0.107164,0.174597,0.0101149,0.364401,-0.126328
2473.88,1,0.611271,3,7,0,-2465.75,-1.4503,0.00560721,0.0248829,-0.114138,0.0405669,0.0383451,0.00351759,-0.0116809,-0.00405405,-0.0411727,-0.121853,-0.183696,0.102512,-0.0451206,0.0341017,-0.0662666,0.0286957,0.0469268,0.012519,-0.015424,0.0183014,0.0341172,0.0268032,-0.0117714,0.0346233,-0.0188671,16.0661,0.315687,-0.0231384,-0.14592,0.0118824,-0.0685091,0.00772839,0.0359015,-0.0497812,0.145841,-0.597396,-2.47627,0.552641,-0.69026,0.473188,-0.0595803,0.124017,0.1306,0.0521815,-0.00878014,0.0941442,0.169745,0.0814965,-0.0669768,0.497122,-0.214085
2477.3,1,0.611271,3,7,0,-2464.22,-1.42764,0.0479986,0.0365549,-0.178398,0.030545,0.0516738,-0.0317339,0.0152071,-0.00280896,-0.0587298,-0.104009,-0.169553,0.107616,-0.00343913,0.0317802,-0.0935004,0.0204001,0.0706574,0.00390711,0.00871544,0.00923919,0.00203624,0.0448827,0.00128347,0.0269925,-0.0121904,15.3085,0.0415607,0.00526062,-0.214863,0.00833839,0.143302,-0.0154353,0.0848087,-0.0424437,0.133341,-0.496896,-1.98159,0.738755,-0.340967,0.490809,-0.0757401,0.138381,0.194055,0.0594579,0.0852366,0.0956531,0.0731332,0.202275,0.00982263,0.39391,-0.138324
2474.57,0.814407,0.611271,3,7,0,-2462.15,-1.43797,0.0296083,0.0175747,-0.151877,0.0325376,0.0311613,0.000863564,-0.00640653,-0.00745538,-0.0344533,-0.108076,-0.196265,0.0807927,-0.0167423,0.0180448,-0.0942878,0.0343631,0.0489024,-0.01141,-0.0208624,0.0187772,0.050961,0.0181964,-0.0181961,0.0301471,-0.0164397,16.4354,0.415946,-0.0240679,-0.180547,0.00926795,-0.0263935,0.00263797,0.0189272,-0.0739855,0.163844,-0.490493,-2.65356,0.556467,-0.418998,0.305426,-0.0892794,0.138613,0.136412,-0.0219371,-0.0355396,0.0819036,0.226187,0.0265243,-0.101064,0.432823,-0.186541
2478.26,0.939362,0.611271,3,7,0,-2465.79,-1.44313,0.0245522,0.0346766,-0.152074,0.0405555,0.0511416,-0.0112455,-0.0127988,-0.00526911,-0.0341468,-0.115131,-0.174264,0.0788044,-0.0193983,0.0115634,-0.0977316,0.0256209,0.0450898,0.00649089,-0.0141151,0.0114389,0.0270498,0.00919162,-0.0163599,0.0331739,-0.0297829,15.9284,0.176297,-0.0069531,-0.270923,0.0166985,0.0642647,-0.00540628,0.00152212,-0.0732226,0.153525,-0.516038,-2.34487,0.551665,-0.404892,0.221535,-0.100595,0.115983,0.125701,2.22367e-05,-0.0580628,0.0131248,0.0770351,-0.0325116,-0.118467,0.446794,-0.337946
2478,0.567793,0.611271,3,7,0,-2458,-1.42468,0.0196277,0.0168213,-0.145841,0.0292617,0.037532,-0.0225344,0.0344078,-0.00546713,-0.062748,-0.11313,-0.184305,0.11432,-0.0229463,0.0535966,-0.0698363,0.00579769,0.0703771,-0.00570972,0.0105724,0.0238541,0.024592,0.0634375,0.00711958,0.0313952,-0.00384217,15.2438,0.261528,-0.0164596,-0.117388,0.00485685,0.0382136,-0.00523463,0.167296,-0.0382111,0.13336,-0.552061,-2.24944,0.634521,-0.582018,0.72861,-0.0403268,0.107714,0.193309,0.0854077,0.161716,0.217813,0.2455,0.321605,0.0654956,0.484224,-0.043597
2482.49,1,0.611271,3,7,0,-2470.41,-1.43423,0.0317515,0.0258674,-0.149705,0.0465304,0.0382326,-0.0293778,-0.00252151,-0.0187278,-0.0614297,-0.120304,-0.1814,0.114726,-0.00905445,0.0326444,-0.0947744,-0.00322098,0.0558821,-0.00576919,0.0124514,0.0091865,0.0229602,0.0466677,0.00422287,0.0355608,-0.0158215,15.6626,0.382877,-0.0229129,-0.280408,0.0210012,0.10677,-0.0129994,0.030839,-0.0949735,0.141898,-0.556157,-2.12952,0.769837,-0.395204,0.472361,-0.0733284,0.0699044,0.153908,0.0517661,0.118264,0.118945,0.188806,0.219753,0.0271017,0.51955,-0.179526
