# stan_version_major = 2
# stan_version_minor = 25
# stan_version_patch = 0
# model = sl_beta_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 2
# data
#   file = data/cleaned/tmp/sl_beta_sens_pdw2_all.R.data
# init = 2 (Default)
# random
#   seed = 100605
# output
#   file = output/sl_beta_sens_pdw2_all_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
# stanc_version = stanc3 82a27ba
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,theta.10,theta.11,theta.12,theta.13,theta.14,theta.15,theta.16,theta.17,theta.18,theta.19,theta.20,theta.21,theta.22,theta.23,theta.24,theta.25,theta.26,theta.27,theta.28,phi,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,beta.19,beta.20,beta.21,beta.22,beta.23,beta.24,beta.25,beta.26,beta.27,beta.28
# Adaptation terminated
# Step size = 0.485399
# Diagonal elements of inverse mass matrix:
# 0.000141371, 0.000127923, 0.000108132, 0.000122345, 0.000102814, 0.000111538, 0.000113404, 0.000104837, 0.000128734, 0.000110092, 0.000112287, 0.000118185, 0.000112244, 0.000108469, 0.000120255, 8.88547e-05, 0.000101878, 0.000118268, 0.000107056, 0.000102528, 0.000110486, 9.5402e-05, 0.000107066, 9.13132e-05, 9.1142e-05, 0.000115034, 0.000101258, 9.92218e-05, 0.00010327, 0.000342592
5426.17,0.770487,0.485399,3,7,0,-5405.86,-1.54442,0.000346856,-0.0297889,-0.074691,0.0290738,0.0116347,0.00525638,0.133154,-0.124595,-0.153972,-0.0432861,0.0234731,-0.101937,-0.0405677,-0.0838011,0.122246,0.15271,0.0769168,-0.00894991,-0.00578382,0.0714809,-0.0349952,-0.0133314,0.0459376,0.0100223,0.0219434,0.00414528,-0.00499247,-0.00185104,7.50109,0.548213,-0.0379164,-0.120246,0.00979999,0.00394283,0.00030999,-0.0523409,0.0326738,-0.54156,-0.429224,-0.15968,-0.0323532,-0.43687,-0.365835,0.965476,0.653136,0.680597,0.00543951,0.0872425,0.19663,-0.0448394,0.0263673,0.234959,0.0941457,0.119044,0.0166189,-0.0913542,-0.0244479
5432.17,0.936053,0.485399,3,7,0,-5410.08,-1.52055,0.00253917,-0.0152807,-0.0800203,0.0598823,0.0344998,0.00287941,0.135106,-0.112556,-0.15312,-0.046534,-0.000962708,-0.115346,-0.0418769,-0.0862882,0.106291,0.146093,0.0782817,-0.00960323,0.0214409,0.0662988,-0.0324376,0.0158531,0.0251622,0.00171762,0.00240153,-0.0121093,-0.00544801,-0.00301069,7.71081,0.621657,-0.0417836,-0.414981,0.0366917,0.0336166,-0.00057378,-0.00167483,0.0324295,-0.594548,-0.481527,-0.232641,-0.0527979,-0.427171,-0.43271,0.855972,0.614906,0.674122,-0.00965353,0.136461,0.184275,-0.0710071,0.0472344,0.0778387,-0.0265912,-0.0297759,-0.0851642,-0.101528,-0.0397642
5433.33,0.777499,0.485399,3,7,0,-5414,-1.54813,0.00317084,-0.0237772,-0.0862599,0.0536779,0.0245034,0.0134108,0.138196,-0.13098,-0.166687,-0.0543713,0.0229856,-0.105361,-0.0180228,-0.095388,0.116245,0.156768,0.0756797,-0.00402578,0.01546,0.077794,-0.0256235,0.000745376,0.0229042,-0.00809412,0.00288994,-0.00928865,-0.0100879,-0.0323504,7.67161,0.72912,-0.0485462,-0.389124,0.0333436,-0.0159373,0.00384063,-0.0728802,0.0373692,-0.622819,-0.535981,-0.162726,-0.0472285,-0.353569,-0.488296,0.966791,0.677377,0.657584,-0.0168102,0.14017,0.216875,-0.088447,-0.038442,0.0267908,-0.126186,-0.0716735,-0.124908,-0.237675,-0.427273
5429.68,0.840011,0.485399,3,7,0,-5418.05,-1.54927,0.0133494,-0.00276843,-0.0832116,0.0341785,0.0281414,0.00589408,0.133582,-0.110321,-0.167653,-0.0270673,0.00882932,-0.10455,-0.0549972,-0.0651929,0.122013,0.160957,0.0732936,-0.0276557,0.0277946,0.0648582,-0.0418984,0.0108268,0.0397211,0.0244595,0.0205571,0.0110899,-0.000708013,-0.02175,8.00483,0.176496,-0.0113742,-0.099201,0.00711254,0.028015,-0.000687379,-0.00681292,0.0532044,-0.545025,-0.312894,-0.22338,-0.0275639,-0.455491,-0.203161,0.965283,0.707228,0.626474,-0.0103766,0.148004,0.17871,-0.0471463,0.103735,0.210576,0.171257,0.102326,0.0284383,-0.052823,-0.287266
5428.01,0.945508,0.485399,3,7,0,-5415.29,-1.55383,-0.00596734,-0.0238819,-0.0883463,0.0536406,0.00813777,-0.0118685,0.134254,-0.119469,-0.148195,-0.0586134,0.0117408,-0.118764,-0.049893,-0.101398,0.119289,0.165179,0.0699532,-0.0123015,0.00360263,0.0933309,-0.0146581,0.00208674,0.0158193,0.0223788,-0.00829138,-0.0291435,-0.0049936,-0.012644,7.67497,0.78121,-0.0545833,-0.399786,0.0361221,0.0536444,-0.00583966,-0.0528122,0.0298938,-0.582983,-0.526193,-0.205675,-0.0539829,-0.497417,-0.529324,1.01536,0.735769,0.607206,-0.0241819,0.138119,0.261932,-0.0679006,-0.0443359,-0.00941616,0.0261142,-0.146664,-0.20572,-0.111399,-0.166997
5430.86,0.990233,0.485399,3,7,0,-5418.24,-1.55547,0.00531614,-0.0183955,-0.0909754,0.0487782,0.0181723,-0.00732187,0.151635,-0.122232,-0.161696,-0.057907,-0.00193852,-0.126507,-0.0468125,-0.0957551,0.113088,0.172542,0.0767861,-0.0170531,0.00603525,0.0750355,-0.0124057,0.000737558,0.0229812,0.0138589,-0.00792749,-0.0220564,-0.0132138,-0.00753833,7.72006,0.614518,-0.0411983,-0.342884,0.0296392,0.0594014,-0.00498665,-0.00790277,0.0292761,-0.635679,-0.528921,-0.262314,-0.0626966,-0.45754,-0.492119,0.944745,0.768297,0.65535,-0.0253907,0.11794,0.210725,-0.0536148,-0.0351206,0.031005,-0.00662483,-0.125854,-0.162325,-0.246687,-0.0995638
5433.66,0.896204,0.485399,3,7,0,-5417.22,-1.56311,0.00471943,-0.0156794,-0.0811935,0.0525433,0.0123664,-0.00234003,0.149505,-0.117298,-0.151059,-0.0601832,0.0259517,-0.112616,-0.0571527,-0.0815356,0.117544,0.16427,0.0589157,-0.00733009,0.0106997,0.0783231,-0.0167487,-0.00653406,0.0188004,0.0110543,0.00630021,-0.0142464,0.00535728,-0.0258949,7.62186,0.574604,-0.039745,-0.331808,0.0305726,0.024518,-0.00182774,-0.046159,0.0322898,-0.569458,-0.482316,-0.150963,-0.0501851,-0.51773,-0.354014,0.996084,0.757577,0.519136,-0.0141767,0.130879,0.218443,-0.0576663,-0.0417107,0.0370972,0.00529188,-0.0410182,-0.127005,0.0462991,-0.342012
5432.47,0.997908,0.485399,3,7,0,-5421.66,-1.55166,0.00765931,-0.019887,-0.0907294,0.0553403,0.0341415,-0.00702677,0.139409,-0.141719,-0.172948,-0.0336148,0.011008,-0.118819,-0.01808,-0.0796751,0.10592,0.154206,0.0720691,-0.0217405,0.0191802,0.0761054,-0.0364403,-0.00173252,0.0383309,0.00194101,0.0120601,-0.00877387,0.00448782,-0.0230655,8.15443,0.639592,-0.040839,-0.422864,0.034968,0.0821632,-0.00578477,-0.0485448,-0.00139802,-0.625554,-0.435359,-0.210419,-0.0559231,-0.298758,-0.373951,0.860025,0.668328,0.628537,-0.0203346,0.144864,0.210574,-0.0827038,0.00258645,0.136357,-0.0244455,0.00767238,-0.0895287,0.0362374,-0.304641
5434.17,0.963547,0.485399,3,7,0,-5418.95,-1.55309,0.000762936,0.00404376,-0.0840643,0.0422841,0.0143217,0.0156595,0.126539,-0.102595,-0.15154,-0.0533431,0.0209494,-0.102839,-0.0671527,-0.0851356,0.115845,0.168691,0.0722315,-0.00334175,0.00515205,0.0740786,-0.0261569,0.00522519,0.0150173,0.0172888,0.0140855,-0.0147925,-0.0050404,-0.0161146,7.63189,0.212604,-0.0153292,-0.217708,0.0191312,-0.037603,0.00493257,-0.0539731,0.0853008,-0.551357,-0.440037,-0.169085,-0.0380905,-0.56736,-0.380296,0.968496,0.75135,0.629871,-0.00662155,0.113551,0.206677,-0.0654368,0.00846029,0.0380561,0.0575667,0.0041089,-0.124299,-0.118663,-0.212836
5424.43,0.839044,0.485399,3,7,0,-5416.14,-1.55652,0.0164416,0.0135472,-0.0753427,0.0486645,0.0189003,0.0181524,0.121235,-0.117326,-0.162065,-0.0524158,0.0264826,-0.117399,-0.0744889,-0.0806692,0.127789,0.170513,0.0702565,0.007614,0.00678715,0.0830428,-0.0194634,0.00988636,0.000531969,0.0178277,0.00165201,-0.0152677,0.00257078,-0.0164863,7.91878,0.152243,-0.0106923,-0.262617,0.0248392,-0.0531094,0.00660043,-0.0923285,0.0728764,-0.607503,-0.488668,-0.157286,-0.053039,-0.645262,-0.305338,1.08631,0.764668,0.615748,-0.000500187,0.129604,0.232053,-0.0611391,0.00280298,-0.0347345,0.0487799,-0.0558929,-0.119607,0.0146842,-0.217745
5432.11,0.99887,0.485399,3,7,0,-5412.34,-1.5476,0.00409717,-0.00945305,-0.090699,0.0534431,0.0232589,-0.00359419,0.117447,-0.106289,-0.156263,-0.057925,0.00640308,-0.0993255,-0.0454935,-0.0794103,0.138914,0.170621,0.0648153,0.00157141,0.00755254,0.0786425,-0.0238711,-0.0106676,0.0206482,-0.00501912,0.0139912,-0.0190964,-0.0164838,-0.0276671,7.84023,0.52508,-0.0346409,-0.406428,0.0350186,0.0406542,-0.00302022,-0.0590794,0.0665136,-0.573353,-0.479062,-0.221999,-0.0352876,-0.524326,-0.286073,1.17241,0.778474,0.576239,-0.0141208,0.124368,0.219656,-0.0954364,-0.0814856,0.0125199,-0.116029,-0.0378737,-0.183429,-0.341621,-0.365417
5429.53,0.810957,0.485399,3,7,0,-5414.76,-1.54878,0.0017275,-0.0317471,-0.0899429,0.0280619,0.0240294,0.00796474,0.129014,-0.125675,-0.165062,-0.038146,0.0297596,-0.115262,-0.0283262,-0.0792096,0.105792,0.149421,0.0830708,-0.0276363,0.00744304,0.0875255,-0.0216322,0.00479463,0.030025,0.0231256,0.0120878,-0.0297611,0.0171591,-0.0379004,7.80451,0.663182,-0.04464,-0.13339,0.00808872,0.0193888,4.88921e-05,-0.0674561,0.0503241,-0.590539,-0.460355,-0.150955,-0.0513422,-0.350515,-0.35961,0.856844,0.613879,0.71189,-0.0350245,0.137094,0.245038,-0.0676482,-0.0146581,0.0616511,0.0394344,-0.0592793,-0.230181,0.231861,-0.500576
5428.46,0.980948,0.485399,3,7,0,-5417.65,-1.5663,0.00610719,0.0147854,-0.0848058,0.0687838,0.0242347,-0.00128283,0.135676,-0.115653,-0.156437,-0.0526044,0.00233908,-0.106837,-0.0538766,-0.0831834,0.125741,0.172957,0.0601838,-0.000241788,0.0191708,0.0629904,-0.0358591,-0.000656801,0.0256252,-0.00103898,0.0133249,0.00595875,-0.0203794,-0.00257688,7.88397,0.206215,-0.0130906,-0.487221,0.0444304,0.032747,-0.00176265,-0.0351,0.0310183,-0.576305,-0.433888,-0.232896,-0.0408869,-0.509407,-0.353319,1.04539,0.807527,0.533995,0.00525634,0.12694,0.173744,-0.0674769,0.027326,0.119601,0.00498149,0.0618083,0.0097252,-0.363672,-0.0340346
5431.43,0.991769,0.485399,3,7,0,-5414.81,-1.54966,-0.00305648,-0.0239147,-0.09849,0.0371518,0.0148171,0.00355835,0.126187,-0.126339,-0.17268,-0.0416029,0.0310247,-0.112628,-0.0304231,-0.0859603,0.101029,0.15237,0.079792,-0.0294593,0.00244792,0.0772535,-0.0309579,0.0111926,0.0253942,0.0169615,0.0163104,-0.02649,0.00981836,-0.0445461,7.94406,0.669977,-0.0451076,-0.226316,0.0169556,0.030937,-0.00204439,-0.0925786,0.0512996,-0.607277,-0.458182,-0.142808,-0.0497538,-0.343842,-0.435374,0.830282,0.638468,0.680182,-0.0388173,0.112266,0.216137,-0.0928355,-0.00276855,0.0353282,-0.000262431,-0.0463047,-0.229932,0.0902558,-0.58835
5432.72,0.997449,0.485399,3,7,0,-5419.32,-1.55224,0.0110073,0.00371773,-0.0730917,0.0436509,0.0369796,0.00554825,0.137099,-0.114212,-0.157006,-0.0443401,-0.00182597,-0.106112,-0.0496853,-0.078116,0.116388,0.163016,0.0592615,0.00406487,0.0345018,0.075497,-0.0383214,-0.0027313,0.0324952,0.0083477,0.0148559,-0.00758156,-0.00404979,-0.0012513,7.70243,0.0912807,-0.00480801,-0.274518,0.0230072,0.0180574,0.00113457,-0.00883992,0.0303455,-0.583549,-0.406584,-0.236726,-0.0437733,-0.4907,-0.327169,0.965027,0.74884,0.534719,0.00850844,0.175338,0.208546,-0.0740573,0.0209923,0.142961,0.0461173,0.0523215,-0.0528917,-0.0736404,-0.0165268
5432.62,0.817219,0.485399,3,7,0,-5414.06,-1.53933,-0.00158201,-0.0225092,-0.1003,0.0522855,0.0123507,0.00122804,0.125128,-0.125374,-0.156597,-0.0445915,0.0326048,-0.116763,-0.0315579,-0.0847354,0.107872,0.156833,0.0817924,-0.032932,-0.0069417,0.0726172,-0.0236978,0.00803538,0.0189489,0.0135407,0.00878583,-0.0155673,-0.000319578,-0.0385879,7.91246,0.790235,-0.0533353,-0.343324,0.0289593,0.0346683,-0.00275435,-0.0914333,0.0440429,-0.564053,-0.479039,-0.146539,-0.0510022,-0.351809,-0.411011,0.885852,0.662001,0.691636,-0.0397288,0.0871291,0.203243,-0.0748298,-0.00883298,0.0191899,-0.00376583,-0.0575319,-0.163691,-0.0772234,-0.509656
