# stan_version_major = 2
# stan_version_minor = 25
# stan_version_patch = 0
# model = vi_normal_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 4
# data
#   file = data/cleaned/tmp/vi_normal_full_pdw2_all.R.data
# init = 2 (Default)
# random
#   seed = 100605
# output
#   file = output/vi_normal_full_pdw2_all_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
# stanc_version = stanc3 82a27ba
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a_region.1,a_region.2,a_region.3,a_region.4,a_state.1,a_state.2,a_state.3,a_state.4,a_state.5,a_state.6,a_state.7,a_state.8,a_state.9,a_state.10,a_state.11,a_state.12,a_state.13,a_state.14,a_state.15,a_state.16,a_state.17,a_state.18,a_state.19,a_state.20,a_state.21,a_state.22,a_state.23,a_state.24,a_state.25,a_state.26,a_state.27,a_state.28,a_state.29,a_state.30,a_state.31,a_state.32,a_state.33,a_state.34,a_state.35,a_state.36,a_state.37,a_state.38,a_state.39,a_state.40,a_state.41,a_state.42,a_state.43,a_state.44,a_state.45,a_state.46,a_state.47,a_state.48,theta_2.1,theta_2.2,theta_2.3,theta_2.4,theta_1.1,theta_1.2,theta_1.3,theta_1.4,theta_1.5,theta_1.6,theta_1.7,theta_1.8,theta_1.9,theta_1.10,theta_1.11,theta_1.12,theta_1.13,theta_1.14,theta_1.15,theta_1.16,theta_1.17,theta_1.18,theta_1.19,theta_1.20,theta_1.21,theta_1.22,theta_1.23,theta_1.24,theta_1.25,sigma,sigma_a,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,beta.19,beta.20,beta.21,beta.22,beta.23,beta.24,beta.25,gamma.1,gamma.2,gamma.3,gamma.4
# Adaptation terminated
# Step size = 0.347516
# Diagonal elements of inverse mass matrix:
# 0.0102797, 0.00672621, 0.00454775, 0.00763995, 0.00533118, 0.00628842, 0.00524739, 0.00187776, 0.00635429, 0.00706953, 0.0262486, 0.00456031, 0.00396623, 0.0199459, 0.00262435, 0.0464926, 0.00614662, 0.0055984, 0.00586633, 0.00906265, 0.0152099, 0.0115278, 0.00785575, 0.0068002, 0.00783661, 0.0112164, 0.00622631, 0.0148815, 0.0097722, 0.02444, 0.0243347, 0.00583759, 0.0083118, 0.00341048, 0.00376309, 0.015201, 0.00351142, 0.00623198, 0.0108296, 0.0075454, 0.0457637, 0.00912408, 0.0288807, 0.0104116, 0.00239953, 0.0203028, 0.0619013, 0.00521599, 0.00410016, 0.00932441, 0.00868066, 0.0170665, 0.00190807, 0.00160606, 0.00199289, 0.00193924, 0.000168895, 0.000160511, 0.000233043, 0.000203684, 0.000206926, 0.000130007, 0.000221614, 0.000172923, 0.000228161, 0.000235038, 0.000150526, 0.00022419, 0.000171213, 0.000174022, 0.000215362, 0.000127607, 0.000147855, 0.000167037, 0.000137041, 0.000109993, 0.000149056, 0.000132292, 0.000125174, 0.000133952, 0.000160984, 0.000191077, 0.0220851
261.037,0.935651,0.347516,4,15,0,-225.257,6.61437,6.39645,6.87238,6.73163,6.59977,6.88451,6.5067,6.76123,6.29806,6.64733,6.92857,6.92933,7.04704,6.90978,6.41414,6.61921,6.63432,6.57122,6.83708,6.36143,6.72624,6.96468,6.74683,6.51046,6.58402,6.72313,6.95235,6.43106,6.58538,6.51487,6.8691,6.4615,6.91907,6.3549,7.13942,6.59695,6.53539,6.8114,6.65541,6.72925,6.17129,7.01177,6.16356,6.52926,6.72683,6.56877,6.02012,7.164,6.75566,6.86206,6.94993,6.83634,-0.0209707,0.0128688,0.00859555,-0.0811485,0.0270621,-0.0798827,0.191602,-0.0748581,0.0659868,-0.033018,0.0321442,-0.105389,0.808859,-0.148487,-0.166124,0.0880197,-0.0699297,0.00747019,-0.0652421,0.0142007,0.05655,-0.0182948,-0.00976042,0.00212301,0.0290425,0.0256526,-0.0160932,0.0142321,-0.0139717,0.557147,0.258906,0.395945,-0.0289258,-0.242994,0.0243826,-0.135052,0.0128789,0.140805,-0.0855509,1.11262,-0.708982,-2.36496,0.437365,-0.832552,0.204681,-0.0631361,0.106354,0.15678,-0.0491443,-0.0245793,0.00980223,0.121454,0.0528835,-0.10236,0.18867,-0.158536,-0.0412272,0.00578237,0.144744,-0.0151458
262.674,0.977958,0.347516,4,15,0,-225.384,6.39624,6.64647,6.82478,6.75146,6.74666,6.81169,6.65328,6.76491,6.3244,6.74755,6.67574,6.88648,6.82737,6.85834,6.54386,6.0624,6.92245,6.52388,7.12836,6.399,6.60179,6.9494,6.59731,6.40301,6.67494,6.61287,6.67417,6.5992,6.72645,7.17916,6.4525,6.64696,6.88314,6.29324,7.35251,6.81481,6.4943,6.84261,6.87253,6.61521,6.41351,6.94647,6.30267,6.44203,6.81569,6.57585,6.4333,7.18155,6.68658,6.63736,7.02197,6.88411,0.0417381,0.0677256,0.0535235,-0.00631999,0.0486014,-0.101027,0.204182,-0.0859149,0.0786493,-0.0493517,-0.020455,-0.0781409,0.843878,-0.182526,-0.136366,0.0912364,-0.0787633,0.0373538,-0.0633145,0.00715005,0.0611815,0.00869283,-0.00437809,0.0345016,0.0123983,0.0115609,-0.0155919,0.00735129,-0.0428264,0.552931,0.208248,0.70744,-0.0506469,-0.137366,0.0150894,-0.0112165,-0.00154029,0.0104962,0.0103355,1.1501,-0.864016,-1.9564,0.373355,-0.97939,0.499415,-0.0779125,0.101261,0.1695,-0.00112128,-0.0525958,0.0510955,-0.0412656,-0.0754361,-0.174073,0.00766119,-0.48595,0.0171743,0.0239077,0.400488,-0.00117958
264.611,0.928016,0.347516,4,15,0,-222.058,6.60839,6.57331,6.95592,6.59752,6.58056,6.78814,6.6528,6.75231,6.2652,6.76647,6.92089,6.94424,6.98773,6.88681,6.43845,6.53718,6.59929,6.5568,6.90497,6.39408,6.93101,6.95543,6.74712,6.52784,6.58467,6.66966,6.86985,6.41186,6.66397,6.55741,6.80496,6.3804,6.75124,6.34481,7.17982,6.56642,6.55593,6.83651,6.65899,6.73276,6.31141,6.99365,6.19283,6.52294,6.7217,6.6202,6.41876,7.15133,6.74521,6.95607,6.98975,6.99242,-0.0382797,0.0795579,0.0460575,-0.0430901,0.0213585,-0.0749691,0.209541,-0.083554,0.0711517,-0.0328318,0.0148754,-0.0932487,0.837013,-0.159938,-0.155895,0.0692058,-0.0650524,0.00958229,-0.059346,0.0129315,0.054631,-0.0230651,-0.00106229,-0.00057146,0.0317792,0.0147196,-0.0254164,0.0114109,-0.0182342,0.56066,0.240186,0.230108,-0.0184023,-0.184298,0.0191645,-0.117599,0.0114468,0.0897809,-0.0392922,1.13062,-0.762904,-2.31336,0.328189,-0.773919,0.201496,-0.0659762,0.101938,0.152174,-0.0820675,-0.036449,-0.0422995,0.0853293,-0.0325984,-0.165545,0.133538,-0.206904,-0.0373041,0.0327242,0.382414,-0.00804247
262.123,0.671161,0.347516,4,15,0,-215.783,6.40208,6.61646,6.80216,6.76941,6.84613,6.86622,6.69509,6.81242,6.37676,6.59816,6.84323,6.93707,6.94231,6.71073,6.51154,6.46981,7.0252,6.57789,7.08223,6.40868,6.46419,7.12919,6.74911,6.42566,6.72147,6.78277,6.7648,6.34014,6.63022,6.92217,6.34175,6.50387,6.95949,6.32111,7.25062,6.57352,6.51998,6.73144,6.86813,6.69867,6.25809,6.9605,6.32665,6.61377,6.7785,6.69172,5.89625,7.2917,6.78715,6.82373,7.00087,6.74974,0.030787,0.0535004,-0.0121463,-0.0775624,0.0363434,-0.0872548,0.187511,-0.0743638,0.0687037,-0.0421638,0.019783,-0.0840847,0.831281,-0.145896,-0.132727,0.097453,-0.072417,0.0218488,-0.0630944,-0.0028164,0.0713434,-1.397e-05,-0.0181245,0.013907,0.0154224,0.0165732,-0.0396621,0.0160664,-0.0330521,0.567672,0.202977,0.589067,-0.0409013,-0.307382,0.0288521,-0.0720038,0.00532146,0.12315,-0.0115194,1.12314,-0.736098,-1.80332,0.508934,-0.89943,0.38326,-0.0825409,0.0926751,0.198957,-0.0603134,-0.130872,-0.049152,-0.0562401,-0.0903033,-0.270929,0.169414,-0.375041,-0.010924,0.0334514,-0.0115973,-0.0144765
264.977,0.947147,0.347516,4,15,0,-228.237,6.76237,6.54789,6.60353,6.69779,6.75884,6.91093,6.58537,6.81161,6.28706,6.77725,6.53854,6.90812,6.88425,6.92723,6.39172,6.21757,6.69784,6.41238,7.02831,6.3589,6.83675,6.80234,6.63267,6.35571,6.72587,6.71555,6.74416,6.44598,6.61018,7.0427,6.54967,6.50759,6.86686,6.35125,7.25615,6.67862,6.57012,6.78576,6.88745,6.73808,6.37945,7.02536,6.1635,6.50173,6.85087,6.63182,6.52956,7.10634,6.81477,6.75658,7.11928,6.87236,-0.00646606,0.0662204,0.0736109,0.0201569,0.0287267,-0.0870988,0.20296,-0.0834138,0.061337,-0.0517136,0.0185714,-0.0922758,0.820637,-0.165398,-0.143934,0.117138,-0.0856326,0.00443605,-0.0648456,0.0208656,0.0392407,-0.0175348,-0.00136525,0.0181356,0.0104438,0.0171885,0.00976674,0.0163291,-0.0306899,0.550117,0.258573,0.430248,-0.0332153,-0.124593,0.0158271,-0.0487507,0.00104684,0.116033,-0.0695736,1.13739,-0.77078,-1.89921,0.595785,-0.935626,0.130315,-0.0610885,0.0979312,0.107408,-0.0258457,0.0221254,0.0806793,0.0558372,0.0546634,0.000537999,0.179504,-0.348238,0.000607723,0.0177038,0.521837,0.00376214
269.405,0.872495,0.347516,4,15,0,-229,6.4229,6.68071,6.89209,6.79775,6.60501,6.86984,6.56662,6.74554,6.40562,6.7426,6.75348,7.0027,6.96725,7.0156,6.52379,6.28695,6.85845,6.5038,7.04442,6.32774,6.71465,6.88757,6.78969,6.52224,6.58899,6.59371,6.76922,6.57927,6.61845,6.91119,6.74562,6.5382,7.0415,6.22194,7.27638,6.5917,6.46046,6.76589,6.76866,6.60582,5.97333,7.04645,6.23501,6.43818,6.68997,6.56881,6.05638,7.23763,6.63295,6.69385,6.93865,6.75954,0.0810629,0.0279649,0.0455462,-0.14189,0.0368914,-0.10712,0.193697,-0.0850229,0.0856203,-0.0392143,0.00631349,-0.0653437,0.846148,-0.161612,-0.16411,0.0757388,-0.067922,0.0191182,-0.0474078,0.00980969,0.0715592,-0.00349803,-0.0094013,0.0100461,0.0284943,-0.0030751,-0.0214135,0.00886218,-0.0234892,0.555401,0.267013,0.722462,-0.0502923,-0.194304,0.0174889,-0.0672216,0.00666594,0.0843289,0.0584593,1.13505,-0.802336,-2.46574,0.353465,-0.823497,0.316808,-0.0595711,0.120419,0.198032,-0.0448835,-0.0749384,-0.0277795,0.0440801,-0.112815,-0.159066,0.0801909,-0.266531,-0.0127731,0.00538995,0.477813,-0.0264828
