# stan_version_major = 2
# stan_version_minor = 25
# stan_version_patch = 0
# model = vi_normal_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 1
# data
#   file = data/cleaned/tmp/vi_normal_sens_pdw2_all.R.data
# init = 2 (Default)
# random
#   seed = 100605
# output
#   file = output/vi_normal_sens_pdw2_all_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
# stanc_version = stanc3 82a27ba
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a_region.1,a_region.2,a_region.3,a_region.4,a_state.1,a_state.2,a_state.3,a_state.4,a_state.5,a_state.6,a_state.7,a_state.8,a_state.9,a_state.10,a_state.11,a_state.12,a_state.13,a_state.14,a_state.15,a_state.16,a_state.17,a_state.18,a_state.19,a_state.20,a_state.21,a_state.22,a_state.23,a_state.24,a_state.25,a_state.26,a_state.27,a_state.28,a_state.29,a_state.30,a_state.31,a_state.32,a_state.33,a_state.34,a_state.35,a_state.36,a_state.37,a_state.38,a_state.39,a_state.40,a_state.41,a_state.42,a_state.43,a_state.44,a_state.45,a_state.46,a_state.47,a_state.48,theta_2.1,theta_2.2,theta_2.3,theta_2.4,theta_1.1,theta_1.2,theta_1.3,theta_1.4,theta_1.5,theta_1.6,theta_1.7,theta_1.8,theta_1.9,theta_1.10,theta_1.11,theta_1.12,theta_1.13,theta_1.14,theta_1.15,theta_1.16,theta_1.17,theta_1.18,theta_1.19,theta_1.20,theta_1.21,theta_1.22,theta_1.23,theta_1.24,theta_1.25,theta_1.26,theta_1.27,theta_1.28,sigma,sigma_a,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,beta.19,beta.20,beta.21,beta.22,beta.23,beta.24,beta.25,beta.26,beta.27,beta.28,gamma.1,gamma.2,gamma.3,gamma.4
# Adaptation terminated
# Step size = 0.347182
# Diagonal elements of inverse mass matrix:
# 0.00401017, 0.0033837, 0.00225313, 0.00477594, 0.00473698, 0.00623636, 0.0075345, 0.00233106, 0.00638271, 0.00729382, 0.0175957, 0.00292621, 0.00407998, 0.014764, 0.00328483, 0.00662773, 0.00648472, 0.00642177, 0.00623725, 0.00823118, 0.0140423, 0.00981834, 0.00630718, 0.00558469, 0.00545737, 0.00990408, 0.00573751, 0.0153039, 0.0109742, 0.0201609, 0.0151257, 0.00614511, 0.0107684, 0.00239043, 0.00430028, 0.0152667, 0.00359575, 0.00628347, 0.00830707, 0.00376603, 0.0151647, 0.00692311, 0.0156778, 0.00546578, 0.00274675, 0.0107701, 0.0282917, 0.00500629, 0.0052202, 0.0109535, 0.00475919, 0.0311548, 0.00102478, 0.000964158, 0.00102069, 0.000995463, 0.000180262, 0.000172107, 0.000202869, 0.000209459, 0.000214931, 0.000158463, 0.000165722, 0.000167393, 0.000198175, 0.000158183, 0.000160336, 0.000176055, 0.000262324, 0.000142102, 0.000197301, 0.000140586, 0.000158757, 0.000206641, 0.000157892, 0.000148343, 0.000151534, 0.000171092, 0.000165223, 0.00016606, 0.000164323, 0.000165711, 0.000142814, 0.000184075, 8.09694e-05, 0.0225071
-2849.28,0.935115,0.347182,4,15,0,2881.84,5.58363,5.85684,6.00753,5.91848,5.83225,5.89928,5.92777,5.88706,5.65942,5.58488,5.98433,6.11596,5.93291,5.72113,5.8675,5.72864,5.76472,5.70133,6.03868,5.89518,5.67072,6.01178,5.6676,5.66968,5.69916,5.96657,6.08922,5.86164,6.37875,6.13457,5.41229,5.87151,5.94569,5.55101,6.15826,6.23672,5.77121,6.08288,5.52177,5.73657,5.63444,5.63045,5.9886,5.85139,6.00362,5.95041,5.28947,6.04397,5.9727,5.95627,5.83762,6.33124,-0.0388745,0.109848,-0.0457197,-0.0123573,0.0684945,0.00369489,-0.0728533,0.0383681,-0.0663871,-0.00939077,0.386223,0.262814,-0.58633,-0.863165,-0.102353,0.838423,-0.0427296,-0.0842765,0.172117,0.219549,0.0935651,-0.0204069,0.0338757,0.0741308,-0.0290575,-0.0223884,0.0553662,0.0148443,0.0117907,-0.0329404,-0.00612497,-0.0338803,0.955142,0.141556,0.654419,-0.0418798,-0.248125,0.0218203,0.00924026,0.00321175,-0.00761984,0.10023,-0.722842,-0.629437,-0.240861,0.9497,-0.54688,-0.231027,1.40385,0.986089,0.801292,-0.0341554,0.172667,0.207121,-0.103888,-0.105776,0.143853,-0.0341973,-0.0860075,-0.267717,-0.170725,-0.44748,-0.0190753,0.0739281,-0.326506,-0.00230423
-2848.15,0.800912,0.347182,4,15,0,2903.74,5.79949,5.85529,5.9176,5.97915,5.83784,5.86861,5.94658,6.05813,5.52173,5.70789,5.91275,5.96072,5.80964,6.18375,5.79514,5.66651,6.01538,5.82547,5.89984,5.81603,5.66366,5.76278,5.69267,5.61236,6.03536,6.03314,6.02145,6.00398,6.02799,6.01951,5.61521,5.95822,5.99099,5.74246,6.24597,6.0186,5.62889,5.98272,5.87851,5.76956,5.44239,5.63876,5.88155,5.87356,6.01674,5.81,5.70741,6.13941,5.86076,5.78759,5.94483,6.55651,-0.0480107,0.090009,0.0319288,0.0363368,0.0315053,0.0222389,-0.0517972,0.0532,-0.0773649,-0.0263527,0.35759,0.227038,-0.600634,-0.862359,-0.0894677,0.79947,-0.0981125,-0.117279,0.170583,0.20752,0.0912416,0.0229594,-0.0110846,0.0972228,-0.0211008,0.0267975,0.0226732,0.0223854,0.00383261,-0.00357174,-0.0127756,-0.0199915,0.967776,0.136331,0.571334,-0.0434635,-0.38255,0.0401566,0.0147556,1.63091e-05,-0.137773,0.06227,-0.852898,-0.745779,-0.169555,0.90212,-0.839964,-0.499884,1.4165,0.932741,0.794599,0.0187832,0.11458,0.272353,-0.0307131,0.0898503,0.0755895,0.08998,-0.0342274,-0.0710424,-0.262077,-0.264041,-0.0115157,0.0415819,0.200493,0.0067756
-2846.96,0.793754,0.347182,4,15,0,2890.65,5.56486,5.8441,6.00946,5.82328,5.84366,5.84696,5.91878,5.95789,5.5472,5.54638,5.82792,6.11736,5.94041,5.66624,5.90615,5.6006,5.82795,5.70381,6.04027,5.90133,5.45209,5.93274,5.72663,5.60437,5.733,5.88946,6.13136,5.64185,6.29047,6.02497,5.36222,6.03064,5.93724,5.58328,6.06582,6.1007,5.77154,6.00056,5.46495,5.71395,5.48829,5.57566,5.74861,5.81522,6.02098,5.75804,5.21769,6.04958,5.93751,5.94974,5.84632,6.29904,-0.0217733,0.12099,-0.0245764,-0.0378394,0.0717762,-0.000667624,-0.0851676,0.0438288,-0.0728976,-0.0125117,0.363144,0.269273,-0.609408,-0.855779,-0.0963303,0.837248,-0.0862051,-0.0912924,0.189283,0.225087,0.0897232,-0.0065336,0.0270467,0.0822552,-0.0274301,0.005425,0.0579616,0.0126771,0.000331802,-0.03101,0.00189384,-0.0178019,0.955525,0.148608,0.88632,-0.0593882,-0.281025,0.026363,0.00049147,0.00255331,-0.0588616,0.156717,-0.772293,-0.576205,-0.215591,0.954919,-0.783917,-0.238136,1.54639,1.03433,0.772378,-0.0155244,0.170944,0.2301,-0.0718462,-0.00044677,0.170162,-0.0268575,-0.107508,-0.218778,0.000322061,-0.235122,-0.0207671,0.0748137,-0.144519,-0.00705578
-2832.84,0.995488,0.347182,4,15,0,2875.54,5.68741,5.7837,5.96178,5.92062,5.83822,5.98103,5.98072,6.0236,5.64666,5.6948,5.89823,5.98078,5.96168,5.91601,5.85722,5.64239,5.83278,5.70693,5.89837,5.94958,5.56346,6.07051,5.67407,5.59799,5.78185,5.91518,6.09516,5.67208,6.10432,6.17466,5.55143,5.9541,6.06525,5.67097,6.12728,5.97929,5.70866,6.01766,5.66271,5.68921,5.73692,5.83654,5.75219,5.92322,5.97918,5.95837,5.51858,6.06448,5.88084,5.96251,5.9361,6.17424,-0.0344403,0.0869285,-0.0238593,-0.0261203,0.0265818,-0.00107476,-0.0802814,0.0700773,-0.076639,-0.039525,0.363759,0.253568,-0.594703,-0.864822,-0.0786692,0.813707,-0.0854212,-0.105966,0.173148,0.205715,0.104657,0.0163475,0.00314549,0.0913099,-0.0343592,0.00983812,0.0268739,0.000526228,-0.00729181,-0.00643964,-0.00872949,-0.0100618,0.955538,0.118643,1.0457,-0.0734716,-0.579398,0.0552294,0.0725876,-0.00616293,-0.0972209,0.13286,-0.809056,-0.743781,-0.143247,0.923521,-0.805552,-0.403852,1.42226,0.884331,0.911092,0.00927354,0.134155,0.253693,-0.0856564,0.0189574,0.0731925,-0.0462712,-0.080594,-0.0665886,-0.172399,-0.132893,-0.0238755,0.0553936,-0.150847,-0.00487057
-2848.85,0.632148,0.347182,3,7,0,2885.27,5.59213,5.78323,5.96961,6.03965,5.79721,5.73575,5.82138,6.06133,5.6534,5.66074,6.02779,6.14737,5.86762,6.15275,5.76602,5.71659,5.84272,5.715,5.85078,5.96826,5.55519,5.83831,5.6892,5.63485,5.80952,5.9136,5.95513,6.08931,5.97659,6.19638,5.39835,5.74565,5.91957,5.72842,6.18847,5.87241,5.62499,5.94839,5.87828,5.72572,5.65093,5.65689,5.82276,5.84097,6.04864,5.83675,5.59267,6.08958,5.94493,5.86948,5.86937,6.18271,-0.0128805,0.0489315,-0.0530936,-0.00131832,0.0393837,0.027575,-0.0589098,0.0508975,-0.0322564,-0.00687099,0.366172,0.245514,-0.589516,-0.833521,-0.0944444,0.796434,-0.0817106,-0.105543,0.163911,0.213144,0.0678554,0.00578196,0.0148512,0.0944931,-0.0636121,-0.0135422,0.0277686,0.00348013,-0.000249492,-0.00562334,-0.0116823,-0.0261825,0.958009,0.112206,0.276668,-0.018369,-0.345595,0.0310992,0.00783053,0.00606862,-0.0740306,0.0887317,-0.788707,-0.604483,-0.192074,0.905553,-0.752326,-0.447716,1.41816,0.996477,0.613955,-0.00467371,0.160964,0.260099,-0.178522,-0.0647318,0.0669748,-0.0434334,-0.0701601,-0.0933412,-0.25431,-0.34581,-0.00244351,0.0416105,-0.392113,-0.000245823
-2850.16,0.92066,0.347182,4,15,0,2893.73,5.68187,5.83994,5.94563,5.971,5.85913,6.03173,5.91889,5.95743,5.64622,5.67156,5.85256,5.93782,5.91649,5.80623,5.86343,5.70294,5.77181,5.6491,6.04805,5.76517,5.66756,5.93751,5.62841,5.63291,5.82273,6.0114,6.02556,5.64979,6.1684,5.98221,5.48963,6.06451,6.01903,5.67321,6.12847,6.19352,5.68314,6.04341,5.73409,5.74953,5.55025,5.67326,5.77717,5.86533,5.94526,6.08341,5.48119,5.95682,5.95169,5.82605,5.73912,6.32617,-0.0248611,0.0962946,-0.00300649,-0.0333638,0.0623267,-0.00581736,-0.0892046,0.0379344,-0.114779,-0.0351209,0.357667,0.242609,-0.607655,-0.893583,-0.106701,0.828854,-0.0763148,-0.0853775,0.174857,0.228316,0.105828,0.00289284,0.00344679,0.0872279,0.00584051,0.0206263,0.0356415,0.0330402,0.0208171,-0.0136246,0.00209286,-0.0202837,0.963333,0.128383,0.975822,-0.0675991,-0.275701,0.0272961,0.0318727,-0.00536247,-0.119737,0.0603309,-0.827222,-0.738626,-0.255053,0.934271,-0.707267,-0.180354,1.39822,1.02183,0.903506,0.00677327,0.130739,0.246254,0.0513917,0.0960605,0.149685,0.165259,0.0431718,-0.116816,-0.000777914,-0.267901,-0.0227556,0.0551655,0.0108672,-0.00622124
