# 0.0110068, 0.00720184, 0.00511462, 0.00935856, 0.00410915, 0.00520793, 0.00676831, 0.00196043, 0.00796124, 0.00991203, 0.0295986, 0.00379372, 0.00472175, 0.0174911, 0.00255795, 0.0433241, 0.00880727, 0.0063786, 0.00513289, 0.00960112, 0.015554, 0.0101351, 0.00780145, 0.00779625, 0.00977999, 0.0130955, 0.00609718, 0.0130226, 0.0114071, 0.0205722, 0.0255605, 0.00722879, 0.00814131, 0.00373136, 0.00247843, 0.0168993, 0.00353596, 0.00624999, 0.00906128, 0.00762785, 0.0441645, 0.00627635, 0.0293677, 0.00950946, 0.00233861, 0.0181778, 0.07519, 0.00406086, 0.00391996, 0.0105672, 0.00634775, 0.0146612, 0.00184946, 0.0016584, 0.00203393, 0.00207817, 0.000227268, 0.000162126, 0.000182326, 0.000203077, 0.000206344, 0.000232842, 0.000155204, 0.000226763, 0.000196897, 0.000165003, 0.000210036, 0.000154993, 0.000129508, 0.000144643, 0.000111309, 0.000130373, 0.000155845, 0.000133871, 0.000178841, 0.000110321, 0.000142132, 0.0192488, 0.000882307
2731.06,0.854343,0.375494,4,15,0,-2695.86,-1.6819,-1.48049,-1.41221,-1.38767,-1.47001,-1.28839,-1.60959,-1.47477,-2.01031,-1.61231,-1.4878,-1.26106,-1.34311,-0.846199,-1.68176,-2.17419,-1.42035,-1.69114,-1.18766,-1.8719,-1.1815,-1.41668,-1.61013,-1.67721,-1.39058,-1.44161,-1.36681,-1.60878,-1.36854,-1.15434,-1.61217,-1.75758,-1.27969,-2.01771,-0.889718,-1.59983,-1.67434,-1.29874,-1.28074,-1.38454,-2.17387,-1.24536,-2.03684,-1.59117,-1.32587,-1.47424,-2.23115,-1.01594,-1.48703,-1.31275,-1.11404,-1.16378,0.0878537,0.0803597,0.0921311,0.00460154,-0.0233303,-0.000159527,-0.0038034,0.0228034,-0.0818078,-0.147442,-0.172174,0.103665,-0.0680077,0.0161054,-0.0395929,0.0107849,0.024545,-0.00856085,0.00190362,0.0240789,0.00952514,0.0271774,0.0185827,0.0192096,-0.019933,0.283105,19.2347,0.0541758,-0.00821288,0.0897239,-0.0557645,0.107014,-0.611009,-2.3197,0.455028,-0.758612,0.229754,-0.0254333,0.053202,0.0628738,0.030518,0.0772712,0.152514,0.109533,0.146667,0.0745893,0.252051,-0.225213,0.0429339,0.0209817,0.673833,0.000858845
2739.31,0.990194,0.375494,4,15,0,-2699.75,-1.70826,-1.70094,-1.29302,-1.40466,-1.50522,-1.30978,-1.60325,-1.4295,-1.85972,-1.49366,-1.24626,-1.11896,-1.22562,-1.35134,-1.77237,-1.41217,-1.33865,-1.66639,-1.1441,-1.63795,-1.36689,-0.998065,-1.4267,-1.68816,-1.69613,-1.62592,-1.43537,-1.64894,-1.45314,-1.3665,-1.5812,-1.53971,-1.56286,-1.84795,-0.75015,-1.54628,-1.68592,-1.36845,-1.35341,-1.52428,-1.69591,-1.20118,-1.99303,-1.69328,-1.34013,-1.26239,-1.69784,-0.978293,-1.5101,-1.40496,-1.15079,-1.49368,-0.0503779,-0.0113377,-0.091599,0.00149421,-0.0352856,0.0427418,-0.0152957,0.0586295,-0.0947963,-0.153759,-0.151437,0.094479,-0.0765079,0.0305432,-0.0659042,0.0236118,0.0760878,-0.00509431,-0.0219942,0.00740799,0.018469,0.00545032,-0.00540096,0.0135992,-0.00305155,0.205503,18.2569,-0.0921754,0.00856152,0.0741403,-0.013009,0.117706,-0.660822,-2.15534,0.390743,-0.9595,0.470914,-0.0596838,0.14892,0.202526,-0.015031,-0.049071,0.0398124,0.0914945,0.01689,-0.0205502,0.206152,-0.0344778,-0.0199592,0.0169501,-0.676032,0.000278884
2735.73,0.79606,0.375494,4,15,0,-2697.83,-1.56753,-1.53688,-1.30304,-1.40827,-1.53505,-1.35796,-1.56052,-1.51277,-1.94871,-1.55724,-1.51459,-1.32073,-1.33143,-0.969773,-1.69107,-2.08166,-1.40967,-1.60791,-1.07941,-1.98095,-1.44729,-1.54167,-1.62733,-1.81085,-1.50482,-1.40608,-1.29455,-1.60978,-1.50754,-1.03395,-1.60204,-1.78343,-1.20531,-1.93332,-0.893125,-1.65847,-1.63853,-1.28546,-1.23697,-1.52789,-1.97745,-1.14789,-1.79737,-1.62511,-1.34771,-1.66277,-1.92311,-0.892257,-1.57902,-1.23881,-1.14188,-1.14449,-0.0242534,0.0812566,0.0318901,-0.0314453,-0.027723,0.00729397,0.00886545,0.0528187,-0.0805718,-0.171963,-0.180567,0.085511,-0.0853487,0.0289313,-0.054322,0.007116,0.0334166,-0.01296,-0.0166419,0.0279942,0.00506488,0.0250381,-0.00352625,0.0188414,-0.0281711,0.249434,18.9657,0.0392635,-0.00669905,0.157865,6.40357e-05,0.132511,-0.723891,-2.65348,0.272698,-0.987378,0.403211,-0.0545063,0.0578856,0.0890676,-0.0307504,-0.0351518,0.0980179,0.0102395,0.0593651,-0.0626865,0.225619,-0.318291,-0.0247687,0.037133,0.266399,-0.00586905
2735.26,0.874089,0.375494,4,31,0,-2695.11,-1.74694,-1.55581,-1.35479,-1.48167,-1.50807,-1.15046,-1.54363,-1.42345,-1.84161,-1.62968,-1.38003,-1.18143,-1.28192,-1.25869,-1.76523,-1.69834,-1.32225,-1.59681,-1.30835,-1.58962,-1.36213,-1.03367,-1.48736,-1.66852,-1.66491,-1.46826,-1.36133,-1.58623,-1.43994,-1.36089,-1.5866,-1.57384,-1.41441,-1.8609,-0.752927,-1.43334,-1.77363,-1.31729,-1.3441,-1.53725,-2.08754,-1.22253,-2.13098,-1.85291,-1.31338,-1.31731,-1.91187,-1.08515,-1.40599,-1.42884,-1.1631,-1.15451,0.0100734,0.0370451,-0.0265482,-0.0122509,-0.0412134,0.0392763,-0.0255261,0.0511178,-0.0994782,-0.18037,-0.140765,0.115561,-0.0636523,0.0330518,-0.0572991,0.0220417,0.0816365,-0.0232172,-0.0245114,0.00885771,0.0188307,0.0107638,0.0151446,0.0214115,0.00301288,0.220441,17.8891,-0.0924472,0.0073452,0.0345327,-0.0304556,0.129074,-0.801144,-1.76649,0.584749,-0.863396,0.523689,-0.0379502,0.153541,0.217339,-0.0233855,0.00428021,0.114614,0.17307,0.116989,0.111739,0.344168,0.0340409,0.0030925,0.0273267,-0.183204,-0.00228654
2724.41,0.759361,0.375494,4,15,0,-2692.89,-1.70325,-1.70555,-1.25022,-1.43789,-1.55915,-1.28352,-1.63123,-1.40302,-1.88489,-1.49408,-1.38063,-1.31486,-1.40145,-1.00847,-1.67901,-1.95099,-1.44593,-1.61752,-1.10124,-1.93152,-1.61666,-1.4255,-1.62946,-1.85734,-1.45927,-1.54569,-1.33717,-1.59489,-1.45745,-1.00976,-1.79674,-1.73873,-1.15627,-1.92088,-0.931892,-1.5937,-1.65528,-1.26111,-1.33522,-1.53544,-1.63099,-1.18959,-1.68861,-1.55779,-1.30433,-1.43216,-2.3196,-0.907729,-1.55523,-1.31391,-1.21057,-1.2621,0.0122947,0.023619,-0.0350146,-0.0987229,-0.0288305,-0.00557808,-0.00270884,0.0606074,-0.111778,-0.149059,-0.206418,0.0951007,-0.0846028,0.0193439,-0.0430442,0.00707304,0.0355127,0.011547,-0.00534873,0.029783,0.0221621,0.0287196,-0.00226328,0.0191247,-0.0318739,0.331015,19.2917,0.124085,-0.0161555,0.127781,0.0248005,0.0790515,-0.612691,-3.01759,0.326821,-0.929975,0.277461,-0.0410813,0.0593451,0.0919042,0.0501305,0.01108,0.116629,0.0963054,0.0712429,-0.0641891,0.220795,-0.360126,-0.027449,0.0229654,-0.15876,-0.018426
2732.07,1,0.375494,4,15,0,-2687.51,-1.52497,-1.6555,-1.23152,-1.57193,-1.43799,-1.20823,-1.66,-1.4695,-1.83302,-1.46124,-1.44993,-1.21377,-1.32507,-1.11975,-1.69313,-1.75167,-1.34784,-1.87188,-1.31782,-1.81939,-1.46941,-1.24772,-1.43345,-1.675,-1.64976,-1.48985,-1.37779,-1.66755,-1.37681,-1.48459,-1.63038,-1.50705,-1.21974,-1.86054,-0.760175,-1.60888,-1.71589,-1.30636,-1.37433,-1.42559,-1.77057,-1.07224,-1.94104,-1.6694,-1.30072,-1.52802,-1.95526,-1.06323,-1.44445,-1.41066,-1.17885,-1.17052,0.0209455,0.0960101,0.0892528,-0.0298687,-0.0647688,0.0272097,0.00163955,0.0523615,-0.104972,-0.153182,-0.147168,0.0858346,-0.0715905,0.0246609,-0.0421098,0.0202162,0.0780868,-0.0311582,-0.0376208,0.0184551,0.0317101,0.0150843,0.00830159,0.0153919,-0.0155837,0.334517,18.6053,-0.0937492,0.004721,0.12091,-0.0182705,0.092267,-0.68168,-2.08766,0.367037,-0.896645,0.439463,-0.0342652,0.145527,0.209176,-0.0673439,-0.0596909,0.112032,0.182641,0.0713448,0.0255492,0.202932,-0.176072,-0.00410567,0.0307199,0.687234,-0.00557478
2721.36,0.76938,0.375494,3,7,0,-2686.82,-1.47878,-1.68821,-1.22521,-1.61184,-1.43833,-1.185,-1.63469,-1.45853,-1.84088,-1.45006,-1.39756,-1.1835,-1.33884,-1.14118,-1.67347,-1.71219,-1.26751,-1.91165,-1.35981,-1.80505,-1.49942,-1.18904,-1.4449,-1.5984,-1.62935,-1.52377,-1.36469,-1.67133,-1.45914,-1.52939,-1.69667,-1.50617,-1.20935,-1.88392,-0.770775,-1.60253,-1.72016,-1.2622,-1.45653,-1.39975,-1.79764,-1.07919,-1.93913,-1.74063,-1.3024,-1.53303,-1.88803,-1.07114,-1.4579,-1.33694,-1.21277,-1.14869,0.00183865,0.110941,0.0748584,0.00455752,-0.0645191,0.0276539,0.0107658,0.0575464,-0.0924315,-0.153581,-0.141841,0.0796731,-0.066969,0.023447,-0.0410694,0.0211434,0.0734895,-0.0244184,-0.0397365,0.0165404,0.0342102,0.0169426,0.0101572,0.0156093,-0.0117917,0.331777,18.9695,-0.101431,0.00568243,0.144178,0.00268069,0.0994786,-0.678034,-2.02558,0.327407,-0.847978,0.421653,-0.0301223,0.141122,0.196897,-0.0435717,-0.0548284,0.119348,0.209909,0.0927376,0.044442,0.21585,-0.133228,-9.70866e-05,0.042257,0.546681,0.00085063
2726.66,1,0.375494,4,15,0,-2679.69,-1.65871,-1.67095,-1.35019,-1.43408,-1.60015,-1.35307,-1.5677,-1.57966,-1.90687,-1.54909,-1.51809,-1.26227,-1.32988,-1.3078,-1.71518,-1.64023,-1.19339,-1.62002,-1.11509,-1.81352,-1.71635,-1.28199,-1.4346,-1.7025,-1.41728,-1.51252,-1.36869,-1.40387,-1.46571,-1.01812,-1.35107,-1.70853,-1.4132,-1.89979,-0.785653,-1.71101,-1.63251,-1.405,-1.23181,-1.4976,-1.56002,-1.26664,-1.66218,-1.53977,-1.40363,-1.3096,-2.03864,-0.955861,-1.59264,-1.46069,-1.0999,-1.44867,-0.00958441,-0.0283935,-0.00739717,-0.0457228,-0.036108,0.00628715,0.00857467,0.0676715,-0.0719343,-0.108319,-0.175328,0.0804808,-0.0679336,0.0235075,-0.0650293,-0.00803232,0.0619096,0.0016751,0.0124583,0.0129678,0.0112064,0.0165445,-0.0114971,0.0102355,-0.0242552,0.271893,19.5652,0.0672737,-0.0105223,0.145164,0.0518124,0.107206,-0.422416,-2.55387,0.309142,-0.816374,0.338463,-0.0671875,0.0634982,0.161773,0.00335458,0.0197766,0.0172452,0.00873707,-1.49686e-05,-0.105796,0.100136,-0.274047,-0.0219475,-0.0133294,-0.00858167,-0.00853384
2731.4,0.99046,0.375494,4,15,0,-2693.75,-1.73741,-1.4279,-1.33614,-1.41752,-1.44357,-1.31258,-1.58282,-1.42842,-1.96263,-1.55014,-1.41662,-1.2072,-1.25016,-1.01087,-1.72886,-2.0162,-1.57228,-1.66398,-1.10431,-1.81633,-1.12765,-1.13747,-1.60547,-1.72754,-1.70546,-1.40812,-1.21535,-1.84109,-1.44704,-1.4145,-1.81007,-1.59776,-1.41852,-1.88981,-0.817232,-1.59539,-1.62008,-1.19794,-1.27373,-1.46098,-2.41044,-1.0935,-2.21135,-1.74913,-1.39396,-1.58085,-2.13376,-1.0406,-1.36393,-1.16712,-1.2045,-1.29728,0.0178496,0.0855276,-0.0430956,-0.0789033,-0.056337,0.0401575,0.00644065,0.055842,-0.0811708,-0.165332,-0.148412,0.0857428,-0.0631196,0.0140516,-0.0661042,0.032235,0.049424,-0.0211667,-0.027526,0.024423,0.0223175,0.0188275,0.0122519,0.0341802,-0.008819,0.247718,17.9252,-0.111177,0.00877869,0.121197,-0.0225084,0.13802,-0.671979,-2.03992,0.366125,-0.789661,0.282852,-0.0479386,0.131605,0.131915,-0.012835,0.00300436,0.16881,0.181924,0.13256,0.0833428,0.515261,-0.0996412,-0.0155622,0.0590075,-0.238161,-0.0147268
2726.14,0.942387,0.375494,4,15,0,-2683.06,-1.44329,-1.62806,-1.34188,-1.50543,-1.58975,-1.18886,-1.56542,-1.54488,-1.90129,-1.54,-1.45567,-1.2273,-1.29274,-1.30222,-1.77351,-1.8585,-1.23438,-1.55945,-1.19172,-1.79959,-1.7558,-1.30592,-1.52771,-1.68393,-1.42275,-1.45262,-1.37122,-1.44436,-1.40723,-1.07476,-1.35465,-1.67593,-1.36276,-1.88317,-0.78457,-1.65637,-1.66206,-1.39767,-1.23971,-1.47424,-1.45508,-1.14905,-1.97049,-1.5938,-1.27533,-1.39173,-1.89734,-0.834878,-1.70235,-1.45747,-1.1266,-1.24096,-0.0606915,0.0544912,-0.0267552,0.00332432,-0.0330487,0.00855486,-0.0215989,0.0454481,-0.0739122,-0.150794,-0.158132,0.0819994,-0.0928347,0.0409386,-0.0708103,0.00469731,0.0758093,-0.0142195,-0.00425237,0.00653503,0.0181556,0.00853065,-0.0183527,0.00862312,-0.0337014,0.272685,19.1648,0.0361228,-0.00784443,0.0681628,-0.0399301,0.136481,-0.632845,-2.40971,0.251304,-1.12859,0.556763,-0.0821529,0.109566,0.201497,-0.0737772,-0.0663095,-0.044336,-0.00474559,-0.0752168,-0.165964,0.0511153,-0.380775,-0.0275753,0.0368534,-0.200361,0.000620462
