# 0.00416545, 0.00315674, 0.00237109, 0.00393542, 0.00565824, 0.00733095, 0.00641197, 0.00195028, 0.00642014, 0.00703604, 0.017321, 0.00300524, 0.00315018, 0.0154222, 0.0029004, 0.00662668, 0.0072735, 0.00693812, 0.00508191, 0.00755563, 0.0111654, 0.0101266, 0.00547923, 0.00568678, 0.00469007, 0.00993948, 0.00553639, 0.0136978, 0.00923031, 0.0156866, 0.0157059, 0.00607314, 0.0117853, 0.0026891, 0.00344653, 0.0142558, 0.00318755, 0.00623513, 0.0110241, 0.00366229, 0.0138767, 0.00570357, 0.0151105, 0.00662648, 0.0025708, 0.0121147, 0.02769, 0.00551843, 0.00539696, 0.00908248, 0.00571324, 0.0263626, 0.000944303, 0.00092626, 0.000923343, 0.00100293, 0.000167405, 0.000174419, 0.00023811, 0.000172994, 0.000215504, 0.000155358, 0.000175944, 0.000184704, 0.000145511, 0.000150139, 0.000149117, 0.000175944, 0.000216043, 0.000166503, 0.000157444, 0.000172249, 0.000166662, 0.000200674, 0.000138953, 0.000146438, 0.000158697, 0.000171563, 0.000139528, 0.000154245, 0.000148098, 0.000179373, 0.000179056, 0.000158143, 8.21658e-05, 0.0249572
-2844.92,0.879584,0.354846,4,15,0,2888.05,5.6492,5.92438,5.92217,5.82733,5.94633,5.90823,5.9435,5.94732,5.47074,5.67789,5.94283,6.02964,5.8271,5.784,5.90219,5.84284,5.86606,5.69027,5.97401,5.75573,5.71714,5.77141,5.83112,5.75543,5.93591,5.95724,6.02983,5.76471,6.17599,5.97473,5.35717,6.0183,5.8828,5.72108,6.08618,6.09294,5.71838,6.01725,5.66768,5.78478,5.53855,5.70926,5.74659,5.91253,6.03951,5.82657,5.31799,6.00276,5.95162,5.76563,5.82912,6.27465,-0.0042125,0.122314,-0.0103298,-0.0196584,0.0293569,0.026838,-0.0416409,0.0554734,-0.0853902,-0.00536084,0.376811,0.26036,-0.588915,-0.880791,-0.0898776,0.826711,-0.0640219,-0.112196,0.153379,0.244817,0.0972643,0.00696447,0.0251393,0.104407,-0.0359834,-0.0100002,0.0308099,0.0305076,0.00203033,-0.0232029,0.0170516,-0.0307765,0.968498,0.11713,0.416129,-0.0324723,-0.347064,0.0372849,-0.0464317,0.00669834,-0.0830853,0.136877,-0.781299,-0.711221,-0.203277,0.931569,-0.668865,-0.481144,1.30504,1.10817,0.852288,-0.0028777,0.196641,0.290146,-0.103922,-0.0487327,0.0813352,0.097441,-0.083621,-0.177649,0.243184,-0.406486,-0.00584851,0.0715644,-0.0570144,-0.00366563
-2848.41,0.837606,0.354846,4,15,0,2884.75,5.59687,5.77597,6.01866,5.99658,5.73933,5.86725,5.93771,6.07069,5.68569,5.657,5.91343,6.14929,5.93057,6.07697,5.77965,5.5436,5.88528,5.75339,6.04663,5.90526,5.509,6.01389,5.48348,5.52307,5.80635,5.87505,6.01305,5.88818,6.03592,6.13902,5.56341,5.86945,6.03972,5.64568,6.30821,6.03321,5.6483,6.00237,5.78476,5.68375,5.5738,5.59805,5.77506,5.87571,5.93915,6.01616,5.38432,6.12642,5.88706,5.93739,5.91356,6.23209,-0.0562663,0.0732119,-0.0387473,-0.00399222,0.0614625,0.00228646,-0.0825447,0.0395752,-0.0455775,-0.0257241,0.359648,0.25291,-0.61714,-0.85971,-0.103131,0.802574,-0.0768111,-0.0915485,0.165577,0.187412,0.0836105,-0.00640508,-0.00809803,0.0573836,-0.0236864,0.0172389,0.0462392,0.00583212,0.0121151,-0.00267314,-0.0333059,-0.0165895,0.94694,0.145102,0.764059,-0.0498288,-0.258707,0.0216482,0.0851905,-0.00309621,-0.0904733,0.0718916,-0.872906,-0.698255,-0.208393,0.906152,-0.665381,-0.321382,1.3319,0.849414,0.70953,-0.007149,0.0652672,0.161196,-0.0357497,0.0673165,0.164977,-0.009844,-0.003021,-0.0817906,-0.617313,-0.219108,-0.0263605,0.0514326,-0.28315,-0.000744416
-2846.53,0.959902,0.354846,4,15,0,2888.19,5.63839,5.83002,5.94103,5.8968,5.85224,5.93391,5.81655,5.9852,5.60044,5.61981,6.04541,6.00199,5.80302,5.83921,5.86726,5.76559,5.81559,5.8064,5.92315,5.92527,5.70159,5.91565,5.81885,5.67452,5.84034,6.01288,6.04066,5.82361,6.2177,6.01103,5.34855,5.95131,5.89335,5.6842,6.05706,6.19509,5.65165,6.10776,5.68366,5.78522,5.60331,5.68127,5.81318,5.8835,6.07795,5.87054,5.38071,6.08862,6.01498,5.8295,5.70468,6.34495,-0.0519263,0.115592,-0.0331831,0.00824454,0.045062,0.0318769,-0.0717892,0.0573041,-0.07708,-0.00964666,0.362426,0.235044,-0.568005,-0.881373,-0.112052,0.833677,-0.0853035,-0.110902,0.19731,0.235507,0.0970007,0.0288399,0.0241669,0.116476,-0.0157218,-0.00650145,0.0431937,0.0175782,-0.0022263,-0.013272,0.01174,-0.0289493,0.958591,0.140512,0.362427,-0.0267735,-0.455645,0.0442669,-0.0616104,0.00792344,-0.0761886,0.0481704,-0.726527,-0.724311,-0.26534,0.945585,-0.863277,-0.363851,1.63481,1.06788,0.859137,0.0188201,0.212868,0.324876,-0.0411118,-0.0233658,0.139599,0.0366366,-0.0820692,-0.119543,0.153035,-0.382353,-0.0189468,0.0735877,-0.254077,0.00153733
-2851.42,0.809184,0.354846,4,15,0,2893,5.72254,5.77143,6.00686,5.94002,5.88352,5.92241,5.82255,6.05616,5.56266,5.58034,6.13058,6.05538,5.9167,5.98539,5.7904,5.70416,5.93117,5.70721,5.90951,5.80592,5.75468,5.95117,5.68297,5.52067,5.89368,5.87816,5.84123,5.69678,6.1272,6.20091,5.48823,5.91184,5.95073,5.74972,6.2147,6.11006,5.67621,6.11792,5.53323,5.79914,5.60954,5.61244,5.8286,5.88904,5.97014,6.03424,5.74906,6.04257,6.0289,5.83687,5.88999,6.48475,-0.0717434,0.123667,-0.0330832,-0.0121307,0.0880417,0.0339664,-0.0781397,0.0518606,-0.0767186,-0.0249286,0.372257,0.239972,-0.604436,-0.863253,-0.111682,0.801972,-0.0645233,-0.0925071,0.1686,0.227812,0.0833793,0.00336327,-0.010823,0.11141,-0.0189338,0.00737047,0.0369529,0.0105655,-0.00797391,0.00403586,-0.0293167,-0.00536543,0.972547,0.118565,0.392637,-0.0234996,-0.403297,0.0376371,0.0333994,-0.00137836,-0.0689638,0.0637519,-0.844237,-0.687586,-0.271636,0.904557,-0.653878,-0.28763,1.41779,1.06306,0.73351,0.00400778,0.135373,0.31116,-0.0312766,0.0359858,0.135725,0.0285364,-0.0692876,-0.016639,-0.526237,-0.0708648,-0.0365899,0.0783075,-0.233094,-0.00226198
-2855.11,0.824866,0.354846,4,15,0,2905.29,5.51848,5.9471,5.90312,5.80532,5.88865,5.88338,5.92527,6.0611,5.47459,5.62161,6.00706,6.09689,5.92741,5.75288,5.90826,5.62983,6.00652,5.93087,5.85966,5.91201,5.42735,5.82815,5.63566,5.67896,5.78666,5.87733,6.07174,5.71584,5.97412,6.19782,5.48141,5.8889,5.94346,5.73325,6.20416,6.07082,5.61362,6.06437,5.61345,5.6769,5.54439,5.618,5.64016,5.91497,6.03102,5.88444,5.08,6.0234,5.98918,5.94057,5.92421,5.89755,0.0289022,0.0801834,-0.00268864,-0.0517364,0.0814223,0.00903402,-0.0479905,0.0328052,-0.0506949,-0.0152725,0.363452,0.237289,-0.621539,-0.864673,-0.0987206,0.788617,-0.0876346,-0.101939,0.148406,0.222204,0.0671115,0.000419577,-0.013051,0.107509,-0.0217791,0.00869768,0.0439909,0.00418305,0.0121565,-0.0128491,-0.0298004,-0.0232981,0.951799,0.126723,0.594564,-0.0395475,-0.175614,0.0178493,0.0340837,0.00168007,-0.137928,0.0673083,-0.914246,-0.682912,-0.211237,0.884826,-0.714957,-0.425965,1.27222,1.06975,0.599794,-0.00771924,0.124469,0.301391,-0.0546115,0.0128594,0.126136,-0.0525478,-0.0371824,-0.151991,-0.568027,-0.307713,-0.0020191,0.0462413,0.0314746,-0.00964712
-2852.38,0.968454,0.354846,4,15,0,2896.63,5.62445,5.77788,5.94956,5.93905,5.76345,5.99023,5.95463,6.07339,5.58874,5.70028,5.84231,6.01359,5.8312,5.99765,5.75871,5.59165,5.68374,5.54245,6.0295,5.80282,5.64199,6.00104,5.76785,5.56646,5.85679,6.0034,6.01043,5.90735,6.15646,6.04121,5.46567,6.04047,6.12795,5.65036,6.15345,6.00897,5.63809,6.05555,5.84156,5.83038,5.51603,5.70595,5.75542,5.84353,5.99257,5.89349,5.36533,6.18876,5.88036,5.69476,5.87122,6.62795,-0.0738118,0.13485,0.00572196,0.0547852,0.044113,0.0311755,-0.0895414,0.0607145,-0.0701029,-0.0168437,0.361818,0.282536,-0.582578,-0.86064,-0.0931348,0.834044,-0.0723196,-0.101378,0.202506,0.208531,0.123402,0.00771598,0.0302029,0.06954,-0.0334467,0.00643248,0.0244902,0.0156018,0.0029408,-0.00837216,0.00525565,-0.0134081,0.968771,0.148382,0.460625,-0.0312335,-0.41495,0.038506,0.00176401,0.00234352,-0.0177965,0.188979,-0.729582,-0.719468,-0.208298,0.958506,-0.782889,-0.294543,1.6074,0.855116,1.05359,0.00633007,0.158876,0.192692,-0.0714373,0.0287706,0.0893764,0.0617132,-0.0231111,-0.0691493,0.0676773,-0.177089,-0.0152706,0.0735198,-0.0120267,0.0102156
-2857.52,0.997381,0.354846,4,15,0,2894.3,5.70072,5.82757,5.98003,5.95901,5.87731,5.79539,5.83369,5.96975,5.53901,5.63349,6.0582,6.13145,5.90197,5.90251,5.87238,5.68337,6.02684,5.90318,5.96509,5.97987,5.45052,5.80531,5.70371,5.64812,5.88198,5.85896,6.11036,5.7494,6.11353,6.22656,5.49549,5.98808,5.84518,5.74015,6.27117,6.15178,5.70425,6.04933,5.59015,5.71699,5.64246,5.58741,5.67303,5.92113,6.03433,5.97877,5.07758,6.02151,6.00791,6.06245,5.83433,5.87233,0.0162634,0.0593098,-0.0904666,-0.111928,0.0620351,0.00952999,-0.0473885,0.0435503,-0.0428495,-0.0111107,0.383212,0.215179,-0.616085,-0.871846,-0.0973214,0.79911,-0.0712347,-0.102468,0.139116,0.233014,0.0686868,-0.0256846,-0.0146765,0.104699,-0.0317731,0.00451299,0.0438332,0.0232738,0.00178195,-0.0163003,-0.0183273,-0.0265751,0.948777,0.168554,0.616653,-0.0416318,-0.260118,0.0249705,0.0390458,0.00274579,-0.140972,-0.00814144,-0.858737,-0.650127,-0.221648,0.901214,-0.589321,-0.457939,1.2086,1.12029,0.599091,-0.0305201,0.117185,0.292772,-0.0828353,-0.00147188,0.124122,0.0452052,-0.0950523,-0.166424,-0.37206,-0.350995,-0.025431,0.0585769,-0.559161,-0.0208708
-2854.68,0.917884,0.354846,4,15,0,2907.91,5.52833,5.81073,5.98962,5.89653,5.79669,5.95603,5.93274,5.97857,5.64136,5.5482,5.88787,5.99036,5.83866,5.98515,5.81844,5.68338,5.75715,5.65295,6.11832,5.82083,5.60264,5.9359,5.51381,5.62812,5.91564,5.9274,6.01133,5.98104,6.1173,5.79357,5.47379,5.89139,5.93725,5.55082,6.15716,6.07444,5.67453,6.04748,5.77259,5.74245,5.3148,5.70639,5.99151,5.90478,5.99539,5.84869,5.59577,6.20447,5.87681,5.80159,6.02047,6.41945,-0.0751249,0.0959591,0.0238167,0.0966396,0.0401661,0.00841951,-0.0599866,0.0614166,-0.0771406,-0.00833209,0.357996,0.291363,-0.584027,-0.860201,-0.0982003,0.833842,-0.0639432,-0.0988875,0.193631,0.185123,0.0950147,0.0205647,0.0216028,0.0705404,-0.0192255,-0.0116447,0.0266884,0.0227977,0.00522699,-0.0107304,-0.00109832,-0.0164737,0.966327,0.173702,0.8268,-0.0586576,-0.399785,0.0407297,-0.0381316,0.00631002,-0.018091,0.167665,-0.75764,-0.721315,-0.18436,0.943016,-0.733177,-0.311258,1.56121,0.794228,0.823618,0.0143661,0.142913,0.196416,-0.0497514,-0.033201,0.0929188,0.0920094,-0.0285721,-0.0958613,-0.0499071,-0.217579,-0.0026231,0.0464364,0.0804752,0.0180201
-2838.71,0.953221,0.354846,4,15,0,2896.09,5.69227,5.83743,5.8721,5.93096,5.8228,5.85505,5.87886,6.0908,5.5415,5.69485,5.82551,6.11133,5.86414,5.8392,5.83078,5.73082,5.91548,5.82282,5.86572,5.70938,5.59037,5.76632,5.73488,5.56467,5.77296,5.966,6.08066,5.656,6.03596,6.27831,5.40724,5.91266,6.01671,5.70828,6.1788,6.13671,5.62647,5.96547,5.72329,5.69586,5.66961,5.59315,5.72545,5.82849,5.98378,5.87308,5.33137,5.91857,6.01131,5.86349,5.72076,6.36567,0.00204295,0.121056,-0.027541,-0.0219648,0.0590066,0.0118907,-0.0856258,0.0425216,-0.0460911,-0.0387312,0.361742,0.218369,-0.613152,-0.877971,-0.0907037,0.795763,-0.0980456,-0.123564,0.174743,0.232452,0.0843499,0.0118787,-0.0089538,0.10484,-0.0283961,0.0148429,0.0413718,0.0244979,0.0120183,-0.0109673,-0.01062,-0.0306406,0.952912,0.133836,0.586177,-0.0384508,-0.34606,0.0294988,0.103343,-0.00606651,-0.177498,0.0445011,-0.885898,-0.760076,-0.197493,0.90337,-0.82989,-0.540723,1.46827,1.08486,0.741558,0.00650336,0.129147,0.293261,-0.0537566,0.052703,0.13974,0.0812171,-0.0256549,-0.132706,-0.243874,-0.404691,-0.00232343,0.0754711,-0.182257,-0.0040957
-2843.54,0.602121,0.354846,4,15,0,2887,5.58736,5.87689,5.92311,5.85618,5.88133,5.92304,6.06293,6.04418,5.61523,5.68939,5.70242,6.00223,5.76049,5.83394,5.84576,5.70614,5.8199,5.6494,5.98197,5.89904,5.55885,5.79366,5.68955,5.57114,5.91621,5.91578,5.8989,5.67111,6.15992,6.15319,5.45486,5.96332,5.85373,5.58171,6.08082,6.20016,5.72379,6.02319,5.81292,5.68553,5.46147,5.64667,5.80754,5.96295,6.00416,5.80507,5.38728,6.12139,5.95017,5.91782,5.96544,6.32589,-0.0248339,0.131621,0.0368717,0.0020518,0.0359629,-0.000446582,-0.0727613,0.0478845,-0.0661763,-0.041032,0.371503,0.278154,-0.605197,-0.870173,-0.0897777,0.797186,-0.0541254,-0.116083,0.189404,0.214402,0.0990563,0.0082471,0.025423,0.0798106,-0.0425831,-0.00252686,0.0387246,0.0395561,0.0109056,-0.0165537,-0.0165538,-0.00852928,0.951986,0.172153,0.772306,-0.0533886,-0.314718,0.0293556,0.113146,-0.00878713,-0.06141,0.176653,-0.86717,-0.825018,-0.204842,0.910479,-0.660832,-0.466487,1.54186,0.943831,0.856807,0.00699281,0.163947,0.22201,-0.0907936,0.0111337,0.149225,0.18421,-0.0166077,-0.134106,-0.307346,-0.112652,-0.0114898,0.0639694,0.27118,0.000382593
