lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,theta.10,theta.11,theta.12,theta.13,theta.14,theta.15,theta.16,theta.17,theta.18,theta.19,theta.20,theta.21,sigma,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,beta.19,beta.20,beta.21
# Adaptation terminated
# Step size = 0.657781
# Diagonal elements of inverse mass matrix:
# 0.000161828, 0.000164222, 0.000155247, 0.000181325, 0.000167208, 0.000141105, 0.000141401, 0.000143922, 0.00015362, 0.000141104, 0.000181518, 0.000129587, 0.000158459, 0.000166349, 0.000161346, 0.000179709, 0.000148532, 0.000135879, 0.000125797, 0.000138347, 0.000171386, 0.000140385, 0.000196759
46.8011,0.712614,0.657781,3,7,0,-37.3526,6.71209,0.0187143,-0.0874711,0.0154689,-0.195377,0.856876,-0.151536,-0.186168,0.102411,-0.00720524,0.0166512,-0.0992695,-0.00355713,0.0575471,-0.000755346,0.0194173,0.0404156,0.0263127,0.0235747,-0.0107453,0.0101645,-0.0295269,0.600647,0.273427,-0.0217695,0.00290841,-0.0718425,1.14645,-0.593112,-2.23243,0.693336,-0.31796,0.272968,-0.0949929,0.0749406,0.1608,0.0259457,0.0726051,0.130199,0.0848147,0.0211313,-0.1145,0.0856569,-0.333735
49.767,0.957201,0.657781,3,7,0,-40.3646,6.74406,0.0370939,-0.0967819,0.0328732,-0.172085,0.84848,-0.15346,-0.175844,0.0997938,-0.0229735,0.0243257,-0.0889788,0.0124546,0.06648,0.0140409,-0.00426079,0.0244424,0.0205493,0.0431353,-0.0220681,0.0189192,-0.0339733,0.601001,0.424561,-0.0305919,0.0759183,-0.0141462,1.13094,-0.642677,-2.17021,0.606045,-0.49698,0.408841,-0.0890789,0.117078,0.185441,0.0370838,-0.0163842,0.0649497,0.0507669,0.075109,-0.175316,0.21213,-0.38399
49.7625,0.754917,0.657781,3,7,0,-41.3203,6.70907,0.0230031,-0.0850365,0.0169849,-0.193162,0.862769,-0.162885,-0.187313,0.101021,-0.0173647,0.0298723,-0.110805,0.00548847,0.0450401,0.00308312,0.014458,0.0179087,0.0266195,0.0299072,0.00379042,0.0227765,-0.0249729,0.587652,0.258239,-0.0198928,0.00716756,-0.0849777,1.17372,-0.621815,-2.32218,0.605867,-0.47137,0.410869,-0.0937793,0.0748171,0.12551,0.0532389,0.0907429,0.104684,0.152901,0.111051,-0.0121971,0.295374,-0.282262
42.8628,0.54464,0.657781,3,7,0,-37.3441,6.71055,0.0370468,-0.10209,0.0486193,-0.167695,0.862752,-0.159354,-0.178568,0.124775,-0.00236149,0.054411,-0.0964866,0.0280816,0.0472773,0.0084113,0.0245809,0.0304766,0.0223136,0.0468652,-0.0167193,0.0234985,-0.0245945,0.59703,0.510509,-0.0366203,0.116329,0.0259526,1.1629,-0.661189,-1.9567,0.780024,-0.389461,0.668579,-0.0855274,0.124357,0.133986,0.0656046,0.106171,0.124414,0.100753,0.130586,-0.119818,0.307676,-0.277985
44.2707,1,0.657781,3,7,0,-33.5153,6.72734,0.0119074,-0.0771706,0.0115271,-0.187136,0.853367,-0.159876,-0.18549,0.0783471,-0.0406776,0.0077007,-0.10369,-0.00415753,0.058267,0.00477424,-0.00228074,0.0120439,0.0242915,0.0262629,-0.00391254,0.0127498,-0.0294807,0.597351,0.119512,-0.0112467,0.00541353,-0.0969756,1.14996,-0.61327,-2.55137,0.419941,-0.614315,0.209443,-0.0970257,0.0719632,0.160943,0.0212006,0.00298055,0.0439454,0.0984579,0.0541648,-0.0750569,0.126419,-0.333212
43.1328,0.945347,0.657781,3,7,0,-36.0788,6.72619,0.0481416,-0.0982271,0.0484315,-0.178256,0.854547,-0.165789,-0.176031,0.1298,0.00213629,0.0461664,-0.103508,0.0333749,0.0482966,0.00960248,0.0188205,0.0299987,0.0123535,0.0380625,-0.0145983,0.0309319,-0.0313196,0.593519,0.461426,-0.0322311,0.108193,-0.0109333,1.16187,-0.690476,-1.86479,0.863314,-0.332867,0.588155,-0.0957639,0.136706,0.136271,0.0537811,0.0731344,0.105562,0.0394393,0.0916786,-0.115771,0.407654,-0.353996
42.1532,0.792555,0.657781,3,7,0,-31.2958,6.70307,0.0208058,-0.0873172,0.0215805,-0.14018,0.857044,-0.14916,-0.187562,0.0996148,-0.0147994,0.0152291,-0.102979,0.0225818,0.0590161,0.00593185,-0.0106333,0.0336109,0.024295,0.0317158,-0.0153747,0.0281909,-0.0233991,0.604824,0.366113,-0.0274055,0.0418702,0.0491323,1.15789,-0.593392,-2.31207,0.643113,-0.414914,0.30668,-0.0952579,0.128189,0.164139,0.0326344,-0.0035853,0.128389,0.101768,0.0759693,-0.104575,0.38445,-0.264473
41.9722,0.911649,0.657781,3,7,0,-29.2002,6.74623,0.0355189,-0.0952656,0.0397657,-0.219745,0.863278,-0.170978,-0.183294,0.0990973,-0.0400825,0.0391971,-0.0997517,0.0117432,0.0471376,0.00278736,0.0250857,0.00273999,0.0146905,0.0326548,-0.00685955,0.0156894,-0.0321795,0.589461,0.287808,-0.0212682,0.0865032,-0.1437,1.1672,-0.687324,-2.39539,0.514228,-0.678092,0.497384,-0.0933831,0.0896714,0.131539,0.0239849,0.0710796,0.00214486,0.0484919,0.0712804,-0.0937262,0.165857,-0.363716
40.1967,0.778817,0.657781,3,7,0,-27.4175,6.71068,0.0344303,-0.0870103,0.0610037,-0.187721,0.858026,-0.147954,-0.207465,0.0828259,-0.0152112,0.018785,-0.0939965,0.0200464,0.0447597,0.0164941,0.0112293,0.000390269,0.0424434,0.0546154,-0.0151897,0.0143081,-0.0388002,0.603102,0.189195,-0.0137324,0.141025,-0.0447313,1.13631,-0.578045,-2.7474,0.499876,-0.398293,0.299387,-0.0874943,0.10272,0.126983,0.0604223,0.04074,0.00629806,0.178527,0.128471,-0.155089,0.127516,-0.438548
41.9029,0.851781,0.657781,3,7,0,-27.8711,6.73499,0.032353,-0.0927585,0.0382122,-0.17439,0.844262,-0.151157,-0.185077,0.0930668,-0.0490349,0.0149592,-0.100902,-0.00907948,0.054185,-0.0191477,0.00971878,0.0329098,0.0151429,0.0239016,-0.017546,-0.000275947,-0.0371853,0.590816,0.372417,-0.0269574,0.107345,-0.0664249,1.1419,-0.590382,-2.45881,0.516897,-0.688433,0.264472,-0.10716,0.0572819,0.150735,-0.0583297,0.000199736,0.0587675,-0.0128469,-0.0232047,-0.180349,-0.097714,-0.420295
