# stan_version_major = 2
# stan_version_minor = 25
# stan_version_patch = 0
# model = sl_beta_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 2
# data
#   file = data/cleaned/tmp/sl_beta_full_pdw2_pcount.R.data
# init = 2 (Default)
# random
#   seed = 100605
# output
#   file = output/sl_beta_full_pdw2_pcount_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
# stanc_version = stanc3 82a27ba
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,theta.10,theta.11,theta.12,theta.13,theta.14,theta.15,theta.16,theta.17,theta.18,theta.19,theta.20,theta.21,phi,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,beta.19,beta.20,beta.21
# Adaptation terminated
# Step size = 0.519015
# Diagonal elements of inverse mass matrix:
# 0.000170909, 0.000163539, 0.000173485, 0.00016754, 0.000121969, 0.000156323, 0.000159374, 0.000134784, 0.000127578, 0.000157294, 0.00013819, 0.000141992, 0.000139959, 0.000148674, 0.000160253, 0.000147768, 0.000127356, 0.000125169, 0.000153925, 0.000158001, 0.000135316, 0.000153754, 0.000869684
2470.6,0.980471,0.519015,3,7,0,-2455.72,-1.42242,-0.014567,0.00981557,0.00410904,0.0151527,-0.0857015,-0.140226,-0.209575,0.112069,-0.0103758,0.0345179,-0.0986515,-0.00392806,0.0611411,-0.00908593,-0.00193559,0.0290617,0.0313034,0.0186376,-0.00401475,0.0238532,-0.0170802,14.831,0.0856766,-0.0101141,0.0755484,-0.0642086,0.147491,-0.552256,-2.57773,0.732265,-0.389124,0.474846,-0.0877014,0.0714628,0.159911,0.00764397,0.0368969,0.132398,0.157876,0.0590453,-0.0340406,0.332204,-0.192981
2469.5,0.769055,0.519015,3,7,0,-2457.2,-1.43745,-0.052681,0.0346345,0.0140538,0.0404916,-0.0842769,-0.152154,-0.185019,0.112565,-0.0395461,0.030398,-0.0859501,0.0408594,0.0505987,0.0123623,0.000185329,0.00627165,0.0176042,0.0620123,0.0084881,0.0316589,-0.0198552,16.6364,-0.0610283,0.00354571,0.12727,-0.0254851,0.144263,-0.592376,-2.32053,0.562728,-0.634855,0.448912,-0.0612216,0.146253,0.132371,0.0955786,0.0880703,0.120604,0.179116,0.283867,0.034959,0.447968,-0.224333
2470.13,0.897775,0.519015,3,7,0,-2457.01,-1.44234,-0.0217904,0.0117928,0.00859632,0.0137389,-0.0933011,-0.136796,-0.213483,0.118267,0.00700222,0.0335527,-0.0834962,0.017796,0.0464029,-0.0100275,0.0124,0.0247769,0.0367044,0.0323458,0.00461929,0.023457,-0.0358107,15.3908,0.0729712,-0.00916159,0.0768814,-0.0386346,0.119796,-0.546691,-2.51034,0.830142,-0.193993,0.42597,-0.0732384,0.0957802,0.119846,0.0179051,0.0835284,0.123977,0.187677,0.101954,-0.0317312,0.279039,-0.404606
2473.59,0.67917,0.519015,3,7,0,-2451.34,-1.44447,-0.0252886,0.0165014,-0.0107757,0.0173443,-0.0860616,-0.141736,-0.210093,0.11903,-0.0148854,0.0321913,-0.0802949,0.00798554,0.0430922,-0.00376774,0.00878359,0.0249248,0.0248131,0.0385006,-0.0175672,0.0240595,-0.0256102,15.3274,0.0453631,-0.00640965,0.0383514,-0.0358107,0.128632,-0.586403,-2.54567,0.759925,-0.381701,0.423629,-0.0761306,0.0701769,0.112115,0.0120635,0.0432952,0.0920139,0.0986283,0.0905985,-0.125741,0.314072,-0.289357
2475.27,0.994842,0.519015,3,7,0,-2468.14,-1.44467,-0.0272361,0.0104511,0.00689921,0.0296557,-0.0777632,-0.134584,-0.18939,0.115397,-0.00660513,0.0427581,-0.0866018,0.0119947,0.0539613,-0.00946415,0.0115033,0.0305547,0.0212295,0.0447271,-0.00787714,0.0245434,-0.0103932,15.3976,0.073622,-0.0101761,0.086828,-0.00653576,0.141806,-0.537819,-2.19836,0.716557,-0.360421,0.559779,-0.0701211,0.0921258,0.139839,0.0318497,0.100394,0.165622,0.144252,0.176791,-0.038405,0.359813,-0.117427
2472.05,0.659326,0.519015,3,7,0,-2459.72,-1.43456,-0.0358495,-0.000589106,0.00701667,0.0252311,-0.0774381,-0.139374,-0.192911,0.116507,-0.00615713,0.0341297,-0.0909114,-0.00208857,0.0636541,-0.0210953,0.00974198,0.0291615,0.0202798,0.0319487,-0.000412721,0.028804,0.000947855,15.6504,0.102422,-0.0150054,0.0838571,-0.0325164,0.154286,-0.556727,-2.24017,0.754607,-0.346987,0.485183,-0.068691,0.0772959,0.165824,0.0118961,0.114434,0.183963,0.169166,0.170136,0.0323611,0.455214,0.0107093
2471.39,0.735555,0.519015,3,7,0,-2455.45,-1.44826,-0.0421361,0.00355127,0.0104172,0.0291562,-0.0726145,-0.136512,-0.196597,0.12083,-0.00161895,0.0368382,-0.0898852,0.00676048,0.0692887,-0.00423635,0.00432618,0.0292558,0.0100326,0.0224532,-0.0139555,0.0438049,-0.00862175,15.6539,0.0792052,-0.013109,0.0977395,0.000735896,0.15451,-0.570443,-2.27715,0.812185,-0.314951,0.523987,-0.0783694,0.103253,0.181479,0.0218154,0.0529793,0.132947,0.0661424,0.087604,-0.0450622,0.667068,-0.0974126
2464.59,0.879736,0.519015,3,7,0,-2457.65,-1.43058,-0.0445711,0.00532967,0.0202009,0.0249168,-0.0752957,-0.161508,-0.199497,0.138497,0.000260909,0.0514734,-0.0905089,-0.00524276,0.0755528,-0.00956585,0.00966214,0.0179102,0.024744,0.0213251,-0.0131171,0.0341783,-0.00148357,14.8691,0.0522565,-0.010583,0.13191,-0.0131835,0.1684,-0.70201,-2.20967,0.94143,-0.348785,0.675007,-0.0758683,0.0869404,0.197977,0.0136154,0.0735389,0.104255,0.145003,0.0899439,-0.0349251,0.533613,-0.016762
2472.88,1,0.519015,3,7,0,-2459.08,-1.42839,-0.0242507,0.0171344,-0.008399,0.023573,-0.0722309,-0.14255,-0.188633,0.101352,-0.0353016,0.0266535,-0.0918977,0.0433067,0.0526173,0.0131209,-0.00054578,0.0237403,0.0332009,0.0509909,0.00876277,0.0414279,-0.0295547,16.2134,0.0453665,-0.00631649,0.0472973,-0.065628,0.154606,-0.515666,-2.4366,0.494564,-0.593951,0.396988,-0.0696044,0.154783,0.136485,0.101374,0.0902588,0.174954,0.233804,0.226492,0.0249987,0.577244,-0.333922
2474.08,0.946799,0.519015,3,7,0,-2463.56,-1.43444,-0.0412075,0.0214316,0.017156,0.0306667,-0.0976548,-0.154255,-0.201101,0.120609,-0.00720474,0.0400269,-0.0888964,-0.00479237,0.0588741,-0.00885099,-0.00453627,0.0156285,0.0163616,0.0272035,-0.00615078,0.0253765,-0.00994131,15.1119,0.00923553,-0.00382882,0.122458,-0.0164358,0.133627,-0.657347,-2.3698,0.803802,-0.370083,0.550207,-0.0764337,0.0661659,0.155386,0.00340589,0.0261398,0.0916428,0.104119,0.107196,-0.027224,0.374042,-0.112322
2471.6,0.825025,0.519015,3,7,0,-2461.49,-1.40765,-0.0380317,0.00980524,0.00301224,0.0331027,-0.0735445,-0.1279,-0.180091,0.0966152,-0.0287135,0.0313183,-0.0770442,0.0205379,0.0593851,-0.0258302,-0.00572823,0.0252489,0.0246633,0.0342753,-0.00337495,0.0385319,-0.0324678,15.0746,0.0423369,-0.00823304,0.0870119,-0.0195766,0.1384,-0.516569,-2.28326,0.558114,-0.539291,0.46477,-0.0692978,0.119248,0.157228,-0.0391589,0.0241427,0.120827,0.129994,0.111611,-0.049675,0.524415,-0.366837
