lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,theta.10,theta.11,theta.12,theta.13,theta.14,theta.15,theta.16,theta.17,theta.18,theta.19,theta.20,theta.21,theta.22,theta.23,theta.24,phi,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,beta.19,beta.20,beta.21,beta.22,beta.23,beta.24
# Adaptation terminated
# Step size = 0.547635
# Diagonal elements of inverse mass matrix:
# 0.000135038, 9.85513e-05, 0.000125165, 0.000101926, 9.94657e-05, 0.000115292, 0.000100172, 0.000108933, 0.000102306, 8.97273e-05, 0.000135069, 0.000113374, 8.83377e-05, 0.000118011, 0.000119735, 0.000106702, 0.0001159, 0.000116253, 0.000103706, 9.81985e-05, 9.81742e-05, 9.78614e-05, 0.000101704, 0.000111445, 0.000121424, 0.000344155
5428.61,0.783538,0.547635,3,7,0,-5418.98,-1.56251,-0.0814712,0.0472609,0.129938,-0.109976,-0.163903,-0.0617015,0.00953696,-0.134274,-0.0684213,-0.0612971,0.116378,0.169999,0.0691576,-0.0241847,0.00754683,0.0946697,-0.0288779,0.00944449,0.0221255,0.0198532,0.0157368,0.00259386,-0.003878,-0.0222452,7.82489,-0.184645,0.014283,-0.0548343,0.0137977,-0.59581,-0.460229,-0.234883,-0.059097,-0.484809,-0.166263,0.945763,0.761076,0.607854,-0.0130914,0.14281,0.259576,-0.0476908,0.0537721,0.100681,0.110778,0.0500228,-0.0277517,-0.109411,-0.293533
5431.84,0.922038,0.547635,3,7,0,-5414.65,-1.55096,-0.0594622,0.0397557,0.134626,-0.122146,-0.158555,-0.0348924,0.019253,-0.0947529,-0.0363664,-0.0814863,0.110356,0.155028,0.0777672,0.00187401,0.0261344,0.0723861,-0.0260479,-0.00597074,0.0297661,0.0033299,0.0142797,-0.025015,0.00356143,-0.0180515,7.91016,-0.27033,0.0236441,-0.0275293,0.0572964,-0.559902,-0.407445,-0.165614,-0.0346363,-0.408252,-0.369576,0.890631,0.659392,0.67862,-0.00647971,0.150744,0.200203,-0.0807014,-0.0428789,0.0723743,-0.0468278,-0.01574,-0.179794,0.0293298,-0.238196
5431.61,0.883063,0.547635,3,7,0,-5419.71,-1.54809,-0.052322,0.048829,0.134808,-0.119962,-0.167992,-0.038261,0.0163984,-0.0996589,-0.0413527,-0.0908205,0.115654,0.147074,0.0746152,0.0011958,0.031864,0.07765,-0.0282735,-0.00649939,0.0264595,0.0138856,0.00507481,-0.0236917,-0.00223004,-0.0143983,7.8125,-0.309989,0.0284948,-0.033361,0.0481105,-0.597342,-0.439048,-0.169569,-0.0355978,-0.43601,-0.453359,0.938517,0.620509,0.649215,-0.0075087,0.170281,0.215086,-0.088519,-0.0470634,0.057765,0.00798516,-0.060644,-0.171528,-0.0658865,-0.18999
5433.15,0.976501,0.547635,3,7,0,-5422.52,-1.54725,-0.0810103,0.0360941,0.13671,-0.106736,-0.174566,-0.0508026,0.0157386,-0.121356,-0.0592463,-0.0682348,0.11297,0.155271,0.0626223,-0.017259,0.00992206,0.0707156,-0.0312791,0.0121354,0.0291842,-0.00472307,0.0127981,0.00635945,-0.00203908,-0.0217437,7.77028,-0.119606,0.00825373,-0.0417854,0.0407684,-0.612086,-0.42524,-0.18764,-0.0522016,-0.444187,-0.251415,0.909881,0.701924,0.548578,-0.00934539,0.114858,0.192633,-0.0551737,0.0573699,0.119839,-0.0297195,0.0469949,-0.00205386,-0.0761057,-0.286915
5432.41,0.707903,0.547635,3,7,0,-5418.94,-1.55237,-0.0631079,0.0457049,0.128103,-0.103849,-0.17991,-0.0488639,0.0202767,-0.121388,-0.0621321,-0.0737027,0.113082,0.157248,0.0528397,-0.0199323,0.014119,0.0641519,-0.0254227,0.00444689,0.0321237,-0.0018222,0.0100045,-0.000123763,-0.00732982,-0.019509,7.84665,-0.158183,0.0142369,-0.074352,0.0516503,-0.623261,-0.408793,-0.169264,-0.0530686,-0.449084,-0.309166,0.922956,0.738791,0.462656,-0.0154594,0.115023,0.175502,-0.0528744,0.021027,0.116023,-0.03356,0.0136956,-0.0431027,-0.165129,-0.257428
5430.54,0.468386,0.547635,3,7,0,-5410.87,-1.54592,-0.066149,0.0571433,0.125762,-0.0985698,-0.172261,-0.0375495,0.00289475,-0.115862,-0.0601605,-0.0821737,0.113951,0.15249,0.0696169,-0.0199523,0.0124486,0.0684491,-0.0154146,0.000302279,0.0303115,0.00192742,0.0131667,0.00842257,0.000695888,-0.00581919,7.82313,-0.254069,0.0231392,-0.0186845,0.0651854,-0.597423,-0.380559,-0.224736,-0.0426464,-0.444422,-0.374248,0.886977,0.672595,0.607051,-0.00415423,0.11689,0.186323,-0.00455819,0.0470967,0.156749,0.0423886,0.0827567,0.0415421,0.0014931,-0.0767863
5422.72,0.613266,0.547635,3,7,0,-5410.26,-1.55794,-0.0723619,0.0475749,0.128854,-0.131448,-0.176423,-0.0291553,0.0195173,-0.117561,-0.0782948,-0.0729487,0.109899,0.144966,0.0830008,-0.00241926,0.0134614,0.0719549,-0.0300857,0.00710885,0.0476371,0.0243459,0.000371288,-0.00349175,-0.00787841,0.00751958,7.83172,-0.274646,0.0234947,-0.0494319,0.0270279,-0.612359,-0.37929,-0.167976,-0.0467793,-0.555782,-0.296696,0.84746,0.601549,0.716897,0.00971508,0.124892,0.196428,-0.0347549,0.0701635,0.216058,0.142931,-0.00280185,-0.0163428,-0.124813,0.0992235
5424.49,0.963796,0.547635,3,7,0,-5408.33,-1.54539,-0.0722793,0.0337238,0.133429,-0.102642,-0.142043,-0.0687889,0.0059391,-0.117324,-0.0375301,-0.0925246,0.122807,0.178916,0.065982,-0.0200363,0.0183415,0.0817777,-0.0274815,-0.00255782,0.00773227,0.00596748,0.0274334,-0.0103387,0.00265501,-0.0477425,7.7677,-0.116859,0.00836984,-0.0417214,0.0351002,-0.543026,-0.517847,-0.240372,-0.0470163,-0.3848,-0.435944,1.02662,0.811808,0.578461,-0.0257833,0.147041,0.225904,-0.0878024,-0.038565,-0.011364,-0.0218048,0.0431588,-0.14424,-0.0415272,-0.629979
5434.98,1,0.547635,3,7,0,-5421.16,-1.55077,-0.0702432,0.0331321,0.134791,-0.11407,-0.1414,-0.0507989,-0.000779002,-0.117754,-0.052419,-0.0896377,0.122007,0.174539,0.0785214,-0.0201068,0.0158026,0.0727353,-0.0247389,-0.00238681,0.0190651,0.00950888,0.0152121,-0.0107542,-0.00841763,-0.0250803,7.78393,-0.138324,0.010633,-0.0102907,0.0257979,-0.530375,-0.45798,-0.262924,-0.0435183,-0.451046,-0.415291,0.991512,0.765615,0.676232,-0.0217734,0.130402,0.200936,-0.0709945,-0.0237326,0.0442485,0.0060309,0.00329124,-0.118589,-0.194583,-0.330943
5433.7,0.738591,0.547635,3,7,0,-5418.89,-1.55832,-0.0683296,0.045994,0.12577,-0.116315,-0.183721,-0.0399834,0.0333972,-0.114957,-0.05045,-0.0748434,0.111254,0.147288,0.0683697,0.00203057,0.0227173,0.0828937,-0.031677,0.00913076,0.0299585,0.0161712,0.011741,-0.0070615,-0.00663118,-0.0106166,7.89434,-0.246831,0.0209406,-0.0860295,0.0676573,-0.644787,-0.439757,-0.120674,-0.0527627,-0.443596,-0.311346,0.895732,0.640759,0.601849,0.00564991,0.15815,0.227608,-0.0593379,0.0452316,0.118888,0.0740296,0.0197665,-0.0687106,-0.136386,-0.14009
