lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,theta.10,theta.11,theta.12,theta.13,theta.14,theta.15,theta.16,theta.17,theta.18,theta.19,theta.20,theta.21,theta.22,theta.23,theta.24,theta.25,sigma,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,beta.19,beta.20,beta.21,beta.22,beta.23,beta.24,beta.25
# Adaptation terminated
# Step size = 0.591183
# Diagonal elements of inverse mass matrix:
# 0.000125237, 0.000156899, 0.000143893, 0.000177613, 0.000161766, 0.000137515, 0.000137354, 0.000156085, 0.000130706, 0.000150609, 0.000170933, 0.000151312, 0.000139355, 0.000136022, 0.000172046, 0.000144676, 0.000155833, 0.00014602, 0.000133904, 0.000163749, 0.00012973, 0.000179063, 0.000134843, 0.000143573, 0.000165363, 0.000138505, 0.000238397
45.1313,0.991718,0.591183,3,7,0,-32.7611,6.72073,0.0279794,-0.0850552,0.168384,-0.104371,0.0849522,-0.0492897,0.0432638,-0.0974676,0.8592,-0.132282,-0.197768,0.0953872,-0.025152,0.03299,-0.0836656,0.0203065,0.0791652,0.00885325,0.00340444,0.0209766,0.0162107,0.0423498,-0.0192683,0.0499979,-0.00963189,0.597165,0.218339,-0.0142078,-0.127121,0.00719618,-0.0148587,0.000406432,0.1544,0.0160097,1.18405,-0.635279,-2.61829,0.548359,-0.556345,0.5229,-0.0699463,0.150535,0.219057,0.0656619,0.063395,0.122766,0.113129,0.164464,-0.0683271,0.762284,-0.109293
48.745,0.988339,0.591183,3,7,0,-36.2504,6.71898,0.0275011,-0.0870415,0.180312,-0.105412,0.0742833,-0.0437,0.0363236,-0.110577,0.840321,-0.132169,-0.179605,0.106659,-0.0332069,0.0190354,-0.102419,0.02537,0.0690001,0.0207135,0.00922531,0.0180713,0.000325668,0.0369263,-0.0138811,0.0287945,-0.0326406,0.583019,0.312112,-0.0228627,-0.041842,0.00234453,-0.0331413,0.00148661,0.129363,-0.0533153,1.16379,-0.604176,-2.29708,0.655526,-0.569094,0.339747,-0.100659,0.147721,0.190945,0.0649417,0.0268499,0.0513978,-0.0240569,0.0843454,-0.11676,0.370691,-0.370372
48.2637,0.971067,0.591183,3,7,0,-39.1341,6.7367,0.0322653,-0.0962884,0.164937,-0.0867947,0.10339,-0.0624629,-0.00342062,-0.129853,0.856461,-0.132175,-0.163163,0.0757745,-0.0113276,0.0374471,-0.0785824,-0.000855307,0.0441173,-0.017192,-0.00104631,0.0189318,0.0422697,0.0297174,-0.0162016,0.0129517,-0.025089,0.605724,0.520194,-0.0312254,-0.398737,0.029975,0.097056,-0.00983708,-0.017763,-0.0708444,1.15103,-0.613627,-2.11732,0.502752,-0.389465,0.487337,-0.0777851,0.0595107,0.123282,-0.0319513,0.0104699,0.0663369,0.169467,0.0454159,-0.130036,0.140493,-0.284684
53.1269,0.786522,0.591183,3,7,0,-35.324,6.72388,0.0281949,-0.0859206,0.185444,-0.10557,0.083255,-0.0459253,0.0196382,-0.124832,0.843953,-0.154584,-0.169904,0.0978919,-0.0355478,0.0290104,-0.0848245,0.0184388,0.0703716,0.0235735,0.00454463,0.0114988,0.0126391,0.0314405,-0.00990035,0.0249384,-0.0267112,0.588787,0.233083,-0.0173301,-0.0567483,0.00308473,-0.0392565,0.00287568,0.0786261,-0.0778854,1.15804,-0.727443,-2.23645,0.560716,-0.607406,0.440943,-0.0807658,0.135421,0.194478,0.0757726,0.0233296,0.0435913,0.0488332,0.0798691,-0.0861258,0.324979,-0.303091
44.5805,0.521173,0.591183,3,7,0,-36.027,6.73206,0.0317799,-0.105843,0.161541,-0.0789992,0.111222,-0.064207,0.0199961,-0.102148,0.843931,-0.104363,-0.172857,0.0907162,-0.0172141,0.0260424,-0.116141,0.00729964,0.0361823,-0.0193594,0.00647721,0.0321259,0.0270445,0.0411909,-0.00889263,0.020116,-0.0247763,0.59454,0.765081,-0.0481515,-0.393053,0.0304265,0.162708,-0.015645,0.0568044,-0.0469994,1.16797,-0.417301,-2.15766,0.588813,-0.443064,0.366865,-0.106892,0.0651746,0.100914,-0.00959898,0.0654398,0.143045,0.13505,0.124002,-0.0817909,0.253991,-0.281136
45.3316,1,0.591183,3,7,0,-36.9972,6.73375,0.0394114,-0.10424,0.156306,-0.0759336,0.10642,-0.0682022,0.0249252,-0.105214,0.850254,-0.105044,-0.176758,0.0849802,-0.0230035,0.0209108,-0.113733,0.00402893,0.0393646,-0.00392909,0.0127282,0.0265698,0.0235178,0.0413374,-0.00708458,0.0101344,-0.0180322,0.594415,0.764016,-0.0470765,-0.445352,0.0347949,0.166057,-0.0166157,0.0742269,-0.0539332,1.16794,-0.411645,-2.29948,0.51406,-0.469014,0.305159,-0.102441,0.0627549,0.109416,0.0346078,0.083938,0.126883,0.126023,0.133146,-0.0679981,0.113966,-0.204611
42.1987,0.847865,0.591183,3,7,0,-25.9762,6.73007,0.0214628,-0.0885938,0.188489,-0.119812,0.0958129,-0.028539,0.00797523,-0.131923,0.854097,-0.156838,-0.163658,0.0950276,-0.0159063,0.0370372,-0.0794655,0.026105,0.0729235,-0.0128455,-0.00561442,0.0301619,0.019439,0.0403311,-0.0238819,0.0355961,-0.0615192,0.594094,0.160724,-0.0125998,0.0434108,-0.00794951,-0.095205,0.0110318,0.0350372,-0.0671781,1.16678,-0.769056,-2.01717,0.652192,-0.4633,0.552731,-0.0931308,0.155097,0.202998,-0.0518331,-0.0484081,0.0483507,-0.00069541,0.0177713,-0.229262,0.404875,-0.698057
51.0742,1,0.591183,3,7,0,-34.9543,6.73293,0.0246748,-0.0896427,0.196205,-0.110837,0.105157,-0.0497142,0.0289296,-0.122707,0.852086,-0.122694,-0.161635,0.0944337,-0.0323373,0.0296712,-0.0899203,0.0128637,0.0466528,0.0132879,-0.00677872,0.0270228,0.0176964,0.0364704,-0.0177681,0.0172423,-0.050754,0.589182,0.208786,-0.0138296,-0.076857,0.00326801,0.035089,-0.00211905,0.101142,-0.0684353,1.15216,-0.562015,-2.07961,0.57399,-0.562637,0.421911,-0.0996344,0.0915381,0.130602,0.0204784,-0.045062,0.0468224,0.00530566,0.0208808,-0.192676,0.143278,-0.575904
44.6716,0.611266,0.591183,3,7,0,-31.7855,6.73211,0.0340347,-0.0958858,0.149889,-0.0853541,0.0797997,-0.0389335,-0.00658812,-0.109613,0.840886,-0.141374,-0.168155,0.0949899,-0.0245835,0.0286346,-0.119883,0.00736147,0.0777814,0.00427909,-0.005057,0.0024428,0.0259768,0.0366613,-0.0149327,0.023187,-0.00947952,0.610653,0.701071,-0.046302,-0.226334,0.0156984,-0.0240222,0.00133402,-0.0172273,-0.0806603,1.18235,-0.6299,-2.13679,0.599494,-0.572,0.472353,-0.107204,0.12136,0.214967,0.0305622,0.0140644,0.039972,0.140686,0.12316,-0.0754782,0.340876,-0.107564
47.2663,1,0.591183,3,7,0,-33.4307,6.722,0.0366634,-0.090955,0.169143,-0.122661,0.0944178,-0.0762196,0.0047917,-0.116083,0.851947,-0.127635,-0.16012,0.0860065,-0.0303526,0.0218676,-0.0908143,0.0137294,0.0373936,0.00926114,0.00772676,0.0223167,0.00203809,0.0206117,-0.0212102,0.0160922,-0.0487177,0.585171,0.160569,-0.00721824,-0.0666543,-0.00148615,0.167502,-0.01954,0.0262474,-0.0512522,1.1465,-0.579362,-2.11018,0.546531,-0.49099,0.30083,-0.106035,0.0812923,0.105012,-0.00539895,-0.0360111,-0.00525943,-0.0994296,-0.0546369,-0.207809,0.130318,-0.552798
