lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,theta.10,theta.11,theta.12,theta.13,theta.14,theta.15,theta.16,theta.17,theta.18,theta.19,theta.20,theta.21,phi,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,beta.19,beta.20,beta.21
# Adaptation terminated
# Step size = 0.62114
# Diagonal elements of inverse mass matrix:
# 0.000183372, 0.000152469, 0.000175409, 0.000134368, 0.000152172, 0.000173331, 0.00015374, 0.00017539, 0.000161522, 0.000173831, 0.000146867, 0.00013074, 0.000153656, 0.000153854, 0.000150743, 0.000165254, 0.000112544, 0.000153265, 0.000182365, 0.000156152, 0.000144652, 0.00014747, 0.000804034
2469.39,0.882162,0.62114,3,7,0,-2458.72,-1.43136,-0.0319911,0.0215544,-0.00281701,0.0455516,-0.100111,-0.173232,-0.200325,0.115249,-0.0215329,0.0289512,-0.0685449,-0.00520094,0.0505548,-0.0114057,0.00727854,0.00459723,0.00611228,0.0406255,0.00883043,0.0209198,-0.0137867,15.621,0.0226134,-0.0041888,0.0769103,0.0171373,0.121192,-0.744795,-2.44928,0.709628,-0.432854,0.41993,-0.0508127,0.0535714,0.132798,0.0174126,0.081501,0.0836445,0.0975823,0.193401,0.038731,0.294341,-0.155768
2468.28,0.877072,0.62114,3,7,0,-2457.5,-1.43926,-0.0422365,0.0286048,0.0313755,0.0381474,-0.0834997,-0.142331,-0.202104,0.105458,-0.00736847,0.0412808,-0.0783832,0.0416057,0.0602497,0.0226297,-0.00289171,0.0253196,0.0327718,0.0152354,0.00301373,0.0552855,-0.0138171,15.3456,-0.0322248,0.00106316,0.162946,0.0219948,0.13203,-0.5739,-2.55552,0.625206,-0.370955,0.540689,-0.0590655,0.163399,0.156476,0.112942,0.0689393,0.163157,0.215347,0.103534,0.0462814,0.83454,-0.156112
2473.06,0.962456,0.62114,3,7,0,-2459.15,-1.4288,-0.0191523,0.00533596,-0.0137723,0.0211043,-0.0767648,-0.144673,-0.195291,0.121706,-0.035227,0.0272204,-0.102792,0.00915882,0.0539276,-0.0028898,-0.0098362,0.0062844,0.0167079,0.0544518,-0.00421379,0.0238269,-0.0135603,15.8775,0.0982301,-0.0124948,0.0334402,-0.0810314,0.168033,-0.570244,-2.37117,0.701337,-0.60932,0.434706,-0.0839814,0.086523,0.14316,0.0289105,0.0287921,0.0864397,0.136749,0.221533,-0.0270008,0.340612,-0.153211
2471.89,0.716807,0.62114,3,7,0,-2459.82,-1.43814,-0.0498405,0.0352941,0.0255316,0.0384167,-0.0976095,-0.147467,-0.191565,0.101996,-0.0154182,0.0373149,-0.0743583,0.0307784,0.0548359,0.00718177,0.00476929,0.0211295,0.0313367,0.0120385,0.00523955,0.0356433,-0.0223891,15.1161,-0.0612264,0.00399876,0.151447,0.00407193,0.109631,-0.59859,-2.43801,0.608319,-0.408554,0.474328,-0.0621175,0.134595,0.1423,0.0580469,0.0633124,0.117025,0.174716,0.0567598,0.0162704,0.504258,-0.252963
2469.4,0.850659,0.62114,3,7,0,-2460.45,-1.43149,-0.0178379,0.00218607,-0.0106248,0.0263615,-0.0724615,-0.148871,-0.199435,0.122496,-0.034491,0.029968,-0.10644,0.00877932,0.0573983,0.0005268,-0.0029071,0.0176677,0.00938553,0.0694042,-0.00381917,0.0315582,-0.0162197,16.252,0.12431,-0.0152917,0.047622,-0.0628418,0.180039,-0.568941,-2.40739,0.670562,-0.619121,0.477403,-0.0838017,0.0888691,0.150944,0.0578194,0.0704671,0.144908,0.122297,0.2901,-0.0223513,0.455494,-0.183258
2468.67,0.998553,0.62114,3,7,0,-2461.46,-1.44115,-0.044959,0.0364441,0.0325058,0.0313423,-0.102006,-0.14805,-0.190692,0.105971,-0.00684503,0.0398888,-0.0747925,0.0304561,0.0518194,0.00125401,-0.00359648,0.0138687,0.0303535,0.00616779,0.0109654,0.0372039,-0.0259106,15.1388,-0.0705602,0.00552875,0.162878,-0.0091765,0.106836,-0.619177,-2.35976,0.688738,-0.343841,0.505451,-0.0631303,0.131115,0.135809,0.0334844,0.0340775,0.0907794,0.172011,0.0410151,0.0404074,0.519968,-0.29275
2467.99,0.971822,0.62114,3,7,0,-2457.63,-1.43271,-0.0321859,0.0171276,0.000664723,0.0146515,-0.0572175,-0.151655,-0.200861,0.112162,-0.0155344,0.0401613,-0.09234,0.0110521,0.0604279,0.00146821,0.00461682,0.00466099,0.0126547,0.0598061,0.0051794,0.0179064,-0.0382173,16.8053,0.0156904,-0.00448922,0.0678162,-0.0433325,0.172366,-0.61088,-2.44624,0.678329,-0.448679,0.559382,-0.079469,0.0985887,0.158809,0.0376591,0.0529111,0.0592734,0.0941543,0.211806,-0.0405427,0.185745,-0.431797
2469.87,0.781116,0.62114,3,7,0,-2452.47,-1.42392,-0.0346526,0.0195872,0.0102594,0.046412,-0.113913,-0.153972,-0.197532,0.112769,-0.0188814,0.0253699,-0.092412,0.0277754,0.0535689,0.00429458,-0.0043044,0.0301901,0.0372959,0.0194131,-0.00163492,0.0473805,0.00111974,14.8284,0.0576276,-0.00788908,0.106504,-0.0192019,0.120899,-0.599616,-2.44,0.671144,-0.440789,0.37321,-0.0684729,0.126033,0.139292,0.0755676,0.0817311,0.196791,0.252694,0.132352,0.0471214,0.747693,0.0126514
2468.3,0.919316,0.62114,3,7,0,-2460.23,-1.42193,-0.0196369,0.0290888,0.00113714,0.0520218,-0.0990026,-0.144948,-0.20017,0.128907,-0.0168813,0.01175,-0.0772495,0.0233338,0.0554959,-0.000359567,0.00420277,0.0391934,0.032306,0.0467274,0.0003163,0.0403262,0.0100124,15.5094,0.025937,-0.00211744,0.0816349,0.0137921,0.127715,-0.568866,-2.31953,0.785005,-0.36528,0.247212,-0.0452395,0.117029,0.142916,0.09886,0.149399,0.272768,0.278159,0.267726,0.0701323,0.659074,0.113124
2472.13,1,0.62114,3,7,0,-2460.83,-1.44444,-0.0403228,0.0267474,0.00311435,0.0282831,-0.0623711,-0.172351,-0.200244,0.100248,-0.0189139,0.0640325,-0.0876577,0.0183108,0.0647,0.00442645,-0.000636624,0.016013,0.0217231,0.0352421,0.000757576,0.0327937,-0.0133745,15.4433,-0.0306325,2.44895e-05,0.0867501,-0.00429057,0.178976,-0.712892,-2.58382,0.524134,-0.559628,0.807311,-0.0692947,0.120369,0.169484,0.0583463,0.0630737,0.122032,0.15933,0.161475,0.0100016,0.482048,-0.151111
2474.55,0.994402,0.62114,3,7,0,-2466.34,-1.42729,-0.0156671,0.0247073,0.00676111,0.0355081,-0.105923,-0.134198,-0.20357,0.0993938,-0.0130683,0.0171079,-0.0866303,0.0225872,0.0498366,0.00988535,-0.00648378,0.020952,0.020387,0.0253698,0.00481928,0.0375814,-0.0241027,15.56,0.0457028,-0.00420629,0.0850813,-0.0187102,0.104507,-0.51944,-2.5904,0.625556,-0.342758,0.286133,-0.0725819,0.110578,0.130355,0.0617101,0.0345935,0.123168,0.134415,0.111948,0.0122506,0.530432,-0.272324
2470.4,0.574339,0.62114,3,7,0,-2459.99,-1.4402,-0.0403919,0.0342737,-0.00577824,0.041598,-0.0772245,-0.17436,-0.190724,0.122579,-0.00424401,0.0292835,-0.0958415,0.0379998,0.0442372,-0.0132581,-0.00206588,0.0198224,0.0159095,0.0549728,0.0024225,0.0295921,-0.0209981,16.2749,-0.0132315,-0.000670283,0.0466963,-0.0017606,0.16912,-0.708867,-2.13886,0.80741,-0.315426,0.430916,-0.0764791,0.133023,0.116352,0.0185597,0.0680758,0.144299,0.141722,0.232174,-0.00233159,0.412609,-0.237247
2468.8,0.89691,0.62114,3,7,0,-2459.02,-1.4408,-0.0360024,0.00535101,0.0251373,0.0170723,-0.0931202,-0.125392,-0.197456,0.105439,-0.0356677,0.0495126,-0.0942261,-0.00280187,0.0764571,0.0154663,-0.00155486,0.0232049,0.0239037,0.0213226,-0.00548355,0.0286566,-0.0123759,15.4103,0.0592029,-0.00983938,0.159472,-0.0673964,0.130467,-0.483824,-2.59431,0.534175,-0.671943,0.657746,-0.081026,0.0930019,0.199688,0.0725509,0.0391863,0.117771,0.134318,0.0817672,-0.0256048,0.419509,-0.139829
2474.66,0.868862,0.62114,3,7,0,-2461.17,-1.43067,-0.0386884,0.0333408,0.00626698,0.0353289,-0.087362,-0.158776,-0.215963,0.121425,-0.0206362,0.0371169,-0.0996329,0.0304196,0.038121,0.0104228,0.00324725,0.0316087,0.0270731,0.0348958,0.00479798,0.0277364,-0.024253,15.157,-0.00531683,-0.00100464,0.0949565,-0.0225347,0.156978,-0.604784,-2.66988,0.705238,-0.471366,0.465609,-0.0828367,0.109991,0.0975007,0.0803061,0.0776646,0.169648,0.170066,0.14255,0.00072567,0.37528,-0.274022
2474.88,0.878669,0.62114,3,7,0,-2467.39,-1.44057,-0.028974,0.0153458,0.00654968,0.0196734,-0.080631,-0.138787,-0.172271,0.101826,-0.0228549,0.0323536,-0.0804752,0.0101067,0.0752435,-0.00533237,0.000951069,0.00504599,0.0211592,0.0425099,0.000412669,0.0334903,-0.011853,15.8558,0.012844,-0.00361874,0.0884813,-0.056577,0.132485,-0.568067,-2.11828,0.588017,-0.502032,0.499712,-0.0607719,0.117251,0.198363,0.0338258,0.0688442,0.0918654,0.168419,0.196074,0.0124603,0.496811,-0.133921
2470.29,0.64096,0.62114,3,7,0,-2460.87,-1.43019,-0.0546777,0.0134537,-0.0082852,0.0224642,-0.0972221,-0.158927,-0.19823,0.105427,-0.0503723,0.051463,-0.0942084,0.0125177,0.0480221,0.00391798,-0.0046801,-0.000719685,0.0181911,0.0498762,0.00177836,0.0400045,-0.0254685,15.3123,0.0255946,-0.00787497,0.0652657,-0.0779188,0.145432,-0.632584,-2.63487,0.472178,-0.813616,0.672069,-0.0759547,0.086204,0.127395,0.0476674,0.0414445,0.063207,0.146043,0.209807,-0.00438785,0.565106,-0.287755
2469.1,0.965521,0.62114,3,7,0,-2461.72,-1.4186,-0.0137768,0.02884,0.0226352,0.0312557,-0.0637279,-0.135559,-0.183403,0.113541,0.00448021,0.0123439,-0.0865076,0.0167067,0.0600843,-0.0104941,0.00338536,0.0320335,0.0331928,0.025158,0.0080382,0.0295695,-0.0192603,15.2187,-0.00157699,0.000960709,0.120545,-0.0139874,0.150234,-0.525027,-2.07062,0.810905,-0.172513,0.236411,-0.0690512,0.11205,0.156063,0.0308554,0.0869907,0.180653,0.208222,0.121584,0.031587,0.41661,-0.217612
2467.5,0.920718,0.62114,3,7,0,-2456.6,-1.44621,-0.0637615,0.00341023,-0.0221659,0.0183144,-0.0924701,-0.157869,-0.197232,0.122796,-0.0352176,0.0383858,-0.0921305,0.0168268,0.0341214,0.0110204,-0.00284293,0.0101883,0.0128266,0.0445796,0.00241697,0.0233742,-0.0166018,16.3474,0.0736551,-0.014695,0.00994807,-0.0737252,0.143619,-0.632025,-2.42689,0.67303,-0.603079,0.498736,-0.0744014,0.0763971,0.0891944,0.0689872,0.0485347,0.0962846,0.115986,0.189755,0.000805202,0.325873,-0.187575
2464.92,0.927286,0.62114,3,7,0,-2456.13,-1.42014,-0.00793695,0.0382794,0.0332955,0.0463178,-0.0784365,-0.120662,-0.187577,0.102557,-0.00202964,0.03511,-0.076465,0.0263551,0.0719887,-0.00938075,-0.00440854,0.03258,0.0369332,0.0330285,-0.00320523,0.0399045,-0.0155779,14.911,-0.0376549,0.00606637,0.167305,0.0395646,0.127719,-0.487189,-2.25989,0.660115,-0.316677,0.513576,-0.0599333,0.146943,0.18856,0.029748,0.0646509,0.183941,0.224247,0.143922,-0.00821671,0.588317,-0.176006
2473.38,0.944602,0.62114,3,7,0,-2456.16,-1.43428,-0.021734,0.000561917,-0.00337054,0.0326656,-0.0713134,-0.147207,-0.191053,0.120217,-0.0125156,0.0303427,-0.0894237,0.0312165,0.0455104,0.00449617,-0.00206305,0.0159726,0.0459257,0.0397035,0.00594369,0.0448769,-0.00940337,16.1041,0.119987,-0.0152908,0.0513516,-0.0268877,0.159599,-0.573179,-2.24353,0.733022,-0.397404,0.421675,-0.0614202,0.121499,0.118464,0.0870679,0.101932,0.170773,0.318158,0.216161,0.060394,0.681964,-0.106244
