# stan_version_major = 2
# stan_version_minor = 25
# stan_version_patch = 0
# model = sl_beta_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 4
# data
#   file = data/cleaned/tmp/sl_beta_sens_pdw2_all.R.data
# init = 2 (Default)
# random
#   seed = 100605
# output
#   file = output/sl_beta_sens_pdw2_all_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
# stanc_version = stanc3 82a27ba
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,theta.10,theta.11,theta.12,theta.13,theta.14,theta.15,theta.16,theta.17,theta.18,theta.19,theta.20,theta.21,theta.22,theta.23,theta.24,theta.25,theta.26,theta.27,theta.28,phi,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,beta.19,beta.20,beta.21,beta.22,beta.23,beta.24,beta.25,beta.26,beta.27,beta.28
# Adaptation terminated
# Step size = 0.513467
# Diagonal elements of inverse mass matrix:
# 0.000137247, 0.000122973, 0.00012381, 0.000113686, 0.000106808, 0.000107182, 0.000104469, 0.000100754, 0.000112948, 0.00010944, 9.56888e-05, 0.0001041, 0.000112701, 0.000103523, 0.000116138, 0.00010786, 0.000111652, 0.000109536, 0.000107992, 0.000101514, 0.000115845, 0.000106962, 9.66786e-05, 0.000101943, 9.66091e-05, 0.000118935, 0.000117928, 0.00011319, 0.000108659, 0.000389058
5429.26,0.914511,0.513467,3,7,0,-5418.23,-1.53548,0.00546905,0.00490186,-0.0838331,0.0591102,0.0192696,0.00403522,0.118584,-0.118771,-0.165993,-0.0397118,-0.00262336,-0.104885,-0.060287,-0.101378,0.111802,0.147236,0.0746828,-0.00843579,0.0333775,0.0890667,-0.0188776,0.000938761,0.0204642,0.0123513,0.0109619,-0.0125066,-0.0192509,-0.0229918,7.59144,0.38601,-0.0270388,-0.423022,0.0388246,-2.60614e-05,0.00068432,-0.0454483,0.0312533,-0.612615,-0.433024,-0.230603,-0.0382792,-0.529709,-0.559875,0.91564,0.623371,0.649302,-0.0154359,0.193272,0.249452,-0.0593938,-0.0198885,0.0390027,0.00605946,-0.0315829,-0.137921,-0.381676,-0.303667
5429.24,0.874532,0.513467,3,7,0,-5411.99,-1.57457,0.00981759,-0.0192607,-0.0929333,0.0357625,0.0263501,0.00257467,0.144788,-0.124103,-0.1556,-0.0484313,0.0353515,-0.111987,-0.0198582,-0.062257,0.115443,0.172057,0.0683636,-0.0197005,-0.00730956,0.0607595,-0.0409043,0.00355416,0.0314473,0.0119029,0.0157254,-0.0163047,0.0163896,-0.0198956,7.90615,0.452289,-0.0275275,-0.202187,0.0135771,0.0496029,-0.00237265,-0.059632,0.0470519,-0.546886,-0.445561,-0.145102,-0.0503514,-0.317172,-0.176309,0.957236,0.779274,0.594274,-0.0174675,0.0684124,0.167598,-0.0893228,0.021888,0.115619,0.0371738,0.0240041,-0.116993,0.251715,-0.262775
5425.41,0.80982,0.513467,3,7,0,-5410.15,-1.52497,-0.000108257,0.00993884,-0.0851128,0.0562716,0.0101156,-0.00702127,0.125825,-0.113664,-0.170048,-0.0465097,-0.00429868,-0.11326,-0.0663806,-0.104474,0.120381,0.150924,0.0798014,-0.00732103,0.0253103,0.0869373,-0.019195,0.00453655,0.0244016,0.0111739,0.00738018,-0.0114994,-0.0175037,-0.0279125,7.85425,0.300872,-0.0222844,-0.390637,0.0368403,0.032808,-0.00388661,-0.0285218,0.0492627,-0.639542,-0.482478,-0.244752,-0.0438153,-0.573916,-0.563252,0.981458,0.634973,0.688799,-0.0158838,0.174056,0.243614,-0.0597887,-0.0115047,0.0479819,-0.00922542,-0.0540397,-0.138588,-0.360037,-0.368659
5428.93,0.970515,0.513467,3,7,0,-5409.73,-1.57238,0.0059152,-0.0252661,-0.0906788,0.0399819,0.0379562,0.0140054,0.140851,-0.127377,-0.15353,-0.0409065,0.0366852,-0.107549,-0.0173891,-0.0580753,0.106363,0.166934,0.0646249,-0.0204496,0.000849876,0.0626618,-0.0385629,-0.00093123,0.0295007,0.0132217,0.0176137,-0.0135955,0.00899776,-0.0130821,8.00741,0.540225,-0.0335083,-0.234957,0.0158666,0.0181074,0.00231401,-0.0664934,0.034355,-0.532093,-0.40222,-0.132975,-0.0485496,-0.287007,-0.166076,0.882394,0.758244,0.565059,-0.0155937,0.0878955,0.172916,-0.080967,0.0157056,0.119277,0.0581643,0.044819,-0.0964047,0.134183,-0.172784
5433.32,0.836178,0.513467,3,7,0,-5412.73,-1.5494,0.00528789,-0.0113011,-0.0904986,0.032864,0.0112516,0.000859106,0.139597,-0.135889,-0.162311,-0.0299082,0.0183002,-0.111209,-0.0347686,-0.0692783,0.11314,0.156799,0.0555507,-0.0119694,0.0305228,0.065151,-0.0348297,-0.0088419,0.0381187,0.00432653,0.023669,-0.00547971,-0.0147389,-0.0201555,7.96048,0.290632,-0.0184136,-0.207705,0.0158788,0.0230842,-0.00191388,-0.0494713,0.00205906,-0.577043,-0.376161,-0.177062,-0.0503823,-0.382855,-0.271064,0.931059,0.725167,0.492394,-0.0106622,0.152989,0.180449,-0.0763395,-0.0105129,0.147274,0.00133974,0.0633324,-0.0851095,-0.296956,-0.266207
5429.84,0.7518,0.513467,3,7,0,-5414.19,-1.56756,-0.0134019,-0.0121084,-0.0763971,0.0534468,0.0173764,0.0148704,0.14232,-0.122991,-0.156383,-0.0552779,0.0235832,-0.0991461,-0.0493374,-0.0765103,0.117837,0.15338,0.0954054,-0.0109522,0.00378289,0.0794384,-0.0326663,0.0176854,0.0116733,0.015418,-0.00237392,-0.0231917,-0.00720704,-0.0359155,7.85169,0.56831,-0.0409002,-0.34531,0.0318151,-0.0310112,0.00459287,-0.0290381,0.0452472,-0.562749,-0.504037,-0.167794,-0.0328919,-0.503315,-0.306343,0.972757,0.608711,0.809298,-0.0279938,0.118867,0.222682,-0.113107,-0.00953152,-0.0432864,-0.029488,-0.139332,-0.212976,-0.193557,-0.47436
