# 0.00444579, 0.00306585, 0.00189718, 0.00422303, 0.00486715, 0.00690949, 0.00793991, 0.00184889, 0.00594812, 0.00764039, 0.0152287, 0.00356193, 0.00311673, 0.0151405, 0.00322338, 0.00634433, 0.00674241, 0.00626251, 0.00584242, 0.00748557, 0.0123349, 0.0101938, 0.00501976, 0.00615644, 0.00483269, 0.0105033, 0.00490383, 0.0136648, 0.00890696, 0.0154503, 0.0153423, 0.00801911, 0.00948558, 0.00229855, 0.00338793, 0.0129418, 0.00283617, 0.0063024, 0.00951628, 0.00357527, 0.0148598, 0.0063092, 0.0133323, 0.00546539, 0.00242079, 0.0109039, 0.0272712, 0.00511762, 0.00452519, 0.00779062, 0.00508304, 0.0232209, 0.000917021, 0.000853784, 0.000934294, 0.00101211, 0.000188062, 0.000150728, 0.00016001, 0.000182865, 0.000142415, 0.000181556, 0.000183928, 0.000167212, 0.000185575, 0.000161042, 0.000207336, 0.000182252, 0.000174488, 0.000197982, 0.000159002, 0.00018141, 0.000180732, 0.000180355, 0.00015532, 0.000153761, 0.000174044, 0.000143084, 0.000153032, 0.000154009, 7.74993e-05, 0.0282537
-2854.56,0.985803,0.324577,4,15,0,2890.35,5.66057,5.87316,5.97749,5.86899,5.93531,5.75856,5.92186,5.99363,5.63159,5.65107,5.80774,6.06436,5.8912,5.94664,5.73681,5.70623,5.95171,5.87737,5.98953,5.78118,5.59613,5.89991,5.47696,5.72766,5.786,6.12256,5.97359,5.77111,6.10522,5.91718,5.53762,5.86718,6.05119,5.75863,6.18138,5.95626,5.64695,6.12022,5.83688,5.77816,5.35962,5.70705,5.82311,5.91285,6.087,5.8681,5.50004,5.96723,5.91151,6.01905,5.65149,6.38099,-0.0419054,0.0768672,0.00319175,0.0169933,0.0557386,0.0166229,0.376145,0.240387,-0.605133,-0.823533,-0.109203,0.814715,-0.0831298,-0.0845682,0.179328,0.223489,0.0963431,0.0214278,0.0260046,0.104975,-0.0493441,0.00545002,0.0383473,0.0201962,0.0180679,-0.0336306,0.0063114,-0.00229276,0.963698,0.134985,0.18115,-0.0126695,-0.0756749,0.118928,-0.851469,-0.64486,-0.217298,0.908102,-0.772871,-0.178725,1.48064,0.990323,0.846279,0.0119509,0.196864,0.290089,-0.112612,0.021373,0.131204,0.0653145,0.0107831,-0.200473,0.106684,-0.030266,-0.0138747,0.0420786,0.00676884,0.00316868
-2846.94,0.929546,0.324577,4,15,0,2895.13,5.59619,5.78973,5.94501,5.91308,5.96811,5.8649,5.96364,5.97974,5.60436,5.63596,5.84002,6.0471,5.8516,5.97101,5.75695,5.69944,5.9166,5.78717,6.00717,5.79284,5.63379,5.85269,5.51776,5.64327,5.8067,5.90433,6.01601,6.02944,6.02975,6.01029,5.4332,5.9176,5.75046,5.64263,6.1898,6.13627,5.62695,5.94799,5.70881,5.72071,5.67821,5.60542,5.92968,5.95173,5.97243,5.92799,5.49527,6.07322,5.95085,5.96592,5.94349,6.33633,-0.0495967,0.0884335,0.000825052,-0.00720951,0.0739293,0.00151843,0.390063,0.237198,-0.59108,-0.865805,-0.113965,0.839486,-0.0913463,-0.123044,0.171206,0.212204,0.0821899,0.00177594,0.0439717,0.0996308,-0.00655622,0.0155694,0.0367801,0.022676,-0.00808243,-0.034704,-0.0164474,-0.00898211,0.959941,0.118608,0.502988,-0.0342956,-0.108802,0.0234844,-0.810923,-0.719392,-0.199548,0.932043,-0.736305,-0.572947,1.40659,0.979294,0.695294,-0.0153969,0.229689,0.280024,-0.0336589,0.00504948,0.0668719,0.0125776,-0.162237,-0.24215,-0.305759,-0.11857,-0.0263836,0.0494554,0.0132759,-0.00134433
-2847.96,0.880508,0.324577,4,15,0,2879.91,5.61988,5.78485,5.98997,6.00386,5.70259,5.9198,5.95282,5.98878,5.58286,5.77406,6.05485,6.10107,5.88544,6.03441,5.90139,5.75666,5.80899,5.67602,6.01486,5.93068,5.6183,5.89038,5.78686,5.76397,5.8705,6.06297,6.09084,5.75639,6.3466,6.26174,5.43153,5.93443,6.08084,5.70298,6.17362,6.11028,5.75593,6.12566,5.96663,5.78122,5.44254,5.67183,5.78027,5.79355,5.97567,5.92334,5.44575,6.00014,5.93983,5.79206,5.80149,6.31114,-0.0283673,0.114671,-0.0320755,-0.0433911,0.0512323,0.0228189,0.372265,0.271571,-0.598178,-0.833101,-0.107425,0.823564,-0.0869005,-0.084167,0.178831,0.222808,0.107085,0.0248914,-0.0194374,0.0796992,-0.0425223,-0.0151048,0.035418,0.0149321,0.00912858,0.0172019,0.00414615,-0.0253284,0.958997,0.135824,0.12743,-0.00847631,-0.0554857,0.182056,-0.814458,-0.665012,-0.204289,0.917181,-0.776632,-0.172686,1.45908,0.969738,0.928724,0.0264994,0.0697836,0.21792,-0.0762487,0.00430241,0.18018,0.110799,0.0555829,0.0631622,0.0259004,-0.334351,-0.0258916,0.0733282,-0.194572,-0.00809099
-2849.03,0.723686,0.324577,4,15,0,2901.83,5.6174,5.78259,6.00792,6.0095,5.72368,5.92909,6.0122,5.99808,5.59676,5.74314,6.13726,6.09518,5.89685,6.00504,5.86783,5.79682,5.78446,5.65847,5.98851,5.8708,5.56706,5.86815,5.76604,5.7532,5.86604,6.06063,6.07102,5.7836,6.36248,6.21443,5.49181,5.91858,6.09768,5.72077,6.21091,6.12908,5.71583,6.12299,5.88856,5.77324,5.50151,5.66022,5.77669,5.83324,5.97864,5.90407,5.41404,5.99731,5.96094,5.76197,5.80055,6.25517,-0.0195878,0.104301,-0.0303679,-0.023834,0.04631,0.0279885,0.374516,0.275366,-0.603064,-0.831995,-0.115522,0.823464,-0.0919143,-0.0751524,0.176905,0.227961,0.11423,0.0254101,-0.0256162,0.0880941,-0.0473756,-0.00419571,0.042571,0.0165119,0.00905912,0.0196901,-0.00422794,-0.0251616,0.962078,0.127695,0.04001,-0.00324621,-0.027494,0.194695,-0.823887,-0.644666,-0.239464,0.917035,-0.79513,-0.0868931,1.43917,0.983563,0.988696,0.0286398,0.0695845,0.241886,-0.0765109,0.0459563,0.211,0.119438,0.0539587,0.069877,-0.120983,-0.332149,-0.0144619,0.0668477,-0.201348,-0.00444425
-2855.81,0.741206,0.324577,4,15,0,2897.67,5.69183,5.83256,5.94738,5.95429,5.93337,5.81028,5.75496,6.04925,5.56759,5.62154,5.90039,6.07299,5.847,5.864,5.79584,5.65728,5.89037,5.66577,6.05054,5.85778,5.66182,5.96679,5.58817,5.66223,5.86256,5.8132,6.01183,5.92166,5.92311,5.9769,5.52903,6.02326,5.82994,5.61918,6.13788,6.02826,5.67906,5.87939,5.69947,5.78881,5.84131,5.61997,5.79498,5.85619,6.00189,6.06516,5.46166,6.1426,5.81604,6.0416,5.83351,6.06356,0.0242276,0.053998,-0.0184694,-0.0334633,0.0618483,0.0149185,0.374695,0.255791,-0.59287,-0.858461,-0.101423,0.823791,-0.0783939,-0.137052,0.177795,0.207654,0.0928506,-0.0226409,0.0466526,0.093944,-0.0156519,0.0118772,0.0335935,0.0138956,0.00351353,-0.0326116,-0.00542948,-0.0117953,0.961332,0.135097,0.426383,-0.029633,-0.134501,0.0789456,-0.808335,-0.747848,-0.179715,0.931248,-0.655418,-0.694731,1.4158,0.919979,0.78569,-0.0311366,0.225944,0.262804,-0.0511832,0.00416622,0.069897,-0.0142352,-0.0897876,-0.223205,-0.117312,-0.155705,0.00274518,0.0355663,-0.103614,-0.00623978
-2852.96,0.930255,0.324577,4,15,0,2897.75,5.68753,5.7213,6.01601,5.93634,5.82084,5.87722,6.00588,5.93411,5.65264,5.7023,6.03108,6.11002,5.89516,6.01477,5.88436,5.86401,5.8081,5.78613,6.01013,5.96892,5.60151,5.8931,5.73218,5.73696,5.85416,6.10977,6.05536,5.87067,6.19815,6.13689,5.56375,5.83322,5.91891,5.78707,6.21299,5.94904,5.66961,6.17422,5.97881,5.80543,5.51435,5.74862,5.84912,5.98486,6.00038,5.86924,5.57889,5.97612,6.04206,5.73306,5.83825,6.07481,-0.00884533,0.0539211,-0.0540334,-0.00311025,0.0299077,0.0172652,0.381931,0.257834,-0.60241,-0.835284,-0.112291,0.824389,-0.0898263,-0.0862871,0.166279,0.234415,0.0985705,0.0116703,-0.0060215,0.0756532,-0.0398256,-0.00061411,0.0449804,0.00921987,0.00735225,0.0218363,-0.0122392,-0.0271109,0.947426,0.120826,0.177859,-0.0141521,-0.0641844,0.138484,-0.815703,-0.614977,-0.226269,0.916445,-0.725942,-0.225372,1.35567,1.06268,0.84702,0.0162827,0.0932795,0.208414,-0.0606089,0.0498177,0.209914,0.0686093,0.0397505,0.0711515,-0.265414,-0.357881,-0.000827387,0.0446786,-0.397296,-0.000579958
-2859.51,0.927711,0.324577,4,15,0,2898.12,5.58465,5.7034,5.86447,5.96909,5.82222,5.90134,5.86498,6.00207,5.63477,5.73719,6.00958,5.95132,5.86684,5.81754,5.91922,5.64005,5.86044,5.72899,6.10682,5.71722,5.63567,5.87665,5.4859,5.66777,5.80732,5.91885,6.06977,5.8126,6.22214,6.17036,5.40717,5.93957,6.10253,5.59282,6.18381,6.20509,5.68283,5.88572,5.80067,5.79596,5.46368,5.4232,5.79512,5.9622,6.01076,5.82199,5.20988,5.99982,6.00039,5.97405,5.79911,6.35555,-0.0204322,0.157743,-0.0170303,-0.00906584,0.060679,0.0239174,0.374764,0.264344,-0.590135,-0.827156,-0.113381,0.831019,-0.0866238,-0.10184,0.201132,0.205762,0.115933,0.0213512,0.00269556,0.0918905,-0.0201793,-0.0114423,0.019149,0.0276872,-0.0156097,0.000887942,-0.00311655,-0.0240627,0.966277,0.164467,0.140657,-0.00920521,-0.0263715,0.158125,-0.791237,-0.702967,-0.217147,0.932971,-0.820733,-0.298912,1.63211,0.854328,0.983642,0.00832524,0.132889,0.253859,-0.0616017,-0.0456324,0.0519453,0.109536,-0.121775,-0.0404664,-0.0994101,-0.317643,-0.00906553,0.0931073,-0.117188,-0.00169048
-2860.02,0.967323,0.324577,4,15,0,2907.94,5.5111,5.78599,5.93038,6.00801,5.80653,5.97969,5.71455,5.96088,5.62044,5.56536,5.94682,6.11158,5.9449,6.10208,5.78148,5.81263,5.78101,5.78851,6.03865,5.67659,5.56578,5.73998,5.63714,5.65748,5.6743,5.93035,6.03155,5.84358,6.1111,6.43436,5.35329,5.88085,6.10183,5.55826,6.17111,6.10513,5.65821,6.24173,5.75723,5.76473,5.38609,5.61281,5.86128,5.90115,6.04162,5.85361,5.19787,5.98271,5.91805,5.83634,5.90521,6.33832,-0.0366881,0.10073,-0.0739974,-0.0522615,0.0586956,-0.00117273,0.399867,0.244987,-0.602166,-0.868953,-0.122717,0.822955,-0.0871326,-0.104439,0.186137,0.21955,0.093237,0.0200925,0.00889018,0.0714778,-0.0264225,-0.0124943,0.0296325,0.0493155,0.00250211,-0.0220432,0.0144071,-0.031304,0.949553,0.167445,0.490087,-0.0332332,-0.0658278,0.0528303,-0.866384,-0.795174,-0.243954,0.915676,-0.779472,-0.350003,1.53761,0.98651,0.792734,0.00636785,0.11725,0.198458,-0.0737628,-0.0455275,0.0899426,0.212257,-0.0805,-0.173654,0.195176,-0.413233,-0.0310065,0.0767791,-0.4964,-0.00974503
-2856.26,0.841266,0.324577,4,15,0,2901.9,5.46667,5.80051,5.97755,6.06381,5.76116,5.9559,5.76283,5.96531,5.55556,5.64191,5.9682,6.10152,5.9965,5.9426,5.74502,5.75851,5.79763,5.72023,5.97999,5.7214,5.65123,5.7663,5.65231,5.671,5.77329,5.9175,6.01758,5.77671,6.10909,6.40402,5.34578,5.93012,6.05139,5.60793,6.21266,5.90707,5.64166,6.18862,5.80331,5.79192,5.39926,5.53444,5.90895,5.95446,6.0664,5.94092,5.20229,5.95887,5.8582,5.77125,5.87005,6.3391,-0.0014525,0.0882774,-0.0319343,-0.0309075,0.0663699,0.00489258,0.405903,0.256143,-0.596127,-0.860722,-0.12374,0.836838,-0.0868161,-0.0941509,0.189439,0.215974,0.0760381,0.021959,0.0157647,0.0738295,-0.0256648,-0.0144695,0.0323416,0.0421826,0.00551299,-0.0137504,0.00665076,-0.00808178,0.950579,0.178802,0.366137,-0.0241137,-0.0320381,0.0583567,-0.816616,-0.700353,-0.232796,0.929001,-0.76946,-0.25827,1.56498,1.00856,0.658938,0.0182917,0.134434,0.204182,-0.049856,-0.0172046,0.141321,0.221777,-0.0131345,-0.0904464,0.101912,-0.106685,-0.00793061,0.0583539,-0.205927,-0.00576321
-2860.39,0.882498,0.324577,4,15,0,2902.22,5.42083,5.80522,5.94794,6.10201,5.80624,5.9483,5.729,5.95508,5.56985,5.6684,5.97323,6.08763,5.995,5.95948,5.76566,5.75524,5.786,5.74295,5.96306,5.65738,5.56783,5.7621,5.62051,5.6867,5.78583,5.88427,5.97934,5.77446,6.13072,6.38891,5.31856,5.91781,6.03799,5.62737,6.22133,5.94474,5.68594,6.1938,5.76518,5.80923,5.3895,5.53271,5.91514,5.96073,6.10982,5.96178,5.17584,5.95893,5.85737,5.75319,5.85525,6.32458,-0.00580337,0.087275,-0.022075,-0.0224273,0.0669123,0.000491671,0.39927,0.256242,-0.59764,-0.860814,-0.120284,0.83616,-0.0915801,-0.0974406,0.183044,0.22424,0.0744328,0.0201856,0.0139007,0.0730216,-0.0254552,-0.009947,0.0293606,0.0385966,-0.000962491,-0.00870591,0.00412826,-0.0115348,0.95743,0.18124,0.453027,-0.0300693,-0.0585881,0.0686504,-0.817771,-0.685484,-0.224807,0.927173,-0.775587,-0.300132,1.52775,1.06022,0.641383,0.0154988,0.129795,0.201925,-0.0518637,-0.00999278,0.122467,0.196487,-0.0422228,-0.0687187,0.0511692,-0.152267,-0.00774318,0.0550729,-0.141295,-0.00418194
