# 0.0134528, 0.00769029, 0.00526512, 0.00932013, 0.00476084, 0.00689117, 0.00590393, 0.00186483, 0.00808993, 0.0108046, 0.0320345, 0.00420086, 0.00452148, 0.0168661, 0.00328505, 0.0603003, 0.00694748, 0.00562837, 0.00549201, 0.00947153, 0.0165576, 0.00939384, 0.00850572, 0.0070297, 0.00794903, 0.00971843, 0.00585214, 0.0149685, 0.0130201, 0.0255857, 0.0229471, 0.00762368, 0.00885504, 0.00474259, 0.0026781, 0.0165836, 0.00347446, 0.00587262, 0.0106092, 0.00752152, 0.0518839, 0.00658014, 0.0391102, 0.00973075, 0.00292375, 0.0208776, 0.0769665, 0.00375337, 0.004052, 0.00888593, 0.00719043, 0.0164662, 0.00227371, 0.00191693, 0.00248262, 0.00322765, 0.000166897, 0.000144115, 0.000221306, 0.000177975, 0.000218179, 0.000162439, 0.000205876, 0.000162653, 0.000205996, 0.000260074, 0.000174791, 0.000189179, 0.000182189, 0.000156815, 0.000205117, 0.000114981, 0.000146919, 0.000120401, 0.00014302, 0.000127472, 0.000138373, 0.000138487, 0.000147106, 0.000130409, 0.000152317, 0.0209112, 0.000780222
2733.08,0.973429,0.333935,4,15,0,-2700.21,-1.57677,-1.5962,-1.33988,-1.3706,-1.46765,-1.23212,-1.65445,-1.36957,-1.79372,-1.64248,-1.32865,-1.24882,-1.33236,-1.10558,-1.76141,-1.89269,-1.42237,-1.56159,-1.24558,-1.67215,-1.38132,-1.38881,-1.51532,-1.83024,-1.5454,-1.73871,-1.16616,-1.65918,-1.52443,-1.40259,-1.43472,-1.59706,-1.31608,-1.81998,-0.924273,-1.37861,-1.7821,-1.25662,-1.38562,-1.39639,-1.53556,-1.11137,-2.00544,-1.60611,-1.28109,-1.32053,-1.7112,-1.00041,-1.50202,-1.68604,-1.29282,-1.4433,-0.0480059,0.0669284,-0.0560057,0.0254174,0.0281255,0.0264895,-0.107494,0.0605085,0.0182279,-0.0237097,-0.00358454,0.0175274,-0.0878128,-0.164603,-0.160954,0.0974259,-0.0751079,0.0276736,-0.052548,0.0155382,0.0564822,0.00799122,-0.0105691,0.0197297,0.024149,0.0223006,0.0233459,0.0127586,-0.00545714,0.258808,18.7252,0.396726,-0.0300325,-0.199541,0.0223677,0.0112317,-0.00498625,0.0904035,-0.0512012,0.102141,-0.769399,-2.29275,0.382023,-0.927814,0.40836,-0.0306978,0.110292,0.153599,0.0857053,0.0692681,0.170964,0.212688,0.164013,0.127587,0.186959,-0.0619221,-0.0107046,0.0509099,-0.437935,0.00474398
2741.22,0.965048,0.333935,4,15,0,-2697.1,-1.74352,-1.62419,-1.37438,-1.37301,-1.6191,-1.29033,-1.62948,-1.41937,-1.96951,-1.37999,-1.44543,-1.23811,-1.33038,-1.31916,-1.66605,-1.73947,-1.30806,-1.67488,-1.20007,-1.90614,-1.57997,-1.12456,-1.50903,-1.78631,-1.56938,-1.3141,-1.55798,-1.73586,-1.48543,-1.21084,-1.62336,-1.66123,-1.39758,-1.91649,-0.81439,-1.6586,-1.74063,-1.32289,-1.07595,-1.62061,-2.09734,-1.30158,-1.86287,-1.8156,-1.36599,-1.50951,-2.4367,-0.967894,-1.4806,-1.22037,-1.01112,-1.27183,0.0426372,0.0133581,0.0210774,-0.0143056,0.0184987,0.0152087,-0.145524,0.0207526,0.0224905,-0.0123238,-0.00230049,0.019996,-0.0841514,-0.134825,-0.169961,0.0984776,-0.0765588,0.030786,-0.0475773,0.00746715,0.0676073,-0.0248673,-0.012357,0.00768488,0.0265684,0.0161657,-0.0168687,0.0288036,-0.0281618,0.284384,18.4946,0.281373,-0.0185897,0.0263204,-0.00845636,-0.0369735,0.00144617,0.103549,-0.0294834,0.0963216,-0.69685,-2.41418,0.475186,-0.961806,0.468655,-0.0528533,0.108803,0.187115,-0.0802895,-0.0505905,0.00492589,0.08118,-0.00484449,-0.122488,0.382129,-0.319551,0.0157575,0.00218482,0.169572,-0.00267004
2739.65,0.857066,0.333935,4,15,0,-2699.54,-1.6713,-1.47596,-1.36374,-1.40231,-1.48764,-1.23225,-1.57656,-1.44888,-1.99355,-1.54259,-1.24451,-1.12949,-1.34879,-1.02068,-1.78082,-1.9898,-1.37939,-1.54576,-1.12835,-2.00988,-1.40341,-1.28619,-1.61671,-1.62459,-1.53268,-1.84679,-1.18766,-1.57351,-1.41246,-1.26257,-1.57652,-1.69757,-1.32328,-1.88582,-0.864661,-1.36426,-1.70976,-1.34279,-1.38346,-1.45256,-1.90002,-1.2152,-2.02,-1.56144,-1.3967,-1.28859,-2.12241,-0.982799,-1.36101,-1.48765,-1.20691,-1.25059,-0.0455622,0.133256,-0.0183061,-0.108411,0.00576852,0.019607,-0.123037,0.0429637,0.00684496,-0.00238811,0.0273161,0.0293949,-0.0486834,-0.118317,-0.168215,0.108716,-0.0739604,0.0103891,-0.0580226,0.00719658,0.0601077,-0.00807315,-0.0172529,0.030888,0.0130515,0.0257103,0.00938377,0.00713486,0.000101723,0.263582,19.3186,0.371616,-0.0276339,-0.130767,0.0114608,-0.0898977,0.00652809,0.184998,-0.0136632,0.142168,-0.565157,-2.28445,0.522854,-0.870994,0.251772,-0.0415937,0.0973005,0.164058,0.026443,0.0302654,0.182391,0.13003,0.145838,0.0588787,0.112503,0.00115424,-0.0601273,0.0793981,-0.0259959,-0.0202341
2740.35,0.883092,0.333935,4,15,0,-2705.29,-1.60336,-1.62409,-1.30635,-1.3528,-1.523,-1.27591,-1.64517,-1.41324,-1.81685,-1.52627,-1.66732,-1.26533,-1.18572,-1.21702,-1.69476,-1.51432,-1.39238,-1.71347,-1.20258,-1.59803,-1.44205,-1.26896,-1.49238,-1.88255,-1.59515,-1.14722,-1.45423,-1.6216,-1.52957,-1.30246,-1.6161,-1.69141,-1.38962,-1.86501,-0.782134,-1.73874,-1.71308,-1.28778,-1.10092,-1.57538,-2.0132,-1.03129,-2.00925,-1.71065,-1.37137,-1.5999,-1.52771,-1.07718,-1.53409,-1.1681,-1.0568,-1.33144,0.0335552,-0.011233,-0.0154653,0.0160349,0.0297158,0.0180623,-0.120316,0.0378445,-0.00190518,-0.012351,-0.0191338,0.0385134,-0.0555003,-0.152695,-0.149347,0.0676227,-0.0625981,0.0311415,-0.0464619,0.0198434,0.0666546,-0.0136313,-0.0170304,0.00767967,0.0342805,-0.00213171,-0.00573483,0.0262183,-0.0256124,0.245342,18.5813,0.422204,-0.0296885,-0.0909966,0.00811791,-0.0396711,-0.0014547,0.0414721,0.0259553,0.115363,-0.750472,-2.26048,0.283099,-0.828119,0.451683,-0.0494084,0.134202,0.183624,-0.0478444,-0.0547288,0.0151435,0.12832,-0.051037,-0.0597296,0.347885,-0.290623,0.024149,-0.00245216,-0.12998,0.00299281
2742.37,0.671217,0.333935,4,15,0,-2700.22,-1.74982,-1.61603,-1.26408,-1.37379,-1.41752,-1.20836,-1.50676,-1.44791,-2.02415,-1.54526,-1.59258,-1.1643,-1.18489,-1.13856,-1.89129,-2.09754,-1.45493,-1.71702,-1.22799,-1.81704,-1.43362,-1.50285,-1.50632,-1.77519,-1.64048,-1.52733,-1.31539,-1.68863,-1.36693,-1.03928,-1.87912,-1.62886,-1.26797,-1.99745,-0.768416,-1.65058,-1.74341,-1.36151,-1.17611,-1.36913,-1.68485,-1.13246,-1.70977,-1.68015,-1.31553,-1.47745,-1.63701,-0.928548,-1.49061,-1.34663,-1.11131,-1.34357,0.0336952,-0.0199262,-0.0486839,0.0513525,0.016081,0.0233965,-0.106211,0.033548,0.00505536,-0.000855648,-0.00880564,0.0297427,-0.0846826,-0.15191,-0.137254,0.0741462,-0.0859207,0.0236249,-0.0416691,0.00878646,0.050729,-0.0122331,-0.0206921,0.0142106,0.0265176,0.0184875,-0.0015075,0.021067,-0.0122819,0.300146,18.6693,0.220054,-0.0179639,0.0421833,-0.00320067,-0.0974315,0.00719293,0.0835582,-0.0305418,0.0838649,-0.726278,-2.09539,0.217614,-1.00445,0.373052,-0.0348289,0.0878179,0.13964,-0.0155433,-0.02102,0.0866042,0.148272,0.0730536,-0.0122013,0.300458,-0.139363,0.0392553,0.000798227,-0.410048,0.0095846
2737.66,0.764586,0.333935,4,15,0,-2700.84,-1.81416,-1.49193,-1.4279,-1.45777,-1.57463,-1.34579,-1.63737,-1.44173,-1.75453,-1.55627,-1.3951,-1.19732,-1.44296,-1.47521,-1.75272,-1.91997,-1.30411,-1.54005,-1.1357,-1.86121,-1.64603,-1.14125,-1.31813,-1.67941,-1.56497,-1.64628,-1.33771,-1.68443,-1.43276,-1.37922,-1.64151,-1.46703,-1.35929,-1.84594,-0.842977,-1.45266,-1.69943,-1.44083,-1.35969,-1.58304,-1.88407,-1.30389,-2.01363,-1.78777,-1.37157,-1.37541,-2.35778,-0.983747,-1.43838,-1.29213,-1.16467,-1.3839,0.0276917,-0.0279623,-0.0218908,-0.113366,0.017039,0.0347177,-0.13774,0.0373501,0.0293533,0.0196369,-0.0041166,0.0133521,-0.0637444,-0.120238,-0.161745,0.107776,-0.0473325,0.0139399,-0.0544042,0.0155316,0.0700036,-0.0157232,-0.00464391,0.00517825,0.0222596,0.0147807,-0.0178532,0.0150822,-0.0106249,0.228998,18.2344,0.172961,-0.0112433,-0.0877789,0.00338082,-0.157463,0.0175766,0.0691291,-0.0292242,0.10816,-0.629893,-2.0858,0.67141,-0.636432,0.28037,-0.054876,0.128409,0.193379,-0.0472068,-0.0205299,0.00610928,0.0763511,0.00866034,-0.103131,0.210483,-0.120561,-0.026666,-0.00870466,-0.047421,-0.0211589
2732.55,0.803838,0.333935,4,15,0,-2700.01,-1.6743,-1.59062,-1.23336,-1.47604,-1.52399,-1.16319,-1.68671,-1.47519,-1.98344,-1.58133,-1.48519,-1.10803,-1.32219,-1.22685,-1.83983,-1.96257,-1.43895,-1.72725,-1.14934,-1.72286,-1.30881,-1.37874,-1.57663,-1.66906,-1.64737,-1.65421,-1.36856,-1.71641,-1.48195,-1.15901,-1.6793,-1.70114,-1.25693,-2.02572,-0.763112,-1.48831,-1.7572,-1.22238,-1.22275,-1.48372,-1.84205,-1.19487,-1.77606,-1.49811,-1.34618,-1.34306,-1.27184,-0.982884,-1.58177,-1.40522,-1.00844,-1.36741,0.0392034,-0.0565455,-0.0145504,-0.0297953,0.0107055,-0.00414945,-0.110039,0.0353308,-0.0137425,0.011876,-0.00291771,0.0251653,-0.0767734,-0.153148,-0.140655,0.0766603,-0.11129,0.0197303,-0.0340553,0.00566538,0.0597027,0.000191467,-0.0134811,0.021377,0.0312273,0.013704,0.00592451,0.00710139,0.000713973,0.279348,19.2533,0.658396,-0.0501157,0.0575648,-0.00407907,-0.203476,0.0173286,0.119527,-0.0596161,0.0929301,-0.715931,-2.27223,0.116326,-1.21302,0.322942,-0.021089,0.0945215,0.163477,0.040328,0.027386,0.137079,0.197365,0.0852387,0.0416549,0.11352,0.00810143,0.0092287,-0.0272352,-0.0772439,-0.00556108
2737.32,0.854785,0.333935,4,15,0,-2688.07,-1.67009,-1.52026,-1.40865,-1.29845,-1.50137,-1.2525,-1.71624,-1.38903,-1.88343,-1.57202,-1.4361,-1.14442,-1.1954,-1.1353,-1.76291,-1.1816,-1.50127,-1.71589,-1.25389,-1.71647,-1.39483,-1.01754,-1.53841,-1.66288,-1.64503,-1.44632,-1.35862,-1.69841,-1.49674,-1.30538,-1.82154,-1.64438,-1.30065,-1.85308,-0.849889,-1.79823,-1.78209,-1.3868,-1.23076,-1.51513,-1.57568,-1.10749,-1.71753,-1.72425,-1.35783,-1.56036,-2.27936,-0.990309,-1.46285,-1.45113,-1.15416,-1.47999,0.0239044,0.0784798,-0.0842737,-0.0183335,0.0262524,0.0218229,-0.142505,0.0637153,0.0205822,-0.0206067,0.015085,0.0344882,-0.0636408,-0.161737,-0.173947,0.0912122,-0.0717381,0.00942625,-0.0533469,0.0279246,0.0585377,-0.00646579,-0.0180187,0.032135,0.0247006,0.0263959,0.00692907,0.0168473,-0.010131,0.208562,18.6439,0.477059,-0.032682,-0.316293,0.0285141,0.00211526,-0.0033423,0.151824,-0.0028263,0.131328,-0.759078,-2.48926,0.394497,-0.847624,0.234359,-0.0396582,0.138352,0.160396,0.0286783,0.0246124,0.181144,0.171882,0.130866,0.0332604,0.239498,-0.114956,0.0124999,0.06492,-0.602188,-0.00342182
2743.79,1,0.333935,4,15,0,-2706.29,-1.50926,-1.63945,-1.3291,-1.41087,-1.57284,-1.15177,-1.59845,-1.41241,-1.85894,-1.45734,-1.33781,-1.25186,-1.38248,-1.13041,-1.64978,-2.43729,-1.35236,-1.51173,-1.18243,-1.83597,-1.46349,-1.44297,-1.51006,-1.88637,-1.54741,-1.62036,-1.37335,-1.69009,-1.55938,-1.0505,-1.28703,-1.61001,-1.30349,-1.96154,-0.863016,-1.4486,-1.66776,-1.30804,-1.20577,-1.43086,-2.06655,-1.23696,-2.37065,-1.63247,-1.35203,-1.3376,-1.55763,-1.02471,-1.44102,-1.29544,-1.13182,-1.19691,0.00773873,-0.0129795,0.0657376,-0.00114259,0.0150266,0.0259732,-0.131032,0.0355061,0.0244287,-0.0143612,0.00308605,0.0209215,-0.080447,-0.135098,-0.15602,0.112214,-0.0810839,0.0270969,-0.0400946,0.00751797,0.0679668,-0.00663858,-0.0141272,0.000247322,0.0175773,0.0179926,-0.00395329,0.0215671,-0.00188588,0.317409,18.3645,0.192763,-0.0136837,-0.0707693,0.00319167,-0.0422269,0.00223737,0.120024,-0.0300713,0.0969152,-0.707264,-2.14338,0.529417,-0.981815,0.434269,-0.030587,0.108353,0.186688,-0.00274856,-0.00813663,0.0400775,0.117287,0.0866181,-0.000815189,0.33454,-0.021399,-0.000858277,-0.0238293,0.485237,-0.000213256
2733.85,0.738807,0.333935,4,15,0,-2699.34,-1.61012,-1.58771,-1.33024,-1.37066,-1.6497,-1.18557,-1.506,-1.3891,-1.85313,-1.4535,-1.17142,-1.23898,-1.34741,-1.07807,-1.64668,-2.592,-1.33616,-1.54906,-1.17138,-1.83553,-1.45651,-1.44303,-1.47017,-1.89393,-1.61868,-1.63767,-1.3655,-1.72594,-1.64079,-1.04341,-1.36963,-1.52648,-1.34096,-1.89945,-0.840617,-1.47669,-1.65546,-1.40767,-1.15556,-1.37009,-2.14385,-1.25259,-2.05338,-1.63482,-1.37376,-1.3482,-1.75055,-0.94986,-1.46994,-1.31196,-1.09829,-1.22048,0.0232039,-0.0106018,0.0864158,-0.00750553,0.025908,0.0207156,-0.117823,0.0389423,0.0193333,-0.00658945,-0.015466,0.0504595,-0.0605493,-0.140525,-0.166742,0.129623,-0.0771084,0.015464,-0.0389784,0.00165127,0.0653253,-6.8052e-05,-0.0138137,-0.00101839,0.0322605,0.0111819,-0.00947572,0.0271499,-0.010216,0.313785,18.6656,0.425531,-0.0307631,-0.024324,0.00220945,-0.0682523,0.00449053,0.0731665,0.0514939,0.119234,-0.745337,-2.18789,0.710383,-0.906236,0.294437,-0.0344801,0.093604,0.180274,0.00331103,-0.0246056,0.0149951,0.156292,0.030078,-0.0432858,0.401363,-0.115921,0.00354133,-0.0276928,0.643896,-0.00140086
