# stan_version_major = 2
# stan_version_minor = 25
# stan_version_patch = 0
# model = sl_beta_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 3
# data
#   file = data/cleaned/tmp/sl_beta_sens_pdw2_all.R.data
# init = 2 (Default)
# random
#   seed = 100605
# output
#   file = output/sl_beta_sens_pdw2_all_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
# stanc_version = stanc3 82a27ba
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,theta.10,theta.11,theta.12,theta.13,theta.14,theta.15,theta.16,theta.17,theta.18,theta.19,theta.20,theta.21,theta.22,theta.23,theta.24,theta.25,theta.26,theta.27,theta.28,phi,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,beta.19,beta.20,beta.21,beta.22,beta.23,beta.24,beta.25,beta.26,beta.27,beta.28
# Adaptation terminated
# Step size = 0.598669
# Diagonal elements of inverse mass matrix:
# 0.000130432, 0.000109657, 9.89325e-05, 0.000104126, 9.16947e-05, 0.000104293, 0.000108362, 0.00010676, 0.000101383, 0.000119249, 9.71218e-05, 0.000102525, 9.25722e-05, 0.000126236, 0.000113478, 0.000113132, 0.000107398, 0.000125003, 8.78296e-05, 9.61356e-05, 0.000102323, 0.000118199, 9.41233e-05, 9.21641e-05, 0.000100467, 0.000105427, 0.000103287, 9.28842e-05, 0.000103411, 0.000337731
5428.76,0.866293,0.598669,3,7,0,-5411.1,-1.54735,-0.00176305,-0.022993,-0.0689077,0.0623913,0.0177674,0.0121211,0.130306,-0.111786,-0.17003,-0.0358675,0.00278521,-0.120695,-0.0345949,-0.0823915,0.0954824,0.17113,0.0573068,-0.0406691,0.0254374,0.0671253,-0.0249989,-0.00126226,0.0166479,0.019345,0.00616906,0.00178727,-0.000269434,-0.0158362,7.80567,0.799049,-0.0561008,-0.325825,0.0316718,0.00752329,0.00100705,-0.0487842,0.0346676,-0.59966,-0.365726,-0.243049,-0.0539552,-0.309411,-0.42763,0.803592,0.797679,0.488361,-0.0309495,0.145971,0.186043,-0.0479759,0.0156982,0.077207,0.106033,0.0115311,-0.017412,-0.034127,-0.209159
5429.22,0.615942,0.598669,3,7,0,-5408.16,-1.54198,0.00650159,-0.00798696,-0.0877067,0.0628576,0.0338395,0.00376558,0.138834,-0.131429,-0.16549,-0.0474711,0.0213786,-0.108709,-0.0272467,-0.0642434,0.105456,0.164477,0.0865965,0.000632075,0.00571822,0.0723272,-0.040288,0.0047565,0.0201692,0.00473828,-0.00283665,-0.0264331,-0.0223597,-0.0408185,7.91141,0.546986,-0.0341912,-0.535015,0.0455775,0.0364643,-0.000995848,-0.0457364,0.0526662,-0.617309,-0.50576,-0.182193,-0.0571552,-0.399481,-0.224156,0.904705,0.693205,0.740926,-0.0261995,0.112626,0.202616,-0.15465,-0.073574,-0.0405263,-0.124003,-0.173401,-0.25787,-0.469499,-0.539117
5430.99,0.912579,0.598669,3,7,0,-5411.71,-1.54822,-0.0188041,-0.00757667,-0.0808053,0.0515002,0.0214242,0.00288082,0.133198,-0.107767,-0.169699,-0.049177,0.0181008,-0.115639,-0.0361729,-0.0975182,0.131714,0.159985,0.0556357,-0.00650956,0.0231407,0.0686448,-0.013963,0.0160288,0.0386399,0.00268406,0.0199259,-0.0265284,0.0041825,-0.0281022,7.98246,0.493427,-0.0364305,-0.309752,0.0285354,0.0260933,-0.00102255,-0.0544942,0.0823881,-0.630993,-0.493531,-0.17629,-0.0555258,-0.426847,-0.466886,1.0797,0.752951,0.485455,-0.0144775,0.143421,0.193164,-0.0340379,0.031547,0.102492,-0.062137,-0.00637086,-0.207169,0.0215153,-0.371165
5432.68,1,0.598669,3,7,0,-5420.05,-1.55394,-0.000252236,-0.000536598,-0.0846182,0.0424541,0.038176,0.00464851,0.150433,-0.117703,-0.159187,-0.0602259,0.0115357,-0.101961,-0.0402989,-0.0983353,0.113149,0.154641,0.0676834,-0.0103816,0.0138121,0.0798206,-0.0101857,0.00828733,0.0462888,0.00991382,0.0266565,-0.0186862,0.0100673,-0.0185828,7.66785,0.223763,-0.0151122,-0.253939,0.0202553,0.0300802,0.000670292,-0.0206589,0.0287426,-0.58941,-0.477209,-0.188337,-0.0410307,-0.411528,-0.507639,0.898167,0.69245,0.5945,-0.00633463,0.139834,0.223512,0.00194795,0.0526218,0.182966,0.0304215,0.0712753,-0.136062,0.142811,-0.245435
5431.95,0.987272,0.598669,3,7,0,-5421.82,-1.54315,0.0089193,-0.00814878,-0.0837001,0.056283,0.00778971,0.00470795,0.115798,-0.113758,-0.16814,-0.0331347,0.0275655,-0.119606,-0.0426184,-0.0566109,0.114628,0.168323,0.0757146,-0.0166165,0.0202732,0.0803987,-0.0403704,-0.011316,0.0146075,0.020297,-0.00136911,-0.0019841,-0.00112703,-0.0201034,7.94219,0.51571,-0.0346139,-0.34181,0.0312148,0.0117181,-0.00148306,-0.0818048,0.0798817,-0.590585,-0.411109,-0.174871,-0.0508557,-0.44597,-0.139376,0.964596,0.730348,0.657777,-0.0168823,0.153197,0.221965,-0.107369,-0.0382427,0.0454596,0.0846013,-0.0460791,-0.0489198,-0.057147,-0.265519
5431.28,0.95174,0.598669,3,7,0,-5420.9,-1.54308,0.00457102,-0.0122462,-0.0848762,0.064962,0.038907,0.00115367,0.142585,-0.114663,-0.152126,-0.0391254,0.00361561,-0.0966922,-0.04584,-0.0940619,0.116159,0.146617,0.0649962,-0.0206166,0.02434,0.065529,-0.0200255,0.0165944,0.0295367,0.0183424,0.0127801,-0.0106825,0.00424409,-0.0287091,7.4938,0.644383,-0.0435429,-0.442906,0.0392871,0.0414666,-0.000776439,0.00402114,0.019261,-0.534675,-0.38819,-0.208186,-0.0302908,-0.42308,-0.483763,0.936595,0.651744,0.552098,-0.01962,0.14209,0.183435,-0.0333114,0.0576463,0.100053,0.0621464,-0.00294584,-0.111435,0.0214741,-0.37918
