# stan_version_major = 2
# stan_version_minor = 25
# stan_version_patch = 0
# model = vi_normal_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 4
# data
#   file = data/cleaned/tmp/vi_normal_sens_pdw2_all.R.data
# init = 2 (Default)
# random
#   seed = 100605
# output
#   file = output/vi_normal_sens_pdw2_all_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
# stanc_version = stanc3 82a27ba
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a_region.1,a_region.2,a_region.3,a_region.4,a_state.1,a_state.2,a_state.3,a_state.4,a_state.5,a_state.6,a_state.7,a_state.8,a_state.9,a_state.10,a_state.11,a_state.12,a_state.13,a_state.14,a_state.15,a_state.16,a_state.17,a_state.18,a_state.19,a_state.20,a_state.21,a_state.22,a_state.23,a_state.24,a_state.25,a_state.26,a_state.27,a_state.28,a_state.29,a_state.30,a_state.31,a_state.32,a_state.33,a_state.34,a_state.35,a_state.36,a_state.37,a_state.38,a_state.39,a_state.40,a_state.41,a_state.42,a_state.43,a_state.44,a_state.45,a_state.46,a_state.47,a_state.48,theta_2.1,theta_2.2,theta_2.3,theta_2.4,theta_1.1,theta_1.2,theta_1.3,theta_1.4,theta_1.5,theta_1.6,theta_1.7,theta_1.8,theta_1.9,theta_1.10,theta_1.11,theta_1.12,theta_1.13,theta_1.14,theta_1.15,theta_1.16,theta_1.17,theta_1.18,theta_1.19,theta_1.20,theta_1.21,theta_1.22,theta_1.23,theta_1.24,theta_1.25,theta_1.26,theta_1.27,theta_1.28,sigma,sigma_a,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,beta.19,beta.20,beta.21,beta.22,beta.23,beta.24,beta.25,beta.26,beta.27,beta.28,gamma.1,gamma.2,gamma.3,gamma.4
# Adaptation terminated
# Step size = 0.305791
# Diagonal elements of inverse mass matrix:
# 0.00476531, 0.00271111, 0.00225476, 0.00401869, 0.00555862, 0.00700339, 0.00886868, 0.00214538, 0.00780212, 0.00751924, 0.0160225, 0.00406049, 0.00466057, 0.01448, 0.00284956, 0.00565066, 0.00618641, 0.00797381, 0.00453592, 0.00706649, 0.0123483, 0.00984444, 0.00572375, 0.00540247, 0.0057996, 0.0107547, 0.00545529, 0.0122513, 0.00785282, 0.0153756, 0.0175616, 0.00605995, 0.0106939, 0.00237723, 0.00417062, 0.0154636, 0.00348877, 0.00614402, 0.0100834, 0.00349944, 0.0157996, 0.00625559, 0.0159236, 0.0060588, 0.00263501, 0.0114272, 0.0256908, 0.00443817, 0.00542731, 0.00823647, 0.00501922, 0.0258998, 0.000934968, 0.000827303, 0.000975286, 0.0010921, 0.000197727, 0.000175905, 0.00022913, 0.000193394, 0.000198598, 0.000174388, 0.000144131, 0.000191258, 0.000146781, 0.000155556, 0.000145996, 0.000182261, 0.000221421, 0.000144199, 0.000192543, 0.000166261, 0.000169524, 0.00021452, 0.00013562, 0.000202444, 0.000156784, 0.000138829, 0.000141237, 0.000148629, 0.000152735, 0.000147381, 0.000153228, 0.000159002, 9.28115e-05, 0.0290477
-2859.23,0.818465,0.305791,4,15,0,2900.85,5.55581,5.97424,5.91009,5.90238,5.82953,6.01393,5.86802,5.93679,5.6061,5.75037,5.81271,6.07772,5.93246,5.7298,5.78357,5.8363,5.79131,5.74271,6.04367,5.86036,5.74309,5.98523,5.58344,5.77462,5.9549,6.1143,6.08701,5.97485,6.20624,6.37462,5.37233,6.03139,6.09223,5.58861,6.28846,6.01335,5.76627,6.12842,5.63107,5.93555,5.56899,5.59873,5.94699,5.84261,5.94813,5.83798,5.40075,6.0371,5.98217,5.79901,5.99874,6.17265,0.0312237,0.0358278,0.0387732,0.00553905,0.0629183,0.00953884,-0.0705437,0.0573889,-0.0828891,-0.0229878,0.361211,0.249006,-0.587658,-0.842983,-0.103706,0.826217,-0.0643332,-0.0794085,0.165653,0.213538,0.0927075,0.0119695,0.00154094,0.0794818,-0.00365993,0.0204163,0.0352884,0.0219327,0.00919062,0.00599646,-0.00914831,-0.0213422,0.973224,0.21284,0.811449,-0.0550832,-0.445249,0.0431506,0.0137782,-7.87341e-05,-0.0430682,0.100123,-0.750216,-0.590755,-0.224852,0.922665,-0.63766,-0.165688,1.34083,0.972937,0.793978,0.0163213,0.116518,0.223233,0.0325177,0.103344,0.158251,0.120278,0.0209575,-0.0110858,-0.200704,-0.281881,0.0165159,0.00969923,0.281806,0.00103285
-2863.9,0.959024,0.305791,4,15,0,2906.06,5.70373,5.96628,5.89527,5.93479,5.91419,5.9882,6.05445,5.95927,5.47579,5.52911,6.13029,5.96531,5.81218,5.97681,5.7752,5.85833,5.816,5.86081,6.05323,5.88847,5.8619,5.89766,5.71823,5.78926,5.84955,6.02309,6.15515,5.71774,6.13819,6.30398,5.23236,6.07476,6.04547,5.65953,6.29329,6.00007,5.73766,6.08425,5.8479,5.86967,5.49889,5.68704,5.85519,5.69368,6.08542,5.99051,5.37058,6.03725,5.98741,5.85791,5.96933,6.20751,0.0468496,0.112589,-0.0732293,-0.0103482,0.0683865,0.0361638,-0.0356212,0.0480326,-0.0836986,-0.0225287,0.365241,0.217204,-0.611393,-0.840269,-0.109033,0.806706,-0.0539846,-0.106107,0.154128,0.229856,0.090527,0.00550081,0.00961512,0.0857603,-0.0335516,0.0252077,0.0464298,0.0237732,-0.00480841,-0.0188869,0.000819187,-0.0113307,0.968394,0.156199,0.336916,-0.0233078,-0.365691,0.0390309,0.0229457,-0.0010568,-0.0934112,0.0612212,-0.852183,-0.624287,-0.258874,0.904172,-0.584217,-0.433719,1.28439,1.06112,0.779564,0.00258962,0.140782,0.239561,-0.0606435,0.0854496,0.156302,0.0727105,-0.093084,-0.134475,-0.00659647,-0.149652,0.0281222,0.0827769,-0.532347,-0.0019296
-2844.23,1,0.305791,4,15,0,2892.21,5.58621,5.7033,5.91973,5.90736,5.78933,5.86592,5.91021,6.02749,5.49309,5.67984,5.98881,6.09225,5.86382,5.72614,5.89835,5.5381,5.85391,5.74871,5.86233,5.80942,5.37451,5.96493,5.68112,5.47296,5.87733,5.88613,5.93684,5.84664,6.04699,5.93069,5.46367,5.92627,5.96633,5.7146,6.20006,6.2409,5.64337,6.0784,5.79042,5.63113,5.46363,5.70283,5.94764,5.83469,6.04631,5.74342,5.56881,6.1446,5.96052,5.84644,5.81977,6.08854,-0.0629957,0.0863355,-0.00900375,0.00261839,0.0481952,0.0174273,-0.0797637,0.0518497,-0.0249181,-0.00606948,0.356919,0.241136,-0.591293,-0.870493,-0.0994904,0.818658,-0.0978245,-0.0903604,0.169145,0.229494,0.101839,0.0142077,-0.00211387,0.10968,-0.0240253,0.00311301,0.0371923,0.0180132,0.0171901,-0.0175243,0.00222712,-0.0505817,0.97669,0.144131,0.503347,-0.0332832,-0.392297,0.0329833,0.00369119,0.00700112,-0.0981296,0.0879098,-0.787128,-0.681693,-0.226764,0.924694,-0.84784,-0.243184,1.40927,1.02061,0.891327,0.00018246,0.148977,0.306813,-0.0688349,-0.0125343,0.0939116,0.0142303,-0.0351302,-0.194108,-0.0546279,-0.668066,-0.029101,0.0507936,-0.0693189,0.000488242
-2834.53,0.941586,0.305791,4,15,0,2884.9,5.63164,5.7874,5.97505,6.03035,5.90418,5.88286,5.9961,6.0766,5.64693,5.64146,5.93345,6.06632,5.88885,6.11389,5.74434,5.71948,5.79865,5.6887,5.99236,5.96527,5.70193,5.84175,5.65231,5.68471,5.74693,5.99292,6.04955,5.92345,6.08428,6.25559,5.45373,5.9702,6.01646,5.66653,6.13417,5.93325,5.6273,6.05654,5.72334,5.836,5.68915,5.68364,5.55596,5.91592,6.00902,6.03525,5.30772,6.03156,5.86783,5.88248,5.81362,6.23635,0.00899064,0.100999,-0.0172475,-0.0282231,0.0558153,0.00514222,-0.0875103,0.0428611,-0.0888725,-0.0414748,0.369357,0.254003,-0.607456,-0.859555,-0.0802385,0.802312,-0.0929156,-0.110582,0.186533,0.206827,0.0940502,-0.000199707,0.0208647,0.0709307,-0.0396281,0.0129635,0.0439579,0.020872,-0.00317109,-0.0115165,-0.0131583,0.0160872,0.944825,0.12478,0.753935,-0.0516985,-0.280027,0.0272449,0.0824837,-0.00822976,-0.099245,0.120591,-0.83367,-0.713982,-0.158514,0.92324,-0.810167,-0.431975,1.50259,0.922173,0.809535,0.00669192,0.142656,0.196752,-0.0639013,0.0760019,0.185362,0.104618,-0.0345139,-0.0560986,-0.201876,0.212474,-0.00219715,0.0615454,-0.0997654,-0.00526266
-2838.18,0.869451,0.305791,4,15,0,2876.8,5.62422,5.77289,5.94615,5.92465,5.75069,5.92959,5.77337,6.00475,5.49637,5.74361,5.97928,6.13973,5.91024,5.8263,5.93212,5.68118,5.71679,5.63569,5.92324,5.84349,5.46411,5.95511,5.71311,5.52798,5.89775,5.86615,6.0263,5.71822,6.09135,6.10915,5.36498,5.98118,5.92904,5.71079,6.21763,6.15309,5.68872,5.95715,5.77054,5.66791,5.56129,5.59817,5.97222,5.84932,6.01893,5.85957,5.54155,6.11972,5.99795,5.74685,5.8657,6.21626,-0.0314543,0.10053,-0.0502648,0.0091748,0.0544562,0.0143484,-0.0676991,0.0583828,-0.0366973,0.000410481,0.366455,0.250637,-0.58977,-0.869465,-0.108771,0.815594,-0.0836999,-0.0906128,0.167108,0.223009,0.0889549,0.0167414,0.00771169,0.102156,-0.0164114,-0.00902014,0.0267521,0.0242994,0.014418,-0.000831062,-0.0012232,-0.0473501,0.974962,0.152001,0.587556,-0.0394623,-0.399591,0.0361915,-0.032149,0.00996339,-0.0632594,0.0788336,-0.798174,-0.689934,-0.246206,0.917513,-0.769343,-0.262893,1.39999,1.0147,0.781703,0.00876273,0.158973,0.285141,-0.0424511,-0.0275876,0.0881353,0.0926339,-0.00363809,-0.0902138,-0.109394,-0.625384,-0.00717622,0.0696835,-0.381575,0.00171079
-2841.83,0.770954,0.305791,4,15,0,2878.41,5.65319,5.85058,5.96782,5.89459,5.9669,5.87058,6.04321,6.0887,5.67459,5.59588,5.91411,5.9609,5.85099,5.81512,5.79236,5.67348,5.99465,5.84464,6.06663,5.94723,5.6486,5.9214,5.62799,5.83453,5.8042,6.09704,6.07007,5.79691,6.2117,6.10997,5.46436,5.95489,5.90123,5.71117,6.15692,5.94758,5.70804,6.12438,5.80954,5.83122,5.44286,5.74917,5.66343,5.90512,6.02191,5.85817,5.24392,6.09897,5.8183,5.98871,5.84395,6.35486,-0.0239222,0.088539,0.00576352,-0.0256132,0.0516283,0.0206136,-0.0227027,0.0506126,-0.0714374,-0.0383731,0.384826,0.248859,-0.624639,-0.84513,-0.0910744,0.831585,-0.073932,-0.108421,0.156627,0.216321,0.0997669,0.00353361,0.00708414,0.0733473,-0.0351356,0.0112296,0.0485102,0.0147873,0.000764976,-0.0315494,-0.00627827,-0.0115321,0.952515,0.126243,0.576675,-0.0413434,-0.38075,0.0415811,0.097013,-0.00750142,-0.0452954,0.152592,-0.846053,-0.600036,-0.181669,0.935308,-0.69444,-0.463295,1.28531,0.962518,0.856271,-0.00731076,0.117315,0.205153,-0.0916777,0.0128526,0.131908,-0.0128897,-0.104674,-0.219833,-0.13196,-0.152312,-0.0201771,0.048395,0.0681529,-0.00477601
