# 0.0112159, 0.00807017, 0.00575516, 0.00842507, 0.00373011, 0.00515165, 0.00575752, 0.00162927, 0.008066, 0.0101974, 0.0320497, 0.00469427, 0.00366668, 0.0178316, 0.00254285, 0.045705, 0.007528, 0.0060696, 0.00516373, 0.0109604, 0.0136588, 0.00886933, 0.00753656, 0.00727623, 0.00977464, 0.0101314, 0.00622296, 0.0123464, 0.011338, 0.0222167, 0.0203281, 0.00752886, 0.00794855, 0.00372019, 0.00264661, 0.0151783, 0.00303054, 0.00543082, 0.00717708, 0.00714092, 0.0515907, 0.00615013, 0.0420697, 0.00931454, 0.00244588, 0.0180365, 0.0706159, 0.00407137, 0.00373352, 0.00842957, 0.00760974, 0.0148254, 0.00195609, 0.00174479, 0.00264246, 0.00234702, 0.000161417, 0.000140348, 0.000223354, 0.000194168, 0.000173288, 0.000207384, 0.000192271, 0.000211119, 0.000176185, 0.000181176, 0.000195009, 0.000145755, 0.000133449, 0.000150957, 0.000140927, 0.000129045, 0.000135417, 0.00010222, 0.000121486, 0.000107685, 0.000158937, 0.0180138, 0.000763913
2739.5,0.993353,0.329791,4,15,0,-2699.13,-1.76094,-1.73154,-1.34951,-1.32285,-1.51633,-1.31054,-1.64462,-1.44359,-1.9545,-1.66165,-1.64895,-1.19699,-1.3424,-0.93873,-1.66375,-1.82461,-1.60347,-1.6636,-1.33536,-1.8331,-1.55587,-1.33909,-1.59233,-1.73122,-1.72922,-1.5504,-1.37656,-1.57003,-1.42715,-1.02948,-1.81322,-1.58019,-1.35977,-1.90212,-0.897349,-1.6104,-1.72787,-1.19146,-1.18667,-1.66382,-1.82828,-1.29778,-1.82909,-1.65146,-1.30194,-1.22872,-1.82296,-0.948979,-1.37203,-1.45955,-1.04596,-1.26887,-0.0381698,0.0448765,-0.0792172,-0.0446876,0.0257307,0.0243949,0.00220392,0.0572659,-0.1045,-0.146868,-0.158094,0.10738,-0.0561819,0.000950622,-0.0556044,0.0332094,0.063135,0.00466218,-0.000504238,0.0287233,0.0304379,0.0271153,0.00820008,0.0150647,-0.00407655,0.230888,18.9103,0.182511,-0.0143524,0.105459,-0.021807,0.0915,-0.610367,-2.01781,0.542449,-0.677533,0.12956,-0.0358976,0.155969,0.173475,0.0748815,0.0863132,0.182429,0.213365,0.147183,0.0512221,0.226605,-0.0460761,-0.0304497,0.0453507,-0.538502,-0.00834064
2732.13,0.710088,0.329791,4,15,0,-2691.35,-1.68821,-1.62434,-1.35459,-1.60912,-1.5269,-1.39877,-1.53763,-1.40315,-1.86234,-1.40919,-1.38676,-1.17887,-1.29059,-1.49707,-1.7534,-1.79025,-1.30575,-1.44656,-1.18793,-1.76935,-1.61002,-1.29434,-1.45307,-1.71058,-1.44862,-1.57621,-1.3482,-1.73736,-1.56454,-1.26877,-1.57568,-1.77066,-1.33635,-1.92154,-0.81163,-1.62948,-1.71749,-1.32633,-1.30359,-1.43132,-1.85443,-1.10178,-1.6624,-1.60377,-1.32601,-1.75194,-2.09856,-0.981372,-1.66963,-1.25559,-1.16227,-1.39268,0.00802444,0.0458894,0.0501092,-0.0708323,0.0154802,0.0320039,-0.0280587,0.0760211,-0.0914966,-0.143665,-0.131782,0.0856256,-0.0666774,0.0419439,-0.0520162,-0.0126275,0.0285762,-0.010193,-0.00872662,0.0226038,0.0241045,0.011608,0.00193793,0.0329602,-0.0243535,0.209876,18.0477,0.162357,-0.0124338,0.0299436,0.0467731,0.0905304,-0.61021,-1.80663,0.324279,-0.872232,0.520298,-0.0458349,0.0147385,0.0793607,-0.00589833,0.00901679,0.104428,0.123234,0.0386607,-0.00913728,0.457034,-0.275261,-0.0243943,0.0133882,0.440096,-0.0132204
2740.03,0.995967,0.329791,4,15,0,-2699.58,-1.66284,-1.61295,-1.33445,-1.4926,-1.54407,-1.37962,-1.51064,-1.43701,-1.9227,-1.42749,-1.51184,-1.14128,-1.33493,-1.26292,-1.72841,-1.90297,-1.42573,-1.45067,-1.14458,-1.74339,-1.65759,-1.19992,-1.56826,-1.82087,-1.54334,-1.49345,-1.29302,-1.70086,-1.50215,-1.17209,-1.59198,-1.66962,-1.40885,-1.82124,-0.824523,-1.52813,-1.6927,-1.2693,-1.47975,-1.43851,-1.79402,-1.10994,-1.97175,-1.71949,-1.27144,-1.42396,-2.22425,-0.935818,-1.73261,-1.26782,-1.26672,-1.4628,-0.00686174,0.0854789,-0.0250326,-0.063753,0.0112999,0.0250876,-0.0114485,0.0665832,-0.0983325,-0.152668,-0.134667,0.108099,-0.0728721,0.0429036,-0.0694882,-0.010973,0.051206,-0.00948435,-0.00299737,0.0234871,0.0415658,0.00321096,0.00738243,0.0285696,-0.020811,0.201784,18.115,0.283469,-0.0222144,0.0831712,-0.0159877,0.112053,-0.631093,-1.74493,0.470436,-0.973247,0.544481,-0.0583819,0.0502602,0.140578,0.0102581,0.0418617,0.123289,0.21663,0.0198791,0.0231692,0.396902,-0.23522,-0.0239559,0.0542406,-0.120352,-0.0118991
2737.18,0.800355,0.329791,4,15,0,-2700.95,-1.60537,-1.56801,-1.37087,-1.49454,-1.44812,-1.19928,-1.60772,-1.41442,-1.94691,-1.63191,-1.38912,-1.36155,-1.19147,-1.20499,-1.72366,-1.61525,-1.26117,-1.80864,-1.20758,-1.82027,-1.31836,-1.3826,-1.46178,-1.67477,-1.64552,-1.54379,-1.30498,-1.6658,-1.52722,-1.39201,-1.81294,-1.61994,-1.38515,-1.89211,-0.835529,-1.66279,-1.69123,-1.28955,-1.27656,-1.62721,-2.07071,-1.21315,-1.92042,-1.63208,-1.33034,-1.5699,-2.15054,-0.966103,-1.43387,-1.45926,-1.04053,-1.24378,0.0262185,-0.00540481,0.0289546,0.0435045,0.0434795,0.0170526,-0.00131369,0.0511966,-0.0894175,-0.168743,-0.184813,0.0794282,-0.0816373,0.0231736,-0.0644398,0.0307967,0.0625155,-0.0147916,-0.021656,0.00945394,0.0147904,0.0251941,-0.00596488,0.0114344,-0.0185944,0.278614,19.523,0.286489,-0.0194236,0.111907,-0.0316653,0.131875,-0.729776,-2.75253,0.275277,-0.990768,0.390604,-0.0618515,0.147207,0.170478,-0.0427744,-0.0534853,0.0395747,0.0643869,0.0657149,-0.0621515,0.133075,-0.210167,0.027759,-0.0107859,0.169556,0.00811982
2735.3,0.973098,0.329791,4,15,0,-2698,-1.75582,-1.61056,-1.40865,-1.2683,-1.58885,-1.23097,-1.53482,-1.47772,-1.97351,-1.56826,-1.79442,-1.09659,-1.42543,-1.05857,-1.74615,-1.85709,-1.39296,-1.65198,-1.10332,-1.78707,-1.63575,-1.34919,-1.61427,-1.81773,-1.66627,-1.5937,-1.45131,-1.34943,-1.60696,-1.06474,-1.4836,-1.70482,-1.32316,-1.99488,-0.867269,-1.45094,-1.6771,-1.28138,-1.41981,-1.49277,-1.77719,-1.19091,-1.78276,-1.63629,-1.30918,-1.21139,-1.49946,-0.970058,-1.50867,-1.32342,-1.08505,-1.24439,-0.050423,0.0988651,-0.0315164,-0.0505359,0.0240441,-0.000266287,0.00169331,0.0727053,-0.11313,-0.137978,-0.154075,0.108467,-0.0629737,0.0137162,-0.0586069,0.0114229,0.0520419,0.00221244,-0.0154096,0.0397491,0.0210549,0.00923965,0.00954521,0.0161854,-0.0161775,0.228587,18.6445,0.613512,-0.0437979,0.117866,0.0144109,0.0820776,-0.575458,-1.98937,0.53702,-0.771603,0.254912,-0.0483418,0.0968956,0.142859,0.0389803,0.0121962,0.179971,0.125093,0.0486932,0.0315015,0.213838,-0.18285,-0.0410349,0.063141,-0.181364,-0.00943218
2738.98,0.98019,0.329791,4,15,0,-2699.51,-1.70212,-1.59711,-1.31169,-1.36397,-1.54651,-1.27178,-1.56743,-1.49816,-1.8709,-1.68997,-1.72644,-1.22265,-1.26406,-1.1971,-1.72169,-1.43253,-1.57445,-1.56993,-1.12633,-1.63742,-1.64228,-1.3759,-1.58358,-1.86399,-1.64066,-1.57278,-1.34519,-1.41607,-1.44906,-1.26406,-1.59924,-1.80535,-1.28453,-1.89172,-0.870438,-1.72018,-1.67927,-1.30659,-1.42944,-1.6517,-1.7123,-1.06179,-1.75225,-1.56996,-1.37829,-1.23844,-2.24975,-0.877129,-1.44894,-1.22421,-1.14372,-1.37798,0.000764933,-0.0261357,-0.0367815,-0.0138196,0.0186578,0.00685705,0.0112445,0.0626438,-0.0913694,-0.165218,-0.168439,0.0976791,-0.0685258,0.0170414,-0.0712566,0.0190036,0.054865,0.00476975,-0.0137668,0.00543543,0.0151718,0.0243776,-0.00893949,0.0192176,-0.0194803,0.200239,19.1296,0.457378,-0.0335839,0.145789,-0.00728731,0.123101,-0.70875,-2.31319,0.456056,-0.852929,0.309055,-0.0673027,0.113359,0.150806,0.0100639,-0.0350601,0.0223612,0.0630701,0.0604339,-0.0712839,0.253215,-0.22018,-0.00284212,-0.00496563,-0.256987,-0.00257933
2737.83,1,0.329791,4,15,0,-2705.61,-1.77163,-1.64882,-1.28309,-1.37092,-1.40601,-1.3262,-1.62363,-1.37233,-1.91839,-1.53689,-1.15675,-1.2204,-1.28075,-1.19923,-1.75982,-1.95161,-1.23148,-1.65631,-1.22362,-1.69686,-1.52771,-1.18407,-1.46691,-1.68582,-1.46527,-1.3627,-1.29863,-1.75913,-1.70415,-1.01576,-1.71148,-1.64455,-1.44863,-1.92664,-0.819085,-1.50997,-1.63421,-1.23747,-1.20493,-1.51177,-1.9393,-1.23215,-2.07432,-1.62736,-1.35855,-1.54524,-1.65073,-1.10619,-1.5019,-1.30507,-1.27037,-1.46354,0.00816546,0.0356517,-0.0596845,-0.0934491,0.0186361,0.027234,-0.00863659,0.0574958,-0.0884229,-0.156543,-0.152552,0.0730221,-0.0563955,0.0312335,-0.0485489,0.0226838,0.0784451,-0.0208619,0.00287869,0.0277686,0.0365803,0.025274,0.0204554,0.0444893,-0.0139438,0.217934,18.8815,0.0817537,-0.00815551,0.0750154,0.000347875,0.111712,-0.651778,-2.16343,0.236427,-0.799092,0.477099,-0.0236942,0.155635,0.214056,0.0304767,0.127523,0.216079,0.281955,0.182522,0.126791,0.664431,-0.157603,-0.0258379,0.0358136,-0.345722,-0.0174416
2738.61,0.757119,0.329791,4,15,0,-2693.7,-1.65208,-1.58238,-1.34394,-1.49276,-1.46146,-1.40652,-1.57811,-1.48186,-2.02329,-1.45319,-1.44488,-1.26176,-1.33573,-1.24317,-1.70927,-1.64044,-1.46429,-1.72398,-1.2277,-1.68596,-1.43219,-1.1388,-1.51945,-1.72412,-1.67566,-1.83293,-1.33132,-1.81276,-1.53836,-1.21911,-1.55019,-1.72285,-1.37031,-1.77963,-0.740538,-1.62825,-1.72835,-1.30433,-1.31724,-1.50731,-2.10447,-1.1984,-1.80284,-1.62389,-1.38268,-1.53394,-2.28825,-0.904979,-1.49322,-1.40354,-1.01691,-1.34529,-0.0201005,0.0555694,0.00655862,-0.0130876,-0.00723436,0.0183142,-0.0135792,0.0873171,-0.10414,-0.157468,-0.154749,0.101766,-0.0680185,0.0281768,-0.0953968,-0.00195651,0.0456888,0.00170112,-0.0341639,0.00878991,0.022758,0.0274154,0.00794504,-0.00526101,-0.0197412,0.281348,18.5436,0.464916,-0.0357113,0.0720416,0.0118755,0.125928,-0.63375,-2.05365,0.476951,-0.913455,0.436004,-0.0850649,0.0570614,0.124584,0.0067335,-0.0704672,0.059734,0.125273,0.0930307,-0.00952126,-0.132284,-0.223129,-0.014673,0.0291733,0.0614333,-0.00244272
2740.4,0.934421,0.329791,4,15,0,-2703.4,-1.59947,-1.61811,-1.34661,-1.45672,-1.42495,-1.22165,-1.55009,-1.42943,-2.05509,-1.60118,-1.52822,-1.17001,-1.25574,-1.12569,-1.74175,-2.26547,-1.38207,-1.58045,-1.12949,-1.90284,-1.49063,-1.34132,-1.50942,-1.80768,-1.497,-1.307,-1.37228,-1.56928,-1.62582,-1.34327,-1.78563,-1.5578,-1.48479,-1.89339,-0.844711,-1.50718,-1.5857,-1.32887,-1.28664,-1.49834,-1.77554,-1.04096,-2.04181,-1.61673,-1.3193,-1.47177,-1.69691,-1.00522,-1.54534,-1.25836,-1.26231,-1.30523,0.0011898,0.0636604,0.0198649,-0.0489287,0.0234116,0.0287899,0.00487834,0.0538383,-0.0855939,-0.153035,-0.165962,0.0723358,-0.0637748,0.0385137,-0.052205,0.0232597,0.0668539,-0.0179185,0.0178974,0.0246754,0.0394306,0.00713677,-0.00108723,0.0271745,-0.00582603,0.236662,19.5337,0.054193,-0.00565535,0.122946,-0.00211654,0.111736,-0.641613,-2.44535,0.218682,-0.855094,0.493976,-0.0394258,0.14198,0.183328,0.00650849,0.111943,0.136137,0.216724,0.0443298,0.0113166,0.412597,-0.06585,-0.0175729,0.0306454,0.195393,-0.00913221
2735.6,0.839147,0.329791,4,15,0,-2706.22,-1.89651,-1.56571,-1.35744,-1.3612,-1.59755,-1.31308,-1.59415,-1.44914,-1.77489,-1.49749,-1.39427,-1.22045,-1.27027,-1.18301,-1.74552,-1.54346,-1.39568,-1.70334,-1.19461,-1.70182,-1.42054,-1.20041,-1.56281,-1.74231,-1.71694,-1.8201,-1.30116,-1.72726,-1.42421,-1.01796,-1.51361,-1.7796,-1.22136,-1.93541,-0.826694,-1.76568,-1.76678,-1.23104,-1.39807,-1.56409,-2.00841,-1.2718,-2.03799,-1.7343,-1.34423,-1.437,-2.11783,-0.955519,-1.52181,-1.43331,-1.01361,-1.33194,0.0123584,0.0484779,-0.0298591,-0.107947,0.0192784,0.00620635,-0.0298449,0.0758897,-0.0993415,-0.179067,-0.14754,0.108798,-0.0774031,0.0115668,-0.0730687,-0.00288587,0.0497805,-0.00441735,-0.038908,0.00757169,0.0111833,0.0243036,0.00858523,0.017659,-0.0244644,0.254978,18.013,0.600323,-0.0431554,0.0286602,-0.00805231,0.126351,-0.770219,-1.92719,0.534404,-0.930512,0.280309,-0.0652841,0.0603679,0.135166,-0.0139233,-0.0857421,0.0569329,0.077631,0.0954138,0.00876699,0.216196,-0.276515,-0.0306967,0.0354881,-0.111538,-0.0201475
