# 0.0104939, 0.00679253, 0.00555829, 0.00729488, 0.00434055, 0.00516222, 0.00704976, 0.00163128, 0.00622894, 0.00899888, 0.0302008, 0.00519644, 0.00416917, 0.0239003, 0.0019684, 0.0545392, 0.00688145, 0.00568982, 0.00714177, 0.00961161, 0.0152618, 0.0107936, 0.00935822, 0.00796111, 0.00890157, 0.0121826, 0.00658941, 0.01581, 0.00986764, 0.0228675, 0.0196617, 0.00564284, 0.00781599, 0.00336283, 0.00376283, 0.016615, 0.00375875, 0.00680248, 0.00945026, 0.00630886, 0.0446335, 0.00732355, 0.030729, 0.00948641, 0.00237024, 0.0170803, 0.0564267, 0.00518772, 0.00414129, 0.011863, 0.00922152, 0.0154116, 0.00188661, 0.00156188, 0.0021458, 0.00208647, 0.000188764, 0.000150462, 0.000229103, 0.000158902, 0.000201345, 0.000166698, 0.000203428, 0.000188592, 0.000174778, 0.000233307, 0.000159956, 0.000225472, 0.00018171, 0.000169004, 0.00019021, 0.000156222, 0.000129825, 0.000127361, 0.000146405, 0.000195415, 0.000141695, 0.000164808, 0.000133409, 0.000141814, 0.000141733, 0.000255116, 0.0233975
271.243,0.61074,0.419319,3,15,0,-230.815,6.44514,6.44348,6.81595,6.9359,6.65175,6.96676,6.58537,6.90494,6.25162,6.63237,6.79778,6.96158,6.92678,6.91698,6.46725,6.57365,6.78864,6.50331,6.89538,6.28826,6.70672,7.00587,6.6966,6.46893,6.51582,6.7507,6.82534,6.61718,6.71147,7.01248,6.61959,6.59164,7.06189,6.33753,7.24633,6.77878,6.46772,6.76181,6.79468,6.61815,6.22652,6.97725,6.08402,6.47591,6.84205,6.68927,6.15744,7.04687,6.80643,6.74807,6.89703,6.98681,0.0308794,0.0786609,-0.0747846,-0.0748729,0.0375401,-0.0895576,0.188033,-0.0975472,0.0813218,-0.0576422,0.00345955,-0.0944535,0.808504,-0.196935,-0.14635,0.111264,-0.077206,0.00656457,-0.0475377,-0.00182002,0.0742353,-0.00683927,-0.0341519,0.0248714,0.0131544,0.0223183,0.00630557,0.0193423,-0.0186578,0.5566,0.229078,0.271719,-0.0206124,-0.0226057,0.00193874,-0.0262218,0.000337646,0.0753072,-0.0537506,1.12477,-0.968554,-1.93865,0.56997,-0.903421,0.254428,-0.0403493,0.0982301,0.203207,-0.00322376,-0.0524138,0.128346,0.0931196,0.0960625,0.013124,0.257247,-0.21171,-0.00539705,0.0632079,-0.475563,-0.0139745
260.203,0.706497,0.419319,3,7,0,-236.797,6.32829,6.66759,6.77963,6.87252,6.64335,7.08523,6.5062,6.845,6.42025,6.69796,6.85405,6.93483,6.74167,7.11718,6.42727,6.23985,6.74812,6.39063,6.79361,6.52772,6.7206,6.9543,6.49651,6.41605,6.73115,6.44462,6.65919,6.45287,6.6582,7.17435,6.59221,6.44704,6.9024,6.27519,7.16679,6.70383,6.41941,6.9349,6.92138,6.54173,6.24494,6.9064,6.23827,6.50558,6.79749,6.66732,5.97671,7.1597,6.75116,6.70753,7.04898,6.83996,-0.00139995,0.0335528,0.00440373,-0.0567624,0.0254551,-0.0982927,0.183163,-0.072322,0.0854243,-0.0514633,0.0145986,-0.0991847,0.81562,-0.173615,-0.159597,0.129363,-0.0683665,0.0211383,-0.0381005,0.023142,0.0516693,-0.000393915,0.0197975,0.0155502,0.0318008,-0.0078447,0.00206578,0.033657,-0.0123142,0.548464,0.241693,0.642376,-0.0470188,-0.270119,0.0265093,-0.0531025,0.00400716,0.103393,-0.0334008,1.11512,-0.86754,-2.06386,0.703585,-0.804609,0.271951,-0.0309115,0.122125,0.141954,0.0373814,0.0940347,0.0821911,0.162441,-0.0181821,0.0214011,0.498443,-0.139729,-0.0213846,0.0180159,0.0894001,-0.0105943
266.479,0.987052,0.419319,4,15,0,-227.341,6.40694,6.53262,6.79908,6.8435,6.60487,6.83403,6.66402,6.85112,6.40407,6.61403,6.71522,7.03356,6.93777,6.9782,6.46151,6.54908,6.71556,6.54153,6.95363,6.45238,6.39181,6.89027,6.68507,6.3394,6.66484,6.71402,6.85487,6.31454,6.67995,7.21339,6.6753,6.47054,6.99726,6.1992,7.23973,6.79285,6.47365,6.75989,6.70952,6.56175,6.2105,7.0675,6.22263,6.48732,6.76859,6.77539,5.81688,7.14003,6.80019,6.66515,7.02905,6.71365,0.0423931,0.0607922,-0.0711535,-0.148298,0.0147819,-0.0998498,0.203362,-0.0900788,0.0888746,-0.0580871,0.0179741,-0.0798417,0.823847,-0.180992,-0.178539,0.0983253,-0.0835746,0.0017339,-0.0349371,-0.00746703,0.0570405,-0.0155033,-0.0116172,0.0207567,0.0499653,0.0301686,-0.023419,0.0135382,-0.0202007,0.545881,0.202076,0.458973,-0.0354524,-0.120229,0.012372,-0.0195103,0.00127886,0.131886,-0.00149187,1.12071,-0.889876,-2.54967,0.459012,-0.910337,0.138301,-0.0375456,0.0634006,0.159176,-0.0348198,-0.0217591,0.0707823,0.199395,0.0383316,-0.156895,0.162046,-0.229217,-0.0271422,0.0531873,-0.375129,-0.0276788
266.691,0.601782,0.419319,4,15,0,-228.774,6.66838,6.52202,6.8323,6.70675,6.66702,6.91435,6.51818,6.79155,6.32097,6.70375,6.83545,6.85008,6.86273,6.81599,6.51499,6.56488,6.79315,6.48709,6.90098,6.23293,6.79711,7.01298,6.55164,6.53971,6.61159,6.63928,6.6749,6.68329,6.62662,6.80192,6.49194,6.57038,6.95594,6.39789,7.22558,6.68395,6.5635,6.87955,6.74506,6.74133,6.16355,6.85039,6.17679,6.43806,6.77321,6.41998,6.66576,7.27675,6.70472,6.71813,6.89259,6.90112,-0.0527257,0.0783509,0.00714151,-0.0225961,0.0388278,-0.0915213,0.200958,-0.0906136,0.0711429,-0.0487424,0.0042047,-0.115305,0.82482,-0.153946,-0.132164,0.104749,-0.0819301,0.0326469,-0.0664049,0.0311292,0.060292,-0.00261818,-0.00653823,0.0206611,0.000677124,0.0150489,0.010201,0.0272621,-0.0104548,0.560506,0.217747,0.413661,-0.0300993,-0.119577,0.0122395,-0.0549562,0.00280746,0.0614901,-0.108964,1.14374,-0.726156,-1.81343,0.433998,-1.0197,0.473689,-0.0531997,0.14766,0.164485,0.0293699,0.0368785,0.125066,0.0554867,0.101072,0.0620711,0.402527,-0.118631,-0.0347555,0.0417109,0.0752691,-0.00421741
251.277,0.730432,0.419319,3,7,0,-222.704,6.49117,6.57598,6.77287,6.75628,6.55783,6.8258,6.62796,6.76912,6.30185,6.65632,6.79869,6.92852,6.89958,7.10306,6.37733,6.03751,6.79056,6.57792,7.02084,6.29989,6.59836,7.12746,6.90316,6.32271,6.48811,6.42117,6.96099,6.60938,6.72634,6.92864,6.68502,6.58856,6.96868,6.3102,7.2321,6.66399,6.45265,6.84307,6.73082,6.52741,6.07985,7.11792,6.39202,6.36716,6.71597,6.40723,6.55245,7.16178,6.69139,7.02086,6.92008,7.12601,-0.0443313,0.052258,0.0789073,0.0135849,0.0481228,-0.0953954,0.200125,-0.0685522,0.100796,-0.049295,0.0198856,-0.0825655,0.85349,-0.149475,-0.145972,0.0965712,-0.0612406,0.0110566,-0.0614183,-0.00910432,0.0573232,-0.0147572,-0.0219244,0.0158415,0.00239574,0.00814701,-0.0131257,0.00376911,-0.0381217,0.557169,0.260165,0.669321,-0.0440642,-0.39805,0.03713,0.00393284,0.000435785,0.111941,0.00838969,1.15014,-0.743037,-1.95712,0.57542,-0.739854,0.247459,-0.0769553,0.0606835,0.158266,-0.0874611,-0.120616,-0.0189139,-0.0832695,-0.0773824,-0.154089,-0.0368307,-0.432566,-0.022096,0.00871623,0.567436,0.00253554
255.984,0.846889,0.419319,3,7,0,-209.314,6.42159,6.57939,6.90101,6.81011,6.77928,6.9894,6.56463,6.8068,6.36171,6.59391,6.82394,6.89137,7.0049,6.76446,6.53441,6.48786,6.83044,6.53765,6.87729,6.37919,6.69062,6.83658,6.44755,6.52294,6.69693,6.87617,6.56944,6.50867,6.58036,6.81511,6.56637,6.39391,6.99104,6.30604,7.26744,6.76635,6.51928,6.7271,6.72624,6.69357,6.29823,6.83473,6.11911,6.60641,6.80315,6.76067,6.22904,7.16599,6.83828,6.59324,6.9875,6.87881,-0.0203865,0.0877677,-0.0265284,-0.0987395,0.0185119,-0.0976325,0.211079,-0.0833733,0.0615057,-0.028027,0.0193803,-0.110838,0.842229,-0.1565,-0.14716,0.089364,-0.0795016,0.000625257,-0.0397609,0.0317754,0.0675413,0.0107353,-0.00787353,0.0168962,0.0305668,0.0223321,-0.0149887,0.0229412,0.00257289,0.558264,0.239178,0.508599,-0.03951,-0.174734,0.0188339,-0.192599,0.0187774,0.110748,-0.0803224,1.13026,-0.758638,-2.1357,0.360248,-0.878632,0.137174,-0.0301044,0.15853,0.186655,0.0563423,0.0213726,0.0993382,0.168396,0.0858182,-0.0482847,0.367401,0.0291945,-0.0437872,0.0562521,-0.0962518,-0.0184291
256.068,0.867708,0.419319,3,7,0,-211.717,6.54872,6.5257,6.73332,6.80238,6.64722,6.88004,6.44956,6.7678,6.42412,6.69125,6.99641,6.92085,6.8773,6.95994,6.37807,6.12136,6.65988,6.52453,6.86083,6.49631,6.87054,7.18823,6.79314,6.3662,6.63474,6.57322,6.87837,6.55235,6.75486,7.06598,6.71183,6.46822,7.01024,6.25677,7.27733,6.51029,6.45868,6.89054,6.71933,6.62559,6.3418,6.9507,6.19935,6.31772,6.68818,6.62017,5.87435,7.17877,6.77672,6.84725,6.87501,7.06007,0.00650699,0.0447307,0.00585856,-0.0663989,0.0650834,-0.0897276,0.182966,-0.0686949,0.0773386,-0.0512967,0.0105191,-0.0876231,0.846567,-0.186492,-0.15828,0.115275,-0.0590955,0.0186408,-0.0396508,-0.000883011,0.0598805,-0.0285441,-0.0204418,0.0131798,0.0206277,0.00519859,-0.00192181,0.00341353,-0.0201487,0.57324,0.213942,0.627091,-0.0409922,-0.367797,0.0354133,-0.0592385,0.00334887,0.0886753,0.00964436,1.15499,-0.959047,-2.03794,0.701802,-0.732771,0.322144,-0.0431207,0.081102,0.16435,-0.0874887,-0.0626072,0.0340175,0.0684643,-0.0215795,-0.0528451,0.00289549,-0.228627,-0.0207268,0.0239234,0.109785,-0.0123929
250.281,0.863465,0.419319,3,7,0,-203.497,6.46615,6.53419,6.85827,6.90316,6.65694,7.05108,6.65836,6.91844,6.36511,6.74846,6.67532,7.00964,6.87194,6.9024,6.6292,6.38912,6.78029,6.52043,6.9765,6.29557,6.36904,6.78869,6.57106,6.40941,6.55894,6.63374,6.56952,6.52873,6.46907,6.98027,6.66345,6.59956,6.98029,6.2593,7.14407,6.77072,6.50355,6.71307,6.92723,6.82315,6.26827,6.93859,5.94359,6.56812,6.87996,6.74805,6.19311,7.12751,6.81682,6.54077,6.97129,6.72412,-0.00404174,0.0599507,-0.0151381,-0.0924394,0.0190791,-0.101872,0.181169,-0.093541,0.101474,-0.0533053,0.00721518,-0.0992863,0.805634,-0.177732,-0.150809,0.104458,-0.0805331,0.0125687,-0.052722,0.0244777,0.065358,0.00620725,0.0146105,0.0145358,0.0272071,0.0298391,-0.0145012,0.023868,-0.00300241,0.543631,0.248438,0.439772,-0.0329245,-0.0693352,0.00375001,-0.0148782,0.00241155,0.0838969,-0.069292,1.11,-0.845957,-2.08915,0.447616,-0.92939,0.242716,-0.0419376,0.140843,0.180831,0.0584123,0.0866972,0.0900772,0.152537,0.109072,-0.0574478,0.367923,-0.0340683,-0.0342117,0.0379299,-0.0186971,-0.0172532
253.14,0.989359,0.419319,4,15,0,-207.102,6.41927,6.62646,6.73837,6.81824,6.60179,6.74665,6.45884,6.83207,6.44957,6.46438,6.90651,6.93175,6.8993,6.98784,6.40045,6.60867,6.77718,6.51634,6.87986,6.47651,6.65276,7.12141,6.67801,6.41388,6.71852,6.63652,6.87661,6.48052,6.71586,7.05885,6.34735,6.42348,6.99853,6.36797,7.21089,6.56725,6.39501,6.90657,6.57994,6.48296,6.29443,6.91603,6.44505,6.40344,6.6698,6.79347,6.06191,7.12912,6.73772,6.79268,6.93312,6.94035,-0.00845498,0.0656309,0.00583378,-0.0642539,0.0543593,-0.0923829,0.199795,-0.0555878,0.0773446,-0.0521596,0.0316325,-0.0839669,0.839314,-0.166311,-0.179004,0.107422,-0.0552635,0.0147742,-0.0324122,-0.00643128,0.054137,-0.00225939,-0.0137795,0.0192364,0.00865048,0.0049869,-0.0181898,0.00410429,-0.0453205,0.573085,0.189801,0.787674,-0.054074,-0.499247,0.0513643,-0.0452237,0.00225103,0.159319,0.0566714,1.11906,-0.875842,-2.41767,0.666544,-0.650998,0.258213,-0.0545436,0.0628356,0.150235,-0.0594553,-0.112674,-0.0291174,-0.0832729,-0.120022,-0.197518,-0.0497098,-0.514251,-0.0273171,0.0354533,0.10745,-0.0119926
267.548,0.737052,0.419319,3,7,0,-208.695,6.47132,6.57987,6.85128,6.7984,6.66467,6.94449,6.67325,6.72888,6.32967,6.67786,6.72074,7.03074,6.93699,6.85788,6.50267,6.51452,6.67576,6.58885,6.90944,6.2457,6.73372,6.84457,6.60569,6.48208,6.61404,6.68753,6.78241,6.3877,6.6208,7.13201,6.59422,6.60322,6.97058,6.31655,7.2318,6.64668,6.56065,6.63584,6.94535,6.71199,6.46237,6.90581,6.12337,6.56909,6.77503,6.62756,6.33384,7.11358,6.77181,6.70695,6.94569,6.73052,0.0520544,0.0210972,-0.100779,0.0197035,-0.000478272,-0.0882835,0.189631,-0.0922743,0.0688126,-0.0509401,0.0166374,-0.114785,0.821329,-0.157348,-0.125605,0.0751547,-0.0828173,0.00915187,-0.0609475,0.00911309,0.0676798,-0.00221444,0.00768591,0.0292072,0.0271601,0.0194993,-0.0116197,0.0174086,-0.0169013,0.550434,0.246097,0.252336,-0.0214906,-0.149003,0.0121542,-0.0447608,0.00263822,0.102275,-0.125862,1.11323,-0.703369,-1.87327,0.239972,-0.945907,0.208573,-0.0577767,0.113622,0.18692,0.0208551,0.0482626,0.11063,0.11339,0.0357295,-0.0814129,0.231255,-0.191778,0.0411888,0.0370051,-0.761908,0.00367753
266.08,0.796519,0.419319,3,7,0,-230.637,6.55941,6.5943,6.74302,6.81366,6.73428,6.74973,6.45218,6.72948,6.28093,6.66827,6.60762,6.92759,7.00605,7.01897,6.38755,6.62978,6.85123,6.42563,6.87307,6.25899,6.65194,7.0028,6.71262,6.51924,6.73735,6.56829,6.66476,6.44386,6.67525,6.95057,6.5331,6.45685,6.84648,6.34251,7.28118,6.65073,6.52737,6.80776,6.99796,6.69686,6.3662,7.01957,6.59901,6.55771,6.70186,6.81829,6.52291,7.1575,6.78,6.90099,7.09453,6.71413,-0.0234113,0.0113737,-0.00259607,-0.0654564,0.0240003,-0.0993971,0.188252,-0.0855199,0.0474269,-0.0466786,0.0289908,-0.069292,0.854293,-0.148643,-0.161142,0.0621636,-0.0755594,0.0199509,-0.0603534,0.0198972,0.0525211,-0.00695315,-0.00868758,0.00894082,-0.00277728,0.0145449,0.0117746,0.0256237,-0.0257046,0.557593,0.206088,0.578316,-0.0414356,-0.200062,0.019839,-0.0678292,0.00193101,0.144161,0.0339667,1.15731,-0.682206,-2.5134,0.172784,-0.904995,0.330475,-0.0543366,0.11363,0.143312,-0.00481138,-0.000588367,0.0554004,0.0104377,0.0692627,0.033502,0.338298,-0.29167,-0.0360004,0.00762966,0.0465797,-0.012217
