# stan_version_major = 2
# stan_version_minor = 25
# stan_version_patch = 0
# model = sl_normal_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 4
# data
#   file = data/cleaned/tmp/sl_normal_full_pdw2_all.R.data
# init = 2 (Default)
# random
#   seed = 100605
# output
#   file = output/sl_normal_full_pdw2_all_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
# stanc_version = stanc3 82a27ba
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,theta.10,theta.11,theta.12,theta.13,theta.14,theta.15,theta.16,theta.17,theta.18,theta.19,theta.20,theta.21,theta.22,theta.23,theta.24,theta.25,sigma,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,beta.19,beta.20,beta.21,beta.22,beta.23,beta.24,beta.25
# Adaptation terminated
# Step size = 0.530144
# Diagonal elements of inverse mass matrix:
# 0.000168381, 0.000142501, 0.000126768, 0.000135497, 0.000143198, 0.000176081, 0.000164993, 0.000165624, 0.000162116, 0.000140884, 0.00015077, 0.000143282, 0.000151013, 0.000131395, 0.000152194, 0.00012226, 0.000144546, 0.000151544, 0.000169105, 0.000134148, 0.000161201, 0.000176367, 0.000165708, 0.000157937, 0.000133813, 0.000171844, 0.000198895
44.7991,0.964285,0.530144,3,7,0,-29.1298,6.74957,0.02179,-0.0984693,0.188187,-0.0932977,0.0987238,-0.0625258,0.000272412,-0.112016,0.856347,-0.139475,-0.174767,0.0985109,-0.0359611,0.0361978,-0.0798897,0.0274446,0.0629807,-0.0113817,0.0217135,0.0151639,0.000199003,0.0529601,0.00636585,0.0115767,-0.0123555,0.587284,0.474567,-0.0332239,-0.213695,0.0174037,0.0728439,-0.00864127,0.0191726,-0.0389273,1.17848,-0.648041,-2.26505,0.526894,-0.619244,0.511351,-0.0615367,0.142225,0.172629,0.0361785,0.135159,0.124455,0.0726877,0.234572,0.0190492,0.15097,-0.140198
50.9089,0.953262,0.530144,3,7,0,-34.2985,6.71421,0.041513,-0.0813303,0.164185,-0.10384,0.0835865,-0.0349116,0.0184304,-0.116393,0.844408,-0.132229,-0.172626,0.0747167,-0.0160377,0.0271063,-0.103057,-0.00600017,0.0633417,0.0122396,-0.00992816,0.035795,0.0333204,0.0296911,-0.013016,0.0233034,-0.0272704,0.598549,0.248303,-0.014178,-0.106088,0.00403721,-0.0339692,0.00393713,0.0566356,-0.0639628,1.15712,-0.567392,-2.29813,0.460412,-0.449434,0.422223,-0.0986911,0.0761665,0.175657,0.0530162,0.00154256,0.136206,0.138895,0.0606744,-0.106043,0.297847,-0.309437
49.5741,0.596347,0.530144,3,7,0,-32.6815,6.71976,0.0325597,-0.0773339,0.160284,-0.0945502,0.0939504,-0.0204587,0.0112712,-0.125968,0.842257,-0.127624,-0.171628,0.0883984,-0.0173193,0.0345624,-0.0984432,-0.00178787,0.07367,0.00130633,-0.000112401,0.0226713,0.0437759,0.0338153,-0.00596267,0.0219337,-0.0342746,0.60182,0.286674,-0.0175635,-0.159145,0.00853298,-0.10525,0.0134402,0.0339972,-0.0889837,1.15641,-0.566571,-2.20521,0.561223,-0.492409,0.505009,-0.0921483,0.0991197,0.203743,0.0332987,0.0351568,0.101999,0.200112,0.0819099,-0.0858417,0.258637,-0.388913
53.7101,0.979835,0.530144,3,7,0,-42.5913,6.72775,0.039566,-0.0881185,0.175871,-0.111599,0.0928194,-0.065448,0.0260098,-0.11295,0.835901,-0.137186,-0.167378,0.0916373,-0.028044,0.0314025,-0.0822117,0.0117334,0.0474084,0.000108596,0.0103588,0.00241737,0.0124479,0.0237499,-0.0291973,0.0264184,-0.0249235,0.594917,0.193326,-0.0104274,-0.101027,0.00406839,0.0825204,-0.00990044,0.0941934,-0.0397977,1.13555,-0.664154,-2.18552,0.581072,-0.516041,0.424191,-0.0883478,0.0896016,0.132827,-0.0173384,-0.00902505,-0.0393886,-0.0083081,-0.00173101,-0.184042,0.35277,-0.282806
46.25,0.795474,0.530144,3,7,0,-40.6314,6.72092,0.0238444,-0.0968146,0.158272,-0.113485,0.0986555,-0.0565965,0.00156314,-0.134921,0.827056,-0.130518,-0.176505,0.100451,-0.0304522,0.0290309,-0.0942862,-0.0111331,0.059695,-0.00479866,0.00602865,0.0522165,0.0151592,0.0388429,-0.0279849,0.0239651,-0.0273069,0.602735,0.348091,-0.0220666,-0.0917258,0.000484003,0.0690026,-0.0069653,0.0203012,-0.108608,1.14402,-0.590416,-2.22421,0.601384,-0.56194,0.436414,-0.096473,0.0604358,0.166417,0.00732719,0.0307878,0.163578,0.0207617,0.0596584,-0.185836,0.308165,-0.30985
43.6019,0.953515,0.530144,3,7,0,-31.9407,6.73116,0.0390038,-0.113491,0.187642,-0.066121,0.0885911,-0.0545735,0.0188137,-0.106682,0.861315,-0.118279,-0.16645,0.0829129,-0.00186252,0.04457,-0.0780235,0.0218454,0.0459016,0.000645114,0.00843758,0.00359488,0.0264981,0.0236458,0.0037896,0.0201538,-0.0316874,0.579583,1.0012,-0.0668035,-0.494999,0.045767,0.0513059,-0.00663818,0.0483902,0.0107938,1.15086,-0.559373,-2.1279,0.568615,-0.317405,0.550271,-0.0720698,0.109174,0.126686,0.025184,0.0466455,0.0322841,0.130091,0.068219,-0.0294978,0.237159,-0.359556
