# 0.00479352, 0.00289373, 0.00196547, 0.00458696, 0.00564179, 0.00679179, 0.00900787, 0.00187355, 0.00694532, 0.00742318, 0.0163699, 0.00351046, 0.00377454, 0.0155123, 0.00353296, 0.00653405, 0.00679522, 0.00729427, 0.00536169, 0.00854113, 0.0117388, 0.00957736, 0.00578332, 0.00561132, 0.00498762, 0.0103005, 0.0056802, 0.0153989, 0.00855154, 0.0191894, 0.015746, 0.00623855, 0.0119619, 0.00248053, 0.00354439, 0.0132473, 0.00256388, 0.00541709, 0.0106546, 0.00340595, 0.0175549, 0.00519146, 0.0166952, 0.00514044, 0.00251135, 0.013221, 0.0287661, 0.00606997, 0.00572467, 0.00908212, 0.00484738, 0.0285387, 0.000882389, 0.000940507, 0.00114096, 0.000962294, 0.000207492, 0.000153814, 0.000158124, 0.000169152, 0.000184754, 0.000147358, 0.000165892, 0.000169979, 0.000194935, 0.000165336, 0.000185273, 0.00015597, 0.000159927, 0.00020568, 0.000156436, 0.000156232, 0.000163558, 0.000153349, 0.000142708, 0.000160692, 0.000169852, 0.000190104, 0.000163075, 0.000141492, 9.0053e-05, 0.0243993
-2847.31,0.848882,0.295081,4,15,0,2899.44,5.57989,5.80329,5.95273,6.03361,5.84098,5.82905,5.93907,6.05242,5.57303,5.61965,6.01017,5.95642,5.73104,6.01114,5.83214,5.57646,5.93269,5.849,5.93635,6.05934,5.60181,5.91236,5.7198,5.68905,5.93802,5.95474,5.94279,6.1645,6.07735,6.07578,5.44879,5.92195,5.93586,5.67777,6.24073,6.05419,5.67367,6.01675,5.83143,5.83614,5.41749,5.83142,5.72312,5.76961,6.02901,5.98625,5.26996,6.14424,5.89611,5.86882,5.90622,6.33898,-0.0676625,0.0714722,-0.0283539,-0.0197085,-0.0865,-0.00777787,0.353938,0.252987,-0.597344,-0.854412,-0.0949024,0.822565,-0.090933,-0.0963787,0.168319,0.205628,0.0708502,0.00718587,0.0092235,0.116335,-0.0281161,-0.00315585,0.0360336,0.0204885,0.0341349,0.00396071,-0.00305235,-0.0234759,0.959584,0.131843,0.0327537,0.000119033,-0.119872,0.0802475,-0.795855,-0.630364,-0.153561,0.921987,-0.703946,-0.318716,1.3773,0.957179,0.653732,0.0160344,0.171136,0.312678,-0.0303928,0.0453604,0.185919,0.141768,0.149511,-0.0207435,-0.0970231,-0.309786,-0.0388321,0.0478545,-0.190523,-0.00367498
-2859.43,0.763356,0.295081,4,15,0,2899.48,5.53122,5.84003,5.97434,5.84867,5.8907,5.80006,5.89005,6.09741,5.40844,5.6867,5.83342,6.04401,5.97549,5.90454,5.84646,5.67757,5.81022,5.62854,6.03867,5.74962,5.67551,5.88572,5.66408,5.72893,5.73841,5.89997,6.12561,5.73448,6.16345,6.26366,5.22522,5.95428,5.83969,5.69392,6.1829,6.29806,5.64664,6.15504,5.65561,5.71241,5.55519,5.55475,5.66636,5.94927,6.02518,5.74605,5.42355,6.09849,5.99497,6.06477,5.82195,6.30865,-0.00450963,0.157823,-0.0514459,-0.0173759,-0.0841632,-0.0127653,0.365473,0.274658,-0.573541,-0.874268,-0.139913,0.816234,-0.0962902,-0.118582,0.181267,0.215613,0.10305,0.0119991,0.0145808,0.071873,-0.0114689,0.0123541,0.0510948,0.00651345,-0.0340229,-0.0107296,-0.0126686,-0.022991,0.962055,0.165787,0.0549871,-0.00186735,0.00493759,0.110909,-0.797172,-0.787472,-0.315201,0.916954,-0.776912,-0.492735,1.46729,0.965365,0.870134,-0.00598528,0.125577,0.193008,-0.0474077,-0.00373414,0.119544,-0.0787533,-0.25638,-0.118376,-0.265128,-0.303389,-0.00154819,0.102415,-0.363951,-0.00324003
-2848.51,0.942045,0.295081,4,15,0,2909.21,5.51097,5.80166,5.98468,5.96582,5.89919,5.83108,5.93483,6.06758,5.60098,5.58739,6.11741,6.02237,5.84909,5.81759,5.81259,5.64392,5.86976,5.86409,5.98692,5.92883,5.58343,5.73039,5.71193,5.76164,5.91611,6.00336,6.04217,6.05809,6.11583,6.10228,5.62224,5.89732,5.90895,5.66138,6.19971,5.91091,5.67384,6.00053,5.81612,5.77103,5.53973,5.82123,5.75462,5.73061,6.03683,5.89838,5.45412,6.15717,5.91458,5.94427,5.79152,6.51472,-0.0654916,0.0832952,0.000597269,-0.037545,-0.0815125,-0.0120958,0.375572,0.259183,-0.601842,-0.844078,-0.0869545,0.799601,-0.0861009,-0.114965,0.183483,0.215153,0.0705191,0.0156636,0.0263484,0.0839459,-0.0598319,0.00422411,0.0276518,0.0224497,0.00311024,-0.0170916,0.00211448,-0.0098477,0.952624,0.14711,0.0553528,-0.00171726,-0.0820434,0.138141,-0.845074,-0.705478,-0.14418,0.903781,-0.750692,-0.466394,1.54743,1.00575,0.63345,0.00864857,0.16527,0.22671,-0.143059,0.0124523,0.0909536,0.0845051,-0.0415403,-0.118265,0.018964,-0.12995,-0.0459636,0.0469589,0.0417247,-0.00700089
-2846.37,0.997767,0.295081,4,15,0,2882.84,5.63399,5.8179,5.91763,5.8371,5.78695,5.89093,5.89458,5.96958,5.48829,5.73153,5.73923,6.09247,5.89262,6.01209,5.84108,5.66369,5.82581,5.59973,6.00551,5.79602,5.58785,5.97637,5.64502,5.57034,5.72639,5.92725,6.05825,5.75313,6.19839,6.05522,5.41349,6.07712,5.97047,5.70383,6.19313,6.22015,5.70307,6.063,5.6874,5.761,5.53037,5.43512,5.6936,5.9282,5.98662,5.85526,5.40436,5.99011,5.99688,5.81196,5.83997,6.08244,0.0191198,0.0984195,-0.022994,-0.0331979,-0.113462,0.0216844,0.355496,0.249535,-0.595542,-0.87359,-0.121183,0.836124,-0.100527,-0.0928596,0.174297,0.223666,0.11687,-0.0184084,-0.0027398,0.0940642,0.00169487,0.0043398,0.0423226,0.0174731,0.00604087,0.00155799,-0.0104698,-0.0298251,0.966218,0.137345,-0.0661308,0.00943796,-0.0761748,0.0674916,-0.769304,-0.668278,-0.276372,0.947596,-0.725777,-0.257776,1.35679,0.969888,0.996009,-0.0150526,0.117732,0.252306,0.0190775,0.0278916,0.15754,0.063624,-0.0222408,-0.0540975,-0.239114,-0.39357,0.00155156,0.0616835,-0.137405,-0.0061903
-2845.05,0.950243,0.295081,4,15,0,2882.85,5.6752,5.85195,5.89799,5.96902,5.79889,5.945,5.9404,6.05745,5.67107,5.54881,5.98801,5.98873,5.88675,5.73651,5.77556,5.69626,5.84117,5.64397,6.06742,5.88956,5.62674,5.76518,5.74301,5.78867,5.90446,6.0083,6.12196,6.00529,5.9576,6.2571,5.47129,5.87177,5.95228,5.6167,6.20295,6.0723,5.73931,5.9872,5.77427,5.75771,5.46311,5.66884,5.69068,5.89043,6.06726,5.85311,5.41006,6.13799,5.86665,5.87903,5.81087,6.57015,-0.0433455,0.114223,0.00625703,0.00713447,-0.077998,-0.00200761,0.373625,0.260858,-0.592819,-0.869978,-0.0901994,0.810899,-0.0849209,-0.108019,0.183629,0.218337,0.0624019,0.0254972,0.00883829,0.0884797,-0.034719,-0.00691245,0.045951,0.0357992,0.0152878,0.00435146,0.00298684,-0.0255005,0.947175,0.172788,0.0223862,0.00267459,-0.103843,0.102628,-0.822904,-0.741903,-0.14436,0.906182,-0.722163,-0.386727,1.53053,1.05543,0.56936,0.0286016,0.134434,0.236988,-0.0483382,0.0335897,0.219226,0.211775,0.0536297,-0.0157357,0.00537156,-0.336503,-0.0175841,0.0623179,0.0392767,0.00133034
-2840.59,0.955248,0.295081,4,15,0,2878.04,5.58986,5.82435,5.93439,5.96801,5.84087,5.89805,5.92789,6.08027,5.68714,5.68247,5.77341,5.98901,5.83557,6.0155,5.85245,5.65145,5.88822,5.71127,6.04317,5.82377,5.39767,5.7118,5.67684,5.66352,5.87688,5.92225,6.17549,6.03171,5.95531,6.01616,5.40956,5.95227,6.0151,5.65352,6.28516,6.23647,5.66525,6.01253,5.73393,5.64774,5.58931,5.74488,5.85677,5.75692,6.04527,5.86384,5.31937,6.02006,5.92885,5.86939,5.83245,6.40969,-0.0495377,0.113581,0.0195664,0.00205642,-0.0811799,0.0204586,0.365977,0.252988,-0.59236,-0.860659,-0.093359,0.827266,-0.0953358,-0.127751,0.167654,0.21705,0.100385,0.0168005,0.010098,0.0982469,-0.0374008,-0.00665408,0.0413107,0.0229527,-0.00674204,0.00639278,-0.0162704,-0.0207438,0.960498,0.116746,-0.068784,0.0119764,-0.0965661,0.126128,-0.802279,-0.717976,-0.158917,0.93048,-0.770406,-0.604517,1.38022,0.956001,0.878906,0.0126146,0.151518,0.264569,-0.080975,-0.00334141,0.158991,0.0997942,-0.0681232,-0.0148864,-0.324275,-0.273733,-0.0235891,0.0584644,0.142943,0.000383453
-2841.72,0.787929,0.295081,4,15,0,2885.89,5.58749,5.81807,6.02607,5.86404,5.90625,5.80136,5.91633,6.00508,5.52044,5.69254,5.90299,6.05522,6.00765,5.96113,5.79015,5.7784,5.8061,5.73683,6.02392,5.93889,5.68881,5.96619,5.66563,5.63806,5.91641,5.99633,6.02146,5.96766,6.11507,6.0102,5.37445,5.96881,6.02869,5.63328,6.22176,5.94981,5.68692,6.10028,5.73979,5.82667,5.49691,5.62234,5.82967,5.99907,6.07506,5.82072,5.33971,6.02292,5.91467,5.95953,5.9073,6.38176,-0.0436937,0.10783,-0.0170317,-0.0211801,-0.0987181,-0.0214277,0.366666,0.265432,-0.590399,-0.851263,-0.128429,0.817964,-0.0988102,-0.0695616,0.182318,0.231728,0.095318,-0.00604086,0.0186106,0.0652613,-0.0274165,0.0199454,0.0336213,0.0293218,0.00536937,-0.0344524,-0.00764112,-0.035128,0.962577,0.121491,0.0912878,-0.00721263,-0.00277393,0.11196,-0.774245,-0.625162,-0.306283,0.920964,-0.759914,-0.0383133,1.491,1.06063,0.803909,-0.0233117,0.123468,0.17594,-0.0887918,0.0104615,0.0477074,0.0398089,-0.124534,-0.277662,-0.1992,-0.463548,-0.0268184,0.0652433,-0.105163,-0.00394938
-2848.19,0.727134,0.295081,4,15,0,2892.21,5.62852,5.88643,5.87744,5.86929,5.83969,5.85563,5.84275,6.07513,5.37902,5.67464,5.90268,6.07184,5.81113,5.8404,5.80186,5.57473,5.84403,5.75885,5.91495,5.86084,5.45108,5.72604,5.72187,5.63676,5.86054,5.90796,6.11394,5.91849,6.03627,5.8836,5.51732,5.93998,5.97693,5.74297,6.17584,6.16575,5.69709,6.00378,5.67767,5.71942,5.46642,5.68839,5.73608,5.72728,5.97311,5.75297,5.29478,6.09979,5.77738,5.7807,5.86139,6.01604,-0.0136156,0.103766,0.0364418,-0.0625494,-0.0804324,0.011404,0.376629,0.257343,-0.589355,-0.845173,-0.0767459,0.793844,-0.101364,-0.108059,0.193291,0.186456,0.0703174,-0.0124844,0.0073312,0.108481,-0.0249139,0.0141979,0.0350097,0.0125302,-0.00377691,0.00662779,-0.00900927,-0.023928,0.96834,0.147793,0.00412962,0.00528246,-0.0773795,0.0840643,-0.780904,-0.693085,-0.105368,0.908754,-0.748273,-0.396899,1.56167,0.861337,0.622101,-0.00921609,0.158276,0.291377,-0.0428624,0.057147,0.130193,0.0431345,-0.0500412,-0.0116059,-0.202548,-0.315752,-0.0301775,0.0491526,0.332172,-0.0116634
-2856.54,0.694972,0.295081,4,15,0,2903.38,5.58988,5.76981,6.1165,6.07008,5.91238,5.86153,5.98817,5.98502,5.62186,5.66309,6.08085,6.09776,5.92714,6.00377,5.89062,5.66767,5.8847,5.66552,6.1402,5.9251,5.56851,5.98294,5.63089,5.54806,5.84913,6.00968,6.09584,5.93773,6.27375,6.18454,5.13948,5.83074,5.98858,5.64547,6.27481,6.18904,5.67568,6.17532,5.90096,5.83023,5.62043,5.60045,5.93126,5.97532,6.05545,5.95727,5.62768,6.02188,6.06162,5.96578,5.90424,6.42247,-0.0804736,0.147336,-0.0805575,-0.0206483,-0.0963329,-0.0197654,0.363002,0.273525,-0.578685,-0.881018,-0.131087,0.835017,-0.0651018,-0.111228,0.165769,0.241526,0.0957405,0.0270726,0.009171,0.0628125,-0.024198,0.000267307,0.0427837,0.0230532,0.0133255,-0.0110753,-0.0316065,-0.0177264,0.960164,0.128623,0.0505508,-0.00306328,-0.0418559,0.138868,-0.800622,-0.768038,-0.291789,0.919067,-0.634594,-0.441698,1.37343,1.11776,0.826685,0.0161444,0.101399,0.168862,-0.0544811,0.00303742,0.145044,0.0755626,-0.0171885,-0.130691,-0.588225,-0.233917,-0.0405181,0.104329,-0.576416,-0.00385022
-2854.79,0.971221,0.295081,4,15,0,2899.43,5.60051,5.85888,5.98378,6.04031,5.78173,5.90632,6.0377,6.0373,5.6553,5.65303,6.08389,5.98678,5.91308,5.99034,5.77922,5.83407,5.87333,5.77846,6.05407,5.83626,5.62581,5.98053,5.53095,5.48404,6.00187,5.95261,5.99234,6.09548,6.24976,6.00801,5.43672,5.91982,6.12531,5.66106,6.23486,6.38196,5.71561,6.01624,5.9523,5.70021,5.81268,5.65806,5.67157,5.86906,5.99158,6.12997,5.2284,6.05426,5.92219,5.89848,5.90855,6.65044,-0.086875,0.107824,-0.0119367,-0.000942677,-0.083735,-0.0375516,0.353351,0.255943,-0.610864,-0.877523,-0.119521,0.848638,-0.095075,-0.125794,0.174772,0.218251,0.0932799,0.0135523,0.0111279,0.092201,-0.0362276,0.00235206,0.0426457,0.0294018,0.00173836,-0.00180825,0.00517198,-0.0193367,0.962841,0.134961,0.125973,-0.0104126,-0.110605,0.0876611,-0.827996,-0.688883,-0.23151,0.953905,-0.76187,-0.562735,1.42637,0.981283,0.818698,0.0146717,0.144409,0.24731,-0.0628821,0.0399232,0.180642,0.150774,-0.0217054,-0.0397301,0.0551642,-0.255166,-0.0421153,0.0636654,-0.0875138,-0.000175778
