# stan_version_major = 2
# stan_version_minor = 25
# stan_version_patch = 0
# model = vi_beta_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 4
# data
#   file = data/cleaned/tmp/vi_beta_full_pdw2_upload.R.data
# init = 2 (Default)
# random
#   seed = 100605
# output
#   file = output/vi_beta_full_pdw2_upload_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
# stanc_version = stanc3 82a27ba
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a_region.1,a_region.2,a_region.3,a_region.4,a_state.1,a_state.2,a_state.3,a_state.4,a_state.5,a_state.6,a_state.7,a_state.8,a_state.9,a_state.10,a_state.11,a_state.12,a_state.13,a_state.14,a_state.15,a_state.16,a_state.17,a_state.18,a_state.19,a_state.20,a_state.21,a_state.22,a_state.23,a_state.24,a_state.25,a_state.26,a_state.27,a_state.28,a_state.29,a_state.30,a_state.31,a_state.32,a_state.33,a_state.34,a_state.35,a_state.36,a_state.37,a_state.38,a_state.39,a_state.40,a_state.41,a_state.42,a_state.43,a_state.44,a_state.45,a_state.46,a_state.47,a_state.48,theta_2.1,theta_2.2,theta_2.3,theta_2.4,theta_1.1,theta_1.2,theta_1.3,theta_1.4,theta_1.5,theta_1.6,theta_1.7,theta_1.8,theta_1.9,theta_1.10,theta_1.11,theta_1.12,theta_1.13,theta_1.14,theta_1.15,theta_1.16,theta_1.17,theta_1.18,theta_1.19,theta_1.20,theta_1.21,sigma,phi,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,beta.19,beta.20,beta.21,gamma.1,gamma.2,gamma.3,gamma.4
# Adaptation terminated
# Step size = 0.356879
# Diagonal elements of inverse mass matrix:
# 0.0107759, 0.00722243, 0.00445666, 0.0071627, 0.00443099, 0.0048317, 0.00571016, 0.00184541, 0.00727365, 0.0116595, 0.0249664, 0.0045517, 0.00376542, 0.0201874, 0.00283214, 0.0481771, 0.00751188, 0.00671198, 0.00654883, 0.0103433, 0.013784, 0.0119992, 0.00740635, 0.00728196, 0.00849304, 0.00976126, 0.00490641, 0.0125866, 0.00958818, 0.023514, 0.0208241, 0.00702148, 0.00754806, 0.00409158, 0.00280049, 0.0201363, 0.00334013, 0.0053571, 0.00763039, 0.0068058, 0.0433368, 0.00592681, 0.036549, 0.00930364, 0.00226779, 0.0187217, 0.0736675, 0.00412742, 0.00410602, 0.00974783, 0.00747374, 0.0138073, 0.00177972, 0.00160249, 0.00235006, 0.00220091, 0.000197675, 0.000166491, 0.000194358, 0.000197426, 0.000199764, 0.000249223, 0.000177395, 0.0001991, 0.000200419, 0.000164069, 0.00023105, 0.000151665, 0.000141716, 0.000148612, 0.000134453, 0.000148026, 0.000138166, 0.000125049, 0.00016104, 0.000129121, 0.000145081, 0.0186954, 0.000779684
2740.49,0.726627,0.356879,4,15,0,-2706.17,-1.75229,-1.4955,-1.37115,-1.38688,-1.55962,-1.25488,-1.62667,-1.44035,-1.91743,-1.47008,-1.62245,-1.21027,-1.31158,-1.05135,-1.68297,-1.60474,-1.37885,-1.66231,-1.04011,-1.70945,-1.48445,-1.33623,-1.55096,-1.61051,-1.57873,-1.569,-1.26426,-1.67314,-1.53766,-1.38324,-1.86822,-1.6177,-1.37353,-1.91578,-0.853587,-1.73054,-1.6344,-1.38059,-1.25012,-1.46054,-1.90365,-1.23847,-1.75536,-1.63828,-1.3911,-1.48418,-1.45035,-1.00231,-1.44232,-1.37475,-0.863951,-1.41992,0.0452258,0.0674479,-0.0521121,0.0252337,-0.0999849,0.0508535,-0.0085848,0.0225775,-0.0804562,-0.133043,-0.160054,0.0865067,-0.0712659,0.00904899,-0.063862,0.0101657,0.0646018,0.0074484,-0.0115829,0.039377,0.0148779,0.0385903,-0.015943,0.0229592,-0.0155867,0.251421,19.6858,-0.120809,0.00598796,0.078624,-0.0554111,0.103501,-0.529515,-2.26075,0.310816,-0.857464,0.251653,-0.056075,0.105692,0.174972,0.0420801,0.0023215,0.157604,0.0720449,0.115432,-0.0950011,0.322368,-0.176061,0.0374275,0.0502115,-0.409079,0.0047097
2734.61,0.710846,0.356879,4,15,0,-2695.92,-1.64904,-1.66501,-1.30116,-1.46676,-1.57976,-1.22759,-1.52998,-1.45765,-1.97508,-1.56328,-1.41782,-1.31519,-1.30197,-1.27437,-1.80249,-1.17302,-1.42431,-1.65441,-1.13196,-1.83439,-1.48332,-1.24293,-1.39953,-1.66388,-1.54683,-1.54352,-1.23128,-1.6366,-1.55565,-1.36031,-1.78577,-1.64412,-1.39459,-1.89567,-0.878766,-1.61593,-1.66664,-1.3484,-1.26108,-1.4937,-2.1077,-1.13019,-1.99129,-1.52952,-1.33535,-1.57862,-2.05853,-0.951159,-1.47928,-1.35931,-1.09235,-1.29738,0.0267567,0.0784492,0.0281733,-0.0496466,-0.0883779,0.0576154,-0.022477,0.0423773,-0.0988413,-0.152624,-0.181986,0.0992261,-0.0598653,0.0205866,-0.0867879,-0.00344976,0.0618833,0.000735594,-0.00246068,0.0384665,0.0232924,0.0354098,-0.00996509,0.0462157,-0.0339884,0.275635,18.9603,-0.0134102,-0.00138146,0.0434241,-0.0191036,0.116093,-0.592364,-2.46618,0.438968,-0.827951,0.364823,-0.0773737,0.0748004,0.166915,0.0323866,0.0323677,0.158137,0.11205,0.104172,-0.0786006,0.64243,-0.383918,-0.00481276,0.036716,0.257296,-0.00926621
2722.12,0.951883,0.356879,4,15,0,-2692.77,-1.58176,-1.55081,-1.29574,-1.48644,-1.45919,-1.36687,-1.66234,-1.39209,-1.97214,-1.41032,-1.28615,-1.05181,-1.2886,-1.07949,-1.57738,-2.46802,-1.42165,-1.67759,-1.25082,-1.74663,-1.4842,-1.26605,-1.46139,-1.93126,-1.64952,-1.42142,-1.49039,-1.76139,-1.60469,-0.943336,-1.52849,-1.52589,-1.36346,-1.7722,-0.802558,-1.6828,-1.69915,-1.31344,-1.44141,-1.45132,-1.64452,-1.23279,-1.8611,-1.7977,-1.39554,-1.38971,-1.46015,-1.03773,-1.44009,-1.36798,-1.24174,-1.39968,0.047998,0.057558,-0.0547725,-0.00478219,-0.105376,0.0528105,0.0238645,0.0445271,-0.0774089,-0.179194,-0.138563,0.0931187,-0.05885,0.0294162,-0.0443297,0.038025,0.0575602,-0.0165409,-0.011968,-0.00141801,0.0262663,-0.000769156,0.0102439,-0.0121415,0.0130856,0.282964,18.1483,-0.151561,0.00891769,0.170317,0.0100414,0.109672,-0.801838,-1.89969,0.439957,-0.754563,0.398826,-0.0307523,0.155389,0.155752,-0.020728,0.00887814,0.044592,0.170881,0.0394325,0.0710581,-0.158469,0.147809,0.0277507,0.045738,-0.398544,-0.000892563
2727.67,0.947897,0.356879,4,15,0,-2677.29,-1.63332,-1.67026,-1.32109,-1.35723,-1.51251,-1.2587,-1.52814,-1.45486,-1.92342,-1.58592,-1.13605,-1.29335,-1.27143,-1.42148,-1.76975,-1.36712,-1.50454,-1.66463,-1.08785,-1.67033,-1.50828,-1.27332,-1.47744,-1.65401,-1.651,-1.70212,-1.29829,-1.57531,-1.6681,-1.3787,-1.77719,-1.61347,-1.26967,-1.95853,-0.842439,-1.52725,-1.6721,-1.302,-1.05033,-1.62027,-1.68699,-1.21143,-1.91531,-1.45072,-1.40694,-1.41657,-2.26926,-0.946929,-1.49268,-1.25475,-1.07774,-1.63441,-0.00186072,-0.00666368,-0.0153338,-0.0833852,-0.0935019,0.0373692,-0.0135564,0.0605477,-0.0754193,-0.154054,-0.176716,0.0832956,-0.0672462,0.00841763,-0.0805707,0.0124192,0.0707216,0.00118773,-0.0187448,0.0446969,0.0169794,0.00984356,-0.0018117,0.0519173,-0.029965,0.193535,18.5234,0.091351,-0.0133428,0.0768194,0.0238274,0.138828,-0.599,-2.55171,0.325561,-0.856701,0.247581,-0.0726632,0.120777,0.190573,0.0230192,-0.0151078,0.177314,0.0832211,0.0301389,-0.0191641,0.742059,-0.338471,-0.0309544,0.0010837,-0.0292262,-0.0155633
2731.35,1,0.356879,4,15,0,-2691.93,-1.78233,-1.57729,-1.34643,-1.3721,-1.50751,-1.32056,-1.62483,-1.43344,-1.86559,-1.41667,-1.51642,-1.11579,-1.33419,-0.93988,-1.59576,-2.08225,-1.3384,-1.63709,-1.23649,-1.8284,-1.58182,-1.1634,-1.46481,-1.88907,-1.38266,-1.4594,-1.40918,-1.76881,-1.47459,-0.963086,-1.54479,-1.62075,-1.4084,-1.84375,-0.778649,-1.58795,-1.65218,-1.39573,-1.45217,-1.43216,-2.03989,-1.12107,-1.90325,-1.80922,-1.40298,-1.42019,-2.25287,-0.998965,-1.40251,-1.37173,-1.21992,-1.11877,0.0224041,0.133924,-0.0589405,-0.0451303,-0.0867625,0.0484211,0.00880797,0.0143103,-0.0752557,-0.169087,-0.146234,0.105985,-0.0768903,0.0147795,-0.043191,0.0179988,0.0518842,-0.0155138,-0.00412998,0.00577952,0.0394738,0.0252649,0.0082416,-0.0148422,-0.00147938,0.2826,18.4838,-0.118374,0.00694764,0.126564,-0.0840586,0.109877,-0.728669,-1.97128,0.471316,-0.874968,0.246803,-0.0289572,0.105444,0.140024,-0.00255351,0.0442361,0.0785931,0.233233,0.113437,0.0238573,-0.237049,-0.0167105,0.00121326,0.089407,-0.38874,-0.00842327
2739.92,0.972247,0.356879,4,15,0,-2697.13,-1.7463,-1.7329,-1.3934,-1.35029,-1.52683,-1.24892,-1.56855,-1.37465,-1.8843,-1.60391,-1.27144,-1.24781,-1.40199,-1.21343,-1.74283,-1.57161,-1.35645,-1.55101,-1.1458,-1.74533,-1.6256,-1.22777,-1.59321,-1.69832,-1.64535,-1.77062,-1.34965,-1.65302,-1.62184,-1.36046,-1.69965,-1.62759,-1.2455,-2.03404,-0.910643,-1.64611,-1.76072,-1.28434,-1.2216,-1.61476,-1.96165,-1.27132,-2.08262,-1.56131,-1.33601,-1.37425,-1.91077,-0.99798,-1.46804,-1.29745,-1.16983,-1.4391,0.00524763,0.0173383,-0.0616515,-0.0573523,-0.0799465,0.00755583,-0.011323,0.0299056,-0.100384,-0.190881,-0.198488,0.113632,-0.0985137,0.0211653,-0.0491987,0.00858756,0.0664136,0.00617381,-0.0178361,0.0405281,0.00950815,0.022961,0.018298,0.033795,-0.012268,0.214055,18.8898,0.307269,-0.0339558,0.10228,-0.0431293,0.124462,-0.803386,-2.85741,0.379315,-1.13484,0.37915,-0.0287014,0.105621,0.177043,0.0752681,0.0451367,0.231805,0.132832,0.160353,0.108529,0.500979,-0.138574,-0.0142147,0.0258158,-0.396437,-0.0107044
2739.32,0.72842,0.356879,4,15,0,-2694.2,-1.7488,-1.61634,-1.3407,-1.25146,-1.59808,-1.17373,-1.63404,-1.36506,-1.9068,-1.57718,-1.19906,-1.25024,-1.44808,-1.22544,-1.77741,-1.58083,-1.39973,-1.56078,-1.16061,-1.71525,-1.52956,-1.16648,-1.55349,-1.79173,-1.70166,-1.61897,-1.36959,-1.7511,-1.71881,-1.13057,-1.78143,-1.57278,-1.2467,-2.00679,-0.93295,-1.70306,-1.76244,-1.25146,-1.32361,-1.64736,-1.87381,-1.32693,-2.02818,-1.5466,-1.32628,-1.49423,-2.09789,-0.962635,-1.49062,-1.31645,-1.11966,-1.41466,0.0958565,0.02572,0.00716654,-0.0983523,-0.0925088,0.0284561,0.00107614,0.028589,-0.085761,-0.184598,-0.178794,0.119764,-0.0857253,0.00403956,-0.0548302,0.00866866,0.0685579,-0.000994763,-0.00815804,0.0369918,0.0231564,0.0363572,0.00723444,0.0243192,0.0033276,0.202377,18.9459,0.106194,-0.0155615,0.124943,-0.0601419,0.13495,-0.76566,-2.40842,0.492983,-0.975194,0.201114,-0.0293622,0.107957,0.183871,0.0713974,0.0868962,0.236014,0.209803,0.210797,0.074156,0.390649,0.0375872,0.0134384,0.0134252,0.151488,-0.0183568
2745.61,1,0.356879,4,15,0,-2712.43,-1.67221,-1.51961,-1.39756,-1.41921,-1.5813,-1.21725,-1.63714,-1.31847,-1.91889,-1.57829,-1.27748,-1.32102,-1.31754,-1.23112,-1.73374,-1.65585,-1.41666,-1.54605,-1.24282,-1.76243,-1.56119,-1.19801,-1.58599,-1.73742,-1.71948,-1.64053,-1.41349,-1.6266,-1.50976,-1.08701,-1.62442,-1.54872,-1.16674,-1.86977,-0.908032,-1.58838,-1.69989,-1.37074,-1.26396,-1.6185,-1.61579,-1.26465,-2.15029,-1.65359,-1.36844,-1.50261,-2.23414,-0.995258,-1.43617,-1.49751,-1.11662,-1.3841,0.043234,0.070175,-0.0175765,-0.0846551,-0.0976962,0.0479686,-0.0146465,0.037853,-0.111202,-0.175471,-0.181664,0.134517,-0.0652897,0.0188755,-0.0596377,0.00963203,0.0659674,0.000964311,-0.014559,0.0496783,0.0152288,0.0233216,0.0116701,0.0438673,0.00927264,0.20266,18.6609,0.0294191,-0.00680833,0.0712145,-0.0205033,0.115166,-0.740576,-2.2784,0.649181,-0.846591,0.360981,-0.0298667,0.107358,0.176332,0.0868578,0.0896732,0.299359,0.195772,0.199792,0.133865,0.712767,0.10474,-0.00642275,0.0441149,-0.0444665,-0.0158003
2742.22,0.897311,0.356879,4,31,0,-2710.32,-1.70485,-1.69455,-1.24189,-1.49831,-1.57183,-1.41479,-1.57947,-1.45195,-1.89978,-1.59594,-1.42102,-1.28436,-1.16305,-1.2116,-1.73861,-1.60279,-1.41413,-1.72757,-1.11364,-1.77633,-1.30804,-1.0734,-1.43501,-1.87092,-1.43692,-1.594,-1.42063,-1.72821,-1.57699,-1.29017,-1.54593,-1.74126,-1.42512,-1.90005,-0.820407,-1.42175,-1.5717,-1.27454,-1.26787,-1.48584,-2.00622,-1.12826,-2.09214,-1.74113,-1.40863,-1.57216,-1.78384,-0.966235,-1.53263,-1.46093,-1.06014,-1.30585,-0.0367904,0.0415203,-0.0141849,-0.0284932,-0.0800428,0.0399009,0.00348608,0.0572501,-0.0788825,-0.146693,-0.146836,0.0882542,-0.0817717,0.00914477,-0.0835933,0.00763727,0.0577336,-0.00704471,-0.018904,0.0342322,0.0288536,0.0103841,0.01751,0.0138925,-0.022105,0.251415,18.3627,0.0925507,-0.0120629,0.125979,-0.0251676,0.130482,-0.54217,-2.11182,0.318215,-0.972672,0.219185,-0.0692452,0.0933873,0.154424,0.0167124,0.00752058,0.170644,0.173255,0.0615889,0.0590501,0.16364,-0.249688,-0.0279745,0.0268344,-0.0758595,-0.00531807
