lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,theta.10,theta.11,theta.12,theta.13,theta.14,theta.15,theta.16,theta.17,theta.18,theta.19,theta.20,theta.21,theta.22,theta.23,theta.24,sigma,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,beta.19,beta.20,beta.21,beta.22,beta.23,beta.24
# Adaptation terminated
# Step size = 0.576095
# Diagonal elements of inverse mass matrix:
# 0.000164312, 0.00017903, 0.00016406, 0.00019961, 0.0001867, 0.000169526, 0.000145894, 0.000160612, 0.000172322, 0.000146563, 0.000169662, 0.000169028, 0.000156327, 0.000159236, 0.000171682, 0.000153381, 0.000166131, 0.000145662, 0.000168116, 0.000158033, 0.000138369, 0.000146824, 0.000148967, 0.000172063, 0.000158815, 9.62234e-05
-3000.57,0.992597,0.576095,3,7,0,3009.9,5.88272,-0.0520751,0.0626021,0.386263,0.239803,-0.608317,-0.845478,-0.11004,0.846924,-0.0310808,-0.104333,0.171668,0.219678,0.106827,-0.00614904,0.0314667,0.0870333,-0.032383,-0.0105842,0.0214647,0.0235251,0.0212182,-0.0208619,-0.0321873,-0.0271993,0.962533,-0.358959,0.0315559,-0.0486731,0.0748931,-0.792326,-0.650724,-0.2536,0.948986,-0.481696,-0.406398,1.39592,0.944187,0.915009,-0.0171197,0.182645,0.242297,-0.106766,-0.0691423,0.0287829,0.0490805,-0.0183448,-0.209152,-0.617017,-0.358905
-3000.03,0.732159,0.576095,3,7,0,3013.12,5.87834,-0.0506267,0.0564072,0.391626,0.243251,-0.620469,-0.843636,-0.111876,0.848597,-0.0262831,-0.0940261,0.169377,0.222144,0.113012,-0.00974848,0.0251404,0.0923721,-0.0366906,-0.00391922,0.0229956,0.0173742,0.0233148,-0.0355912,-0.0159753,-0.0213475,0.978522,-0.308222,0.0266674,-0.0263531,0.0988021,-0.816991,-0.63306,-0.266586,0.950746,-0.465929,-0.307213,1.37262,0.940381,0.973186,-0.0213658,0.176425,0.257218,-0.120272,-0.058199,0.0224095,0.00135457,-0.0203481,-0.270735,-0.32075,-0.281687
-2998.29,0.894887,0.576095,3,7,0,3008.66,5.87209,-0.0347609,0.0554577,0.393532,0.250681,-0.599794,-0.856822,-0.0847808,0.81587,-0.0560689,-0.116196,0.163698,0.212849,0.0860568,-0.00962743,0.00156173,0.0934596,-0.0350187,0.00184367,0.0303068,0.0100653,-0.00939725,-0.00954207,-0.00944137,-0.0228811,0.962222,-0.201336,0.0190917,-0.0843069,0.0856897,-0.8013,-0.70723,-0.159925,0.918553,-0.560269,-0.535071,1.36302,0.96207,0.743856,-0.0163506,0.130256,0.257577,-0.102023,-0.0227136,0.067567,-0.0185706,-0.120795,-0.10845,-0.208542,-0.301924
-2998.66,0.573109,0.576095,3,7,0,3016.87,5.88192,-0.0542216,0.0544959,0.388781,0.241835,-0.614661,-0.840646,-0.103316,0.84357,-0.0419415,-0.0786982,0.163183,0.230484,0.115416,-0.00786415,0.0372349,0.0928039,-0.0288337,0.00295305,0.0226948,0.0222011,0.0176192,-0.0182806,-0.00926346,-0.0223236,0.986671,-0.282037,0.0236891,-0.0385757,0.103963,-0.795134,-0.595677,-0.248435,0.946005,-0.511464,-0.171298,1.31032,0.986366,0.988248,-0.0106947,0.201427,0.256657,-0.0761031,-0.0044863,0.058435,0.0704876,-7.56362e-05,-0.160271,-0.204378,-0.294567
-3007.27,0.718116,0.576095,3,7,0,3014.79,5.86064,-0.0425004,0.0493453,0.40738,0.231874,-0.595219,-0.838388,-0.109379,0.839377,-0.0401844,-0.10231,0.166473,0.193833,0.117422,0.000530105,-0.00701871,0.112239,-0.0569876,-0.00304382,0.0296745,0.0205914,0.00927756,0.000826519,0.00282256,-0.0330191,0.976591,-0.265475,0.0230697,0.0210577,0.0396378,-0.755577,-0.649625,-0.232538,0.946292,-0.534855,-0.391976,1.34032,0.765577,1.02287,0.00114775,0.137029,0.307551,-0.130984,0.00262102,0.113187,0.0919094,0.000543693,-0.0503207,-0.011354,-0.435698
-3004.6,0.976025,0.576095,3,7,0,3017.74,5.88636,-0.0395343,0.0556082,0.371741,0.235877,-0.625377,-0.862126,-0.0710851,0.823423,-0.0417602,-0.112812,0.160387,0.232209,0.0821004,-0.0292009,0.0098452,0.0844054,-0.0266448,0.00662074,0.0387866,0.0277695,0.00311681,-0.023069,-0.0234548,-0.0451677,0.972329,-0.173952,0.0159809,-0.199376,0.0795639,-0.838937,-0.684387,-0.138167,0.923097,-0.442119,-0.509487,1.33913,1.08622,0.694561,-0.0409457,0.13539,0.234397,-0.0954369,-0.0342023,0.0627667,0.0255195,-0.139994,-0.244924,-0.496485,-0.596003
-3007.94,0.808654,0.576095,3,7,0,3021.01,5.84859,-0.0499674,0.0571878,0.394362,0.256237,-0.592147,-0.83506,-0.131286,0.821161,-0.061117,-0.0892449,0.163671,0.214228,0.123888,0.0126029,0.0273684,0.0969883,-0.028837,-0.000272386,0.0263872,0.000674612,0.0107285,-0.0172141,0.000752358,-0.00623821,0.970873,-0.327154,0.0285975,0.0644169,0.115834,-0.804413,-0.656089,-0.322368,0.923424,-0.64753,-0.262048,1.29937,0.876116,1.07235,0.00880082,0.18645,0.26732,-0.0732131,-0.00748804,0.0814307,-0.0330058,0.0022383,-0.114618,0.00171263,-0.0823153
-3002.96,0.99916,0.576095,3,7,0,3016.64,5.88427,-0.0394936,0.0559101,0.384245,0.217543,-0.612025,-0.850913,-0.0758982,0.81591,-0.0318998,-0.111197,0.165161,0.218905,0.0863654,-0.00990491,-4.07563e-05,0.099496,-0.0418494,-0.0016726,0.0111807,0.0375082,0.0192569,-0.0190542,-0.00723954,-0.0267731,0.974943,-0.245015,0.0220471,-0.158482,0.0330962,-0.826692,-0.712071,-0.143822,0.915611,-0.46001,-0.475533,1.38599,0.981648,0.754582,-0.0133891,0.134688,0.275546,-0.112557,-0.021129,0.0165385,0.158288,0.00134975,-0.170654,-0.17697,-0.353281
-3001.68,0.937865,0.576095,3,7,0,3013.79,5.87923,-0.0411709,0.0483488,0.39858,0.258011,-0.605248,-0.864041,-0.110458,0.811953,-0.0462015,-0.0923828,0.176501,0.206624,0.109891,-0.0316193,0.012031,0.108663,-0.0309637,0.00342213,0.0148047,0.019378,0.00883509,-0.0293435,-0.0052264,-0.0076151,0.966719,-0.113955,0.00973084,-0.0135375,0.0630542,-0.815499,-0.743817,-0.271647,0.928208,-0.524933,-0.286512,1.41433,0.859107,0.948286,-0.0323579,0.171776,0.301391,-0.0939165,-0.0211442,0.0110375,0.0396174,-0.0475906,-0.197032,-0.106102,-0.100484
-3001.62,0.792954,0.576095,3,7,0,3016.36,5.87748,-0.0511767,0.0517606,0.386922,0.230002,-0.600359,-0.830059,-0.0743926,0.830707,-0.0564747,-0.101853,0.162746,0.216913,0.0956637,0.00773147,0.016928,0.0702953,-0.0481235,0.00282694,0.0362533,0.0134723,0.0109743,-0.0191081,-0.00076708,-0.0494028,0.974613,-0.270728,0.0235779,-0.0926392,0.101782,-0.771668,-0.61541,-0.124271,0.92685,-0.594997,-0.396863,1.34961,0.961109,0.818797,-0.00891345,0.129558,0.193804,-0.140993,-0.0321484,0.0719889,-0.0262607,-0.0726421,-0.204032,-0.10485,-0.651887
