# stan_version_major = 2
# stan_version_minor = 25
# stan_version_patch = 0
# model = sl_beta_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 4
# data
#   file = data/cleaned/tmp/sl_beta_full_pdw2_download.R.data
# init = 2 (Default)
# random
#   seed = 100605
# output
#   file = output/sl_beta_full_pdw2_download_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
# stanc_version = stanc3 82a27ba
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,theta.10,theta.11,theta.12,theta.13,theta.14,theta.15,theta.16,theta.17,theta.18,theta.19,theta.20,theta.21,phi,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,beta.19,beta.20,beta.21
# Adaptation terminated
# Step size = 0.539749
# Diagonal elements of inverse mass matrix:
# 0.000160101, 0.000177454, 0.000136379, 0.000143746, 0.000126587, 0.000172554, 0.000163136, 0.000163584, 0.000153897, 0.000140411, 0.000150971, 0.000167896, 0.000124923, 0.000140596, 0.000144451, 0.000165694, 0.000118778, 0.000133397, 0.000129713, 0.000135941, 0.000136153, 0.000158303, 0.000809251
2470.75,0.870458,0.539749,3,7,0,-2459.18,-1.45011,0.0289029,0.0367972,0.0150437,0.0172796,-0.0833635,-0.15425,-0.186949,0.112016,-0.0302923,0.0387902,-0.109094,-0.000695976,0.0623868,0.0219018,0.00675423,0.0298863,0.01784,0.057548,-0.00242399,0.0515627,-0.011101,15.8573,0.0560277,-0.00524227,0.117749,-0.100457,0.166844,-0.587355,-2.28123,0.558733,-0.658476,0.581868,-0.078856,0.0847692,0.174034,0.13814,0.126088,0.21002,0.181757,0.274056,0.0194411,0.782774,-0.125472
2468.26,0.854645,0.539749,3,7,0,-2459.57,-1.44298,0.0352787,0.0309829,0.0179283,0.0207399,-0.0872222,-0.162821,-0.191785,0.110841,-0.02945,0.0430969,-0.119563,0.00843126,0.0617585,0.0210082,-0.00959193,0.0319952,0.0215109,0.0515882,-0.00398417,0.0619918,-0.00804861,15.6527,0.164639,-0.0120655,0.125616,-0.104638,0.180923,-0.62115,-2.36824,0.553058,-0.690669,0.643707,-0.0880473,0.102231,0.171773,0.129022,0.083378,0.22361,0.204184,0.261453,0.0299966,0.954401,-0.0909712
2468.19,1,0.539749,3,7,0,-2463.64,-1.42307,0.0127816,0.0260235,-0.00555977,0.0493052,-0.0872241,-0.130992,-0.195987,0.11321,-0.00770085,0.016154,-0.0691334,0.0276396,0.0452896,-0.0131091,0.0103297,0.0057483,0.0201322,0.0240004,0.00620575,0.000831225,-0.0293895,15.5423,0.207276,-0.0158644,0.0474679,0.0280294,0.107929,-0.567206,-2.34706,0.808986,-0.267669,0.24655,-0.063935,0.119323,0.124589,-0.0168913,0.042789,0.0277822,0.0902767,0.0594061,-0.0343648,-0.0607315,-0.332181
2469.68,1,0.539749,3,7,0,-2460.45,-1.4435,0.036828,0.0234696,0.0219142,0.0353403,-0.0897927,-0.163324,-0.193595,0.10805,-0.0239447,0.0470099,-0.116638,0.00470173,0.0651871,0.0155152,-0.00957916,0.0317421,0.0284747,0.0453393,-0.00607974,0.0596434,-0.00721089,15.5778,0.298511,-0.0211705,0.141374,-0.0631273,0.175095,-0.634013,-2.39639,0.560873,-0.650195,0.681075,-0.0874527,0.0995356,0.18086,0.110021,0.076845,0.214506,0.224974,0.227945,0.0181262,0.919585,-0.0815027
2468.9,0.985253,0.539749,3,7,0,-2459.67,-1.44356,0.010594,0.0338074,0.00383421,0.015932,-0.0731438,-0.138503,-0.208426,0.115506,-0.0135834,0.023183,-0.0949678,0.024818,0.0430071,-0.0201502,0.00209305,0.0239008,0.0175342,0.0338499,0.0143159,-0.000637994,-0.0305111,15.8344,0.0379038,-0.00440438,0.0662936,-0.0736996,0.160037,-0.550233,-2.52431,0.771077,-0.387216,0.344568,-0.0822971,0.110461,0.118413,-0.0158088,0.0528494,0.120205,0.107326,0.120227,0.00459456,-0.0866465,-0.344859
2472.84,0.904358,0.539749,3,7,0,-2459.05,-1.44383,0.0142075,0.0319625,0.00958171,0.025769,-0.0748602,-0.151534,-0.201095,0.117004,-0.00303566,0.0358525,-0.0946648,0.0349351,0.0444172,-0.0106815,-0.00255542,0.0244985,0.0248225,0.0333364,0.0137638,0.00941457,-0.0331262,15.5023,0.0793538,-0.0072244,0.0831559,-0.0393299,0.16039,-0.617785,-2.3688,0.789972,-0.339678,0.481436,-0.0809508,0.133537,0.122773,0.0106592,0.0454843,0.129331,0.145877,0.121552,0.00691153,0.0648294,-0.374416
