# stan_version_major = 2
# stan_version_minor = 25
# stan_version_patch = 0
# model = sl_normal_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 1
# data
#   file = data/cleaned/tmp/sl_normal_full_pdw2_pcount.R.data
# init = 2 (Default)
# random
#   seed = 100605
# output
#   file = output/sl_normal_full_pdw2_pcount_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
# stanc_version = stanc3 82a27ba
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,theta.10,theta.11,theta.12,theta.13,theta.14,theta.15,theta.16,theta.17,theta.18,theta.19,theta.20,theta.21,sigma,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,beta.19,beta.20,beta.21
# Adaptation terminated
# Step size = 0.585752
# Diagonal elements of inverse mass matrix:
# 0.000149612, 0.000157953, 0.000151756, 0.000156789, 0.000126426, 0.000135849, 0.000128147, 0.000146663, 0.000151311, 0.000137604, 0.000165916, 0.000146738, 0.000132387, 0.000191051, 0.000138637, 0.000179888, 0.000161108, 0.000143148, 0.000136874, 0.000155845, 0.000143102, 0.000159904, 0.000208375
33.0342,1,0.585752,3,7,0,-25.7304,6.75987,0.170196,-0.10274,0.0233549,-0.127622,0.834987,-0.132226,-0.181737,0.0873865,-0.031272,0.034918,-0.064516,0.012819,0.0516477,-0.0105467,0.0342658,0.00488391,0.00481682,0.0399698,-0.00794736,0.0223068,-0.0402477,0.593232,0.00220085,-0.00158089,0.0742816,0.0437215,1.1045,-0.541368,-2.4056,0.462441,-0.510511,0.441661,-0.0642902,0.0912915,0.134134,-0.0100546,0.0910783,0.00251501,-0.0040916,0.090262,-0.110249,0.249838,-0.454737
33.714,1,0.585752,3,7,0,-23.2993,6.7524,0.17442,-0.10555,0.0222107,-0.130109,0.831601,-0.132826,-0.178266,0.0822239,-0.0247831,0.0422539,-0.078983,0.0224898,0.0570388,-0.0146699,0.0297082,-0.00790218,0.000583802,0.029686,-0.00696457,0.033486,-0.036855,0.593082,0.0263902,-0.00422634,0.0606723,0.0272804,1.11431,-0.544144,-2.37021,0.45437,-0.503073,0.533506,-0.077029,0.11943,0.15002,-0.0306806,0.0699788,-0.04256,-0.0183719,0.0672706,-0.0846105,0.434092,-0.416405
37.5831,0.925966,0.585752,3,7,0,-21.7586,6.7121,0.16369,-0.111995,0.0410565,-0.149496,0.844904,-0.192651,-0.201731,0.107753,-0.0180029,0.00262621,-0.106056,0.0147209,0.0365088,-0.00129019,0.00617477,0.0204562,0.0243844,0.0464894,-0.0155625,-0.00303447,-0.0136232,0.607417,0.0367235,-0.0060249,0.105497,-0.0660528,1.17462,-0.752661,-2.47018,0.703938,-0.329733,0.102873,-0.0968488,0.0743856,0.0945841,0.021521,0.0423068,0.0861794,0.1097,0.127536,-0.117819,-0.0818443,-0.153921
35.4027,0.908082,0.585752,3,7,0,-22.9067,6.729,0.183313,-0.0919056,0.000906995,-0.160211,0.845069,-0.133692,-0.157012,0.0931069,-0.0226755,0.0551795,-0.0835261,0.0140974,0.0655895,0.00683119,0.00764911,0.00992921,0.0250877,0.028001,0.0031497,0.0490328,-0.0434653,0.585404,-0.0366989,0.00397969,-0.0159761,-0.0483813,1.13326,-0.527663,-1.9726,0.489842,-0.559773,0.69765,-0.0747426,0.113952,0.171863,0.0454341,0.0513647,0.0619179,0.129697,0.0898855,-0.0285001,0.661945,-0.491091
39.3082,1,0.585752,3,7,0,-25.0017,6.72617,0.184759,-0.104807,0.00846719,-0.152996,0.855789,-0.129625,-0.164337,0.100771,-0.0248468,0.0549577,-0.0860204,0.019597,0.0659623,0.0160892,0.0124413,0.0148783,0.00708746,0.0346578,0.00228769,0.04344,-0.0323759,0.593219,0.0203331,-0.00297229,0.0120549,-0.0197638,1.14997,-0.506247,-2.04573,0.513364,-0.571562,0.699614,-0.0737297,0.124429,0.171728,0.0792412,0.0751887,0.0887684,0.0626615,0.134062,-0.0137665,0.601806,-0.365798
42.7682,0.958781,0.585752,3,7,0,-29.0137,6.73885,0.184645,-0.0993016,0.0234874,-0.159604,0.869041,-0.161925,-0.186603,0.10846,-0.00631494,0.0123234,-0.0848783,0.00443242,0.0553436,0.00754107,0.00372372,-0.00194864,0.00646889,0.042483,-0.0130551,0.0373536,-0.0296565,0.595022,-0.032921,0.00372141,0.0428217,-0.0312969,1.16891,-0.683001,-2.20292,0.754387,-0.264494,0.256262,-0.0787487,0.0791845,0.146647,0.0268977,0.0142688,-1.1376e-05,0.0288173,0.125649,-0.0960979,0.512934,-0.335073
