# stan_version_major = 2
# stan_version_minor = 25
# stan_version_patch = 0
# model = vi_beta_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 4
# data
#   file = data/cleaned/tmp/vi_beta_full_pdw2_all.R.data
# init = 2 (Default)
# random
#   seed = 100605
# output
#   file = output/vi_beta_full_pdw2_all_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
# stanc_version = stanc3 82a27ba
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a_region.1,a_region.2,a_region.3,a_region.4,a_state.1,a_state.2,a_state.3,a_state.4,a_state.5,a_state.6,a_state.7,a_state.8,a_state.9,a_state.10,a_state.11,a_state.12,a_state.13,a_state.14,a_state.15,a_state.16,a_state.17,a_state.18,a_state.19,a_state.20,a_state.21,a_state.22,a_state.23,a_state.24,a_state.25,a_state.26,a_state.27,a_state.28,a_state.29,a_state.30,a_state.31,a_state.32,a_state.33,a_state.34,a_state.35,a_state.36,a_state.37,a_state.38,a_state.39,a_state.40,a_state.41,a_state.42,a_state.43,a_state.44,a_state.45,a_state.46,a_state.47,a_state.48,theta_2.1,theta_2.2,theta_2.3,theta_2.4,theta_1.1,theta_1.2,theta_1.3,theta_1.4,theta_1.5,theta_1.6,theta_1.7,theta_1.8,theta_1.9,theta_1.10,theta_1.11,theta_1.12,theta_1.13,theta_1.14,theta_1.15,theta_1.16,theta_1.17,theta_1.18,theta_1.19,theta_1.20,theta_1.21,theta_1.22,theta_1.23,theta_1.24,theta_1.25,sigma,phi,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,beta.19,beta.20,beta.21,beta.22,beta.23,beta.24,beta.25,gamma.1,gamma.2,gamma.3,gamma.4
# Adaptation terminated
# Step size = 0.340857
# Diagonal elements of inverse mass matrix:
# 0.0112393, 0.00998028, 0.00532809, 0.00837399, 0.00435883, 0.00474298, 0.00594403, 0.00194572, 0.00885473, 0.0101492, 0.0298943, 0.00384512, 0.00374921, 0.019111, 0.00311989, 0.0463533, 0.00744386, 0.00608638, 0.00622344, 0.0108823, 0.0157534, 0.0107726, 0.00800234, 0.00801075, 0.00892388, 0.0112408, 0.00569488, 0.012235, 0.011968, 0.0240379, 0.0213496, 0.00792308, 0.00738136, 0.00330967, 0.00289253, 0.014568, 0.00367002, 0.00595805, 0.0121652, 0.00743307, 0.0479826, 0.0055935, 0.0315402, 0.00982103, 0.00228298, 0.0184264, 0.0717557, 0.00487352, 0.00409204, 0.00968206, 0.00683355, 0.0148099, 0.00209678, 0.00187936, 0.00252654, 0.00247997, 0.00016833, 0.00013111, 0.000212001, 0.000167271, 0.00019353, 0.000166609, 0.000223164, 0.000185399, 0.000205933, 0.000249506, 0.000189958, 0.000214028, 0.000192801, 0.000175336, 0.000200973, 0.000129429, 0.000135167, 0.000127408, 0.000133656, 0.000130587, 0.000143036, 0.000129565, 0.000149349, 0.00011668, 0.000148012, 0.0175747, 0.000687536
2730.21,0.851326,0.340857,4,15,0,-2688.01,-1.52094,-1.46929,-1.51667,-1.18548,-1.57374,-1.21279,-1.70046,-1.34919,-1.89042,-1.54363,-1.48961,-1.2569,-1.33159,-1.0082,-1.70115,-1.32934,-1.34376,-1.63867,-1.19184,-1.96944,-1.41523,-1.27972,-1.45839,-1.61878,-1.55782,-1.36565,-1.32424,-1.53984,-1.47644,-1.13055,-1.52472,-1.75754,-1.40733,-1.94137,-0.799934,-1.55013,-1.72112,-1.27371,-1.00288,-1.5957,-1.56814,-1.13361,-1.7747,-1.69811,-1.35322,-1.50123,-1.46695,-1.00491,-1.52466,-1.36039,-1.18403,-1.19521,0.00998466,0.0238773,-0.0326038,-0.0663979,0.0191122,0.0188095,-0.155631,0.0333812,0.0106698,-0.0229031,-0.0227122,0.0290269,-0.0662794,-0.144035,-0.176853,0.0915191,-0.0833195,0.0172512,-0.0498726,0.00169062,0.0670199,-0.024054,-0.0434074,0.0258201,0.0200144,0.00959388,-0.0256188,0.0372998,-0.00862094,0.244155,18.7074,0.3605,-0.0228579,-0.13949,0.00692214,0.00693249,-0.00544176,0.0469843,-0.013869,0.129695,-0.73752,-2.58254,0.413172,-1.00035,0.367321,-0.0527234,0.0952639,0.185471,-0.0866552,-0.125238,0.0803635,0.0631071,-0.00728065,-0.114728,0.565065,-0.0978216,-0.0168408,0.022157,-0.173451,-0.0123927
2734.79,0.974053,0.340857,4,31,0,-2690.93,-1.6304,-1.48926,-1.49719,-1.06704,-1.65811,-1.17975,-1.63736,-1.44161,-1.88175,-1.43145,-1.45763,-1.22647,-1.33498,-1.07793,-1.85903,-1.62862,-1.25143,-1.76362,-1.16477,-1.93806,-1.34584,-1.23709,-1.50334,-1.70495,-1.59475,-1.58757,-1.32027,-1.69724,-1.60938,-1.08979,-1.49138,-1.52894,-1.37349,-1.85752,-0.889843,-1.55437,-1.69527,-1.31207,-1.04053,-1.47513,-1.52391,-1.16767,-1.61483,-1.79417,-1.39505,-1.40489,-1.64527,-1.00264,-1.42276,-1.39089,-1.12345,-1.29996,0.0386618,-0.0409902,-0.0397216,0.0135757,0.012363,0.0352056,-0.130893,0.0204225,0.0132903,-0.0328946,-0.00127997,0.0110228,-0.0738099,-0.125771,-0.156633,0.079734,-0.064793,0.0152897,-0.0422961,0.00152635,0.0697492,-0.0245512,-0.0282788,0.0256539,0.0183183,0.0193186,-0.00849322,0.0220013,-0.0044572,0.27243,18.3413,-0.128327,0.00984554,-0.0604439,0.000225297,0.0556588,-0.0102004,0.0885052,-0.0481358,0.09574,-0.633202,-2.24283,0.364086,-0.807683,0.334519,-0.0360421,0.0986432,0.191711,-0.0515242,-0.0417164,0.123046,0.106023,0.0748423,-0.0306481,0.334888,-0.0505758,0.0268947,-0.0127142,-0.306135,0.0025338
2745.36,0.942398,0.340857,4,15,0,-2698.64,-1.63732,-1.69402,-1.18905,-1.52955,-1.40748,-1.32898,-1.69576,-1.45721,-1.8849,-1.4826,-1.37031,-1.18265,-1.29113,-1.25584,-1.62006,-1.84707,-1.49968,-1.60093,-1.225,-1.82926,-1.53998,-1.19512,-1.58271,-1.81412,-1.53971,-1.6011,-1.38515,-1.73097,-1.41493,-1.35695,-1.49472,-1.75022,-1.37371,-1.89319,-0.788225,-1.50222,-1.63123,-1.31129,-1.36918,-1.45141,-2.0647,-1.23076,-2.15113,-1.47489,-1.40003,-1.51054,-2.08789,-0.940624,-1.54936,-1.29643,-1.14764,-1.4807,-0.0340739,0.105655,0.041546,-0.0410397,0.0145856,0.0225869,-0.11686,0.04375,0.0119254,0.00362102,0.017686,0.0379377,-0.0805032,-0.133208,-0.16669,0.0885699,-0.076009,0.0238541,-0.0600461,0.0299349,0.0571493,-0.00921836,-0.00239375,0.0199318,0.0331132,0.00704431,0.0091416,0.0107392,-0.0185464,0.251745,19.4805,0.361986,-0.0278141,-0.0413598,0.00493891,-0.0973251,0.0080216,0.159219,-0.00713975,0.103166,-0.615963,-2.44981,0.364752,-0.921807,0.342091,-0.0523409,0.142199,0.156529,0.00668676,0.0360666,0.103508,0.172692,0.0283986,0.0187407,0.122183,-0.210446,-0.0335862,0.048264,0.347134,-0.00765978
2744.19,0.878079,0.340857,4,15,0,-2709.84,-1.69811,-1.59144,-1.37858,-1.41376,-1.60643,-1.3312,-1.51004,-1.41814,-1.97063,-1.49149,-1.38957,-1.27839,-1.24509,-1.25531,-1.84325,-1.98691,-1.33848,-1.67226,-1.01258,-1.74896,-1.52123,-1.16687,-1.57037,-1.72076,-1.64495,-1.51287,-1.28576,-1.53736,-1.52473,-1.37026,-1.71112,-1.49504,-1.40428,-1.8678,-0.876426,-1.4579,-1.74496,-1.34294,-1.28179,-1.68515,-1.71022,-1.17802,-1.86357,-1.74655,-1.31515,-1.42283,-1.77281,-0.905364,-1.54516,-1.37734,-1.06695,-1.37265,-0.00795251,0.00518863,-0.000618952,-0.0971944,0.0212375,0.0208788,-0.119296,0.0377545,0.0328218,-0.00540874,-0.0253738,0.0309971,-0.0550522,-0.152265,-0.154409,0.0881956,-0.0701862,0.0473075,-0.068831,0.00217578,0.0596724,0.0040068,-0.0248767,0.0214962,0.00676379,0.0288921,-0.0131951,0.0169664,-0.0241636,0.238813,18.7701,0.388416,-0.0275062,-0.0597596,0.00371239,-0.0173392,0.000558594,0.0292163,0.00830336,0.140421,-0.737533,-2.20398,0.353913,-0.966099,0.656057,-0.0705271,0.0860506,0.164977,-0.000442222,-0.0724847,0.0641078,0.00481615,0.0564363,-0.107127,0.205987,-0.274183,-0.0399513,0.00404493,0.0929939,-0.0181407
2743.17,0.865748,0.340857,4,15,0,-2703.24,-1.75651,-1.52799,-1.39352,-1.39647,-1.46643,-1.15261,-1.69988,-1.42664,-1.75054,-1.62261,-1.34236,-1.28687,-1.33978,-1.06366,-1.70497,-1.63743,-1.27714,-1.62268,-1.3872,-1.84764,-1.75478,-1.4384,-1.51394,-1.73348,-1.55653,-1.51689,-1.36097,-1.63447,-1.70218,-1.03861,-1.6106,-1.66237,-1.38159,-1.97397,-0.904732,-1.57079,-1.75152,-1.29303,-1.28107,-1.50124,-2.0586,-1.11994,-2.04491,-1.72422,-1.42635,-1.37276,-2.30651,-1.01655,-1.47058,-1.47354,-1.22752,-1.51449,0.0769545,0.0245635,0.0134374,-0.0442574,0.0296673,0.0160446,-0.135437,0.0458094,0.0330443,-0.0112017,0.00258237,0.0203871,-0.0879341,-0.145952,-0.172607,0.0783959,-0.0643925,0.0294318,-0.0299333,0.00764711,0.0579509,0.00308042,-0.0249224,0.0329368,0.01538,0.0123273,0.0171689,0.0224519,-0.00956717,0.216483,19.3479,0.368832,-0.0241009,-0.168422,0.0126166,-0.0252086,0.00188762,0.108194,0.00235328,0.0764893,-0.718481,-2.55706,0.285895,-0.814632,0.444904,-0.0161482,0.0964738,0.157744,0.0518544,0.00916431,0.190299,0.14102,0.105232,0.0960476,0.329091,-0.108558,0.0232056,0.0106275,0.143373,-0.00826034
2737.41,0.515292,0.340857,4,15,0,-2693.74,-1.50814,-1.70051,-1.47589,-1.44032,-1.63397,-1.29968,-1.66495,-1.42974,-1.99915,-1.44838,-1.58101,-1.20721,-1.31243,-1.20299,-1.77063,-1.98576,-1.67844,-1.69182,-1.14382,-1.746,-1.24521,-1.3501,-1.65361,-1.76247,-1.61203,-1.57902,-1.33628,-1.55652,-1.42083,-1.3177,-1.55413,-1.59029,-1.3123,-1.85571,-0.790356,-1.4729,-1.70461,-1.29302,-1.21901,-1.56783,-1.64135,-1.20972,-1.82168,-1.69182,-1.33931,-1.58123,-1.42048,-1.08982,-1.50239,-1.34868,-1.17161,-1.17672,-0.0413428,0.0355936,-0.0369683,-0.0548645,0.0116142,0.0150155,-0.117564,0.0431362,0.0151435,-0.0102015,-0.00294658,0.0259298,-0.0536821,-0.168148,-0.166194,0.116366,-0.0853265,0.0171199,-0.0745707,0.0283602,0.0580404,-0.0174499,0.000383696,0.00748877,0.0367468,0.0276623,0.0157934,0.0216737,-0.0120613,0.264974,19.7665,0.471452,-0.036593,-0.0218873,0.00341482,-0.0594723,0.00268475,0.09759,-0.0664768,0.171613,-0.770662,-2.26653,0.539256,-1.02426,0.295721,-0.0535884,0.138562,0.158744,0.0161977,0.0883145,0.119178,0.258041,0.162072,0.0820106,0.310558,-0.13686,-0.0387447,0.0296152,-0.217167,-0.0102401
