# stan_version_major = 2
# stan_version_minor = 25
# stan_version_patch = 0
# model = sl_normal_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 4
# data
#   file = data/cleaned/tmp/sl_normal_sens_pdw2_upload.R.data
# init = 2 (Default)
# random
#   seed = 100605
# output
#   file = output/sl_normal_sens_pdw2_upload_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
# stanc_version = stanc3 82a27ba
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,theta.10,theta.11,theta.12,theta.13,theta.14,theta.15,theta.16,theta.17,theta.18,theta.19,theta.20,theta.21,theta.22,theta.23,theta.24,sigma,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,beta.19,beta.20,beta.21,beta.22,beta.23,beta.24
# Adaptation terminated
# Step size = 0.537683
# Diagonal elements of inverse mass matrix:
# 0.000146517, 0.000147906, 0.000152954, 0.000161608, 0.000168276, 0.000159697, 0.000176056, 0.000168611, 0.000164122, 0.000149892, 0.000156147, 0.000157269, 0.000154222, 0.000172294, 0.000136493, 0.000167926, 0.000185692, 0.000162159, 0.000154121, 0.000161031, 0.000163606, 0.00019011, 0.000145142, 0.00014901, 0.000144802, 7.82411e-05
-3003.18,0.910517,0.537683,3,7,0,3009.72,5.88995,-0.0424221,0.0471201,0.387504,0.266422,-0.616667,-0.841781,-0.120176,0.833985,-0.065864,-0.0792045,0.16236,0.195093,0.101534,-0.00228786,0.0299312,0.0890555,-0.0223775,0.0053061,0.0358986,0.0285464,0.0115872,-0.0274493,0.00241576,-0.0297941,0.974514,-0.179343,0.0152471,0.0159233,0.101475,-0.828749,-0.608395,-0.262672,0.933933,-0.610204,-0.195074,1.29201,0.829044,0.869937,-0.00946449,0.181521,0.246339,-0.0643031,-0.00627509,0.0918756,0.0769835,-0.0564047,-0.216543,-0.0125538,-0.393144
-3008.43,0.735996,0.537683,3,7,0,3024.58,5.85447,-0.0557798,0.0665498,0.398123,0.216112,-0.598094,-0.857166,-0.0727078,0.824602,-0.0319432,-0.112164,0.164977,0.24785,0.104671,-0.0199213,0.0054178,0.0958038,-0.0462066,0.00575702,0.0186136,0.00464355,0.00214504,0.00423512,-0.0179209,-0.00982653,0.97557,-0.336014,0.029804,-0.135225,0.0551246,-0.762765,-0.689624,-0.166043,0.933223,-0.44879,-0.474704,1.3668,1.10583,0.9034,-0.0145082,0.140766,0.263052,-0.105785,0.0228666,0.0672307,0.0107123,-0.0111731,-0.0109223,-0.333704,-0.129665
-3008.27,1,0.537683,3,7,0,3019.24,5.90012,-0.0352644,0.0402946,0.382214,0.276471,-0.619092,-0.841841,-0.118448,0.833035,-0.0695602,-0.0839136,0.161044,0.197628,0.104185,0.00174295,0.0290243,0.0820048,-0.0205456,-0.00264762,0.0337104,0.0307938,0.00530431,-0.037212,-0.00299361,-0.0362048,0.971676,-0.122251,0.0105018,0.0123782,0.140628,-0.846751,-0.630552,-0.256663,0.930582,-0.645585,-0.243889,1.29933,0.837024,0.885118,-0.0165896,0.1709,0.228483,-0.0876979,-0.0663449,0.0434927,0.0432163,-0.130766,-0.29289,-0.11965,-0.477736
-3006.44,0.893099,0.537683,3,7,0,3022.59,5.85455,-0.0531302,0.0717115,0.400675,0.223297,-0.599327,-0.856696,-0.0769096,0.828576,-0.0353839,-0.108688,0.168071,0.247555,0.0911663,-0.0190574,0.011769,0.107601,-0.0479667,0.00453552,0.0230802,0.0046061,0.0109221,0.00378581,-0.0142025,-0.00968845,0.975818,-0.369098,0.0331798,-0.120842,0.0529852,-0.754288,-0.645478,-0.172978,0.937745,-0.459237,-0.436601,1.39851,1.13314,0.801778,-0.0101834,0.169141,0.295143,-0.101046,0.0328185,0.0987951,0.0248015,0.0378381,-0.00941152,-0.267979,-0.127842
-3004.46,0.980556,0.537683,3,7,0,3019.14,5.87583,-0.047364,0.0609002,0.392387,0.225333,-0.606459,-0.849587,-0.0881961,0.837874,-0.0630354,-0.0851206,0.161611,0.210821,0.121143,-0.0163103,0.0404806,0.0944455,-0.0357325,-0.00638883,0.0274065,0.00416481,0.0117747,-0.0267481,-0.0316492,-0.0540758,0.970632,-0.330044,0.0293876,-0.0716478,0.0517304,-0.785067,-0.662434,-0.189311,0.945702,-0.612091,-0.263392,1.30427,0.859582,1.02739,-0.0409105,0.211253,0.263268,-0.150086,-0.112111,-0.0175587,-0.135058,-0.126428,-0.291779,-0.657237,-0.71355
-3003.23,0.82778,0.537683,3,7,0,3018.88,5.87921,-0.0410467,0.0478797,0.383291,0.266144,-0.605268,-0.845285,-0.099716,0.822294,-0.0398808,-0.104068,0.168822,0.230236,0.088572,-0.00157032,-0.0085531,0.0869466,-0.0295943,0.011483,0.0346605,0.0321182,0.0073651,-0.0071352,0.0116596,0.00774217,0.976567,-0.140976,0.0122843,-0.0514169,0.14129,-0.795949,-0.633202,-0.222104,0.921521,-0.486296,-0.378627,1.37514,1.05857,0.774396,0.0145779,0.0995373,0.237622,-0.0256544,0.0931894,0.182641,0.208053,0.0442024,-0.0170718,0.219607,0.102161
