# 0.00444056, 0.00314849, 0.00220086, 0.00435409, 0.00527278, 0.00683685, 0.00803186, 0.00210083, 0.00725458, 0.0070024, 0.0196693, 0.00377292, 0.0031845, 0.015421, 0.00319915, 0.00667147, 0.00640969, 0.00654614, 0.0057789, 0.00786629, 0.0121811, 0.0115812, 0.0058531, 0.00589092, 0.00492973, 0.0110108, 0.00537482, 0.0141762, 0.00911694, 0.0167626, 0.0178878, 0.00599785, 0.0106454, 0.00281545, 0.00406439, 0.0161042, 0.00348772, 0.00636169, 0.00921208, 0.00361058, 0.0170379, 0.00634829, 0.0143319, 0.005254, 0.00261701, 0.0124193, 0.0274478, 0.00476322, 0.00548066, 0.00959472, 0.0046847, 0.0296705, 0.000989196, 0.00109351, 0.00116889, 0.00105694, 0.000200743, 0.0001922, 0.000171978, 0.000175767, 0.000151173, 0.000165289, 0.000172218, 0.000164922, 0.000225453, 0.000154504, 0.000195081, 0.000159966, 0.000163572, 0.000203547, 0.000147418, 0.000170316, 0.000164006, 0.000161989, 0.000153205, 0.000170803, 0.000145558, 0.000155863, 0.000165904, 0.000166708, 9.48391e-05, 0.0211134
-2865.33,0.880579,0.317871,4,15,0,2899.9,5.62013,5.97047,5.89843,5.93227,5.66599,5.91409,5.92074,5.96963,5.55138,5.88363,6.036,6.14399,5.9294,5.99945,5.8562,5.54894,5.90283,5.6249,5.93487,5.9816,5.55306,5.87363,5.64527,5.67283,5.8134,5.80838,6.09801,5.84097,6.21892,5.89865,5.3288,5.84576,6.12234,5.61962,6.12013,6.06119,5.76477,5.97959,5.80898,5.83927,5.63511,5.62556,5.82202,5.8408,5.92113,6.02634,5.51291,6.04946,6.00818,5.81868,5.80921,5.90669,0.00869619,0.0972105,-1.40241e-05,-0.000271458,-0.0332597,0.0226062,0.37013,0.2622,-0.591512,-0.836949,-0.1027,0.803208,-0.0978738,-0.0795263,0.16795,0.22028,0.107565,0.015003,0.0255233,0.0957863,-0.0172564,-0.00552618,0.0190532,0.0103043,-0.00276768,-0.0206816,-0.00758141,-0.0353226,0.94972,0.169259,-0.00379327,-0.00121622,-0.032698,0.145066,-0.809797,-0.66576,-0.232695,0.904383,-0.81522,-0.17083,1.38615,0.95211,0.921919,-0.00554703,0.182307,0.265924,-0.0855562,-0.0798567,-0.0102876,-0.0529203,-0.133218,-0.196003,-0.198797,-0.466094,0.00673379,0.0545275,0.000165761,-5.06179e-05
-2861.61,1,0.317871,4,15,0,2904.73,5.63176,5.7963,6.04011,6.01244,5.96407,5.87611,5.86224,6.00631,5.57737,5.46513,6.13279,6.01072,5.79801,5.93912,5.78415,5.98792,5.79654,5.74752,6.07526,5.73037,5.75413,5.96426,5.73421,5.68033,5.94258,5.99562,6.01217,5.85695,6.11613,6.30358,5.63939,6.06732,5.74983,5.74508,6.25321,6.08774,5.62128,6.02657,5.76057,5.80871,5.6206,5.63494,5.70177,5.89879,6.03075,6.05129,5.434,6.09316,5.86197,5.94946,5.95013,6.33067,-0.0712514,0.117786,-0.0293263,0.0173556,-0.0432729,0.0700047,0.38986,0.23861,-0.606912,-0.870162,-0.108849,0.843895,-0.0674514,-0.117662,0.168787,0.219095,0.0768139,0.000329644,0.00426528,0.0859022,-0.0415998,0.0146751,0.0567403,0.0281148,0.0151382,-0.00542076,-0.0129879,-0.0111076,0.970464,0.185308,-0.357776,0.0330986,-0.0924171,0.0156566,-0.784567,-0.630473,-0.221851,0.946141,-0.591108,-0.522721,1.37456,1.02853,0.674481,0.0102833,0.124573,0.234657,-0.059167,0.0920228,0.243004,0.148374,0.0349077,-0.0664517,-0.249218,-0.146568,-0.0258265,0.0736921,-0.234549,0.00323624
-2854.96,0.994365,0.317871,4,15,0,2897.74,5.59557,5.80595,5.94901,5.92787,5.77334,5.99295,5.91094,6.02086,5.55459,5.79515,5.82687,6.16895,5.90782,5.98451,5.76698,5.57196,5.82532,5.59928,5.90987,6.10347,5.62166,5.91206,5.65586,5.66285,5.76562,6.00024,6.00791,5.84726,6.30334,6.04407,5.24434,5.89184,6.03587,5.59089,6.11001,6.11161,5.69675,6.06206,5.77531,5.8167,5.44694,5.60025,5.89968,5.68162,5.95615,5.88493,5.57866,6.05121,5.99046,5.87646,5.73751,6.24202,-0.0471224,0.0980231,-0.0623361,-0.0172706,-0.006738,0.0401479,0.372104,0.267877,-0.589367,-0.843837,-0.093506,0.791127,-0.107369,-0.0861308,0.192929,0.219558,0.118138,0.0220556,0.0176072,0.0896982,-0.0250887,-0.00484488,0.018454,0.0222296,-0.00536629,-0.00381104,0.00376777,-0.0177588,0.950561,0.136734,-0.0406575,0.00631512,-0.0358757,0.16527,-0.813577,-0.742721,-0.215224,0.905256,-0.90175,-0.165862,1.55898,0.922118,1.01263,0.0165435,0.157524,0.24681,-0.0638894,-0.0167128,0.0597117,0.0941042,-0.0632363,-0.0504581,0.0335042,-0.234334,-0.024341,0.071778,-0.444752,-0.00322039
-2869.29,0.768145,0.317871,4,15,0,2905.21,5.7636,5.85841,5.98686,6.11391,5.82549,5.83602,5.93272,6.02802,5.56806,5.58069,6.0814,6.01239,5.85871,6.15139,5.84998,5.84729,5.8226,5.72035,5.92629,5.70983,5.65217,5.80506,5.72449,5.7059,5.83289,6.1775,6.11638,6.09161,6.02894,6.42891,5.69082,6.00581,5.96361,5.67526,6.27617,6.35268,5.60772,5.90398,5.8158,5.70839,5.81251,5.58544,5.65763,5.80672,6.05552,5.99258,5.54083,6.06972,5.86152,5.82046,5.89774,6.60693,-0.050743,0.127179,0.00489319,0.0816468,-0.0423926,0.0554538,0.379653,0.24418,-0.6117,-0.876107,-0.108423,0.843863,-0.0883613,-0.10037,0.16768,0.2165,0.0650908,0.0302112,-0.00544488,0.10436,-0.0478905,0.00644347,0.0466205,0.0218345,0.0332584,-0.0108095,-0.00723434,-0.0259408,0.97092,0.207042,-0.302598,0.0267273,-0.110501,0.0272461,-0.820537,-0.635804,-0.200739,0.936632,-0.742998,-0.355212,1.41103,1.03093,0.600324,0.0297356,0.128914,0.2862,-0.0895076,0.0507683,0.191253,0.104507,0.0981069,-0.119175,-0.17534,-0.342298,0.00651854,0.0691509,-0.0448533,0.0152244
-2866.69,0.961695,0.317871,4,15,0,2915.12,5.52036,5.79065,5.94567,5.81905,5.83337,5.98178,5.93365,6.02707,5.42418,5.67664,5.72231,6.11357,5.91287,5.72362,5.80532,5.61282,5.90284,5.70339,6.07585,5.97422,5.6186,6.01485,5.61902,5.67906,5.80753,5.93994,6.01007,5.63538,6.40771,5.79374,5.12405,6.01394,5.91951,5.63258,6.13848,5.9683,5.74073,6.14064,5.74641,5.83713,5.23094,5.62777,5.86701,5.87591,5.96132,5.7976,5.09823,6.07626,6.01484,5.91729,5.80345,6.19874,0.0201709,0.0828038,0.0182816,0.00366305,-0.0363625,0.0360031,0.3846,0.267162,-0.583829,-0.850966,-0.101799,0.815513,-0.0783933,-0.0916299,0.17999,0.22383,0.115487,0.00350375,0.0357013,0.0773681,-0.0071071,0.00220319,0.0304021,0.02002,-0.0283242,-0.016234,-0.0128178,-0.014047,0.954736,0.169503,-0.0776768,0.00647804,-0.0113911,0.142355,-0.772642,-0.714852,-0.240239,0.921878,-0.713711,-0.260354,1.44927,0.967734,0.966068,-0.00968713,0.179301,0.214596,-0.0454517,-0.0391998,0.046913,0.00937204,-0.227183,-0.137045,-0.251657,-0.185355,0.0125766,0.0415283,0.131827,0.000683037
-2865.9,0.989625,0.317871,4,15,0,2910.77,5.59507,5.92068,5.98055,6.08689,5.80589,5.73486,5.99641,5.94566,5.70287,5.63524,6.2373,6.03928,5.85029,6.11559,5.89986,5.8934,5.83324,5.7268,6.00154,5.77778,5.60269,5.86712,5.69767,5.7673,5.98906,6.00966,6.10613,6.13033,6.05121,6.40728,5.68768,5.83729,5.9871,5.71486,6.26495,6.31337,5.67228,5.88061,5.79312,5.71223,5.74856,5.67889,5.73165,5.83721,6.02306,6.07931,5.42602,6.10462,5.86489,5.91113,5.88163,6.32747,-0.0434108,0.103192,-0.0698031,0.0102102,0.00345717,0.0580351,0.373275,0.258703,-0.618346,-0.861183,-0.102634,0.825953,-0.0806566,-0.107011,0.164278,0.219187,0.0744981,0.0177997,-0.0135008,0.105678,-0.0530613,-0.00765917,0.0469963,0.0113969,0.0253949,-0.0105226,0.00701255,-0.0341035,0.963696,0.146483,-0.213288,0.0236905,-0.102786,0.0991145,-0.84888,-0.643187,-0.198947,0.92425,-0.709068,-0.426196,1.38529,1.01642,0.679549,0.0146873,0.114084,0.28949,-0.119704,-0.0080376,0.177331,0.0320913,0.0582588,-0.116569,0.0604146,-0.450008,-0.0116282,0.0763733,-0.527383,0.00190387
-2856.56,0.996132,0.317871,4,15,0,2905.03,5.69487,5.84499,6.01282,5.96082,5.85091,5.90061,5.88507,6.0077,5.71405,5.40107,5.74722,6.10709,5.80682,5.99344,5.76335,5.72481,5.92367,5.7974,6.15348,5.93461,5.73192,6.1014,5.62423,5.67009,5.82966,5.75872,6.0476,5.81967,6.416,6.01847,5.37911,5.87478,5.96426,5.64506,6.22359,6.17034,5.73193,6.06853,5.77858,5.80205,5.74456,5.67191,5.97924,5.81109,5.86515,5.89623,5.6417,6.03038,5.88137,5.825,5.92957,6.49804,-0.0873104,0.089853,-0.0305874,-0.00736614,-0.0320016,0.0586199,0.390122,0.265567,-0.594085,-0.859043,-0.0914641,0.826306,-0.0572383,-0.0964961,0.162668,0.22891,0.0944192,0.0142742,-0.00157952,0.0793786,-0.0186061,-0.023416,0.0478259,0.012959,0.00505252,-0.0154854,-0.0156059,-0.023888,0.960867,0.129919,-0.277336,0.0265585,-0.0507172,0.147151,-0.79635,-0.699733,-0.186845,0.917322,-0.606599,-0.338112,1.34576,1.03992,0.817872,0.00255862,0.104592,0.21943,-0.0660422,-0.0905835,0.142566,-0.00337305,-0.0678339,-0.152892,-0.318943,-0.315211,-0.0438897,0.0586268,-0.219334,-0.00137354
-2863.25,0.963935,0.317871,4,15,0,2897.46,5.60824,5.90102,5.85674,5.92092,5.8111,5.74565,6.01023,5.94324,5.60352,5.85273,5.94807,6.0552,5.81349,5.91423,5.78804,5.84108,5.76741,5.79094,5.99827,5.75044,5.6173,5.76294,5.83262,5.695,6.02485,6.07064,6.05674,6.06446,6.05449,6.15276,5.76654,5.84439,5.94325,5.6625,6.18619,6.05745,5.68185,5.8649,5.79662,5.7443,5.36406,5.63025,5.86832,5.80459,6.05822,5.90429,5.45824,6.07976,5.93463,5.85772,5.99282,6.10823,-0.020043,0.0553497,-0.0122493,0.00179605,-0.00828417,0.0331459,0.374122,0.251884,-0.608653,-0.852098,-0.112436,0.813859,-0.0716462,-0.106768,0.193898,0.21108,0.0927774,0.00428736,0.0263197,0.0947801,-0.0755073,0.0183101,0.0344612,0.0319471,-0.00307113,-0.0245249,-0.00915368,-0.0261202,0.965822,0.140041,-0.0238532,0.00393002,-0.0630068,0.0697648,-0.827605,-0.707122,-0.259191,0.92858,-0.7078,-0.382864,1.61012,0.924915,0.8012,-0.00766302,0.1829,0.261445,-0.195527,0.023564,0.0725318,0.080077,-0.131556,-0.204733,-0.209465,-0.344665,-0.00760778,0.0342891,-0.0925511,0.000334903
-2847.68,0.985328,0.317871,4,15,0,2896.68,5.66324,5.79444,5.93649,5.88389,5.80091,5.89155,5.87728,6.06995,5.57529,5.59825,5.83916,6.02923,5.84664,5.91521,5.79039,5.62503,5.8971,5.84412,5.94407,5.73563,5.5792,5.86228,5.6313,5.6924,5.81092,5.9807,5.92842,5.82418,6.21781,5.88185,5.45204,5.88455,5.93806,5.6578,6.20723,6.07415,5.64692,6.04232,5.90959,5.86719,5.43685,5.63954,5.7894,5.8016,5.91963,6.02351,5.52831,6.04166,6.05979,5.68292,5.77622,6.08585,-0.0247947,0.0476689,-0.000321853,-0.029334,-0.0246359,0.0500244,0.383005,0.259979,-0.581319,-0.862318,-0.105545,0.813766,-0.0855162,-0.0970344,0.169941,0.226405,0.0907691,0.0255348,0.0271669,0.0555542,-0.0344655,-0.00256146,0.0413535,0.022678,0.00144433,-0.0299966,0.00339913,-0.00309218,0.968799,0.158475,-0.207589,0.0207062,-0.0488361,0.101192,-0.791442,-0.718498,-0.226176,0.910266,-0.758445,-0.326857,1.4023,1.03506,0.779027,0.0155506,0.130949,0.153595,-0.0890354,-0.0172979,0.128457,0.0623878,-0.0724599,-0.183738,0.0541315,-0.0408023,-0.0225699,0.0271349,0.0267569,-0.00546982
-2851.01,0.858283,0.317871,4,15,0,2890.46,5.74381,5.84296,5.97232,5.92162,5.94118,5.87002,6.02665,6.04592,5.66105,5.78392,6.00846,6.12451,5.89871,5.96559,5.86526,5.85159,5.81364,5.73766,6.03152,5.86685,5.61698,5.87686,5.75093,5.65503,5.81475,5.97059,6.11413,5.95169,6.14809,6.18742,5.4224,6.21035,5.97914,5.74435,6.15303,6.12113,5.67303,5.93421,5.89336,5.71155,5.65312,5.577,5.90656,5.79971,6.0172,5.81928,5.65109,6.08107,5.85128,5.94783,5.84687,6.51795,-0.00126912,0.128381,-0.0294604,0.0189006,-0.00498646,0.0624807,0.378131,0.26535,-0.614831,-0.859678,-0.0844511,0.837493,-0.0818138,-0.102123,0.172844,0.223146,0.0951901,0.0125651,-0.00413474,0.104817,-0.0300499,-0.0200868,0.030221,0.0319579,0.00285687,0.00877103,-0.0113636,-0.031029,0.950964,0.134184,-0.232621,0.024819,-0.0985893,0.141466,-0.809116,-0.652235,-0.157022,0.942663,-0.722996,-0.365982,1.43456,0.993119,0.831317,0.0115631,0.133704,0.287876,-0.069401,-0.0438918,0.124178,0.161896,-0.0233344,-0.0138506,-0.257452,-0.409438,0.0113665,0.0796539,-0.237077,0.00352433
