lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,theta.10,theta.11,theta.12,theta.13,theta.14,theta.15,theta.16,theta.17,theta.18,theta.19,theta.20,theta.21,phi,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,beta.19,beta.20,beta.21
# Adaptation terminated
# Step size = 0.529913
# Diagonal elements of inverse mass matrix:
# 0.000164917, 0.000150506, 0.000150153, 0.0001578, 0.00014935, 0.000150484, 0.000176856, 0.000185652, 0.000136522, 0.000167106, 0.00015872, 0.000155091, 0.000178188, 0.000152293, 0.000150805, 0.000137926, 0.000143526, 0.000153854, 0.000139875, 0.000139425, 0.000123711, 0.000176178, 0.00084042
2475.88,0.628877,0.529913,3,7,0,-2459.4,-1.42152,-0.123418,0.0404015,0.00233276,0.0106715,-0.0738469,-0.127467,-0.18915,0.115451,-0.00667707,0.0398147,-0.0759586,0.0325491,0.0599413,0.00950976,-0.00476855,0.0127572,0.00149629,0.0334688,-0.0262692,0.0228643,-0.0157833,14.9141,-0.0959324,0.00187791,0.0722825,0.00428543,0.116748,-0.584273,-2.27366,0.762363,-0.362097,0.554937,-0.0748107,0.14506,0.163629,0.0144277,-0.0294171,0.0213543,-0.028816,0.0642551,-0.150917,0.320389,-0.178281
2478.79,0.994827,0.529913,3,7,0,-2466.76,-1.44449,-0.0870185,0.0493188,0.000180539,0.00713692,-0.0531331,-0.151233,-0.186391,0.113151,-0.0165501,0.0257337,-0.0908784,-0.0108975,0.0623088,0.00618725,0.0093941,0.0249262,0.0351766,0.0567397,0.00628699,0.036582,-0.0223622,16.3692,-0.0708739,0.00331183,0.0658992,-0.0554555,0.16361,-0.586712,-2.23146,0.660796,-0.460228,0.419727,-0.0641317,0.058312,0.166414,0.0949456,0.12819,0.187933,0.254489,0.255724,0.0241823,0.519775,-0.252593
2479.68,0.89953,0.529913,3,7,0,-2469.92,-1.41574,-0.116224,0.034826,0.0166149,0.00695288,-0.076364,-0.13926,-0.193345,0.103737,-0.0214364,0.0335028,-0.0822647,0.0478865,0.0680117,0.00162541,-0.00550887,0.0200721,0.0181736,0.0203475,-0.0113726,0.0283222,-0.0154267,15.2527,-0.0514097,-0.00211987,0.118955,-0.0434978,0.131402,-0.591311,-2.4992,0.619023,-0.499278,0.485301,-0.0740522,0.188571,0.184287,0.0173846,0.00397484,0.0820306,0.0829971,0.0548476,-0.0640142,0.407093,-0.174254
2471.04,0.568059,0.529913,3,7,0,-2460.55,-1.43155,-0.097842,0.0293186,0.00205633,0.0299355,-0.076755,-0.130083,-0.162866,0.0854215,-0.0248452,0.0184976,-0.0821363,0.0136946,0.0745543,-0.001456,-0.0259111,0.0209828,0.0301837,0.023817,0.0173842,0.0283048,0.0101479,15.1376,0.0744357,-0.0128278,0.0692492,-0.0277872,0.12615,-0.510313,-2.12139,0.460868,-0.518279,0.373736,-0.0500373,0.126893,0.200488,0.0664752,0.0474449,0.204057,0.27291,0.202886,0.148748,0.47023,0.114626
2472.87,0.983573,0.529913,3,7,0,-2456.88,-1.41568,-0.104269,0.0555682,0.0102688,-0.00161874,-0.0501398,-0.140077,-0.194526,0.0915905,-0.0146266,0.0230142,-0.0891852,0.0423487,0.0441917,0.0136615,0.0177368,0.0353206,0.0445774,0.0491299,-0.0186919,0.0360043,-0.0443557,15.1967,-0.202651,0.014592,0.09171,-0.0611697,0.146504,-0.525567,-2.5244,0.521251,-0.396283,0.326153,-0.0826144,0.144206,0.118907,0.0701875,0.0776209,0.130072,0.182424,0.107005,-0.160798,0.45616,-0.501023
2470.96,0.730646,0.529913,3,7,0,-2452.87,-1.44872,-0.0879549,0.0522917,0.0401488,-0.0133702,-0.0767545,-0.158173,-0.167734,0.091037,-0.0372622,0.019268,-0.103863,0.00478556,0.085634,0.0116109,0.000816088,0.0129437,0.0214741,0.0315316,0.00578411,0.0361263,0.00288691,15.5926,-0.152902,0.0103809,0.184425,-0.161863,0.150864,-0.599321,-2.21727,0.436133,-0.659158,0.381876,-0.0736576,0.122688,0.230041,0.0962407,0.0959948,0.146461,0.201884,0.197534,0.0788417,0.575214,0.0326093
2478.12,1,0.529913,3,7,0,-2463.01,-1.44654,-0.10123,0.0428725,0.0169721,0.0196926,-0.0728299,-0.146916,-0.207576,0.105878,-0.0220835,0.0656999,-0.0901498,0.0158457,0.0597245,-0.00719288,-0.00633468,0.00980277,0.0244194,0.0480867,-0.00339786,0.0302231,-0.0329132,15.872,-0.0301409,-0.00147022,0.131021,0.00156624,0.151106,-0.623491,-2.68328,0.579784,-0.627773,0.840317,-0.0783141,0.110118,0.161672,0.0060204,0.0176841,0.0704953,0.137851,0.162481,-0.0591763,0.393626,-0.371774
2474.75,0.653082,0.529913,3,7,0,-2456.15,-1.42759,-0.103673,0.0490056,0.00819711,-0.0114132,-0.0678805,-0.147919,-0.172262,0.113852,-0.0330814,-0.00799069,-0.0746529,0.0214694,0.0576555,0.0143895,0.0182312,0.0287916,0.0332799,0.027118,-0.00396477,0.0407757,0.00286985,15.4601,-0.154988,0.00903388,0.0872489,-0.1291,0.13011,-0.574291,-2.11435,0.652959,-0.461754,0.0192317,-0.0490142,0.120205,0.154235,0.113678,0.145448,0.189314,0.233785,0.156467,0.031845,0.64828,0.0324166
2473.43,0.984238,0.529913,3,7,0,-2464.98,-1.43779,-0.0990083,0.0304373,0.0103658,0.0209276,-0.0634137,-0.137665,-0.197016,0.0932679,-0.0127363,0.066108,-0.100557,0.0176414,0.0621333,-0.00212508,-0.0274563,0.0130375,0.0199115,0.0510045,0.000997702,0.0201085,-0.0364097,15.784,0.0614006,-0.0107251,0.0993036,0.00485596,0.159292,-0.572862,-2.55211,0.527157,-0.564199,0.872546,-0.0898041,0.116667,0.168385,0.00620495,-0.04603,0.0784679,0.114256,0.169083,-0.0551667,0.225913,-0.411268
2466.97,0.624412,0.529913,3,7,0,-2449.65,-1.43761,-0.070029,0.0378591,0.0415736,-0.0202359,-0.0860751,-0.120295,-0.203209,0.087894,-0.0289656,0.0501787,-0.0970288,0.0144733,0.0582206,0.016134,0.00443451,0.0231642,0.0340825,0.0590813,0.00233096,0.0286356,-0.0080208,15.4273,-0.0337872,0.00128499,0.184093,-0.127431,0.125333,-0.430821,-2.75736,0.358429,-0.651562,0.671296,-0.0667576,0.10432,0.155769,0.122705,0.12108,0.19183,0.26189,0.276712,0.0267815,0.430384,-0.0905995
