# stan_version_major = 2
# stan_version_minor = 25
# stan_version_patch = 0
# model = sl_beta_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 1
# data
#   file = data/cleaned/tmp/sl_beta_sens_pdw2_upload.R.data
# init = 2 (Default)
# random
#   seed = 100605
# output
#   file = output/sl_beta_sens_pdw2_upload_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
# stanc_version = stanc3 82a27ba
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,theta.10,theta.11,theta.12,theta.13,theta.14,theta.15,theta.16,theta.17,theta.18,theta.19,theta.20,theta.21,theta.22,theta.23,theta.24,phi,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,beta.19,beta.20,beta.21,beta.22,beta.23,beta.24
# Adaptation terminated
# Step size = 0.591733
# Diagonal elements of inverse mass matrix:
# 0.00014016, 0.000101169, 0.000115175, 0.00010877, 0.000102551, 0.000103405, 0.000114138, 0.000107141, 0.000120745, 0.000117562, 0.000116068, 0.000123874, 9.82822e-05, 0.000125116, 0.0001039, 0.000121387, 0.000119403, 9.49927e-05, 0.000116794, 0.000104434, 0.000125266, 9.61707e-05, 9.73114e-05, 0.000106527, 0.00010582, 0.000309102
5433.61,0.731603,0.591733,3,7,0,-5419.75,-1.54049,-0.0609347,0.0509345,0.130723,-0.106861,-0.160852,-0.0541179,0.0235912,-0.119435,-0.0371039,-0.0738144,0.116672,0.157385,0.0694644,-0.0178955,0.0241364,0.0820232,-0.018492,0.0180932,0.0265765,0.00576478,0.0166445,-0.00417071,-0.00365735,-0.00916786,7.61669,-0.222826,0.019921,-0.0573489,0.0501088,-0.583495,-0.474856,-0.173114,-0.0525756,-0.348779,-0.284266,0.917439,0.699142,0.607013,-0.00718189,0.159273,0.22488,-0.0188482,0.0786449,0.113346,0.0299267,0.0584636,-0.0454254,-0.0813465,-0.120973
5430.53,0.858723,0.591733,3,7,0,-5423.26,-1.54977,-0.0808055,0.0360687,0.136517,-0.103387,-0.151178,-0.047025,0.00964689,-0.104688,-0.0555221,-0.0983178,0.118753,0.172496,0.0821731,-0.0251038,0.0100335,0.0853743,-0.0273122,-0.00661478,0.042132,0.00275499,-0.0053727,-0.00582919,0.00465445,-0.0196699,7.89243,-0.157775,0.0115485,-0.00784464,0.0729267,-0.522486,-0.405508,-0.223427,-0.0257565,-0.455138,-0.501823,0.952575,0.74835,0.711299,-0.0226107,0.135764,0.233969,-0.0691533,-0.0227453,0.140451,-0.0305302,-0.0707593,-0.065124,0.0455824,-0.259552
5425.25,0.842177,0.591733,3,7,0,-5414.81,-1.57042,-0.072926,0.055555,0.135572,-0.127573,-0.173066,-0.0622606,-0.00204685,-0.109813,-0.0450669,-0.0879057,0.11889,0.164444,0.0683307,-0.0149856,0.0111767,0.0645389,-0.0606172,-0.0122198,0.0195843,0.0200568,0.0238861,-0.0169577,-0.00934843,-0.0311186,7.97062,-0.322056,0.0286798,-0.0611773,-0.0245546,-0.613733,-0.480546,-0.249746,-0.036835,-0.436175,-0.425463,1.00227,0.718996,0.597275,-0.0215266,0.110032,0.178509,-0.166002,-0.0576703,0.0426342,0.0560788,0.0221466,-0.167884,-0.222136,-0.41062
5422.38,0.835623,0.591733,3,7,0,-5409.17,-1.5565,-0.059742,0.0327863,0.133959,-0.103486,-0.165972,-0.0402377,0.0242947,-0.148016,-0.0459806,-0.0684322,0.130862,0.141395,0.0929234,-0.0060918,0.0154972,0.0964533,-0.0211649,0.0100743,0.0354187,-0.00676455,0.0125641,-0.0109832,0.00179312,-0.0264838,8.0175,-0.0866201,0.0067277,-0.00337861,0.101199,-0.64962,-0.566083,-0.182015,-0.0770002,-0.460732,-0.199966,1.00834,0.550388,0.809862,-0.00791273,0.161088,0.265011,-0.0516285,0.0199146,0.104725,-0.0892945,-0.00346279,-0.111497,-0.017396,-0.349463
5421.15,0.944584,0.591733,3,7,0,-5405.26,-1.55638,-0.0777268,0.0500717,0.132499,-0.129693,-0.157059,-0.0550068,0.00547161,-0.0849219,-0.0554622,-0.0950176,0.104525,0.18294,0.0538527,-0.0173318,0.0207719,0.0559781,-0.0340285,0.000806274,0.0187012,0.0349819,0.0137351,-0.00750321,-0.00455789,-0.0144124,7.72963,-0.30922,0.0263155,-0.0837128,-0.0246783,-0.514656,-0.334124,-0.214973,-0.0178512,-0.416124,-0.507633,0.888086,0.872729,0.464423,-0.0110672,0.118203,0.154036,-0.0690097,0.0207852,0.082567,0.185309,0.0250441,-0.075873,-0.106899,-0.190177
5432.06,0.806302,0.591733,3,7,0,-5405.5,-1.55138,-0.0754737,0.027389,0.12858,-0.115361,-0.173637,-0.0444665,0.0296209,-0.12236,-0.0463345,-0.0773697,0.117091,0.1466,0.0752088,-6.42522e-05,0.0130881,0.0889267,-0.0304499,-0.00293972,0.0430869,0.0139702,0.00327831,-0.0150598,-0.0104944,-0.0344889,7.90912,-0.128013,0.00843543,-0.0642976,0.0674974,-0.636646,-0.499967,-0.141568,-0.0600329,-0.446942,-0.324797,0.950044,0.621107,0.655256,-0.0102996,0.147305,0.245271,-0.0912293,-0.0363999,0.112309,-0.00993565,-0.0881578,-0.163561,-0.248545,-0.455094
5433.25,0.925368,0.591733,3,7,0,-5422.18,-1.55635,-0.0536579,0.0620756,0.134702,-0.115053,-0.156675,-0.0406419,0.00317992,-0.116321,-0.0593837,-0.0828786,0.110108,0.168647,0.0737455,-0.0189723,0.0241927,0.0771725,-0.0255095,0.00833447,0.0204433,0.0106166,0.0108469,-0.0142881,0.0127334,-0.0082545,7.81708,-0.330172,0.0312653,-0.0148459,0.0350525,-0.560554,-0.389556,-0.238806,-0.043817,-0.459902,-0.37596,0.886646,0.744395,0.641852,-0.0125471,0.152952,0.212082,-0.0516276,0.0332735,0.0763393,0.0421526,0.0190826,-0.0875747,0.208937,-0.108921
5434.66,0.685929,0.591733,3,7,0,-5420.07,-1.54975,-0.0830727,0.0307382,0.136862,-0.112069,-0.165895,-0.0392722,0.0195577,-0.123127,-0.0480716,-0.0882779,0.113567,0.158355,0.0725413,0.00101817,0.0157926,0.077191,-0.0305674,-0.00831956,0.0438128,0.0137047,0.0154743,-0.0114516,-0.0161851,-0.0210329,7.87332,-0.165585,0.0116436,-0.0305189,0.0766218,-0.618685,-0.466846,-0.177108,-0.0605021,-0.443799,-0.427571,0.918632,0.694041,0.635776,-0.0019503,0.136563,0.212568,-0.0744416,-0.0238551,0.150275,0.0290815,0.00172222,-0.124003,-0.323863,-0.277536
5427.53,0.577641,0.591733,3,7,0,-5417.69,-1.55489,-0.0497374,0.0493416,0.1353,-0.121037,-0.165939,-0.0546024,0.00184059,-0.110405,-0.053435,-0.0783365,0.121466,0.157344,0.0787896,-0.0314026,0.00803874,0.0827005,-0.0355408,0.0051376,0.00696411,0.0135912,0.00777753,-0.00299517,0.0199247,-0.0414293,7.80296,-0.193411,0.0184939,-0.0324245,-0.0114826,-0.565845,-0.438325,-0.243265,-0.0297682,-0.442177,-0.319644,0.987434,0.65932,0.678657,-0.0297487,0.127479,0.226943,-0.0933187,0.00167105,0.00446057,0.0408003,-0.0140665,-0.0700047,0.274215,-0.546674
5427.29,0.953049,0.591733,3,7,0,-5414.46,-1.55949,-0.0848727,0.0493303,0.123017,-0.102265,-0.161451,-0.0505623,0.020898,-0.118566,-0.072446,-0.0953584,0.121504,0.159514,0.0666591,-0.00934155,0.0308181,0.0701167,-0.0468483,0.00358578,0.035933,0.00613599,-0.00421441,-0.00361834,-0.00624576,0.00202138,7.83954,-0.24054,0.0196926,-0.0706186,0.062729,-0.581181,-0.444518,-0.170142,-0.0402864,-0.547168,-0.487118,0.988346,0.711046,0.581698,-0.00390823,0.157845,0.191626,-0.098911,0.0289544,0.141942,0.019727,-0.0345892,-0.0250763,-0.106232,0.0266729
5429.29,0.963953,0.591733,3,7,0,-5417.56,-1.54815,-0.0518463,0.0469117,0.138199,-0.114232,-0.165776,-0.0413349,-0.0043735,-0.130992,-0.0315067,-0.078849,0.110795,0.155472,0.0754153,-0.0187668,0.0202372,0.0756049,-0.0103257,0.00203513,0.0275434,0.0174736,0.0290195,-0.00301588,0.00182208,-0.0258049,7.9612,-0.198336,0.0185419,0.0032223,0.0279771,-0.625304,-0.47028,-0.265071,-0.0665645,-0.315436,-0.340308,0.857291,0.672957,0.654595,-0.00845362,0.142289,0.207353,-0.0020106,0.0356083,0.125869,0.100199,0.105287,-0.0619464,-0.0156308,-0.340504
