lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,theta.10,theta.11,theta.12,theta.13,theta.14,theta.15,theta.16,theta.17,theta.18,theta.19,theta.20,theta.21,sigma,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,beta.19,beta.20,beta.21
# Adaptation terminated
# Step size = 0.607436
# Diagonal elements of inverse mass matrix:
# 0.000179237, 0.000156378, 0.000147789, 0.000169937, 0.000156283, 0.000159263, 0.000130112, 0.000141109, 0.000140207, 0.00012665, 0.000135307, 0.000135952, 0.000164679, 0.000171509, 0.00015351, 0.000145916, 0.000137302, 0.000156364, 0.000161883, 0.000153005, 0.00013649, 0.000138236, 0.000201469
41.7459,0.96109,0.607436,3,7,0,-31.6837,6.74333,0.160003,-0.120128,0.0405391,-0.147291,0.8248,-0.153518,-0.158841,0.0970769,-0.0330263,0.0199089,-0.101453,0.0201318,0.0601455,-0.00380414,0.00640957,0.0205203,0.00767874,0.0121343,-0.00111261,0.012432,-0.0419571,0.59532,0.0740354,-0.0115303,0.114292,-0.0733272,1.12866,-0.586936,-1.99913,0.581944,-0.526248,0.299346,-0.104476,0.120001,0.157391,-0.0169882,-0.00255434,0.0336171,-0.0197037,-0.0261365,-0.0888677,0.0903075,-0.474051
40.2968,0.863191,0.607436,3,7,0,-28.5689,6.71126,0.169374,-0.0950862,0.0142301,-0.152972,0.869347,-0.15361,-0.194306,0.0971498,-0.0296037,0.0347715,-0.0764918,0.0142725,0.0514603,0.00809505,-0.00298544,0.0379883,0.0415912,0.065242,-0.0123292,0.0191526,-0.018502,0.595156,-0.0589492,0.00525024,0.0350653,-0.0217059,1.17179,-0.599003,-2.49969,0.474776,-0.543963,0.488724,-0.060484,0.091958,0.133118,0.0808749,0.0714716,0.202241,0.23885,0.230911,-0.0869206,0.254742,-0.209045
35.6451,0.823712,0.607436,3,7,0,-24.7185,6.74413,0.169754,-0.109897,0.0391646,-0.144623,0.813402,-0.171591,-0.176122,0.0963196,-0.024792,0.0395769,-0.11317,-0.000777168,0.0467299,-0.00827144,0.0128141,-0.0131779,0.0119376,0.004348,-0.0107417,0.0263577,-0.0320958,0.604752,0.0526238,-0.00747305,0.106657,-0.0665175,1.13416,-0.691399,-2.24974,0.606315,-0.523953,0.484613,-0.114593,0.0602374,0.124316,-0.0446371,-0.00817267,-0.0917108,-0.00114718,-0.0505291,-0.101761,0.333951,-0.362633
37.4769,0.98972,0.607436,3,7,0,-23.1662,6.76727,0.15823,-0.115581,0.0208696,-0.141986,0.850482,-0.158343,-0.185186,0.117906,-0.0315153,0.0363565,-0.105841,0.0291359,0.0569467,-0.0193021,0.0206632,0.00872603,0.0188841,0.0225136,-0.00426132,0.0409868,-0.0239861,0.606623,0.0513729,-0.00968952,0.0568989,-0.0468095,1.18757,-0.618936,-2.25817,0.694825,-0.589167,0.474351,-0.0940874,0.133546,0.14916,-0.0178711,0.0875067,0.0560417,0.102976,0.078682,-0.0320498,0.584262,-0.271006
41.1532,1,0.607436,3,7,0,-28.5755,6.70135,0.171195,-0.112353,0.0241266,-0.162948,0.845023,-0.164772,-0.175903,0.095784,-0.0161989,0.0257146,-0.0759032,-0.0138888,0.0452375,0.017619,-0.00413185,0.0400471,0.0270175,0.0435973,-0.00543615,0.00589727,-0.0293853,0.589736,0.0251159,-0.00430289,0.0548917,-0.0482551,1.12913,-0.654398,-2.166,0.559455,-0.364941,0.365015,-0.0696492,0.0275312,0.116231,0.0775811,0.028046,0.161302,0.123304,0.11854,-0.0902174,0.0190769,-0.332009
41.1698,0.993733,0.607436,3,7,0,-33.8845,6.7489,0.167647,-0.10263,0.0212018,-0.140418,0.853917,-0.155405,-0.171465,0.113466,-0.0294677,0.0361259,-0.115843,0.0402916,0.0566659,-0.0178323,0.0147905,0.00503429,0.0215503,0.0300091,-0.0109403,0.0410741,-0.0299283,0.598834,0.0162538,-0.00401299,0.0528508,-0.0539544,1.19173,-0.596211,-2.05291,0.674724,-0.58588,0.48221,-0.10704,0.155693,0.149475,-0.0273979,0.0550579,0.0280318,0.0966581,0.0805673,-0.0812732,0.570744,-0.338144
39.2625,0.955166,0.607436,3,7,0,-29.7288,6.71075,0.166207,-0.110479,0.0306135,-0.16221,0.819981,-0.177154,-0.173125,0.0842015,-0.022324,0.0330766,-0.075265,-0.0101951,0.0549727,0.0315753,0.0042051,0.030164,0.0195726,0.0467187,-0.0105288,0.0112523,-0.0352537,0.599767,0.0186062,-0.00376409,0.0832746,-0.05351,1.09901,-0.709124,-2.2531,0.428333,-0.443888,0.45028,-0.0721793,0.0472042,0.141626,0.103407,0.0298106,0.106907,0.0704226,0.111463,-0.124895,0.08856,-0.398313
39.5172,0.841462,0.607436,3,7,0,-24.715,6.71621,0.148218,-0.11561,0.0259404,-0.145772,0.841166,-0.152097,-0.183474,0.104922,0.0103341,0.0310128,-0.097943,0.0326644,0.041568,0.0109226,-0.0222379,0.0284234,0.0241814,0.0244798,-0.00722548,0.0039969,-0.0399786,0.601777,0.061995,-0.0114846,0.0404417,-0.00100793,1.13987,-0.618437,-2.1267,0.775394,-0.164037,0.418135,-0.101174,0.12056,0.109701,0.0141532,-0.0747966,0.070377,0.0578829,0.00614562,-0.126357,-0.0373451,-0.451697
34.6405,0.648423,0.607436,3,7,0,-21.9427,6.73977,0.192585,-0.0906993,0.0326555,-0.146496,0.848038,-0.17786,-0.182152,0.0959919,-0.0387619,0.0261279,-0.0714518,-0.00870641,0.0695503,-0.0015837,0.0281043,0.0297708,0.0182354,0.0632616,-0.0164711,0.0421875,-0.0123377,0.5928,-0.0615838,0.00884631,0.10868,-0.0266432,1.15374,-0.710819,-2.34669,0.44104,-0.599347,0.411749,-0.0529991,0.0681584,0.179673,0.0695207,0.158535,0.17516,0.143051,0.24846,-0.0688699,0.632329,-0.139397
39.9918,0.994056,0.607436,3,7,0,-25.4267,6.71009,0.154303,-0.122485,0.0157307,-0.165315,0.849868,-0.152792,-0.174423,0.101471,-0.024374,0.0252888,-0.102512,0.0354322,0.0467036,0.0053152,-0.0167898,0.0139873,0.0162588,0.00872893,-0.00708151,-0.0019661,-0.0414588,0.59484,0.0612201,-0.0117127,0.0229054,-0.088575,1.15686,-0.612066,-2.19403,0.662818,-0.459905,0.348325,-0.111265,0.134264,0.124087,-0.0238484,-0.0953996,-0.0141031,-0.00955279,-0.071334,-0.13571,-0.134801,-0.468421
40.0545,0.945714,0.607436,3,7,0,-31.1501,6.73491,0.172948,-0.112639,0.0368723,-0.151778,0.851069,-0.16093,-0.183283,0.0832652,-0.0209508,0.0335088,-0.0703846,-0.00748561,0.0643378,-0.00842048,0.0281657,0.0339785,0.0269245,0.0567353,-0.010952,0.0321692,-0.0283895,0.58573,0.0138074,-0.00300219,0.104935,-0.0148614,1.13982,-0.632766,-2.37023,0.419281,-0.44801,0.46548,-0.058447,0.0647444,0.165686,0.0408837,0.141563,0.16571,0.151689,0.190495,-0.0877891,0.434603,-0.320758
38.6036,0.896703,0.607436,3,7,0,-31.3059,6.71669,0.165234,-0.097664,0.00787017,-0.151699,0.837198,-0.159324,-0.177915,0.122613,-0.0253575,0.0228746,-0.11749,0.0410441,0.0442679,0.0168989,-0.0198095,0.00383675,0.0140025,0.0134611,-0.00767681,0.0122222,-0.0252027,0.606655,0.00483256,-0.00252462,0.00190942,-0.0822145,1.16714,-0.633158,-2.11201,0.79865,-0.488188,0.33509,-0.115308,0.141939,0.118122,0.0220913,-0.076596,-0.00992593,0.0287967,-0.00292598,-0.0853905,0.128994,-0.284752
41.1729,0.99052,0.607436,3,7,0,-28.9554,6.72241,0.170386,-0.10194,0.0194181,-0.148228,0.839462,-0.158324,-0.175863,0.120585,-0.023636,0.0422236,-0.112597,0.0405476,0.0274106,0.00797616,-0.0166785,0.00976497,0.0163765,0.0213893,-0.0135734,0.0211421,-0.0356387,0.606094,0.0246526,-0.00442564,0.0408228,-0.0544064,1.16632,-0.637813,-2.06995,0.757339,-0.52073,0.518507,-0.114357,0.118429,0.0738502,-0.00271322,-0.0738689,-9.85864e-05,0.0231678,0.0027756,-0.130897,0.243076,-0.402663
41.5325,0.855951,0.607436,3,7,0,-30.1607,6.72713,0.166339,-0.108167,0.0317665,-0.155542,0.848872,-0.16138,-0.18401,0.0854604,-0.0200825,0.0181643,-0.0765888,-0.0149439,0.0783319,-0.00062913,0.0256351,0.0294218,0.024811,0.047948,-0.00387794,0.0219658,-0.0221236,0.587986,-0.0077427,-0.000990157,0.0848231,-0.0401802,1.13969,-0.624349,-2.37474,0.469186,-0.402116,0.318046,-0.062136,0.0683323,0.202304,0.0604752,0.136411,0.154745,0.151252,0.174065,-0.0470814,0.289894,-0.249963
46.354,0.913158,0.607436,3,7,0,-32.9763,6.73364,0.168823,-0.105599,0.0193332,-0.157336,0.841575,-0.160772,-0.180272,0.108153,-0.0236729,0.0389789,-0.102794,0.0463418,0.0343075,0.00655267,0.000960941,0.0144931,0.0154981,0.0335795,-0.00927874,0.0294451,-0.0282549,0.600427,0.0201729,-0.00422412,0.0374844,-0.0665089,1.16224,-0.631449,-2.21431,0.624838,-0.504352,0.487161,-0.0954327,0.137925,0.0899096,0.0318456,0.0182599,0.0603505,0.0676978,0.0918542,-0.081622,0.392114,-0.319237
40.865,0.52778,0.607436,3,7,0,-27.1305,6.71678,0.15988,-0.109731,0.0275379,-0.14582,0.825944,-0.166294,-0.1857,0.0951689,-0.0234637,0.00268512,-0.0785018,-0.00697767,0.0697755,0.00819156,0.0218659,0.029166,0.0291618,0.0139767,-0.0134639,0.0162758,-0.0230241,0.602865,0.0196039,-0.00442158,0.0782999,-0.039106,1.11242,-0.656638,-2.3917,0.597591,-0.361107,0.108242,-0.0768158,0.0755091,0.179966,0.0424963,0.0696103,0.0883803,0.0978045,-0.00752554,-0.106646,0.198182,-0.260137
