lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,theta.10,theta.11,theta.12,theta.13,theta.14,theta.15,theta.16,theta.17,theta.18,theta.19,theta.20,theta.21,phi,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,beta.19,beta.20,beta.21
# Adaptation terminated
# Step size = 0.600951
# Diagonal elements of inverse mass matrix:
# 0.000197691, 0.00015007, 0.000137185, 0.000153861, 0.000136679, 0.000153916, 0.000165121, 0.000177654, 0.000147179, 0.000127251, 0.000142302, 0.000148027, 0.000148924, 0.000132624, 0.000144717, 0.000161654, 0.000135543, 0.000125658, 0.000130113, 0.000141092, 0.000119325, 0.000186192, 0.000715687
2470.7,0.627215,0.600951,3,7,0,-2450.74,-1.42977,0.0162872,0.0355741,-0.00916501,0.0473131,-0.0890063,-0.144705,-0.184712,0.0921822,-0.0126382,-0.000757573,-0.0931818,0.0141964,0.0522144,-0.00546304,-0.0167343,0.0336684,0.0375795,0.0351285,-0.00266815,0.0353307,-0.00110496,15.59,0.0756006,-0.00669177,0.031529,-0.0340924,0.135548,-0.560742,-2.28266,0.596969,-0.345316,0.143693,-0.0687731,0.100955,0.144141,0.0470245,0.0508774,0.212771,0.255478,0.180194,0.0230791,0.552681,-0.0124891
2463.07,0.802535,0.600951,3,7,0,-2455.84,-1.4242,0.0194456,0.0341256,-0.00098776,0.0478009,-0.0777878,-0.131871,-0.186121,0.0787724,-0.0107153,0.000368818,-0.0970691,0.0417833,0.0392341,0.00896998,-0.00197734,0.041354,0.0583873,0.0399931,-0.00738951,0.034667,-0.0267991,14.913,0.100153,-0.00821795,0.0533681,-0.0269457,0.131147,-0.46033,-2.39977,0.477005,-0.319866,0.103749,-0.0797747,0.14237,0.112001,0.0818847,0.0727227,0.206249,0.302318,0.13317,-0.0626161,0.477727,-0.302903
2465.81,0.779855,0.600951,3,7,0,-2443.42,-1.43828,0.0363534,0.0335579,0.0367038,0.00601209,-0.0974896,-0.166818,-0.195235,0.115081,-0.0350476,0.0367789,-0.108433,0.00125303,0.0727134,0.0133393,0.00763346,0.00529216,0.00864147,0.0384018,0.0059026,0.0358866,-0.0119053,15.7299,0.0450481,-0.00386133,0.182426,-0.13927,0.158571,-0.67032,-2.44754,0.622267,-0.684189,0.553081,-0.0839265,0.101939,0.199549,0.0873082,0.0897832,0.0939509,0.117264,0.195278,0.0442596,0.534301,-0.134562
2469.86,0.995921,0.600951,3,7,0,-2457.66,-1.41438,0.0185899,0.0238469,-0.0111125,0.0392859,-0.080606,-0.132924,-0.173478,0.109604,-0.00707065,-0.00156449,-0.0842982,0.0309556,0.0459883,0.00906653,0.0122071,0.0352538,0.0349132,0.0314658,0.000317216,0.0330196,-0.00568855,15.424,0.23681,-0.0181699,0.0208743,-0.0333069,0.12521,-0.508307,-1.98732,0.721152,-0.2534,0.0801593,-0.0601174,0.129068,0.128645,0.0999905,0.131198,0.209634,0.234273,0.160209,0.0257184,0.504838,-0.0642961
2468.17,0.559012,0.600951,3,7,0,-2448.05,-1.44202,0.0313205,0.0275833,0.024659,0.0299269,-0.0955312,-0.158906,-0.221556,0.10853,-0.0438056,0.0581558,-0.10194,0.00290194,0.0542241,0.000901016,-0.014654,0.00389042,0.0217172,0.0473652,0.00253951,0.0324488,-0.0350239,15.6054,0.216728,-0.0151513,0.162671,-0.0589046,0.16089,-0.652787,-2.94437,0.540402,-0.821207,0.773502,-0.087908,0.0789691,0.149752,0.024283,-0.00253971,0.0585202,0.136701,0.172278,-0.0313344,0.4222,-0.395866
2468.59,1,0.600951,3,7,0,-2458.55,-1.42531,0.0194357,0.0219517,-0.0125059,0.0404074,-0.0792969,-0.135316,-0.170183,0.11074,0.00243167,0.00145437,-0.0862158,0.033355,0.049511,0.00753854,0.0218929,0.0362291,0.0306531,0.0299621,-0.000645551,0.0323047,-0.00777921,15.5563,0.276598,-0.0210841,0.0129415,-0.0220395,0.125795,-0.521301,-1.88471,0.760289,-0.17448,0.105368,-0.0635067,0.139309,0.138454,0.0964122,0.151491,0.202517,0.203903,0.14587,0.0149159,0.488348,-0.0879262
2460.17,0.489169,0.600951,3,7,0,-2444.44,-1.43053,0.0551406,0.0251929,0.0339021,0.00364304,-0.109374,-0.119949,-0.202251,0.0935073,-0.0206207,0.0265717,-0.0970268,0.018347,0.047131,0.02264,0.0244544,0.031608,0.037905,0.0533377,0.00394071,0.0347871,0.000409704,15.1995,0.17197,-0.0103253,0.154617,-0.129839,0.107207,-0.405809,-2.61578,0.446348,-0.489278,0.387291,-0.0605424,0.104494,0.132875,0.169884,0.205886,0.243593,0.29971,0.279812,0.0612148,0.547939,0.00463077
2459.34,0.972472,0.600951,3,7,0,-2446.17,-1.44225,-0.00139973,0.0171459,-0.0232402,0.0659071,-0.0673866,-0.173777,-0.192589,0.12432,-0.0238731,0.0328355,-0.0912737,0.0175329,0.0619069,-0.0154046,-0.0229672,0.00586235,0.0149892,0.0235579,-0.000314785,0.0289958,-0.0448163,15.9274,0.433574,-0.0334459,0.0177892,0.0434899,0.179685,-0.769691,-2.28881,0.840912,-0.541548,0.502787,-0.0916453,0.119859,0.169325,-0.0573898,-0.0758439,0.00775035,0.0434455,0.0367282,-0.073228,0.343324,-0.506546
2465.65,0.976526,0.600951,3,7,0,-2445.95,-1.42971,0.0401627,0.0420203,0.0272346,0.0194805,-0.0915189,-0.129532,-0.20903,0.0918825,-0.0169443,0.0202232,-0.0903414,0.0141588,0.0508721,0.0198536,0.0127411,0.0192735,0.0503285,0.0617146,0.0126588,0.0230223,0.00266811,15.0848,-0.0839161,0.00630076,0.134503,-0.0820455,0.125263,-0.459936,-2.71108,0.466965,-0.438845,0.337974,-0.0496022,0.0995399,0.142023,0.167497,0.189776,0.228777,0.388265,0.332207,0.0996598,0.368647,0.030157
2472.35,0.973327,0.600951,3,7,0,-2458.35,-1.42318,0.0082893,0.023929,-0.00461709,0.0550912,-0.0788824,-0.151991,-0.190486,0.118819,-0.0135804,0.0343886,-0.0916181,0.0226811,0.047813,-0.0105524,-0.00644455,0.00748017,0.00364838,0.0244389,-0.00976003,0.0393874,-0.0333614,15.3808,0.286634,-0.0218885,0.0614121,0.0306284,0.15308,-0.665365,-2.24223,0.808489,-0.433964,0.489291,-0.0894006,0.111526,0.131855,-0.0342924,-0.0261912,0.0145561,-0.0045347,0.0502529,-0.085192,0.53546,-0.377074
