lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,theta.10,theta.11,theta.12,theta.13,theta.14,theta.15,theta.16,theta.17,theta.18,theta.19,theta.20,theta.21,theta.22,theta.23,theta.24,theta.25,theta.26,theta.27,theta.28,phi,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,beta.19,beta.20,beta.21,beta.22,beta.23,beta.24,beta.25,beta.26,beta.27,beta.28
# Adaptation terminated
# Step size = 0.632323
# Diagonal elements of inverse mass matrix:
# 0.000126952, 0.000103907, 0.00011741, 9.29484e-05, 9.73417e-05, 0.000109878, 0.000101738, 0.000117562, 0.000121189, 0.000135935, 0.000105507, 0.000101946, 0.000106674, 0.000119808, 0.000120781, 9.95418e-05, 8.77515e-05, 9.33335e-05, 0.000100194, 0.000113176, 0.000117185, 0.000118417, 0.000122275, 0.000109287, 0.000118323, 0.000126371, 0.000106681, 0.000101253, 0.000120696, 0.000347078
5434.08,1,0.632323,3,7,0,-5417.31,-1.56155,0.0134839,-0.00488813,-0.102429,0.0509514,0.00829192,-0.00319179,0.126065,-0.109001,-0.167312,-0.04758,0.0211488,-0.126388,-0.045033,-0.0724805,0.102877,0.166102,0.0706129,-0.00996724,0.0125084,0.0714279,-0.0515525,0.00239132,0.0136017,0.0143846,0.00644119,-0.015701,-0.0109302,-0.0204007,8.01306,0.437771,-0.0271364,-0.355225,0.02948,0.0437143,-0.0044694,-0.0696896,0.0758185,-0.62953,-0.482345,-0.182488,-0.0654498,-0.445638,-0.311266,0.886389,0.732203,0.615042,-0.0180846,0.124263,0.197728,-0.14497,-0.0219722,0.00826886,0.0153874,-0.0514972,-0.143817,-0.230337,-0.269446
5434.08,0.869288,0.632323,3,7,0,-5421.11,-1.53959,-0.0134565,-0.00148202,-0.0723284,0.0514388,0.02154,0.00538447,0.127908,-0.134965,-0.143489,-0.0561801,0.0128139,-0.0947313,-0.0409269,-0.0757268,0.113906,0.165865,0.0631673,-0.00863929,0.0211278,0.0787893,-0.0147311,0.00142102,0.0227991,0.00641424,0.0188367,-0.0173583,0.00424622,-0.0356357,7.84516,0.327871,-0.0240491,-0.362091,0.0327292,0.00257394,0.00125409,-0.0760909,-0.0188428,-0.525048,-0.431195,-0.192608,-0.0361018,-0.431541,-0.304024,0.951904,0.757796,0.553333,-0.0167103,0.152918,0.220558,-0.0486858,-0.0188131,0.0463516,-0.0289633,0.000148318,-0.16445,0.00866006,-0.470664
5434.18,0.929214,0.632323,3,7,0,-5421.62,-1.55707,0.0089026,-0.0151499,-0.0794179,0.065884,0.0366569,0.0109261,0.136485,-0.108254,-0.172925,-0.033575,0.0163967,-0.112619,-0.0316512,-0.100801,0.096959,0.154947,0.0653564,-0.0157814,0.0139011,0.0838735,-0.0353805,4.57837e-05,0.0225618,0.0203332,0.0169606,-0.00900402,0.00842085,-0.0308747,7.75217,0.693194,-0.0460771,-0.430627,0.0381259,0.0161764,0.00193057,-0.0353284,0.0819779,-0.620947,-0.416917,-0.175678,-0.0520195,-0.353535,-0.579496,0.814006,0.682941,0.574865,-0.0150279,0.14479,0.232665,-0.0807375,0.00696095,0.0809409,0.0847679,0.0242784,-0.100493,0.0910108,-0.407782
5431.4,0.66134,0.632323,3,7,0,-5418.17,-1.55753,0.0153928,-0.0109353,-0.0765528,0.0647374,0.0361774,-0.00915648,0.125104,-0.125054,-0.161048,-0.0375439,0.0114985,-0.115288,-0.0222433,-0.103808,0.101157,0.158355,0.0633566,-0.0119843,0.00475575,0.0811368,-0.0333475,0.00255894,0.0304471,0.0241216,0.0220985,-0.00403353,0.0119568,-0.0285424,7.67601,0.616462,-0.0396886,-0.475548,0.0418982,0.0846347,-0.00580667,-0.0702451,0.0310984,-0.597406,-0.439934,-0.194035,-0.0570175,-0.30941,-0.588689,0.83898,0.711431,0.559797,-0.00529163,0.122475,0.224852,-0.0542299,0.0435781,0.140658,0.134118,0.0719333,-0.0621859,0.157609,-0.376978
5432.38,0.789682,0.632323,3,7,0,-5416.44,-1.56182,-0.00567033,0.000222216,-0.0968563,0.0317752,0.0143888,0.0171152,0.143537,-0.116897,-0.16383,-0.0522245,0.0213228,-0.108461,-0.0583453,-0.0640556,0.128663,0.163823,0.0797676,-0.0133355,0.0263871,0.0647259,-0.0358707,-0.00162474,0.0189108,0.00243681,0.0116106,-0.0162484,-0.0162516,-0.00862637,7.81228,0.118728,-0.0081896,-0.132804,0.00915702,-0.0346622,0.00468102,-0.0317423,0.0508766,-0.583047,-0.46128,-0.18621,-0.035558,-0.544627,-0.179506,1.05041,0.703743,0.68946,-0.0181221,0.143561,0.17979,-0.101926,-0.0256031,0.0381658,-0.0382666,-0.0119253,-0.132086,-0.302203,-0.113934
5433.26,0.893327,0.632323,3,7,0,-5419.51,-1.56103,0.0124522,-0.0181646,-0.0878052,0.0583769,0.0375912,-0.0134719,0.12454,-0.124619,-0.160298,-0.0475355,0.0132044,-0.11352,-0.0328802,-0.100175,0.10597,0.161199,0.0659914,-0.0142743,-0.00146942,0.0853821,-0.0187604,0.00489106,0.0343154,0.0233375,0.0162673,-0.0117379,0.0069147,-0.0378321,8.09784,0.703025,-0.045828,-0.442562,0.0375403,0.10043,-0.00747348,-0.0787638,0.0298631,-0.595873,-0.464244,-0.192349,-0.0553323,-0.364803,-0.541793,0.880409,0.726835,0.574376,-0.0157531,0.116594,0.238717,-0.0366515,0.0205286,0.116869,0.0832195,0.000617938,-0.131132,0.0515782,-0.499673
5428.86,0.663713,0.632323,3,7,0,-5414.63,-1.53466,-0.00464976,0.00486273,-0.0851256,0.0362842,0.00846504,0.0212605,0.143203,-0.124132,-0.157217,-0.0415447,0.0194919,-0.10935,-0.0424239,-0.0676877,0.125044,0.161035,0.0760604,-0.0110608,0.031755,0.0638365,-0.0423818,0.00639155,0.0155489,-0.00256506,0.00621917,-0.00862893,-0.00608141,0.000106191,7.53988,0.0798579,-0.00585068,-0.16539,0.0137562,-0.0590562,0.00668983,-0.0257656,0.035461,-0.564608,-0.438485,-0.187852,-0.0387378,-0.464878,-0.220769,1.02152,0.695977,0.661232,-0.00969671,0.153086,0.175992,-0.101196,0.0187268,0.0491137,-0.0342441,0.00405289,-0.0590856,-0.1069,0.00140254
5431.79,0.954385,0.632323,3,7,0,-5416.84,-1.5568,0.0187517,-0.0251069,-0.0832336,0.0523357,0.0397031,-0.00810194,0.121466,-0.116701,-0.164183,-0.0480297,0.0163905,-0.106861,-0.0411843,-0.0859058,0.105926,0.165883,0.0727174,-0.0181674,0.00210678,0.0788553,-0.0195769,0.00179378,0.0398719,0.0271924,0.0194664,-0.026083,0.00586945,-0.0427185,8.07376,0.773081,-0.0504329,-0.373567,0.0314175,0.0916454,-0.00624264,-0.0750274,0.0585784,-0.587231,-0.43647,-0.190185,-0.0473717,-0.404366,-0.410807,0.874804,0.737786,0.624995,-0.0260766,0.114625,0.221359,-0.0547598,-0.0114614,0.109167,0.066131,-0.0295253,-0.228493,0.0241046,-0.564211
5428.96,0.722638,0.632323,3,7,0,-5414.8,-1.56448,0.0197661,-0.0147866,-0.0848394,0.0545126,0.0251049,-0.00733988,0.120762,-0.113411,-0.170005,-0.0445397,0.033791,-0.101345,-0.0397359,-0.0883239,0.117702,0.169547,0.072517,-0.0138987,-0.00192389,0.0736339,-0.00584791,-0.00462152,0.0408446,0.0219463,0.0106132,-0.027316,0.0141544,-0.0394737,7.89686,0.69655,-0.0456846,-0.385547,0.0340297,0.0733428,-0.00590327,-0.0963609,0.10487,-0.587708,-0.435119,-0.135225,-0.0412738,-0.425341,-0.401487,0.967901,0.76411,0.621679,-0.0238131,0.0992521,0.207109,-0.0289209,-0.038053,0.106467,0.0314199,-0.0661082,-0.221296,0.176027,-0.521356
5428.54,0.954976,0.632323,3,7,0,-5415.49,-1.54558,-0.0150563,-0.00672889,-0.0905065,0.0417417,0.0242935,0.0155341,0.138934,-0.131709,-0.149405,-0.0446238,-0.00190627,-0.120905,-0.0443216,-0.0717663,0.110521,0.152212,0.0691249,-0.0159103,0.0308656,0.0740204,-0.0488818,0.0112186,0.0131556,-0.00014578,0.0086899,0.00356018,-0.0177216,-0.00251004,7.75403,0.24336,-0.017129,-0.234598,0.0182811,-0.0260214,0.00476547,-0.019061,-0.0362485,-0.572092,-0.447649,-0.247608,-0.0523286,-0.433125,-0.301187,0.912164,0.659577,0.605139,-0.00976424,0.165932,0.204038,-0.104435,0.0490986,0.0578274,0.000376821,0.0336896,-0.00191897,-0.316744,-0.0331518
