# stan_version_major = 2
# stan_version_minor = 25
# stan_version_patch = 0
# model = sl_beta_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 2
# data
#   file = data/cleaned/tmp/sl_beta_sens_pdw2_download.R.data
# init = 2 (Default)
# random
#   seed = 100605
# output
#   file = output/sl_beta_sens_pdw2_download_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
# stanc_version = stanc3 82a27ba
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,theta.10,theta.11,theta.12,theta.13,theta.14,theta.15,theta.16,theta.17,theta.18,theta.19,theta.20,theta.21,theta.22,theta.23,theta.24,phi,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,beta.19,beta.20,beta.21,beta.22,beta.23,beta.24
# Adaptation terminated
# Step size = 0.537863
# Diagonal elements of inverse mass matrix:
# 0.000136811, 0.000101926, 0.000118629, 0.000105387, 0.000108347, 0.000115668, 0.000100791, 0.00011051, 9.33195e-05, 0.000114248, 0.000108501, 0.000112979, 9.3955e-05, 9.93022e-05, 0.000117565, 0.000111064, 0.000118321, 0.000104255, 0.0001004, 0.000111854, 0.000106875, 9.75822e-05, 0.000101236, 0.000107348, 0.0001067, 0.000299791
5424.31,0.948918,0.537863,3,7,0,-5415.07,-1.55713,0.00174831,-0.0087631,0.132298,-0.0868568,-0.187421,-0.0564671,0.04588,-0.142889,-0.0382273,-0.0918086,0.146082,0.156303,0.0778069,-0.0182983,0.0150439,0.0939508,-0.0314833,0.00340668,0.0405211,0.00824047,0.0151523,-0.0219382,0.00166251,-0.0258651,7.84876,0.306224,-0.0228834,-0.0840289,0.117498,-0.652794,-0.565169,-0.134965,-0.0557753,-0.429722,-0.384078,1.1602,0.66331,0.675355,-0.0237405,0.160338,0.261071,-0.0802548,-0.00121173,0.119214,-0.0210958,-0.016858,-0.176462,-0.0187506,-0.341436
5425.7,0.914697,0.537863,3,7,0,-5409.4,-1.53553,0.0125799,0.00417021,0.143897,-0.122472,-0.158506,-0.0623739,0.00584141,-0.131382,-0.0622935,-0.0819825,0.120973,0.16652,0.0601356,-0.0179711,0.0186163,0.0684843,-0.0387178,0.0046159,0.0204941,0.0255071,0.0238529,0.000957537,-0.00150839,-0.00939351,7.75889,-0.0590922,0.00350254,-0.0529,-0.0600527,-0.561475,-0.445274,-0.243924,-0.0480158,-0.469459,-0.353149,0.978274,0.762225,0.524416,-0.00482326,0.13221,0.188658,-0.0579519,0.0635085,0.123969,0.17339,0.111639,-0.012411,-0.0439358,-0.124
5425.79,0.997324,0.537863,3,7,0,-5414.66,-1.55467,-0.00559513,-0.0250033,0.124311,-0.0731957,-0.180666,-0.0473499,0.0410095,-0.126212,-0.0475818,-0.0790103,0.125026,0.154221,0.0882,-0.0225418,0.0184427,0.0760819,-0.0202797,0.00613927,0.0349237,0.00152139,0.00268665,-0.013917,0.00184829,-0.0324711,7.74953,0.552771,-0.0402798,-0.0557975,0.152386,-0.607712,-0.480372,-0.139492,-0.0442797,-0.432406,-0.317965,0.976084,0.634819,0.745592,-0.0297478,0.143356,0.21202,-0.0610212,-0.00647589,0.0839085,-0.0684485,-0.0723626,-0.139583,-0.0277376,-0.42864
5428.69,0.859481,0.537863,3,7,0,-5414.68,-1.54471,0.0156059,0.004726,0.1416,-0.118751,-0.158587,-0.0564424,0.011061,-0.131039,-0.0617954,-0.0805088,0.121229,0.169176,0.0571904,-0.0221646,0.0146525,0.0714848,-0.0264586,0.00330226,0.0205128,0.0252471,0.0241421,-8.1926e-06,0.00068356,-0.0102033,7.88362,-0.0321174,0.00177149,-0.0563872,-0.0401531,-0.549859,-0.414627,-0.229389,-0.048308,-0.455955,-0.335931,0.977792,0.786585,0.499057,-0.00820637,0.128566,0.197898,-0.0291347,0.0581374,0.122771,0.170502,0.111446,-0.0174225,-0.00690929,-0.13469
5430.66,0.906127,0.537863,3,7,0,-5420.14,-1.54905,-0.00150915,-0.0264337,0.135124,-0.0942103,-0.176851,-0.0479515,0.0312032,-0.126493,-0.0522825,-0.0859938,0.123838,0.161706,0.087894,-0.0290834,0.0155727,0.0772243,-0.0131702,0.00379201,0.0375678,0.0128105,0.00702554,-0.0235382,0.00567535,-0.0246292,7.69159,0.546922,-0.0396794,-0.0463702,0.0943552,-0.593752,-0.458771,-0.176391,-0.0419265,-0.439155,-0.377458,0.961003,0.677921,0.74317,-0.0330083,0.139251,0.216088,-0.0395312,-0.00670267,0.101329,-0.00319899,-0.0580285,-0.179808,0.0540763,-0.325121
5427.89,0.864094,0.537863,3,7,0,-5420.18,-1.56368,-0.000255469,-0.00253595,0.147686,-0.102334,-0.165313,-0.0632946,0.0275767,-0.13826,-0.0490594,-0.0850711,0.119419,0.155475,0.0666287,0.000145897,0.0189812,0.0745894,-0.0476223,0.00633091,0.019569,0.00614351,0.0193407,0.00688579,-0.00983709,-0.0159792,7.84904,0.0273157,-0.0032952,-0.0504135,0.0297142,-0.617091,-0.541792,-0.166725,-0.0631255,-0.452367,-0.387352,0.977966,0.684046,0.5845,0.00393412,0.140887,0.204574,-0.0924267,0.0494721,0.0981974,0.048041,0.0846191,0.00314153,-0.202546,-0.210936
5433.18,1,0.537863,3,7,0,-5422.5,-1.54153,0.0160122,-0.0100201,0.129901,-0.0905086,-0.17179,-0.0602027,0.0193848,-0.124049,-0.0488699,-0.086425,0.121016,0.164466,0.0835539,-0.0256954,0.0137578,0.0747718,-0.0324141,0.0138191,0.0225621,0.0099147,0.0194729,-0.0116825,0.00976766,-0.0279797,7.65023,0.30702,-0.0213903,-0.0525629,0.0680771,-0.586491,-0.479026,-0.210312,-0.0397861,-0.420546,-0.384133,0.953545,0.695835,0.713881,-0.0234743,0.130884,0.207397,-0.0685868,0.0453214,0.0740078,0.0240377,0.0366587,-0.110021,0.119793,-0.36935
5430.39,0.695884,0.537863,3,7,0,-5419.1,-1.56317,0.00124861,-0.0022659,0.147814,-0.112738,-0.166356,-0.0505214,0.0234575,-0.136561,-0.0635919,-0.0849528,0.12407,0.154271,0.0680485,-0.0188297,0.0150677,0.0747872,-0.02381,-0.007162,0.0365304,0.020289,0.00746704,-0.000966764,-0.00799892,-0.0137344,8.17734,0.0638587,-0.00615927,-0.0407505,0.00175171,-0.584449,-0.457577,-0.18573,-0.0525288,-0.486952,-0.382507,0.984865,0.68165,0.585396,-0.0129719,0.134857,0.207245,-0.0412162,0.00530008,0.154285,0.102834,0.00712776,-0.038369,-0.166072,-0.181304
5430.46,0.965039,0.537863,3,7,0,-5422.6,-1.55693,0.00746656,-0.00601979,0.125736,-0.0852811,-0.186517,-0.0620368,0.0138293,-0.128928,-0.0538733,-0.0879222,0.125061,0.16382,0.077594,-0.0278019,0.019428,0.0768698,-0.043133,0.0154332,0.0189378,0.0123618,0.0276185,-0.00203292,0.00710801,-0.0233873,7.7656,0.263053,-0.0192215,-0.0654024,0.0645389,-0.626393,-0.472444,-0.229413,-0.0390219,-0.436924,-0.393198,0.984719,0.701319,0.66973,-0.017301,0.144943,0.212064,-0.0757453,0.0781142,0.0944474,0.078283,0.109381,-0.0464003,0.0815618,-0.308727
5430.84,0.910305,0.537863,3,7,0,-5421.92,-1.55481,0.00240221,-0.00998174,0.142071,-0.112242,-0.152419,-0.0442505,0.0293878,-0.135965,-0.0554595,-0.0799914,0.119409,0.162518,0.0727025,-0.0155111,0.0102517,0.0707559,-0.0127739,-0.00319316,0.0399462,0.0162148,0.00167811,-0.015209,-0.00656456,-0.0210185,7.89384,0.178833,-0.0138257,-0.0388514,0.0340827,-0.551144,-0.455916,-0.173297,-0.0607216,-0.455727,-0.337544,0.9571,0.723455,0.616988,-0.0207274,0.119995,0.197865,-0.0365963,-0.0198109,0.120565,0.0255423,-0.0705226,-0.135722,-0.15437,-0.277458
5422.76,0.724096,0.537863,3,7,0,-5415.14,-1.55356,0.00537736,-0.0102292,0.139864,-0.0982184,-0.173983,-0.0613945,0.0314421,-0.115397,-0.0516587,-0.0989363,0.099018,0.15823,0.0728793,-0.0393811,0.0110323,0.0618795,-0.0512584,-0.00806952,0.0362103,0.0120968,0.0195347,0.00092815,0.0120651,-0.0415398,7.8953,0.274362,-0.019471,-0.0822576,0.0321852,-0.56353,-0.424277,-0.152732,-0.0295286,-0.37187,-0.57087,0.782022,0.680849,0.625506,-0.0320864,0.107033,0.169215,-0.113969,-0.00431381,0.144914,0.0501969,0.049825,-0.0556068,0.135025,-0.548353
