lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,theta.10,theta.11,theta.12,theta.13,theta.14,theta.15,theta.16,theta.17,theta.18,theta.19,theta.20,theta.21,sigma,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,beta.19,beta.20,beta.21
# Adaptation terminated
# Step size = 0.562885
# Diagonal elements of inverse mass matrix:
# 0.000147605, 0.000130527, 0.000148545, 0.000154314, 0.000151027, 0.000139874, 0.000153675, 0.000148763, 0.000124332, 0.000121542, 0.000152069, 0.000142715, 0.000151744, 0.000174216, 0.000173433, 0.000160349, 0.000158788, 0.000125449, 0.000152043, 0.000168231, 0.000136373, 0.000161447, 0.000192753
45.1717,0.975304,0.562885,3,7,0,-34.9546,6.72756,0.155209,-0.138258,0.031681,-0.131425,0.862279,-0.1748,-0.164047,0.0935526,0.00328886,0.03218,-0.0993566,0.0045756,0.0853652,0.000985802,-0.0032302,0.0277451,0.0312121,0.0433347,0.0152602,0.0236752,-0.0382766,0.600258,-0.00164183,-0.00449985,0.0690853,-0.037934,1.18127,-0.691266,-1.93656,0.609263,-0.322747,0.515925,-0.0804284,0.121842,0.228373,0.0550423,0.0629301,0.162775,0.19834,0.174905,0.0210824,0.277367,-0.432356
48.1608,0.943701,0.562885,3,7,0,-35.9712,6.73184,0.1492,-0.121228,0.0395721,-0.141288,0.846162,-0.147412,-0.178027,0.0994278,-0.0449401,0.0264927,-0.0923618,0.00999317,0.0552335,0.0125731,0.0180598,0.010895,-0.00264223,0.0247731,-0.0336449,0.0123894,-0.0167753,0.590948,-0.180539,0.012923,0.124743,-0.0740362,1.14734,-0.609081,-2.37337,0.521441,-0.663304,0.376396,-0.0959281,0.0930916,0.150558,0.0120726,0.00282033,-0.025334,-0.0917421,-0.00708911,-0.204682,0.153219,-0.189487
41.6597,0.755448,0.562885,3,7,0,-32.7269,6.71176,0.146841,-0.131464,0.0195722,-0.127987,0.86833,-0.165205,-0.163442,0.0717599,-0.0319282,0.0380001,-0.097596,0.0256302,0.0385119,-0.00313672,0.0255152,0.0176449,0.00438279,0.0180416,-0.03664,0.00175789,-0.0242848,0.592059,-0.100919,0.00448878,0.0574425,-0.0315318,1.16839,-0.667877,-2.26573,0.360196,-0.560795,0.448426,-0.107655,0.103691,0.105658,-0.0385879,0.00321453,-0.0321971,-0.0978388,-0.0717358,-0.25008,-0.0325717,-0.274311
41.9571,0.992025,0.562885,3,7,0,-30.1578,6.73988,0.159069,-0.131859,0.0310665,-0.150876,0.834111,-0.14836,-0.180937,0.118959,-0.00312906,0.0185732,-0.0860456,0.00396721,0.0820654,0.0115284,-0.0114703,0.024269,0.0407432,0.0502949,0.0124567,0.0456505,-0.0280573,0.594472,-0.0467472,0.000954881,0.0628356,-0.0873793,1.14342,-0.597937,-2.06146,0.777668,-0.340878,0.388954,-0.0596647,0.115663,0.21999,0.100648,0.0730897,0.193441,0.287948,0.24241,0.054549,0.648249,-0.316923
43.0529,0.932761,0.562885,3,7,0,-27.4693,6.71573,0.154161,-0.115402,0.0293253,-0.131154,0.852185,-0.164452,-0.181295,0.0917339,-0.0403088,0.00700739,-0.0958831,0.0307302,0.0283016,0.00666374,0.0219487,0.0375591,0.00830456,0.0216554,-0.0227733,0.00515342,-0.0143353,0.603515,-0.181372,0.0146974,0.0886208,-0.0648057,1.1601,-0.630655,-2.43712,0.484439,-0.536537,0.11553,-0.0934488,0.100251,0.0762248,0.0287339,0.0559022,0.0987001,-0.0145368,0.00669793,-0.149063,0.0454894,-0.161926
42.733,0.924583,0.562885,3,7,0,-32.3668,6.74036,0.152317,-0.14437,0.0259073,-0.150464,0.84262,-0.148328,-0.167257,0.104379,-0.0145138,0.0476316,-0.0902254,-0.000490533,0.0913844,0.00192145,-0.0082271,0.00432976,0.0355366,0.049457,-0.00220585,0.0443518,-0.03794,0.587048,0.0204522,-0.00774483,0.0577385,-0.0836986,1.15265,-0.621277,-2.00816,0.619161,-0.544101,0.704916,-0.075649,0.119018,0.247081,0.0350189,0.0213878,0.0650089,0.201757,0.176223,-0.0481889,0.603324,-0.428554
47.6119,0.980336,0.562885,3,7,0,-33.5527,6.71448,0.165575,-0.136863,0.0163121,-0.154325,0.867298,-0.16416,-0.168394,0.086715,-0.0408738,0.0139421,-0.0785598,0.0151542,0.0659302,0.000314745,0.00850833,0.0303604,0.00758087,0.0282137,-0.0244669,0.00490762,-0.0253186,0.587028,-0.107491,0.00584953,0.0460491,-0.0993856,1.16358,-0.678025,-2.26353,0.457642,-0.585493,0.266664,-0.0824007,0.118349,0.178841,-0.00808098,-0.00200727,0.056901,-0.0359734,0.0071324,-0.183598,0.0143919,-0.285988
51.4253,0.912198,0.562885,3,7,0,-39.0129,6.73494,0.143363,-0.13604,0.0383432,-0.132556,0.844426,-0.149384,-0.178874,0.087177,-0.0113835,0.0394074,-0.084845,0.00427052,0.0596695,0.00164791,0.0171866,0.0223033,0.0349608,0.0476607,-0.00309841,0.0352646,-0.0293481,0.591926,-0.0420721,-0.00123511,0.0991104,-0.0287545,1.14137,-0.586497,-2.2834,0.478455,-0.43333,0.536022,-0.0677156,0.0866189,0.159995,0.0604091,0.111178,0.133675,0.202355,0.174347,-0.0436474,0.481738,-0.331504
49.0807,0.883807,0.562885,3,7,0,-43.0739,6.72046,0.166173,-0.131668,0.03879,-0.140046,0.843262,-0.14755,-0.169509,0.104478,-0.0186369,0.0321677,-0.0788836,-0.00199086,0.0627913,-0.00677305,0.0111559,0.0488862,0.0366007,0.0460713,-0.0169199,0.024111,-0.0183081,0.591559,-0.0842292,0.0049336,0.108666,-0.0550186,1.14143,-0.592306,-2.0293,0.59521,-0.468831,0.470716,-0.0658282,0.0786297,0.169481,0.035026,0.0918556,0.209165,0.182902,0.140735,-0.105162,0.33373,-0.206801
50.9645,0.808539,0.562885,3,7,0,-38.9768,6.71789,0.152236,-0.134109,0.0397371,-0.135883,0.841694,-0.142304,-0.16708,0.104153,-0.018049,0.0336603,-0.0795945,0.0022084,0.0816114,-0.00359229,0.0148492,0.0269528,0.0292864,0.0429547,-0.0126176,0.0245688,-0.0164707,0.588539,-0.0761272,0.00215094,0.110466,-0.0456587,1.13818,-0.583791,-2.01189,0.603259,-0.481879,0.508955,-0.0653248,0.112085,0.220224,0.0363352,0.0916277,0.132985,0.157914,0.143397,-0.0773635,0.345486,-0.186046
