# stan_version_major = 2
# stan_version_minor = 25
# stan_version_patch = 0
# model = sl_normal_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 3
# data
#   file = data/cleaned/tmp/sl_normal_sens_pdw2_all.R.data
# init = 2 (Default)
# random
#   seed = 100605
# output
#   file = output/sl_normal_sens_pdw2_all_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
# stanc_version = stanc3 82a27ba
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,theta.10,theta.11,theta.12,theta.13,theta.14,theta.15,theta.16,theta.17,theta.18,theta.19,theta.20,theta.21,theta.22,theta.23,theta.24,theta.25,theta.26,theta.27,theta.28,sigma,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,beta.19,beta.20,beta.21,beta.22,beta.23,beta.24,beta.25,beta.26,beta.27,beta.28
# Adaptation terminated
# Step size = 0.57057
# Diagonal elements of inverse mass matrix:
# 0.000179831, 0.00016371, 0.000179879, 0.000153775, 0.000177023, 0.000166484, 0.000174019, 0.000149014, 0.000135243, 0.000166419, 0.000155462, 0.000154854, 0.000161947, 0.000179159, 0.00013971, 0.000165826, 0.000163574, 0.0001461, 0.000153911, 0.000159958, 0.000173079, 0.000164643, 0.000157888, 0.000180829, 0.000133482, 0.000172612, 0.000168156, 0.000168643, 0.000149063, 8.48295e-05
-2998.13,0.763583,0.57057,3,7,0,3011.92,5.8854,0.0341727,0.0147215,-0.0671276,0.0467293,-0.0958371,-0.0278976,0.373906,0.242119,-0.611369,-0.842717,-0.0918749,0.83999,-0.0553726,-0.110085,0.14783,0.221592,0.10919,-0.00691907,-0.0095529,0.0938403,-0.0244394,0.00138345,0.00893765,0.0366362,0.0141032,-0.0188504,0.00112034,-0.00700093,0.987509,0.656699,-0.0459133,-0.385342,0.0368526,0.0298971,-0.00275673,-0.0668873,0.126435,-0.784913,-0.57871,-0.19296,0.946232,-0.590559,-0.483523,1.21977,0.953179,0.943732,-0.00499045,0.110826,0.261805,-0.0548679,0.00976105,0.0338013,0.183425,0.0142641,-0.126262,0.00674029,-0.0924659
-3001.78,0.724854,0.57057,3,7,0,3017.29,5.87333,0.0286814,0.0113986,-0.112049,0.0569222,-0.101422,-0.0159872,0.368389,0.227941,-0.606669,-0.855104,-0.0968931,0.823472,-0.0037597,-0.10151,0.186513,0.216108,0.0863372,-0.0119446,0.0206102,0.0944087,-0.0474108,0.0145189,0.0305004,0.0124674,-0.00638246,-0.0231211,-0.0237466,-0.0389772,0.967721,0.828042,-0.0555765,-0.522335,0.0453281,-0.00863679,0.000927362,-0.100965,0.0525484,-0.807564,-0.718798,-0.229078,0.928888,-0.404182,-0.35852,1.57273,0.979554,0.739753,-0.0322237,0.174799,0.264057,-0.153558,-0.0244841,0.0137276,-0.0722458,-0.181751,-0.235894,-0.490507,-0.514798
-3003.21,0.943606,0.57057,3,7,0,3016.66,5.88127,0.0230751,-0.00173216,-0.104754,0.0774257,-0.119479,-0.0189045,0.381441,0.237293,-0.600426,-0.841698,-0.0858784,0.819139,-0.0264669,-0.104503,0.186091,0.206171,0.094457,0.00164156,0.00946495,0.0864622,-0.0172328,0.00588894,0.0342034,0.0227797,0.000749872,-0.00895167,0.00352835,-0.0194923,0.959272,1.21174,-0.084832,-0.64203,0.0611263,-0.0294735,0.00112313,-0.0517994,0.102858,-0.793047,-0.689278,-0.178542,0.924828,-0.511357,-0.364713,1.51127,0.915127,0.813568,0.000566447,0.141123,0.241443,-0.0293196,0.0289515,0.123413,0.0899182,-0.0477726,-0.0853294,0.0259703,-0.257447
-2998.79,1,0.57057,3,7,0,3011.96,5.8693,0.0589316,0.0310453,-0.0885293,0.0361467,-0.0721761,-0.0228721,0.385072,0.244801,-0.620124,-0.86085,-0.10155,0.822554,-0.0504868,-0.0843535,0.138639,0.229894,0.099655,-0.0234894,0.0123428,0.0962014,-0.0368546,0.0105514,0.0172375,0.015231,0.00395181,-0.0188989,-0.0265932,-0.0217355,0.989701,0.267351,-0.0149179,-0.290017,0.0232076,0.0547153,-0.00248915,-0.0588366,0.0913277,-0.839713,-0.625673,-0.246439,0.926434,-0.526129,-0.292838,1.17544,1.02243,0.852506,-0.0329762,0.159912,0.269118,-0.113704,-0.0118183,0.000365844,-0.00726768,-0.0909128,-0.182683,-0.508647,-0.287075
-2998.32,0.8032,0.57057,3,7,0,3015.47,5.89119,0.0228858,0.0044423,-0.0797708,0.0540235,-0.118167,-0.0200265,0.373235,0.229504,-0.594747,-0.836074,-0.0851639,0.830368,-0.0505659,-0.111449,0.184324,0.219108,0.105646,-0.00328657,0.0137752,0.091856,-0.0404949,0.00306083,0.036881,0.022406,0.0097303,-0.0190841,-0.00866872,-0.0289064,0.956265,0.888845,-0.0641817,-0.435485,0.0435885,-0.0281524,0.000642013,-0.067871,0.103838,-0.74346,-0.621028,-0.186157,0.945335,-0.632321,-0.430011,1.50843,0.951338,0.911136,-0.0115322,0.156538,0.256008,-0.10532,-0.00542364,0.102017,0.0491033,-0.0545781,-0.177075,-0.206293,-0.381787
-2998.7,0.800471,0.57057,3,7,0,3014.56,5.86378,0.0593255,0.0233293,-0.0958647,0.0452138,-0.0612281,-0.0227495,0.388851,0.247022,-0.621894,-0.86613,-0.091705,0.824129,-0.030085,-0.0900462,0.137082,0.221644,0.0943148,-0.0202352,0.0126482,0.0881558,-0.0251129,0.00267239,0.0150995,0.0113469,0.00238112,-0.0208166,-0.0111311,-0.018754,0.987984,0.454626,-0.0260445,-0.385627,0.0302639,0.0678341,-0.00235567,-0.0736352,0.0990643,-0.856947,-0.674488,-0.203067,0.922342,-0.43352,-0.350276,1.15618,0.991323,0.808741,-0.0291206,0.148865,0.246523,-0.0877164,-0.0340375,-0.0018378,-0.0193266,-0.0840964,-0.172352,-0.23082,-0.247697
