lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,theta.10,theta.11,theta.12,theta.13,theta.14,theta.15,theta.16,theta.17,theta.18,theta.19,theta.20,theta.21,theta.22,theta.23,theta.24,phi,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,beta.19,beta.20,beta.21,beta.22,beta.23,beta.24
# Adaptation terminated
# Step size = 0.55095
# Diagonal elements of inverse mass matrix:
# 0.000118765, 0.000107927, 0.000109217, 0.000101531, 0.000111404, 0.000104733, 9.33346e-05, 0.000115201, 9.40709e-05, 0.000106618, 0.000133807, 0.000128558, 0.000105214, 0.000113887, 9.92029e-05, 0.000107056, 0.000129219, 0.000105502, 0.00011228, 8.86253e-05, 0.000103656, 0.000100303, 0.000114427, 9.44202e-05, 0.000109594, 0.000268339
5423.32,0.787947,0.55095,3,7,0,-5412.36,-1.55611,-0.0426761,0.0343333,0.131204,-0.113304,-0.162563,-0.0572141,0.0289214,-0.131773,-0.0614743,-0.0968965,0.131407,0.167458,0.0849454,-0.0338318,0.0203343,0.0737118,-0.00908616,-0.0184751,0.0187738,0.0192571,0.00777956,-0.00682968,-0.00496605,-0.0224811,8.12112,-0.0325573,0.00307623,-0.0817042,0.0360496,-0.575926,-0.507228,-0.188402,-0.041377,-0.474561,-0.460742,1.03187,0.714846,0.725387,-0.0324428,0.139235,0.199913,-0.0347586,-0.0642333,0.0564531,0.0718265,-0.0175911,-0.0860169,-0.128817,-0.29666
5422.75,0.971206,0.55095,3,7,0,-5414.33,-1.55599,-0.00873929,0.0303332,0.140151,-0.0941215,-0.174155,-0.0543895,0.0161152,-0.123518,-0.0394956,-0.0729256,0.110888,0.156941,0.0644968,-0.00391887,0.00345078,0.0636881,-0.0482406,0.018076,0.0340077,0.0150233,0.0172374,-0.0065653,-0.0169292,-0.0183206,7.64729,-0.00348892,0.0028663,-0.0228782,0.0688452,-0.624831,-0.473822,-0.19587,-0.0600798,-0.370383,-0.289359,0.911274,0.70935,0.564533,-0.00377095,0.0905481,0.170537,-0.0974834,0.0693966,0.126577,0.0555222,0.0282101,-0.0894114,-0.331376,-0.241758
5431.83,0.919248,0.55095,3,7,0,-5416.67,-1.55927,-0.0286516,0.0271976,0.142415,-0.0991507,-0.168405,-0.0507798,0.023925,-0.12384,-0.059656,-0.073511,0.118102,0.167118,0.0893408,-0.0145039,0.0124743,0.084421,-0.0328686,0.00205366,0.0241796,0.0196533,0.0104071,-0.00563045,0.00738833,-0.0227688,7.78403,-0.00907713,0.00130887,-0.0142414,0.0859387,-0.587613,-0.458186,-0.196478,-0.0440432,-0.482209,-0.26004,0.941562,0.698837,0.776469,-0.0114912,0.136713,0.227406,-0.0694116,0.0186206,0.0946356,0.0911065,0.0107549,-0.0665525,0.0877734,-0.300456
5432.14,0.740964,0.55095,3,7,0,-5420.64,-1.54519,-0.0194811,0.0300399,0.126442,-0.111703,-0.165609,-0.0552058,0.0203634,-0.132602,-0.0543296,-0.0933627,0.125325,0.153454,0.0542521,-0.021659,0.0182006,0.0604936,-0.0327792,0.00199818,0.0282894,0.00612361,0.0204762,-0.00599061,-0.00315657,-0.02278,7.78679,-0.00320073,0.00207347,-0.0895776,0.00291199,-0.595589,-0.475723,-0.182708,-0.0540614,-0.424763,-0.455763,1.00894,0.711573,0.476364,-0.0185568,0.116358,0.162703,-0.0704934,0.0158967,0.105779,0.0130403,0.0528049,-0.0796197,-0.0975689,-0.300604
5425.11,0.574531,0.55095,3,7,0,-5414.36,-1.56109,-0.0296767,0.0289821,0.147124,-0.0966578,-0.164223,-0.0507138,-0.00121909,-0.128281,-0.0590741,-0.0881476,0.114242,0.16493,0.0949583,-0.00409859,0.012931,0.0694806,-0.031058,0.0102164,0.0385967,0.0274849,0.0194022,-0.0138537,0.0118006,-0.031566,7.8682,-0.0190158,0.00244581,0.0415756,0.0836906,-0.613022,-0.491606,-0.269266,-0.0547456,-0.479134,-0.391854,0.890137,0.682377,0.816646,-0.00372482,0.116739,0.185894,-0.056265,0.0488494,0.147527,0.120914,0.0270388,-0.127123,0.14906,-0.416543
5424.36,0.910226,0.55095,3,7,0,-5413.55,-1.55069,-0.0257613,0.0261532,0.130003,-0.113138,-0.174068,-0.0541779,0.0482054,-0.124623,-0.0544048,-0.0780511,0.130831,0.158204,0.0488398,-0.0403542,0.0207994,0.0750037,-0.0237701,-0.00576906,0.0187255,-0.00227482,0.00710432,-0.00183521,-0.00883262,-0.0113893,7.8628,0.0160721,-0.000491764,-0.132698,0.0133816,-0.567317,-0.421155,-0.106026,-0.0382437,-0.409022,-0.314966,1.06133,0.747438,0.4315,-0.0345888,0.141859,0.20295,-0.0609869,-0.0195439,0.0616451,-0.0333799,0.00590486,-0.0402963,-0.176275,-0.150292
5426.2,0.965447,0.55095,3,7,0,-5413.93,-1.54459,-0.0225024,0.0293183,0.138437,-0.0946382,-0.166172,-0.0487588,-0.00403921,-0.121081,-0.056657,-0.085815,0.115366,0.165904,0.0917068,-0.00352194,0.0128098,0.0688085,-0.0350544,0.00791117,0.0318665,0.0281619,0.0226814,-0.0108982,0.0123423,-0.0252429,7.76324,-0.0183207,0.00281072,0.0286878,0.0832478,-0.603619,-0.461052,-0.274894,-0.0467293,-0.472572,-0.36933,0.905636,0.691408,0.7935,0.000283159,0.115732,0.184268,-0.0604497,0.0524284,0.138026,0.146662,0.0626759,-0.097574,0.170264,-0.333105
5425.85,0.932326,0.55095,3,7,0,-5415.44,-1.54141,-0.00670459,0.0311014,0.14021,-0.129396,-0.166257,-0.0573521,0.0289073,-0.122446,-0.0466356,-0.0689957,0.114737,0.155074,0.0786766,-0.0138383,0.0154138,0.087808,-0.0246854,0.00350409,0.0205143,0.00632183,0.0249986,-0.0139663,-0.00242359,-0.0112526,7.78145,-0.0215746,0.00442852,-0.0701659,-0.00290085,-0.595124,-0.487545,-0.166459,-0.0496506,-0.415012,-0.235454,0.910348,0.657627,0.696602,-0.0110682,0.146396,0.237032,-0.0519196,0.0180738,0.0767782,0.0185528,0.0753681,-0.106585,-0.0633863,-0.148489
5417.7,0.757257,0.55095,3,7,0,-5406.72,-1.58586,-0.020201,0.0287489,0.144601,-0.102842,-0.18799,-0.0295887,0.0132922,-0.128596,-0.0590225,-0.0852586,0.124894,0.163986,0.0697128,-0.001994,0.0199852,0.076177,-0.0403032,0.0117818,0.0272743,0.0207316,0.0372228,-0.0263599,0.0169774,-0.0216813,7.84849,-0.0098993,0.00219718,0.00423206,0.100364,-0.650265,-0.39981,-0.213885,-0.054194,-0.495906,-0.347625,1.00873,0.72692,0.62305,-0.0013547,0.139316,0.2048,-0.0804652,0.0507098,0.106314,0.0927681,0.109678,-0.179722,0.258306,-0.286105
5427.18,1,0.55095,3,7,0,-5407.99,-1.56726,-0.0229484,0.026529,0.148383,-0.111422,-0.170986,-0.049623,0.0227544,-0.112216,-0.0653605,-0.0876582,0.113151,0.159217,0.0687839,-0.011962,0.025839,0.0577599,-0.0422687,0.0169378,0.0336646,0.0149823,0.00289756,-0.00823712,0.0106337,-0.0124758,7.85716,-0.0096032,0.00213955,-0.0324295,0.0361948,-0.579796,-0.405436,-0.169965,-0.0357544,-0.479669,-0.416773,0.907562,0.712234,0.593078,-0.00743962,0.128545,0.154185,-0.0801033,0.0713933,0.13278,0.0645682,-0.0158774,-0.0607364,0.163829,-0.16463
5424.67,0.913628,0.55095,3,7,0,-5417.84,-1.53695,-0.0240287,0.0278283,0.129407,-0.0936594,-0.169047,-0.0599287,0.0224465,-0.134242,-0.0466986,-0.0842795,0.12968,0.163643,0.0764012,-0.0275258,0.0105776,0.0990776,-0.0180697,-0.00792201,0.0401551,0.00930364,0.026444,-0.012509,-0.015949,-0.0302842,7.74185,0.014423,-0.000348694,-0.0517834,0.0755628,-0.608011,-0.514418,-0.207188,-0.0533113,-0.403814,-0.344301,1.02351,0.714889,0.674063,-0.0279286,0.151481,0.267439,-0.0463503,-0.0266374,0.132786,0.0017985,0.0430938,-0.145372,-0.336256,-0.399629
5428.27,1,0.55095,3,7,0,-5418.93,-1.56449,-0.0374217,0.0236684,0.151423,-0.113131,-0.162326,-0.0588321,0.0271951,-0.124298,-0.0643374,-0.0867023,0.112074,0.159239,0.0670003,-0.0267549,0.0206232,0.0518527,-0.0311478,0.00707421,0.0169689,0.0144531,0.00413804,-0.00227792,0.00720258,-0.0150484,7.89393,-0.000767369,0.000280181,-0.0489753,0.00530333,-0.567166,-0.452115,-0.164885,-0.0439428,-0.45115,-0.419442,0.897593,0.714153,0.570342,-0.0201973,0.110552,0.139273,-0.0636726,0.0336528,0.0693069,0.0709202,-0.00139709,-0.0328914,0.098775,-0.198578
5427.38,0.956898,0.55095,3,7,0,-5420.08,-1.53672,-0.0125748,0.0346486,0.120844,-0.0958871,-0.168447,-0.0470639,0.0152801,-0.12865,-0.0444663,-0.0794009,0.131504,0.163363,0.0768508,-0.0198452,0.0068599,0.0920825,-0.0279264,-0.00366076,0.044123,0.00723201,0.0222985,-0.0129212,-0.00498404,-0.0265539,7.75478,-0.00864738,0.00289882,-0.0412084,0.0821651,-0.593353,-0.461808,-0.22498,-0.0493331,-0.412221,-0.291759,1.04155,0.712154,0.679527,-0.0195992,0.134605,0.248017,-0.0628255,-0.00532361,0.155506,-0.00215825,0.0366976,-0.129958,-0.136659,-0.350404
5419.97,0.618742,0.55095,3,7,0,-5409.86,-1.56379,-0.000294271,0.030973,0.141251,-0.107486,-0.156204,-0.0563364,0.0242201,-0.118243,-0.0439466,-0.088072,0.112059,0.150958,0.0583629,-0.0246125,0.00261572,0.078558,-0.00773217,0.0159889,0.00463611,0.0077723,0.00480079,-0.00653951,-0.00418115,-0.0334863,7.81967,-0.00512198,0.00392914,-0.0478052,0.0158101,-0.556174,-0.465216,-0.161724,-0.0504524,-0.358646,-0.428175,0.923978,0.692423,0.502594,-0.0294125,0.108731,0.21233,-0.0332295,0.0151819,-0.0286342,-0.0165117,-0.049544,-0.102901,-0.135359,-0.441884
5422.43,0.915162,0.55095,3,7,0,-5407.89,-1.55532,-0.0508094,0.0465512,0.135823,-0.106762,-0.1718,-0.0308935,0.0310476,-0.134334,-0.0618453,-0.0878042,0.122995,0.167977,0.066344,-0.0130857,0.00899277,0.0712352,-0.0364745,-0.00197836,0.0387077,0.0214517,0.01751,-0.0251951,-0.000112791,-0.000226928,7.86793,-0.0858726,0.0082277,-0.0464797,0.0899082,-0.596911,-0.400524,-0.164855,-0.0565251,-0.488456,-0.389854,0.998082,0.762476,0.58753,-0.0106266,0.111662,0.191867,-0.0771276,0.00923391,0.148441,0.0904278,0.0268836,-0.152423,-0.00240156,-0.00299453
